600089 特变电工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	13.90	14.19	13.72	13.98	33823813	814629184.00
2010/01/05	14.01	14.13	13.92	13.99	24339777	589461248.00
2010/01/06	14.00	14.50	13.97	14.22	40542415	1002193472.00
2010/01/07	14.23	14.72	14.23	14.45	67410567	1690828800.00
2010/01/08	14.50	14.55	14.16	14.35	30171493	745628160.00
2010/01/11	14.45	14.70	14.26	14.32	26771590	671082240.00
2010/01/12	14.27	14.50	14.11	14.47	23174531	575127488.00
2010/01/13	14.15	14.32	13.88	13.90	31953685	777830976.00
2010/01/14	13.98	14.34	13.79	14.32	26351716	640961728.00
2010/01/15	14.38	14.58	14.18	14.28	36602618	911518848.00
2010/01/18	14.34	14.54	14.09	14.20	30496492	750854592.00
2010/01/19	14.22	14.24	14.03	14.12	20743216	505085632.00
2010/01/20	14.15	14.45	13.86	14.01	42839188	1048226432.00
2010/01/21	13.94	14.43	13.94	14.19	29281548	719981248.00
2010/01/22	14.01	14.10	13.41	13.58	29147142	690942144.00
2010/01/25	13.56	13.68	13.26	13.28	18724176	433643808.00
2010/01/26	13.31	13.44	12.56	12.70	25000600	557231040.00
2010/01/27	12.70	12.79	12.24	12.29	37897474	803334656.00
2010/01/28	12.32	12.56	12.30	12.46	26085110	556377152.00
2010/01/29	12.47	12.74	12.37	12.53	18881855	408338944.00
2010/02/01	12.43	12.50	11.88	12.05	31292618	646317376.00
2010/02/02	12.13	12.36	11.90	12.00	17972984	373993696.00
2010/02/03	12.08	12.34	11.83	12.34	21572635	448402304.00
2010/02/04	12.40	12.52	12.21	12.32	20381857	432611232.00
2010/02/05	12.10	13.00	12.00	12.49	42264365	912027072.00
2010/02/08	12.51	12.68	12.32	12.51	11164869	238639312.00
2010/02/09	12.47	12.57	12.28	12.42	11657746	248178480.00
2010/02/10	12.52	12.55	12.26	12.49	13232838	280914624.00
2010/02/11	12.49	12.56	12.42	12.50	11765750	251839088.00
2010/02/12	12.58	12.66	12.52	12.60	15179463	328026048.00
2010/02/22	12.65	12.76	12.55	12.64	19407096	421843296.00
2010/02/23	12.59	12.91	12.55	12.86	22278567	488807520.00
2010/02/24	12.81	13.01	12.74	12.99	19987172	443658144.00
2010/02/25	12.81	13.01	12.67	12.80	71016476	1563738368.00
2010/02/26	12.81	12.98	12.76	12.79	35219860	778231936.00
2010/03/01	12.81	12.94	12.73	12.94	32856137	725369664.00
2010/03/02	12.93	13.08	12.86	12.93	30930414	690259904.00
2010/03/03	12.95	13.45	12.84	13.31	54435729	1239984384.00
2010/03/04	13.36	13.40	12.80	12.84	36754165	825400704.00
2010/03/05	12.82	12.92	12.64	12.78	18678982	409475168.00
2010/03/08	12.79	13.02	12.79	12.85	16451603	364711008.00
2010/03/09	12.89	12.95	12.64	12.73	16545476	361945856.00
2010/03/10	12.72	12.76	12.38	12.46	24297456	523473504.00
2010/03/11	12.43	12.49	12.10	12.21	25572149	536264928.00
2010/03/15	12.10	12.20	12.04	12.13	13815558	286187360.00
2010/03/16	12.13	12.22	12.03	12.18	10866859	225171072.00
2010/03/17	12.21	12.34	12.12	12.32	23060701	483754688.00
2010/03/18	12.32	12.35	12.12	12.19	24456526	512028160.00
2010/03/19	12.19	12.20	12.06	12.18	25380212	525769120.00
2010/03/22	12.17	12.39	12.11	12.37	26726331	561701056.00
2010/03/23	12.37	12.45	12.24	12.27	18361506	387736672.00
2010/03/24	12.30	12.37	12.29	12.34	16281587	344093280.00
2010/03/25	12.34	12.34	11.95	11.99	23795113	491511648.00
2010/03/26	11.96	12.09	11.88	12.04	20834916	427161824.00
