600171 上海贝岭 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	7.65	8.16	7.50	7.91	66482327	541136576.00
2010/01/05	7.91	8.35	7.86	8.05	63037558	527494528.00
2010/01/06	8.05	8.43	7.91	8.20	49987913	419205376.00
2010/01/07	8.14	8.31	7.85	7.94	46545979	386080352.00
2010/01/08	7.88	8.31	7.81	8.29	44960723	376362944.00
2010/01/11	8.28	8.76	8.15	8.44	56524742	496073216.00
2010/01/12	8.40	8.63	8.35	8.47	39442167	343791840.00
2010/01/13	8.25	8.60	8.17	8.36	37198980	322648928.00
2010/01/14	8.45	8.73	8.45	8.58	40055945	354686816.00
2010/01/15	8.62	8.66	8.33	8.46	32747813	284952192.00
2010/01/18	8.45	8.67	8.33	8.64	37940860	332593472.00
2010/01/19	8.57	8.84	8.41	8.75	41848733	372160736.00
2010/01/20	8.74	8.75	7.97	8.06	48464556	416024480.00
2010/01/21	8.09	8.22	7.91	8.00	24499767	203725648.00
2010/01/22	7.93	8.08	7.60	7.79	26880322	217193936.00
2010/01/25	7.73	7.88	7.64	7.69	12504443	100475008.00
2010/01/26	7.70	7.78	7.30	7.44	16215900	125722352.00
2010/01/27	7.43	7.70	7.35	7.48	16410680	127571296.00
2010/01/28	7.42	7.65	7.41	7.63	13968322	109413168.00
2010/01/29	7.59	7.78	7.53	7.57	15113515	119402200.00
2010/02/01	7.47	7.52	6.97	7.05	19509290	144201552.00
2010/02/02	7.17	7.39	7.06	7.19	15983194	118986064.00
2010/02/03	7.21	7.28	6.83	7.27	14840720	109240376.00
2010/02/04	7.22	7.57	7.13	7.38	20635186	158264624.00
2010/02/05	7.23	7.38	7.07	7.16	13306057	99071760.00
2010/02/08	7.14	7.50	7.13	7.35	12975889	98668224.00
2010/02/09	7.36	7.42	7.20	7.31	7838267	59270892.00
2010/02/10	7.39	7.42	7.28	7.41	7179067	54664704.00
2010/02/11	7.42	7.62	7.35	7.40	9911140	76509592.00
2010/02/12	7.40	7.49	7.36	7.48	8003444	61553948.00
2010/02/22	7.44	7.58	7.35	7.45	10859450	83914928.00
2010/02/23	7.39	7.71	7.33	7.65	18211525	141896928.00
2010/02/24	7.63	7.78	7.55	7.76	16899488	134177320.00
2010/02/25	7.76	8.00	7.72	7.88	21969949	177425376.00
2010/02/26	7.85	7.90	7.76	7.78	13118522	105799200.00
2010/03/01	7.79	7.95	7.76	7.94	14640735	118833952.00
2010/03/02	7.95	8.19	7.85	8.01	27023391	224603920.00
2010/03/03	8.02	8.15	7.95	8.12	20191465	168111504.00
2010/03/04	8.15	8.33	7.65	7.68	35505028	293455168.00
2010/03/05	7.65	7.97	7.63	7.89	24782997	200183760.00
2010/03/08	7.87	8.20	7.85	8.09	22305547	185589696.00
2010/03/09	8.05	8.27	8.01	8.13	25354101	213034976.00
2010/03/10	8.25	8.72	8.16	8.21	44801875	387527776.00
2010/03/11	8.11	8.21	7.84	7.96	22456647	185174992.00
2010/03/12	7.90	8.04	7.80	7.84	14405862	117653664.00
2010/03/15	7.83	7.92	7.77	7.90	12143524	98291904.00
2010/03/16	7.93	7.94	7.70	7.89	12041473	97222000.00
2010/03/17	7.90	8.63	7.86	8.46	56697023	486672768.00
2010/03/18	8.51	8.62	8.36	8.41	46098032	402319520.00
2010/03/19	8.40	8.65	8.31	8.53	44239509	388295136.00
2010/03/22	8.57	8.79	8.46	8.66	41166418	366576896.00
2010/03/23	8.63	8.64	8.35	8.46	25831912	225785680.00
