600260 凯乐科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	5.34	5.42	5.34	5.34	11420249	90130600.00
2010/01/05	5.35	5.49	5.24	5.47	19778358	156867616.00
2010/01/06	5.50	5.56	5.38	5.40	18786976	151396464.00
2010/01/07	5.38	5.42	5.21	5.26	12811105	99804048.00
2010/01/08	5.24	5.29	5.09	5.29	12840150	98057104.00
2010/01/11	5.30	5.49	5.26	5.47	17902921	141306512.00
2010/01/12	5.48	5.71	5.44	5.67	45918619	377950400.00
2010/01/13	5.53	5.79	5.46	5.71	45075875	374455808.00
2010/01/14	5.85	6.31	5.84	6.01	87787241	779031936.00
2010/01/15	5.94	6.13	5.91	6.02	39638286	348622048.00
2010/01/18	6.05	6.16	5.91	6.14	33837394	298823264.00
2010/01/19	6.14	6.24	6.04	6.09	25206489	224376624.00
2010/01/20	6.09	6.10	5.69	5.72	35783321	306182848.00
2010/01/21	5.74	5.79	5.66	5.72	16653210	139622464.00
2010/01/22	5.67	5.67	5.44	5.54	19928173	161890960.00
2010/01/25	5.49	5.61	5.46	5.49	10392659	84313160.00
2010/01/26	5.49	5.56	5.23	5.31	13999000	110008232.00
2010/01/27	5.28	5.34	5.11	5.18	12022818	92514368.00
2010/01/28	5.16	5.31	5.13	5.29	9759316	75115152.00
2010/01/29	5.23	5.38	5.18	5.34	12004874	93747264.00
2010/02/01	5.34	5.34	5.14	5.18	11053364	84302816.00
2010/02/02	5.19	5.30	5.14	5.16	8506709	65195168.00
2010/02/03	5.16	5.28	4.89	5.27	12359907	93180192.00
2010/02/04	5.22	5.31	5.14	5.24	10960200	84357088.00
2010/02/05	5.14	5.18	5.00	5.03	11460518	85700912.00
2010/02/08	5.03	5.08	5.00	5.04	5109318	37888740.00
2010/02/09	5.06	5.14	5.02	5.09	4413685	33019300.00
2010/02/10	5.11	5.23	5.11	5.21	7421620	56592476.00
2010/02/11	5.21	5.24	5.15	5.17	5858893	44665856.00
2010/02/12	5.19	5.28	5.18	5.25	6122704	47060004.00
2010/02/22	5.27	5.28	5.21	5.21	5587013	42993936.00
2010/02/23	5.21	5.26	5.09	5.25	7475389	56667784.00
2010/02/24	5.21	5.37	5.17	5.36	11738833	91361856.00
2010/02/25	5.37	5.49	5.37	5.49	15306400	121918208.00
2010/02/26	5.49	5.53	5.41	5.44	10826908	86657968.00
2010/03/01	5.44	5.56	5.42	5.54	13078626	105525576.00
2010/03/02	5.56	5.60	5.50	5.60	15126018	123300144.00
2010/03/03	5.60	5.65	5.53	5.64	15751211	128861536.00
2010/03/04	5.65	5.66	5.32	5.34	19645982	158038864.00
2010/03/05	5.34	5.41	5.29	5.34	10051745	79005640.00
2010/03/08	5.34	5.42	5.32	5.39	8021176	63350508.00
2010/03/09	5.39	5.40	5.28	5.39	9079576	71270600.00
2010/03/10	5.37	5.41	5.28	5.30	7206803	56446540.00
2010/03/11	5.31	5.38	5.19	5.24	8332752	64420200.00
2010/03/12	5.26	5.27	5.18	5.19	6270516	48092640.00
2010/03/15	5.19	5.21	5.11	5.14	5640394	42631120.00
2010/03/16	5.14	5.23	5.14	5.23	5181141	39479220.00
2010/03/17	5.25	5.37	5.21	5.36	9800784	76340544.00
2010/03/18	5.36	5.43	5.34	5.39	9148274	72215200.00
2010/03/19	5.39	5.42	5.35	5.41	8210273	65004300.00
2010/03/22	5.42	5.44	5.31	5.43	10692099	84558848.00
2010/03/23	5.42	5.42	5.31	5.34	8566822	67347232.00
2010/03/24	5.35	5.57	5.34	5.53	20307718	162705696.00
2010/03/25	5.65	6.11	5.65	6.11	132993791	1165392000.00
2010/03/26	6.28	6.38	5.92	6.05	115543195	1035731712.00
2010/03/29	5.92	5.99	5.81	5.88	50270621	431339712.00
2010/03/30	5.88	6.03	5.86	5.90	30413559	263801824.00
2010/03/31	5.87	5.91	5.78	5.82	25302184	215555776.00
2010/04/01	5.81	5.99	5.79	5.93	34581181	297330784.00
2010/04/02	5.90	5.94	5.83	5.88	23260943	199713408.00
2010/04/06	5.89	6.02	5.89	6.01	25010392	217680032.00
2010/04/07	6.02	6.08	5.85	5.91	21831748	190111984.00
2010/04/08	5.88	5.89	5.81	5.83	16636586	142004192.00
2010/04/09	5.83	5.92	5.82	5.91	15034524	129296216.00
2010/04/12	5.94	5.98	5.88	5.96	20204869	174982272.00
2010/04/13	5.96	6.03	5.66	5.76	27121608	231457168.00
2010/04/14	5.76	5.87	5.69	5.85	14696442	124167472.00
2010/04/15	5.69	5.76	5.59	5.63	22243736	184739792.00
2010/04/16	5.59	5.69	5.56	5.60	9948495	82026464.00
2010/04/19	5.56	5.64	5.35	5.36	17228480	138865888.00
2010/04/20	5.31	5.39	5.16	5.29	16980505	131410256.00
2010/04/21	5.26	5.41	5.24	5.41	13101995	102893384.00
2010/04/22	5.39	5.40	5.24	5.33	12638572	98798160.00
2010/04/23	5.32	5.44	5.28	5.32	10919378	85657360.00
2010/04/26	5.31	5.37	5.24	5.26	8881670	68971216.00
2010/04/27	5.23	5.24	4.86	5.00	14769259	108860256.00
2010/04/28	4.93	5.02	4.87	4.94	7719042	56141344.00
2010/04/29	4.98	5.07	4.90	4.91	9099253	67105984.00
2010/04/30	4.90	4.94	4.75	4.85	7778470	55532144.00
2010/05/04	4.74	4.84	4.68	4.79	5449386	38359484.00
2010/05/05	4.74	4.94	4.71	4.94	7824530	56045080.00
