600460 士兰微 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	4.56	4.56	4.56	4.56	2247848	27873316.00
2010/01/05	5.03	5.03	4.90	5.03	32958686	448968480.00
2010/01/06	5.12	5.53	4.93	5.38	53374392	745064704.00
2010/01/07	5.38	5.71	5.17	5.48	37452819	550972288.00
2010/01/08	5.43	5.56	5.25	5.53	19005167	277219008.00
2010/01/11	5.48	5.92	5.38	5.67	25230286	385477312.00
2010/01/12	5.67	5.98	5.52	5.67	24711882	380550784.00
2010/01/13	5.47	5.63	5.45	5.49	19934637	297754848.00
2010/01/14	5.49	5.74	5.40	5.71	20078876	304971008.00
2010/01/15	5.67	5.74	5.48	5.61	15611272	234727936.00
2010/01/18	5.58	5.61	5.38	5.59	16754915	248133344.00
2010/01/19	5.59	5.91	5.50	5.88	26390785	408115872.00
2010/01/20	5.79	5.84	5.27	5.29	26593852	395017184.00
2010/01/21	5.29	5.36	5.09	5.21	14947793	210968800.00
2010/01/22	5.21	5.43	5.13	5.37	12463254	178376000.00
2010/01/25	5.29	5.35	5.13	5.14	5960501	84304824.00
2010/01/26	5.11	5.21	4.69	4.84	10975200	144674544.00
2010/01/27	4.84	4.93	4.75	4.81	7921045	104372392.00
2010/01/29	4.88	5.31	4.88	4.96	11904723	162884256.00
2010/02/01	4.90	4.90	4.58	4.61	12160563	154952768.00
2010/02/02	4.66	4.81	4.64	4.68	8858375	113404632.00
2010/02/03	4.68	4.75	4.35	4.67	10670469	132922736.00
2010/02/04	4.66	4.98	4.57	4.76	12954956	168510688.00
2010/02/05	4.59	5.01	4.55	4.88	15032771	196969552.00
2010/02/08	4.86	4.90	4.59	4.68	9559454	122514600.00
2010/02/09	4.64	4.69	4.51	4.56	5166124	64474952.00
2010/02/10	4.58	4.70	4.57	4.67	4488632	56623628.00
2010/02/11	4.64	4.70	4.58	4.59	3599422	45394312.00
2010/02/12	4.62	4.88	4.58	4.81	6768766	87238528.00
2010/02/22	4.81	5.02	4.75	4.89	8404805	112281160.00
2010/02/23	4.88	5.15	4.79	5.12	11680095	157892720.00
2010/02/24	5.09	5.22	4.99	5.21	9932409	138382832.00
2010/02/25	5.24	5.27	5.13	5.22	8929332	125266912.00
2010/02/26	5.21	5.21	5.11	5.13	6009519	83834800.00
2010/03/01	5.13	5.21	5.08	5.17	7190651	100206592.00
2010/03/02	5.16	5.39	5.16	5.32	11759091	168924080.00
2010/03/03	5.36	5.75	5.36	5.71	18637191	282132608.00
2010/03/04	5.71	5.71	5.19	5.24	18678133	275125568.00
2010/03/05	5.27	5.34	5.09	5.14	6470139	90864488.00
2010/03/08	5.14	5.32	5.13	5.22	5687095	80380640.00
2010/03/09	5.20	5.20	5.06	5.15	6439206	89467824.00
2010/03/10	5.10	5.20	4.94	4.99	6073027	82984640.00
2010/03/11	4.99	5.06	4.90	4.99	5008549	67661528.00
2010/03/12	5.01	5.17	4.93	4.94	6373841	87304448.00
2010/03/15	4.94	5.01	4.82	4.87	4775247	63385316.00
2010/03/16	4.84	4.93	4.84	4.92	2854954	37821768.00
2010/03/17	4.94	5.25	4.94	5.17	12235555	170327248.00
2010/03/18	5.20	5.41	5.20	5.25	12529099	179965168.00
2010/03/19	5.24	5.35	5.17	5.31	7140567	102221176.00
2010/03/22	5.27	5.45	5.22	5.39	8457528	122974168.00
2010/03/23	5.40	5.48	5.33	5.36	7818650	114319240.00
2010/03/24	5.32	5.37	5.24	5.32	6430464	92169264.00
2010/03/25	5.35	5.46	5.26	5.27	8795194	127528416.00
2010/03/26	5.23	5.34	5.18	5.32	5055446	72232768.00
2010/03/29	5.32	5.36	5.21	5.25	6114857	86952464.00
2010/03/30	5.24	5.34	5.21	5.29	6386303	91397168.00
2010/03/31	5.32	5.59	5.29	5.50	15439797	228393568.00
2010/04/01	5.50	5.61	5.40	5.50	17906569	266446112.00
2010/04/02	5.50	5.59	5.43	5.59	12375943	184602800.00
2010/04/06	5.66	5.75	5.51	5.62	13199751	200433728.00
2010/04/07	5.62	5.79	5.60	5.77	15467993	238972656.00
2010/04/08	5.77	5.82	5.58	5.59	12128376	186282864.00
2010/04/09	5.59	5.66	5.58	5.64	11481216	174151344.00
2010/04/12	5.66	5.94	5.60	5.88	17683108	275189248.00
2010/04/13	5.91	5.97	5.40	5.69	15735011	242934784.00
2010/04/14	5.59	5.82	5.55	5.65	8469579	130282464.00
2010/04/15	5.77	5.88	5.63	5.68	9798118	152279600.00
2010/04/16	5.61	5.86	5.52	5.81	11135055	173110400.00
2010/04/19	5.74	5.92	5.56	5.60	13370495	208412144.00
2010/04/20	5.64	5.86	5.44	5.84	10605935	161624768.00
2010/04/21	5.80	6.40	5.77	6.30	22277484	369293312.00
