600584 长电科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	8.25	8.59	8.09	8.42	45241171	407550368.00
2010/01/05	8.45	8.83	8.37	8.80	54518741	510361760.00
2010/01/06	8.71	9.02	8.65	8.89	43480773	414983520.00
2010/01/07	8.79	8.99	8.52	8.59	38160342	360735712.00
2010/01/08	8.43	9.00	8.36	8.96	34211908	322869984.00
2010/01/11	9.02	9.29	8.87	9.16	42370704	419720992.00
2010/01/12	9.12	9.30	9.02	9.21	32769639	325960544.00
2010/01/13	9.04	9.36	8.94	9.02	31875961	315619008.00
2010/01/14	9.09	9.30	8.96	9.19	35691909	354941568.00
2010/01/18	9.19	9.41	8.91	9.38	46181861	455712800.00
2010/01/19	9.38	9.38	9.20	9.21	28774617	289365344.00
2010/01/20	9.16	9.16	8.34	8.39	75046431	702371392.00
2010/01/21	8.33	8.41	7.87	8.17	50507112	442526688.00
2010/01/22	8.00	8.11	7.76	7.90	29533350	251914544.00
2010/01/25	7.87	8.23	7.84	7.96	21598664	187815440.00
2010/01/26	8.02	8.20	7.78	7.93	30912800	265003376.00
2010/01/27	7.90	8.17	7.81	7.98	24746918	213172816.00
2010/01/28	8.02	8.13	7.89	8.09	20578901	177671920.00
2010/01/29	8.02	8.30	7.93	8.14	30931944	271752064.00
2010/02/01	8.03	8.07	7.37	7.37	57521165	461286432.00
2010/02/02	7.31	7.56	7.13	7.38	41566863	324549728.00
2010/02/03	7.32	7.39	6.90	7.26	27913394	213384128.00
2010/02/04	7.22	7.50	7.15	7.34	28122265	221895808.00
2010/02/05	7.13	7.43	7.05	7.19	18948950	146306752.00
2010/02/08	7.19	7.28	6.99	7.00	19026781	143489616.00
2010/02/09	7.00	7.20	6.95	7.18	19263477	145681456.00
2010/02/10	7.25	7.31	7.14	7.26	15414109	118797360.00
2010/02/11	7.29	7.33	7.18	7.23	11147802	86634272.00
2010/02/12	7.28	7.53	7.24	7.50	22578992	179051568.00
2010/02/22	7.49	7.56	7.36	7.42	15410628	123036112.00
2010/02/23	7.46	7.88	7.42	7.78	45322857	373191712.00
2010/02/24	7.69	8.22	7.65	8.11	44105355	379393728.00
2010/02/25	8.12	8.37	8.04	8.15	41394583	365393792.00
2010/02/26	8.13	8.30	8.02	8.20	22333421	197372432.00
2010/03/01	8.27	8.43	8.22	8.33	24589068	220883456.00
2010/03/02	8.33	8.62	8.26	8.48	38063711	348371680.00
2010/03/03	8.44	8.45	8.09	8.35	39677096	354720064.00
2010/03/04	8.35	8.49	8.00	8.02	40601336	361766432.00
2010/03/05	7.98	8.17	7.97	8.03	26336710	228568976.00
2010/03/08	8.16	8.41	8.00	8.36	34760715	307268352.00
2010/03/09	8.38	8.66	8.38	8.47	49380401	454658272.00
2010/03/10	8.58	8.81	8.36	8.48	42948903	397766208.00
2010/03/11	8.53	8.63	8.18	8.33	29483401	265957632.00
2010/03/12	8.28	8.39	8.04	8.09	26229573	231456672.00
2010/03/15	8.10	8.30	7.98	8.22	22255246	195062896.00
2010/03/16	8.22	8.24	8.00	8.13	20711083	180814624.00
2010/03/17	8.17	8.89	8.13	8.89	89849107	845939520.00
2010/03/18	9.73	9.73	9.43	9.73	339322896	3573276160.00
2010/03/19	9.55	10.03	9.47	9.89	248412640	2640633600.00
2010/03/22	9.74	10.52	9.69	10.02	194692123	2156428800.00
2010/03/23	9.91	10.31	9.81	10.16	133804518	1467680256.00
2010/03/24	10.20	10.35	9.96	10.06	127347661	1407272960.00
2010/03/25	9.93	10.02	9.66	9.72	110407699	1180802304.00
2010/03/26	9.67	10.04	9.65	9.98	92850689	995454912.00
2010/03/30	9.84	10.78	9.79	10.68	138184073	1539636480.00
2010/03/31	10.69	11.65	10.46	11.08	154266029	1843927808.00
2010/04/01	10.96	11.29	10.88	10.94	100798116	1220359296.00
2010/04/02	10.98	11.62	10.90	11.14	112409872	1389904384.00
2010/04/06	11.16	11.20	10.78	11.12	61735037	743699520.00
2010/04/07	11.13	11.37	11.01	11.24	63824193	784377472.00
2010/04/08	11.38	11.53	11.06	11.14	70241224	868107584.00
2010/04/09	11.13	12.17	10.98	11.77	128957648	1638626432.00
2010/04/12	11.76	12.08	11.72	11.95	87133909	1140022784.00
2010/04/13	11.94	11.94	10.88	11.34	104722011	1311963264.00
2010/04/14	11.15	11.48	11.05	11.28	50769374	626914624.00
2010/04/15	11.16	11.39	11.00	11.09	53640333	656586176.00
2010/04/16	10.96	11.32	10.80	11.11	48149435	587476608.00
2010/04/19	10.96	11.30	10.61	10.68	55765768	674782016.00
2010/04/20	10.85	11.27	10.61	11.22	72483596	877368576.00
2010/04/21	11.29	11.79	11.18	11.65	82985804	1055074752.00
2010/04/22	11.56	12.05	11.36	11.64	91186923	1174380544.00
2010/04/23	11.56	11.78	11.10	11.22	73607363	920001088.00
2010/04/26	11.29	11.39	11.10	11.25	35685809	439298080.00
2010/04/27	11.24	11.24	10.65	10.91	47922991	570008064.00
2010/04/28	10.70	11.10	10.53	10.70	37834995	446607648.00
2010/04/29	10.82	10.96	10.09	10.13	46328443	537190528.00
2010/04/30	10.01	10.09	9.43	9.86	42704621	452802336.00
2010/05/04	9.65	10.31	9.52	10.20	40449134	443461632.00
2010/05/05	10.01	10.60	9.97	10.59	41430512	469544768.00
2010/05/06	10.61	10.68	10.14	10.16	39407127	449238528.00
2010/05/07	9.92	10.34	9.88	10.04	25145219	274890016.00
2010/05/10	10.06	10.25	9.18	9.56	35795531	371924160.00
2010/05/11	9.82	9.83	9.22	9.27	32070609	329602816.00
2010/05/12	9.14	9.56	9.07	9.42	32871723	330522880.00
2010/05/13	9.41	9.65	8.96	9.61	48118913	482034336.00
2010/05/14	9.48	9.91	9.30	9.74	52507175	548678720.00
2010/05/17	9.51	9.65	9.09	9.11	38176131	385262848.00
2010/05/18	9.04	9.53	9.01	9.49	40981498	411827104.00
2010/05/19	9.43	9.89	9.38	9.73	58741572	614381440.00
2010/05/20	9.72	9.90	9.48	9.55	44403377	464720608.00
2010/05/21	9.14	10.35	9.14	10.16	68011057	725676224.00
2010/05/24	10.20	10.69	10.19	10.50	74321304	842400512.00
2010/05/25	10.39	10.83	10.36	10.56	62780514	722156672.00
2010/05/26	10.52	10.67	10.30	10.56	44272392	500816992.00
2010/05/27	10.43	11.02	10.29	10.89	66778794	775398464.00
2010/05/28	11.00	11.00	10.66	10.71	54702030	641379648.00
2010/05/31	10.58	10.74	10.17	10.21	41342944	469648064.00
2010/06/01	10.13	10.21	9.50	9.95	52843762	563858432.00
2010/06/02	9.82	10.88	9.77	10.88	84595012	948770688.00
2010/06/03	10.69	11.18	10.67	10.78	112243286	1334748800.00
2010/06/04	10.74	11.52	10.69	11.21	107708723	1304236416.00
2010/06/07	10.94	11.42	10.87	11.23	84943613	1032259584.00
2010/06/08	11.26	11.39	10.89	11.29	67307988	813718016.00
2010/06/09	11.29	11.61	11.11	11.55	88054411	1087554816.00
2010/06/10	11.30	11.61	11.27	11.30	70989310	882508288.00
2010/06/11	11.31	11.36	10.97	11.01	53518133	648423104.00
2010/06/17	11.04	11.29	10.87	10.89	34471909	414450528.00
2010/06/18	10.89	11.12	10.48	10.67	43281325	508509248.00
2010/06/21	10.64	11.61	10.39	11.43	76155793	919322624.00
2010/06/22	11.42	11.59	11.23	11.37	62842875	780444672.00
2010/06/23	11.27	11.49	10.96	11.29	54822021	669756864.00
2010/06/24	11.36	11.62	11.22	11.52	75869951	944952960.00
2010/06/25	11.41	11.53	11.11	11.17	53180817	652480960.00
2010/06/28	11.04	11.09	10.78	10.86	38422608	455345888.00
2010/06/29	10.92	11.01	10.28	10.40	50351630	579452992.00
2010/06/30	10.24	10.36	9.85	10.28	39986369	437603936.00
2010/07/01	10.21	10.34	9.92	9.95	27738902	304988736.00
2010/07/02	9.96	10.05	9.16	9.82	43850465	454874368.00
2010/07/05	9.61	9.74	9.40	9.56	24927645	257378576.00
2010/07/06	9.55	10.10	9.49	9.93	39056916	416562048.00
2010/07/07	9.97	10.09	9.83	9.98	36384391	391459456.00
2010/07/08	10.02	10.05	9.74	9.86	29194006	311720768.00
2010/07/09	9.86	10.49	9.74	10.31	56215471	619968576.00
2010/07/12	10.30	10.48	10.19	10.35	40611206	454686656.00
2010/07/13	10.24	10.31	9.96	10.16	37889504	416232928.00
2010/07/14	10.25	10.41	10.10	10.17	27830448	308783264.00
2010/07/15	10.18	10.34	9.91	9.93	29936720	327852576.00
2010/07/16	9.82	10.03	9.68	9.91	26117405	277903488.00
2010/07/19	9.76	10.25	9.76	10.16	26212024	285199616.00
2010/07/20	10.19	10.77	10.14	10.59	58154021	662033728.00
2010/07/21	10.56	10.81	10.48	10.65	58991428	680835200.00
2010/07/22	10.59	10.82	10.52	10.79	45571759	529085408.00
2010/07/23	10.81	10.82	10.51	10.65	41792423	481884640.00
2010/07/26	10.66	11.02	10.60	10.82	49960178	589503936.00
2010/07/27	10.77	10.77	10.56	10.62	32266522	372771296.00
2010/07/28	10.63	11.24	10.63	11.02	74638711	895434880.00
2010/07/29	11.02	11.17	10.83	11.16	58117773	694921536.00
2010/07/30	11.12	11.21	10.90	11.10	39453799	473668544.00
2010/08/02	11.07	11.35	11.03	11.14	49790080	605548416.00
2010/08/03	11.21	11.30	10.82	10.85	52935637	638588288.00
2010/08/04	10.78	11.03	10.75	11.02	42662136	504243872.00
2010/08/05	11.02	11.02	10.73	10.86	35796104	422859424.00
2010/08/06	10.78	11.35	10.70	11.26	75010515	905459776.00
2010/08/09	11.27	11.35	11.14	11.29	52457337	641873792.00
2010/08/10	11.33	11.37	10.76	10.77	60332974	724432320.00
2010/08/11	10.71	11.03	10.69	10.90	43722155	516108000.00
2010/08/12	10.74	10.96	10.63	10.69	35407805	414367872.00
2010/08/13	10.69	10.88	10.59	10.83	29315817	342020864.00
2010/08/16	10.78	11.17	10.68	11.09	56381600	674026112.00
2010/08/17	11.11	11.32	11.05	11.12	45385533	551182912.00
2010/08/18	11.09	12.14	11.02	11.83	133150919	1682616960.00
2010/08/19	11.73	11.96	11.63	11.66	80604812	1034773312.00
2010/08/20	11.61	11.73	11.23	11.28	58381849	728546880.00
2010/08/23	11.40	11.82	11.35	11.55	58804100	743265280.00
2010/08/24	11.48	12.25	11.26	12.00	99745434	1292796928.00
2010/08/25	11.93	12.12	11.56	11.59	70332804	905415488.00
2010/08/26	11.65	12.49	11.65	12.20	100530381	1332958208.00
2010/08/27	12.17	12.48	11.99	12.30	68954732	923052096.00
2010/08/30	12.35	12.61	12.18	12.48	81449022	1102156416.00
2010/08/31	12.35	12.69	12.24	12.50	72434616	986427456.00
2010/09/01	12.50	12.57	11.81	12.07	82419901	1094519808.00
2010/09/02	12.13	12.35	11.96	12.14	57363121	761283200.00
2010/09/03	12.18	12.39	12.02	12.23	54337736	726188416.00
2010/09/06	12.29	12.34	11.81	11.85	58065396	757353728.00
2010/09/07	11.82	12.01	11.73	11.96	32439149	420935840.00
2010/09/08	11.91	12.16	11.82	12.10	36417975	477122336.00
2010/09/09	12.26	12.48	11.93	12.06	54586208	728637568.00
2010/09/10	12.01	12.16	11.66	11.89	44586964	577248832.00
2010/09/13	11.92	12.49	11.87	12.36	74346134	996246592.00
2010/09/14	12.36	12.59	12.18	12.45	69833205	947364992.00
2010/09/15	12.45	12.48	11.98	12.05	45811513	610449408.00
2010/09/16	12.09	12.11	11.31	11.49	52462356	664912576.00
2010/09/17	11.55	11.61	11.30	11.35	27543464	342246496.00
2010/09/20	11.39	11.46	11.13	11.28	20161562	248502624.00
2010/09/21	11.37	11.38	11.16	11.26	17554868	214833360.00
2010/09/27	11.32	11.58	11.29	11.54	20466317	255420608.00
2010/09/28	11.56	11.86	11.41	11.53	36805173	465811296.00
2010/09/29	11.54	11.60	11.20	11.24	23685996	292177376.00
2010/09/30	11.20	11.34	11.02	11.31	29807734	362252096.00
2010/10/08	11.45	11.62	11.35	11.51	30192303	379234336.00
2010/10/11	11.81	12.15	11.59	11.77	64870083	837756608.00
2010/10/12	11.78	11.96	11.67	11.83	42569601	548502976.00
2010/10/13	11.96	12.34	11.71	12.22	90663099	1198030464.00
2010/10/22	12.80	13.31	12.27	12.68	72636304	942432448.00
2010/10/25	12.68	13.07	12.58	13.05	55821346	728873152.00
2010/10/26	13.12	14.37	12.97	14.37	126475345	1781264128.00
2010/10/27	14.42	14.42	13.68	13.69	92355440	1304752000.00
2010/10/28	13.55	13.85	13.30	13.39	50609943	691138240.00
2010/10/29	13.47	14.14	13.47	13.61	72900839	1012996992.00
2010/11/01	13.57	14.12	13.37	13.98	72991459	1018124992.00
2010/11/02	14.10	14.18	13.53	13.56	78002674	1091078144.00
2010/11/03	13.50	13.75	13.17	13.19	51725917	699308608.00
2010/11/04	13.19	13.52	13.12	13.41	39770726	535681024.00
2010/11/05	13.53	14.01	13.33	13.74	62957927	871916736.00
2010/11/08	14.07	14.22	13.69	13.89	55281580	775117760.00
2010/11/09	13.89	14.65	13.69	14.41	106117960	1519323136.00
2010/11/10	14.23	14.34	13.91	14.03	59677602	847007424.00
2010/11/11	14.03	14.28	13.66	13.67	70736204	999862976.00
2010/11/12	13.52	13.77	12.41	12.64	78542370	1039633856.00
2010/11/15	12.61	13.10	12.61	12.96	40238028	522532704.00
2010/11/16	13.02	13.21	12.08	12.26	51642733	660176128.00
2010/11/17	12.11	12.40	11.67	11.76	31168212	379280160.00
2010/11/18	11.90	12.02	11.69	11.96	25525009	306593504.00
2010/11/19	11.99	13.07	11.99	12.71	65127828	828099328.00
2010/11/23	12.87	13.15	12.47	12.87	75631034	986638336.00
2010/11/24	12.67	13.52	12.57	13.27	65221332	863659392.00
2010/11/25	13.33	13.35	12.94	13.07	49286571	652292096.00
2010/11/26	13.12	13.25	12.73	12.89	32096509	420848096.00
2010/11/29	12.82	13.02	12.64	12.84	29392349	380643456.00
2010/11/30	12.87	12.95	11.87	12.12	45454873	562990720.00
2010/12/01	12.12	12.33	12.02	12.18	19610090	241415808.00
2010/12/02	12.33	12.64	12.23	12.29	27219366	341529216.00
2010/12/03	12.27	12.27	11.97	12.08	18053434	220479152.00
2010/12/06	12.07	12.14	11.72	11.84	19385094	232917568.00
2010/12/07	11.77	12.05	11.59	12.03	17376395	208408944.00
2010/12/08	11.99	12.29	11.92	11.96	18956043	231472384.00
2010/12/09	11.87	12.12	11.63	11.88	24604554	294624096.00
2010/12/10	11.86	12.19	11.69	12.07	20372993	246437408.00
2010/12/13	12.15	12.37	12.06	12.34	29207365	361866368.00
2010/12/14	12.49	12.78	12.35	12.41	34899636	441647264.00
2010/12/16	12.25	12.39	12.13	12.17	20567831	254624496.00
2010/12/17	12.18	12.25	12.07	12.15	14575480	178679968.00
2010/12/20	12.19	12.24	11.57	11.81	26132357	313600000.00
2010/12/21	11.87	12.01	11.78	11.98	16144835	194396464.00
2010/12/22	12.01	12.03	11.77	11.80	16966890	203295504.00
