601699 潞安环能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/05	17.65	18.50	17.65	18.36	16191074	851012864.00
2010/01/06	18.38	18.94	18.25	18.27	9788511	527481056.00
2010/01/07	18.26	18.87	17.90	17.96	7968826	424120416.00
2010/01/08	17.95	17.95	17.29	17.56	7037709	358637696.00
2010/01/11	18.05	18.37	17.14	17.40	5978929	303782240.00
2010/01/12	17.23	17.45	16.90	17.43	17579437	874954240.00
2010/01/13	16.84	16.84	15.56	15.79	31038217	1469243904.00
2010/01/14	15.91	16.15	15.55	16.14	14399017	667952192.00
2010/01/15	15.99	16.17	15.57	15.99	10458788	490112640.00
2010/01/18	15.99	16.06	15.65	15.74	10019634	463996864.00
2010/01/19	15.84	16.26	15.77	15.84	15465903	725278976.00
2010/01/20	15.99	15.99	14.76	14.92	16794680	755205824.00
2010/01/21	14.90	15.03	14.19	14.41	12365559	532317664.00
2010/01/22	14.09	14.79	13.52	14.33	19993586	832724096.00
2010/01/25	14.06	14.39	13.95	14.12	6273715	265660256.00
2010/01/26	14.07	14.25	13.21	13.44	10021100	406988160.00
2010/01/27	13.40	13.88	13.13	13.37	10204299	414940096.00
2010/01/28	13.45	13.56	13.11	13.52	7022511	283526944.00
2010/01/29	13.34	13.83	13.28	13.43	5850751	237615296.00
2010/02/01	13.30	13.37	12.55	12.65	8479842	328234432.00
2010/02/02	12.94	13.32	12.75	12.84	10990194	432100672.00
2010/02/03	13.15	14.24	12.77	14.11	18080611	732801792.00
2010/02/04	13.84	14.03	13.65	13.73	10626469	438693856.00
2010/02/05	12.98	13.30	12.87	13.00	9986954	391660800.00
2010/02/08	13.00	13.36	12.92	13.22	6318359	250399424.00
2010/02/09	13.22	13.50	13.11	13.36	5665671	227637120.00
2010/02/10	13.64	14.00	13.64	13.76	6632488	274165152.00
2010/02/11	13.78	13.91	13.69	13.75	4051348	167491408.00
2010/02/12	13.84	14.29	13.84	14.19	6524207	275090080.00
2010/02/22	14.26	14.33	13.99	14.00	5489840	232031952.00
2010/02/23	13.84	13.99	13.12	13.42	8713600	349701408.00
2010/02/24	13.22	13.69	13.04	13.66	5657148	228455760.00
2010/02/25	13.75	13.95	13.65	13.83	8040816	333016800.00
2010/02/26	13.72	14.05	13.42	13.52	7576048	311444160.00
2010/03/01	13.57	13.83	13.56	13.74	8557124	350533824.00
2010/03/02	13.72	13.81	13.38	13.44	6792315	276247360.00
2010/03/03	13.49	13.67	13.27	13.62	5063936	204467360.00
2010/03/04	13.65	13.80	13.22	13.26	7607584	308799968.00
2010/03/05	13.26	13.38	13.11	13.16	4862111	193315696.00
2010/03/08	13.37	13.52	13.23	13.34	4721656	189869312.00
2010/03/09	13.30	13.95	13.23	13.69	11455916	468469760.00
2010/03/10	13.69	13.78	13.48	13.60	7850251	321204192.00
2010/03/11	13.61	13.80	13.46	13.68	5286963	216458128.00
2010/03/12	13.64	13.72	13.23	13.26	6206496	250716224.00
2010/03/15	13.25	13.25	12.61	12.76	7837440	303020832.00
2010/03/16	12.72	12.79	12.38	12.55	6955653	264476672.00
2010/03/17	12.62	12.97	12.62	12.96	6234149	241314768.00
2010/03/18	12.99	13.17	12.93	13.03	6141309	241627328.00
2010/03/19	13.05	13.34	12.80	13.18	7270065	287278880.00
2010/03/22	13.16	13.42	12.99	13.27	4523882	180902208.00
2010/03/23	13.26	13.73	13.26	13.55	8055935	328444032.00
2010/03/24	13.55	13.75	13.36	13.44	5100700	206760928.00
2010/03/25	13.38	13.38	13.13	13.25	4651304	185421536.00
2010/03/26	13.21	13.60	13.13	13.52	3764159	151925024.00
2010/03/29	13.68	14.43	13.57	14.30	14138456	599577088.00
2010/03/30	14.29	14.47	14.19	14.44	9780424	418911680.00
2010/03/31	14.26	14.26	13.91	14.01	10089697	423068224.00
2010/04/01	14.00	14.40	14.00	14.15	6264439	265186336.00
2010/04/02	14.26	14.87	14.26	14.76	12931757	563143936.00
2010/04/06	14.92	15.69	14.92	15.41	16379741	747217920.00
2010/04/07	15.55	15.63	15.16	15.41	9157722	416313696.00
2010/04/08	15.22	15.33	14.68	14.69	7463353	331866240.00
2010/04/09	14.69	14.80	14.30	14.76	13431311	583017920.00
2010/04/12	14.86	14.99	14.22	14.41	8449233	362931360.00
2010/04/13	14.26	14.83	14.26	14.80	8208724	356669440.00
2010/04/14	14.85	15.14	14.84	14.94	9283761	412648000.00
2010/04/15	15.07	15.40	14.94	15.22	9195044	413296320.00
2010/04/16	15.15	15.15	14.65	14.73	5541430	243542752.00
2010/04/19	14.38	14.38	13.49	13.54	10622394	439767520.00
2010/04/20	13.57	13.78	12.92	13.34	7521748	302722880.00
2010/04/21	13.46	14.02	13.33	13.95	6671454	273215008.00
2010/04/22	13.69	14.32	13.54	14.04	8069430	336159136.00
2010/04/23	13.94	14.80	13.94	14.18	8142485	348941728.00
2010/04/26	14.30	14.41	13.80	13.92	3996600	167923856.00
2010/04/27	13.87	13.87	13.19	13.30	6986998	280683168.00
2010/04/28	13.13	13.69	12.99	13.47	4165768	168171856.00
2010/04/29	13.61	13.88	13.28	13.29	4782170	195189600.00
2010/04/30	13.34	13.57	12.84	13.15	8227530	323684224.00
2010/05/04	12.76	13.49	12.67	13.17	3975376	158114176.00
2010/05/05	12.88	13.39	12.80	13.37	4714195	185919056.00
2010/05/06	13.20	13.20	11.82	11.85	14363505	540419072.00
2010/05/07	11.53	11.53	10.51	10.77	16391730	553301248.00
2010/05/10	10.80	11.15	10.64	11.05	6841222	231779408.00
2010/05/11	11.51	11.55	10.92	11.03	9725366	338236192.00
2010/05/12	10.80	11.30	10.61	10.84	6105737	205518128.00
2010/05/13	10.94	11.60	10.84	11.55	12848093	447279840.00
2010/05/14	11.34	11.49	11.23	11.46	6634814	231816208.00
2010/05/17	11.19	11.19	10.47	10.49	9491731	318379488.00
2010/05/19	10.84	11.12	10.61	10.95	11068004	374199232.00
2010/05/20	10.74	11.24	10.74	10.87	5702899	194761136.00
2010/05/21	10.42	11.17	10.22	11.04	9567823	319392000.00
2010/05/24	11.19	12.28	11.19	12.01	13859173	500878464.00
2010/05/25	11.75	11.94	11.38	11.55	8970645	319269536.00
2010/05/26	11.51	11.69	11.30	11.43	6887674	242520080.00
2010/05/27	11.48	11.84	11.19	11.80	7242519	257516208.00
2010/05/28	12.11	12.26	11.65	11.81	7898598	286798848.00
2010/05/31	11.51	11.81	11.28	11.29	4971226	175985120.00
2010/06/01	11.18	11.41	10.95	11.20	4239706	145771024.00
2010/06/02	11.20	11.41	11.08	11.39	5117934	177332720.00
2010/06/03	11.52	11.52	11.15	11.15	4250734	148395120.00
2010/06/04	11.15	11.26	10.99	11.17	4425187	151481120.00
2010/06/07	10.87	10.87	10.65	10.74	6606662	220498320.00
2010/06/08	10.75	10.92	10.54	10.84	6921989	230822240.00
2010/06/09	10.88	11.38	10.80	11.36	8362017	286633120.00
2010/06/10	11.29	11.29	11.07	11.10	4810983	160766880.00
2010/06/11	11.30	11.38	11.19	11.29	5120068	173379968.00
2010/06/17	11.45	11.56	11.09	11.13	4230554	142517472.00
2010/06/18	11.13	11.38	10.97	11.16	6784145	227052848.00
2010/06/21	11.15	11.69	10.85	11.62	8200611	280089280.00
2010/06/22	11.60	11.84	11.53	11.75	8157249	285399392.00
2010/06/23	11.61	11.69	11.29	11.49	5320054	182131248.00
2010/06/24	11.45	11.62	11.38	11.52	2576482	88359680.00
2010/06/25	11.39	11.45	11.19	11.34	2617873	88697120.00
2010/06/28	11.34	11.36	10.53	10.95	7843306	255765024.00
2010/06/29	10.84	10.90	10.42	10.45	5524849	176469616.00
2010/06/30	10.33	10.47	10.14	10.33	4808737	149650368.00
2010/07/01	10.23	10.34	9.73	9.84	5059163	153762720.00
2010/07/02	9.68	9.77	9.08	9.64	4924531	142414592.00
2010/07/05	9.24	9.58	9.24	9.44	4696207	135404672.00
2010/07/06	9.36	9.86	9.36	9.79	4767945	141443024.00
2010/07/07	9.76	9.86	9.71	9.84	3629659	108600872.00
2010/07/08	9.92	10.08	9.84	9.85	3267806	98988544.00
2010/07/09	9.84	10.94	9.76	10.92	9392798	297796352.00
2010/07/12	10.80	11.34	10.57	11.01	9727746	322400736.00
2010/07/13	10.88	10.89	10.51	10.70	4649815	149774480.00
2010/07/14	10.65	11.05	10.65	10.79	5590905	183203168.00
2010/07/15	10.77	10.95	10.44	10.45	3651689	117383664.00
2010/07/16	10.27	10.79	10.25	10.75	3503084	111333280.00
2010/07/19	10.61	11.87	10.57	11.71	17582802	603990464.00
2010/07/20	11.69	12.65	11.69	12.26	16300885	589325632.00
2010/07/21	12.14	12.40	11.95	12.10	8000845	288159616.00
2010/07/22	12.14	12.26	11.77	12.18	8892200	318028864.00
2010/07/23	12.22	12.57	11.95	12.14	11237939	407876000.00
2010/07/26	12.29	12.40	11.99	12.25	8669882	313784064.00
2010/07/27	12.15	12.55	12.03	12.30	7180606	261965184.00
2010/07/28	12.15	12.99	12.10	12.78	9365988	348468192.00
2010/07/29	12.79	13.11	12.67	13.02	9783420	371115040.00
2010/07/30	12.92	12.92	12.40	12.60	9292679	346829280.00
2010/08/02	12.60	12.87	12.54	12.85	5877344	220823152.00
2010/08/03	12.95	13.40	12.72	12.73	11262949	433479776.00
2010/08/04	12.69	12.97	12.22	12.60	8609285	319808416.00
2010/08/05	12.64	12.72	12.20	12.32	7773791	285737728.00
2010/08/06	12.35	12.60	12.02	12.59	10580085	385626208.00
2010/08/09	12.50	12.73	12.41	12.73	8850234	328703488.00
2010/08/10	12.72	13.11	12.30	12.31	10143187	379288704.00
2010/08/11	12.20	12.38	12.09	12.30	6387168	231362192.00
2010/08/12	12.11	12.14	11.80	11.82	8092428	287832448.00
