603803 瑞斯康达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/20	16.04	19.34	16.04	19.34	22200	438342.00
2017/04/21	21.32	21.32	21.32	21.32	9670	210226.00
2017/04/24	23.49	23.49	23.49	23.49	15970	381843.00
2017/04/25	25.88	25.88	25.88	25.88	32735	860931.00
2017/04/26	28.51	28.51	28.51	28.51	83513	2416031.00
2017/04/27	31.40	31.40	29.16	31.40	20539132	631743360.00
2017/04/28	33.38	34.58	33.08	34.58	24147498	832294976.00
2017/05/02	33.15	33.36	31.46	32.36	23737601	776815104.00
2017/05/03	32.48	35.64	32.22	35.64	25794087	914041024.00
2017/05/04	34.08	37.44	32.08	36.01	29815973	1040277440.00
2017/05/05	33.98	35.04	32.37	32.37	17994262	610781888.00
2017/05/08	31.18	31.88	29.11	29.43	12391444	383818848.00
2017/05/09	29.13	30.81	29.08	30.07	9306417	284279232.00
2017/05/10	29.88	30.63	27.61	27.81	11004126	325536576.00
2017/05/11	27.34	28.75	26.36	28.21	9728629	269858752.00
2017/05/12	27.90	29.47	27.70	29.12	10461815	304286112.00
2017/05/15	28.66	29.07	28.28	28.35	7766417	225795088.00
2017/05/16	28.08	29.27	26.58	29.08	9178495	263464640.00
2017/05/17	29.03	29.83	28.60	28.63	9042610	266477472.00
2017/05/18	28.09	28.28	26.97	27.06	7749051	217175872.00
2017/05/19	27.18	27.43	26.39	26.62	4837597	131821408.00
2017/05/22	26.45	26.88	24.47	24.96	7570094	196005408.00
2017/05/23	24.59	25.06	23.40	23.44	6349880	155493168.00
2017/05/24	23.56	24.16	23.25	23.97	5229785	126731104.00
2017/05/25	23.86	24.08	22.78	23.75	5887180	140674016.00
2017/05/26	23.81	24.83	23.74	24.39	6761769	167039664.00
2017/05/31	25.57	26.25	24.33	24.39	7791733	200941104.00
2017/06/01	24.03	24.22	22.28	22.38	6034505	143563104.00
2017/06/02	22.26	23.43	21.98	23.24	4334293	100746088.00
2017/06/05	23.58	24.11	23.44	23.51	5258024	127156304.00
2017/06/06	23.35	23.55	23.04	23.45	3555503	84207256.00
2017/06/07	23.25	24.30	23.25	24.18	5988972	146016784.00
2017/06/08	24.08	24.22	23.43	23.71	5286787	128099664.00
2017/06/09	23.57	23.72	23.06	23.51	3048012	72522336.00
2017/06/12	23.08	23.08	22.13	22.24	4392529	100932384.00
2017/06/13	22.20	22.84	22.20	22.74	2817227	64995916.00
2017/06/14	22.59	22.76	22.37	22.50	2230567	51156320.00
2017/06/15	22.65	23.56	22.48	23.52	5817916	137750528.00
2017/06/16	23.45	23.68	23.10	23.24	3197852	75883128.00
