000413 东旭光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	2.70	2.78	2.67	2.74	4269179	39759640.00
2010/01/05	2.74	2.75	2.69	2.71	3468185	32139378.00
2010/01/06	2.71	2.74	2.69	2.69	3295928	30530092.00
2010/01/07	2.69	2.70	2.56	2.58	4700890	42276540.00
2010/01/08	2.58	2.60	2.54	2.60	2527917	22389310.00
2010/01/11	2.62	2.67	2.54	2.66	3553488	31922182.00
2010/01/12	2.66	2.74	2.61	2.74	4444361	40887540.00
2010/01/13	2.70	2.89	2.66	2.83	12986173	123759656.00
2010/01/14	2.79	2.85	2.74	2.81	6131348	58598596.00
2010/01/15	2.81	2.82	2.74	2.76	4043395	38299024.00
2010/01/18	2.75	2.83	2.74	2.82	3730881	35564540.00
2010/01/19	2.84	2.84	2.74	2.75	3595566	34012288.00
2010/01/20	2.76	2.80	2.68	2.80	5710040	53268688.00
2010/01/21	2.80	2.91	2.77	2.88	12681775	122766744.00
2010/01/22	2.85	2.85	2.62	2.71	5567084	51804872.00
2010/01/25	2.66	2.67	2.51	2.52	4248225	37720340.00
2010/01/26	2.52	2.56	2.32	2.35	3071500	25876414.00
2010/01/27	2.37	2.40	2.30	2.32	2002887	16366144.00
2010/01/28	2.32	2.34	2.30	2.33	1849336	15001938.00
2010/01/29	2.32	2.38	2.30	2.33	1566954	12843092.00
2010/02/01	2.33	2.36	2.31	2.33	1868787	15184839.00
2010/02/02	2.36	2.37	2.31	2.32	1466487	11979273.00
2010/02/03	2.32	2.38	2.19	2.38	2697396	21673452.00
2010/02/04	2.36	2.50	2.32	2.48	4073755	34376304.00
2010/02/05	2.39	2.42	2.30	2.35	2543835	20952226.00
2010/02/08	2.35	2.40	2.31	2.36	1932112	15876597.00
2010/02/09	2.32	2.37	2.32	2.34	936142	7658304.00
2010/02/10	2.37	2.37	2.32	2.36	1054524	8607960.00
2010/02/11	2.35	2.39	2.34	2.35	1115575	9159886.00
2010/02/12	2.35	2.39	2.33	2.39	1254008	10362315.00
2010/02/22	2.39	2.41	2.37	2.39	1189562	9888346.00
2010/02/23	2.40	2.40	2.29	2.39	1478766	12122586.00
2010/02/24	2.36	2.45	2.36	2.44	2862442	24048506.00
2010/02/25	2.47	2.49	2.43	2.47	4055639	34608476.00
2010/03/01	2.47	2.59	2.47	2.56	4802574	41933544.00
2010/03/02	2.55	2.64	2.51	2.55	4806045	42298792.00
2010/03/03	2.55	2.60	2.54	2.57	3487871	30953602.00
2010/03/04	2.58	2.62	2.43	2.44	3695600	32340240.00
2010/03/05	2.46	2.48	2.37	2.42	2654767	22258716.00
2010/03/08	2.42	2.51	2.39	2.47	2982099	25458408.00
2010/03/09	2.48	2.51	2.46	2.49	1895040	16303089.00
2010/03/10	2.49	2.60	2.47	2.59	6576586	57777008.00
2010/03/11	2.57	2.61	2.49	2.54	4456337	39136520.00
2010/03/12	2.54	2.55	2.42	2.44	2607685	22237968.00
2010/03/15	2.43	2.48	2.36	2.40	1709878	14204804.00
2010/03/16	2.42	2.44	2.37	2.43	1697206	14169311.00
2010/03/17	2.44	2.50	2.41	2.50	2421594	20732164.00
2010/03/18	2.50	2.57	2.49	2.53	3535422	30818702.00
2010/03/19	2.53	2.56	2.50	2.54	2825175	24681110.00
2010/03/22	2.54	2.61	2.51	2.61	4857654	43150240.00
2010/03/23	2.60	2.60	2.56	2.60	3633362	32254028.00
2010/03/24	2.59	2.61	2.55	2.55	2572231	22757442.00
2010/03/25	2.55	2.65	2.48	2.62	5791570	51188448.00
2010/03/26	2.70	2.73	2.63	2.64	11843420	108762320.00
2010/03/29	2.59	2.66	2.54	2.61	5682012	50485396.00
2010/03/30	2.59	2.65	2.58	2.59	3158289	28351548.00
2010/03/31	2.57	2.66	2.57	2.64	4287297	38804536.00
2010/04/01	2.69	2.69	2.63	2.66	4323442	39377220.00
2010/04/02	2.66	2.79	2.64	2.74	7121679	66246224.00
2010/04/06	2.74	2.75	2.68	2.71	3396847	31451874.00
2010/04/07	2.71	2.84	2.70	2.76	6000876	56792648.00
2010/04/08	2.76	2.81	2.71	2.73	4378276	41187988.00
2010/04/09	2.72	2.76	2.69	2.75	3372911	31448944.00
2010/04/12	2.75	2.87	2.72	2.86	7033673	67356608.00
2010/04/13	2.89	3.18	2.82	3.18	26778528	277471808.00
2010/04/14	3.54	3.54	3.54	3.54	6155092	72322328.00
2010/04/15	3.62	3.91	3.54	3.75	38560694	470759232.00
2010/04/16	3.62	3.67	3.54	3.60	19142974	228730464.00
2010/04/19	3.60	3.60	3.32	3.43	18192668	208219680.00
2010/04/20	3.42	3.52	3.30	3.47	13562339	155249152.00
2010/04/21	3.41	3.75	3.36	3.61	16059929	189431088.00
2010/04/22	3.58	3.72	3.43	3.62	15529117	184075120.00
2010/04/23	3.60	3.91	3.56	3.64	16775919	206765600.00
2010/04/26	3.59	3.67	3.39	3.50	8783692	102953656.00
2010/04/27	3.40	3.49	3.11	3.28	10694241	117432600.00
2010/04/28	3.20	3.26	3.05	3.15	10081892	106494240.00
2010/04/29	3.13	3.20	3.04	3.11	9088750	95666704.00
2010/04/30	3.09	3.09	2.80	2.88	10293334	101867872.00
2010/05/04	2.80	3.01	2.80	2.99	5966776	59863880.00
2010/05/05	2.97	3.16	2.92	3.15	7174319	74191512.00
2010/05/06	3.14	3.14	2.95	2.96	5271174	54481472.00
2010/05/07	2.85	3.10	2.83	3.08	4669743	47388512.00
2010/05/10	3.06	3.25	3.06	3.22	10182830	108894264.00
2010/05/11	3.23	3.25	2.88	3.01	7821407	80436040.00
2010/05/12	3.05	3.19	2.92	3.03	5363186	55418508.00
2010/05/13	2.95	3.00	2.69	2.99	9960746	94992864.00
2010/05/14	2.84	2.97	2.78	2.89	4183381	41103956.00
2010/05/17	2.79	2.84	2.57	2.57	3617530	33524588.00
2010/05/18	2.46	2.68	2.46	2.59	4951031	43998956.00
2010/05/19	2.57	2.60	2.49	2.55	3490531	30574296.00
2010/05/20	2.54	2.60	2.49	2.51	2702504	23726918.00
2010/05/21	2.43	2.53	2.29	2.51	3255792	27425794.00
2010/05/24	2.52	2.70	2.51	2.65	6059024	54361932.00
2010/05/25	2.62	2.62	2.53	2.54	3560708	31633186.00
2010/05/26	2.83	2.83	2.65	2.68	7616243	71082624.00
2010/05/27	2.72	2.76	2.59	2.70	5263658	48283100.00
2010/05/31	2.68	2.87	2.62	2.74	6865527	64580408.00
