000555 神州信息 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	4.36	4.43	4.30	4.30	1757449	15875505.00
2010/01/05	4.30	4.32	4.19	4.26	1937470	17095032.00
2010/01/06	4.26	4.34	4.22	4.24	1262841	11189154.00
2010/01/07	4.22	4.28	4.11	4.18	1508448	13212245.00
2010/01/08	4.18	4.18	4.10	4.18	1094320	9410424.00
2010/01/11	4.18	4.20	4.13	4.17	2364702	20492164.00
2010/01/12	4.15	4.23	4.11	4.22	1519849	13195207.00
2010/01/13	4.15	4.19	4.05	4.06	1839204	15783076.00
2010/01/14	4.17	4.27	4.17	4.27	2741815	24260910.00
2010/01/15	4.38	4.38	4.22	4.25	3356332	29805434.00
2010/01/18	4.23	4.35	4.20	4.33	2267026	20237978.00
2010/01/19	4.34	4.55	4.30	4.49	6871490	63778012.00
2010/01/20	4.48	4.51	4.32	4.36	3740391	34159716.00
2010/01/21	4.37	4.42	4.29	4.36	1848075	16708577.00
2010/01/22	4.30	4.38	4.20	4.32	2244188	20049108.00
2010/01/25	4.32	4.33	4.16	4.17	1571840	13883257.00
2010/01/26	4.17	4.24	3.99	4.01	1259300	10667788.00
2010/01/27	4.03	4.07	3.92	4.00	1038976	8659211.00
2010/01/28	4.05	4.10	3.94	4.07	914560	7699324.50
2010/01/29	4.07	4.28	4.04	4.28	3657925	32292138.00
2010/02/01	4.26	4.50	4.26	4.47	5558348	50947556.00
2010/02/02	4.48	4.48	4.32	4.35	2268779	20616006.00
2010/02/03	4.34	4.39	4.19	4.38	1449093	12905994.00
2010/02/04	4.37	4.38	4.28	4.34	997779	8989986.00
2010/02/05	4.29	4.48	4.25	4.35	2069104	18867818.00
2010/02/08	4.34	4.41	4.29	4.36	844967	7607965.00
2010/02/09	4.34	4.38	4.31	4.33	596910	5367826.50
2010/02/10	4.34	4.55	4.34	4.53	4170524	38772496.00
2010/02/11	4.50	4.67	4.47	4.54	3714104	35247168.00
2010/02/12	4.52	4.71	4.48	4.61	1948527	18583624.00
2010/02/22	4.61	4.66	4.49	4.50	2025837	19151032.00
2010/02/23	4.51	4.60	4.49	4.56	1524836	14326696.00
2010/02/24	4.55	4.61	4.53	4.61	1210450	11478666.00
2010/02/25	4.58	4.74	4.56	4.66	2439457	23604958.00
2010/02/26	4.66	4.90	4.63	4.90	4397511	44300956.00
2010/03/01	4.92	5.16	4.91	5.16	3946064	41703008.00
2010/03/02	5.25	5.34	5.04	5.24	5780632	62142240.00
2010/03/03	5.20	5.51	5.14	5.51	4359201	49023796.00
2010/03/04	5.51	5.75	5.22	5.22	5864965	65774112.00
2010/03/05	5.23	5.41	5.20	5.31	2462595	26966252.00
2010/03/08	5.22	5.53	5.22	5.51	2075921	23298930.00
2010/03/09	5.58	5.72	5.42	5.61	2439363	28012974.00
2010/03/10	5.61	5.84	5.54	5.84	2923563	34461608.00
2010/03/11	5.83	6.08	5.77	6.07	4198356	51364332.00
2010/03/12	6.03	6.23	5.76	5.76	7952683	97507424.00
2010/03/15	5.59	5.87	5.59	5.76	2980547	35217572.00
2010/03/16	5.81	5.86	5.69	5.69	1736735	20614470.00
2010/03/17	5.70	5.78	5.54	5.70	2755636	32181742.00
2010/03/18	5.70	5.91	5.70	5.81	2110686	25245140.00
2010/03/19	5.78	6.11	5.78	6.11	4691454	58089880.00
2010/03/22	6.14	6.29	5.91	6.11	4652430	57916548.00
2010/03/23	6.10	6.10	5.89	5.95	2438056	29904966.00
2010/03/24	5.92	6.07	5.74	5.79	3613098	43370628.00
2010/03/25	5.81	5.87	5.65	5.75	2465884	29055730.00
2010/03/26	5.75	5.85	5.72	5.82	1427708	17013384.00
2010/03/29	5.82	5.83	5.52	5.64	3717387	43131060.00
2010/03/30	5.63	5.63	5.44	5.55	2971653	33832248.00
2010/03/31	5.56	5.72	5.52	5.66	2165626	25216692.00
2010/04/01	5.66	5.79	5.57	5.71	2323249	27176340.00
2010/04/02	5.64	5.79	5.64	5.74	1812867	21380228.00
2010/04/07	5.78	5.97	5.78	5.89	2892032	35041972.00
2010/04/08	5.90	5.93	5.68	5.69	2367891	28058840.00
2010/04/09	5.65	5.76	5.62	5.72	2059170	24078284.00
2010/04/12	5.72	5.84	5.71	5.84	1822627	21613602.00
2010/04/13	5.88	5.97	5.60	5.80	2877416	34585568.00
2010/04/14	5.80	5.86	5.68	5.72	1637338	19252806.00
2010/04/15	5.69	5.75	5.51	5.54	2317041	26663716.00
2010/04/16	5.53	5.65	5.53	5.61	1043217	12011738.00
2010/04/19	5.59	5.63	5.38	5.39	1426324	16191744.00
2010/04/20	5.39	5.46	5.22	5.30	1430560	15557796.00
2010/04/21	5.29	5.58	5.22	5.58	2280640	25821550.00
2010/04/22	5.60	5.85	5.55	5.78	3086383	36691896.00
2010/04/23	5.72	6.04	5.72	5.78	2840244	34442592.00
2010/04/26	5.78	5.91	5.63	5.65	1665121	19745934.00
2010/04/27	5.64	5.77	5.39	5.44	1558026	17785534.00
2010/04/28	5.53	5.61	5.44	5.59	1141374	12981011.00
2010/04/29	5.59	5.59	5.34	5.36	922729	10431261.00
2010/04/30	5.39	5.41	5.09	5.10	1523650	16333345.00
2010/05/04	5.04	5.23	4.88	5.11	581758	6096448.50
2010/05/05	5.10	5.37	5.06	5.37	730785	7831950.00
2010/05/06	5.39	5.47	5.19	5.29	1165717	12939184.00
2010/05/07	5.18	5.38	5.15	5.28	754540	8190181.50
2010/05/10	5.29	5.33	5.01	5.11	1395287	14703150.00
2010/05/11	5.17	5.24	4.89	4.91	673110	7050316.50
2010/05/12	4.89	4.91	4.66	4.66	1803689	17672310.00
2010/05/13	4.66	4.71	4.42	4.61	1612464	15152485.00
2010/05/14	4.58	4.73	4.44	4.65	861085	8263052.50
2010/05/17	4.61	4.61	4.41	4.41	821500	7613517.50
2010/05/18	4.40	4.40	4.18	4.25	1523122	13302547.00
2010/05/19	4.24	4.28	4.09	4.11	1241251	10815853.00
2010/05/20	4.04	4.16	3.99	4.00	1306384	11001864.00
2010/05/21	3.88	4.09	3.79	4.05	1846810	14987861.00
2010/05/24	4.04	4.26	4.04	4.26	1767604	15557144.00
2010/05/26	4.09	4.32	4.09	4.27	752345	6650124.50
2010/05/27	4.24	4.49	4.22	4.49	1364712	12579869.00
2010/05/28	4.57	4.73	4.54	4.73	2310520	22424398.00
2010/05/31	4.70	4.87	4.60	4.69	2034449	20155700.00
2010/06/01	4.68	4.68	4.45	4.51	1686928	15851101.00
2010/06/02	4.45	4.54	4.36	4.53	780533	7242261.50
2010/06/03	4.54	4.77	4.49	4.72	1664043	16134734.00
2010/06/04	4.72	4.77	4.67	4.74	644383	6285195.00
2010/06/07	4.64	4.73	4.49	4.53	930067	8831625.00
2010/06/08	4.45	4.74	4.45	4.69	862040	8285856.00
2010/06/09	4.69	4.89	4.69	4.85	1569742	15686184.00
2010/06/10	4.84	4.93	4.81	4.84	1124761	11289129.00
2010/06/11	4.93	4.93	4.68	4.73	1797181	17717488.00
2010/06/17	4.73	4.78	4.67	4.67	710749	6940689.00
2010/06/18	4.68	4.68	4.43	4.43	1284356	11981048.00
2010/06/21	4.43	4.60	4.40	4.57	1005666	9388281.00
2010/06/22	4.63	4.67	4.55	4.58	619992	5933432.00
2010/06/23	4.60	4.64	4.55	4.60	307045	2917212.50
2010/06/24	4.58	4.64	4.55	4.58	309326	2943753.75
2010/06/25	4.55	4.60	4.48	4.52	402152	3762430.50
2010/06/28	4.49	4.57	4.42	4.45	420600	3896092.00
2010/06/30	4.22	4.22	4.22	4.22	355800	3120366.00
2010/07/01	4.04	4.18	4.00	4.00	1051290	8847487.00
2010/07/02	4.00	4.03	3.82	3.95	699993	5714732.00
2010/07/05	3.94	3.94	3.79	3.90	586393	4705006.50
2010/07/06	3.89	4.10	3.89	4.10	783697	6578085.50
2010/07/07	4.11	4.31	4.11	4.16	708148	6170713.00
2010/07/08	4.18	4.18	4.01	4.05	479000	4070962.00
2010/07/09	4.05	4.26	4.05	4.18	649171	5654437.50
2010/07/12	4.19	4.36	4.19	4.28	669971	5977431.50
