000768 中航飞机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	14.78	15.06	14.63	14.75	26657591	411997952.00
2010/01/05	14.76	14.94	14.46	14.78	30075376	460534240.00
2010/01/06	14.70	15.58	14.62	15.04	60817507	961727680.00
2010/01/07	14.98	14.98	14.50	14.56	33940707	521624768.00
2010/01/08	14.48	14.67	14.11	14.47	27077273	406364768.00
2010/01/11	14.67	14.71	14.28	14.37	21530285	324372256.00
2010/01/12	14.48	14.68	14.36	14.59	21170020	320765792.00
2010/01/13	14.32	14.65	14.18	14.41	26700953	400289472.00
2010/01/14	14.41	14.63	14.32	14.57	26399047	398153920.00
2010/01/15	14.77	14.77	14.53	14.58	22726675	346760256.00
2010/01/18	14.58	14.97	14.54	14.94	34413491	529513600.00
2010/01/19	14.94	15.08	14.73	14.79	23847413	368854080.00
2010/01/20	14.77	14.78	14.08	14.17	31980556	481145184.00
2010/01/21	14.19	14.33	13.99	14.10	16554354	244161744.00
2010/01/22	14.00	14.00	13.38	13.56	23357968	332854368.00
2010/01/25	13.53	13.78	13.38	13.55	12945491	184083424.00
2010/01/26	13.63	13.68	12.65	12.80	18164300	248564256.00
2010/01/27	13.00	13.38	12.98	12.98	18618487	257168976.00
2010/01/28	12.98	13.15	12.69	12.98	10132521	137333296.00
2010/01/29	12.98	13.21	12.83	13.13	11480211	157372752.00
2010/02/01	13.19	13.37	12.99	13.12	12047860	166034480.00
2010/02/02	13.26	13.26	12.78	12.80	11004577	150407056.00
2010/02/03	12.81	12.93	12.19	12.92	16117143	212643536.00
2010/02/04	12.83	12.98	12.68	12.80	14265431	191514720.00
2010/02/05	12.46	12.58	12.32	12.44	15311302	199929296.00
2010/02/08	12.44	12.53	12.26	12.29	8336580	108031992.00
2010/02/09	12.29	12.44	12.28	12.33	5529514	71661224.00
2010/02/10	12.40	12.82	12.39	12.72	12105891	160146576.00
2010/02/11	12.72	12.80	12.55	12.64	7829606	104074640.00
2010/02/12	12.67	12.88	12.64	12.84	6610961	88754368.00
2010/02/22	12.83	13.08	12.68	12.88	10280005	139378384.00
2010/02/23	12.78	13.03	12.58	12.91	10378979	139339136.00
2010/02/24	12.87	13.07	12.71	13.05	10891824	147580224.00
2010/02/25	13.06	13.28	12.98	13.17	13930543	191891216.00
2010/02/26	13.18	14.55	13.08	14.36	56233419	821779584.00
2010/03/01	14.32	14.56	14.08	14.37	38517867	577405440.00
2010/03/02	14.38	14.67	14.00	14.41	37033983	553641600.00
2010/03/03	14.33	14.66	14.17	14.49	33969739	511214176.00
2010/03/04	14.50	14.78	13.91	13.98	42968611	646652992.00
2010/03/05	13.91	14.16	13.44	13.64	23304467	335544576.00
2010/03/08	13.64	13.87	13.56	13.70	13576943	194225776.00
2010/03/09	13.70	13.70	13.44	13.58	12671619	179568160.00
2010/03/10	13.63	13.70	13.34	13.39	11903955	167869440.00
2010/03/11	13.38	13.50	13.18	13.25	11195545	155880096.00
2010/03/12	13.24	13.51	13.13	13.23	12128024	169031840.00
2010/03/15	13.21	13.28	12.88	13.01	10978752	149698976.00
2010/03/16	13.01	13.12	12.88	13.06	7852457	107012184.00
2010/03/17	13.17	13.58	13.10	13.55	13768072	192409056.00
