000938 紫光股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	7.15	7.56	7.02	7.29	13697453	208350096.00
2010/01/05	7.26	7.45	7.19	7.26	10282780	157250016.00
2010/01/06	7.21	7.65	7.21	7.45	11545178	179550960.00
2010/01/07	7.41	7.51	7.01	7.07	11447274	173610448.00
2010/01/08	7.06	7.82	7.01	7.82	15328072	237199024.00
2010/01/11	7.95	8.46	7.83	8.06	20318403	344969536.00
2010/01/12	8.05	8.43	7.97	8.15	12658413	215499264.00
2010/01/13	8.03	8.43	7.98	8.26	11908556	203789232.00
2010/01/14	8.32	8.64	8.17	8.26	13800221	239369280.00
2010/01/15	8.23	8.23	7.93	8.08	10419087	175116720.00
2010/01/18	8.12	8.41	8.07	8.37	9228486	158321856.00
2010/01/19	8.35	8.37	8.11	8.16	6266779	106690712.00
2010/01/20	8.23	8.23	7.42	7.51	10588597	172072416.00
2010/01/21	7.47	7.64	7.32	7.44	7449272	116715824.00
2010/01/22	7.29	7.49	7.08	7.36	7000551	106993616.00
2010/01/25	7.31	7.58	7.31	7.32	5390069	84060848.00
2010/01/26	7.31	7.38	6.90	7.06	5773800	86298432.00
2010/01/27	7.06	7.31	7.04	7.10	5176774	77915992.00
2010/01/28	7.11	7.39	7.06	7.31	5512174	83948128.00
2010/01/29	7.24	7.46	7.21	7.27	6119659	94264512.00
2010/02/01	7.20	7.59	7.19	7.49	10182183	157880272.00
2010/02/02	7.51	7.72	7.41	7.55	7931353	124912552.00
2010/02/03	7.57	7.61	7.05	7.44	7082142	108764872.00
2010/02/04	7.43	7.67	7.29	7.50	8389279	131933336.00
2010/02/05	7.21	7.36	7.06	7.29	7318490	110773144.00
2010/02/09	7.17	7.33	7.11	7.18	4788985	72347496.00
2010/02/10	7.26	7.26	7.15	7.21	2514789	37929272.00
2010/02/11	7.21	7.29	7.13	7.17	2307363	34821964.00
2010/02/12	7.16	7.41	7.16	7.26	3429149	52310720.00
2010/02/22	7.26	7.51	7.23	7.39	5207383	80500048.00
2010/02/23	7.40	7.61	7.31	7.59	6191357	96683304.00
2010/02/24	7.53	7.71	7.49	7.68	6059584	96330992.00
2010/02/25	7.68	7.74	7.60	7.69	5323919	85230400.00
2010/02/26	7.68	7.77	7.62	7.65	5263698	84623120.00
2010/03/01	7.62	7.83	7.60	7.72	5378476	86864624.00
2010/03/02	7.72	7.89	7.69	7.74	5906168	95972680.00
2010/03/03	7.76	7.92	7.67	7.92	6003779	97754608.00
2010/03/04	7.92	7.97	7.44	7.49	6768919	108762688.00
2010/03/05	7.49	7.58	7.31	7.38	4392010	68395280.00
2010/03/08	7.39	7.57	7.36	7.48	2784105	43400972.00
2010/03/09	7.44	7.50	7.32	7.41	2777719	43027876.00
2010/03/10	7.42	7.54	7.21	7.24	4938489	75819168.00
2010/03/11	7.27	7.29	7.06	7.19	3464686	52040360.00
2010/03/12	7.21	7.29	7.10	7.11	2884411	43460756.00
