002079 苏州固锝 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	3.57	3.58	3.46	3.52	6511220	57388120.00
2010/01/05	3.52	3.66	3.51	3.58	9417635	83911608.00
2010/01/06	3.60	3.60	3.48	3.48	6262042	55253332.00
2010/01/07	3.46	3.48	3.34	3.36	6610987	56154600.00
2010/01/08	3.32	3.56	3.31	3.55	7787403	67160680.00
2010/01/11	3.60	3.93	3.53	3.93	21311684	200706800.00
2010/01/12	4.00	4.06	3.83	3.88	23420935	229780976.00
2010/01/13	3.79	4.11	3.79	3.99	17009191	168659536.00
2010/01/14	3.97	4.08	3.94	4.00	11260434	111953784.00
2010/01/15	4.01	4.12	3.96	3.99	6591611	65545804.00
2010/01/18	3.97	4.06	3.84	4.04	8301637	81276472.00
2010/01/19	4.06	4.11	3.99	4.03	7938956	79623528.00
2010/01/20	4.02	4.02	3.66	3.71	8426918	80743200.00
2010/01/21	3.72	3.81	3.66	3.76	5260235	48573264.00
2010/01/22	3.70	3.70	3.48	3.60	5419294	48530280.00
2010/01/25	3.51	3.72	3.51	3.58	3461151	31339648.00
2010/01/26	3.58	3.65	3.38	3.42	4973900	42982316.00
2010/01/27	3.44	3.49	3.35	3.40	3319466	28377406.00
2010/01/28	3.44	3.56	3.38	3.53	4076514	35645992.00
2010/01/29	3.47	3.63	3.44	3.56	3427730	30559626.00
2010/02/01	3.53	3.53	3.39	3.44	2881670	24750142.00
2010/02/02	3.49	3.56	3.44	3.46	3038624	26551580.00
2010/02/03	3.49	3.53	3.29	3.53	3775972	32340694.00
2010/02/04	3.50	3.64	3.47	3.58	4499205	40122252.00
2010/02/05	3.50	3.71	3.40	3.67	5766209	52074136.00
2010/02/08	3.66	3.69	3.58	3.62	2930455	26503724.00
2010/02/09	3.60	3.64	3.55	3.61	2333513	20849134.00
2010/02/10	3.63	3.66	3.57	3.63	2106218	18935388.00
2010/02/11	3.61	3.64	3.54	3.55	1934583	17232216.00
2010/02/12	3.56	3.58	3.53	3.55	1708341	15123693.00
2010/02/22	3.51	3.56	3.51	3.54	2041295	17991368.00
2010/02/23	3.53	3.63	3.41	3.62	3735537	32637466.00
2010/02/24	3.58	3.72	3.55	3.71	5632464	51463492.00
2010/02/25	3.70	3.76	3.68	3.74	4705190	43527972.00
2010/02/26	3.73	3.74	3.70	3.70	3987246	36849896.00
2010/03/01	3.69	3.80	3.69	3.78	4655373	43516752.00
2010/03/02	3.79	3.86	3.75	3.77	5317762	50224812.00
2010/03/03	3.77	3.88	3.71	3.86	5930293	56247712.00
2010/03/04	3.87	3.91	3.64	3.67	6806828	63245556.00
2010/03/05	3.67	3.72	3.64	3.68	2705939	24752900.00
2010/03/08	3.68	3.74	3.68	3.70	2277160	21000324.00
2010/03/09	3.70	3.72	3.61	3.70	3463347	31560856.00
2010/03/10	3.68	3.71	3.61	3.61	2934629	26656984.00
2010/03/11	3.59	3.64	3.55	3.60	2170576	19432550.00
2010/03/12	3.60	3.63	3.53	3.53	2217032	19755962.00
2010/03/15	3.49	3.55	3.44	3.46	1839709	15956527.00
2010/03/16	3.47	3.52	3.45	3.52	1581083	13734865.00
2010/03/17	3.52	3.67	3.52	3.64	4187365	37720728.00
2010/03/18	3.67	3.76	3.67	3.70	5347948	49333016.00
2010/03/19	3.70	3.77	3.67	3.75	4660643	43231204.00
2010/03/22	3.75	3.85	3.72	3.82	5765304	54271116.00
2010/03/23	3.82	3.82	3.73	3.75	3867128	36097060.00
2010/03/24	3.72	3.80	3.68	3.79	5771313	53527472.00
2010/03/25	3.81	3.87	3.69	3.71	7845358	74002864.00
2010/03/26	3.80	4.02	3.77	3.94	17721015	171694832.00
