002129 中环股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	2.65	2.72	2.64	2.64	11445534	105597864.00
2010/01/05	2.64	2.71	2.59	2.68	12643384	116425664.00
2010/01/06	2.67	2.70	2.64	2.65	7123743	65432924.00
2010/01/07	2.65	2.72	2.60	2.64	13058028	120600800.00
2010/01/08	2.62	2.67	2.55	2.62	7379517	66294116.00
2010/01/11	2.62	2.89	2.59	2.89	25266788	239840800.00
2010/01/12	2.83	2.95	2.81	2.91	22654923	223822096.00
2010/01/13	2.83	3.00	2.83	2.97	19611435	197813216.00
2010/01/14	3.01	3.19	3.01	3.07	31348812	334324000.00
2010/01/15	3.04	3.10	2.97	3.08	15497224	161062112.00
2010/01/18	3.08	3.20	3.03	3.17	17417845	187456256.00
2010/01/19	3.20	3.21	3.07	3.10	14616508	155859136.00
2010/01/20	3.10	3.10	2.84	2.90	13095566	133749312.00
2010/01/21	2.88	2.95	2.82	2.89	9029388	89203328.00
2010/01/22	2.85	2.86	2.71	2.78	10674391	102178144.00
2010/01/25	2.75	2.81	2.73	2.74	4703041	44789944.00
2010/01/26	2.75	2.81	2.61	2.68	5992300	56053672.00
2010/01/27	2.67	2.70	2.58	2.63	5073616	46179920.00
2010/01/28	2.63	2.78	2.60	2.77	7468870	69799088.00
2010/01/29	2.76	2.83	2.72	2.74	6187586	58842248.00
2010/02/01	2.71	2.74	2.58	2.63	4403322	40047448.00
2010/02/02	2.64	2.76	2.63	2.67	6616053	61575044.00
2010/02/03	2.67	2.91	2.65	2.86	9255122	88341248.00
2010/02/04	2.84	2.95	2.81	2.85	7712001	76490184.00
2010/02/05	2.79	2.97	2.76	2.88	8728053	86374736.00
2010/02/08	2.87	2.93	2.76	2.79	5783346	56219940.00
2010/02/09	2.77	2.83	2.66	2.71	5131905	48359852.00
2010/02/10	2.73	2.79	2.69	2.79	4482080	42276248.00
2010/02/11	2.80	2.87	2.77	2.84	5116131	49867780.00
2010/02/12	2.82	2.94	2.82	2.90	4058978	40287208.00
2010/02/22	2.88	2.96	2.84	2.92	4344614	43566304.00
2010/02/23	2.92	2.94	2.82	2.91	3555689	35166840.00
2010/02/24	2.91	3.06	2.87	3.04	8243836	84754584.00
2010/02/25	3.05	3.10	3.01	3.06	8477336	88532408.00
2010/02/26	3.05	3.19	3.01	3.14	11848928	126587368.00
2010/03/01	3.14	3.19	3.09	3.17	9169598	98833520.00
2010/03/02	3.18	3.29	3.15	3.25	11963809	132624224.00
2010/03/03	3.33	3.39	3.22	3.28	16336319	184693056.00
2010/03/04	3.24	3.35	3.11	3.12	10571423	116057664.00
2010/03/05	3.12	3.21	3.11	3.15	5645058	61152228.00
2010/03/08	3.18	3.26	3.13	3.23	6371632	69825792.00
2010/03/09	3.23	3.37	3.16	3.34	10545951	119383872.00
2010/03/10	3.34	3.40	3.27	3.31	8768743	99718832.00
2010/03/11	3.30	3.35	3.20	3.26	6692904	74677176.00
2010/03/12	3.23	3.26	3.12	3.24	6781720	73921648.00
2010/03/15	3.24	3.24	3.13	3.21	4180275	45651556.00
2010/03/16	3.16	3.32	3.16	3.31	5079932	56358304.00
2010/03/17	3.30	3.48	3.29	3.46	12293891	142904720.00
2010/03/18	3.45	3.51	3.40	3.46	5991646	70885848.00
2010/03/19	3.49	3.66	3.47	3.57	11706123	142911504.00
2010/03/22	3.58	3.62	3.49	3.56	7741113	93795448.00
2010/03/23	3.54	3.64	3.49	3.52	6184171	75199624.00
2010/03/24	3.53	3.56	3.45	3.51	6375921	76484232.00
2010/03/25	3.51	3.58	3.49	3.53	6607764	79548472.00
2010/03/26	3.53	3.59	3.50	3.56	5542341	67123728.00
2010/03/29	3.56	3.63	3.47	3.62	8276973	100586576.00
2010/03/30	3.64	3.72	3.61	3.65	5712859	71452800.00
2010/04/01	3.66	3.77	3.64	3.65	8427644	106062280.00
2010/04/02	3.67	3.74	3.62	3.70	4655908	58428484.00
2010/04/06	3.71	3.87	3.71	3.85	9829341	127737440.00
2010/04/08	3.85	3.90	3.77	3.89	5123183	67207848.00
2010/04/09	3.88	3.91	3.83	3.89	4873612	64143292.00
2010/04/12	3.88	3.95	3.79	3.81	6654061	86956672.00
2010/04/13	3.78	3.86	3.59	3.69	8217203	103608848.00
2010/04/14	3.69	3.77	3.65	3.73	3857989	48636228.00
2010/04/15	3.73	3.87	3.70	3.84	7151744	92948712.00
2010/04/16	3.81	3.97	3.79	3.88	5659443	74979472.00
2010/04/19	3.82	3.94	3.75	3.80	6946189	91163000.00
2010/04/20	3.80	3.95	3.73	3.94	8445354	110887416.00
2010/04/21	3.96	4.15	3.96	4.12	10726761	148875328.00
2010/04/22	4.12	4.18	4.04	4.12	8640738	120835896.00
2010/04/23	4.11	4.17	3.91	3.95	6340634	86542640.00
2010/04/26	4.01	4.12	3.96	3.97	5024665	68965592.00
2010/04/27	3.98	4.06	3.83	3.90	4353326	57694968.00
2010/04/28	3.88	4.01	3.85	4.00	4273054	57382564.00
2010/04/30	3.77	3.83	3.59	3.78	15399195	192965056.00
2010/05/04	3.71	3.83	3.59	3.78	5055498	63940904.00
2010/05/05	3.72	3.85	3.69	3.85	4894870	63109692.00
2010/05/06	3.86	3.97	3.78	3.85	6599683	87183744.00
2010/05/07	3.82	3.91	3.67	3.86	5289774	68878168.00
2010/05/10	3.93	3.94	3.71	3.91	6114454	79600200.00
2010/05/11	3.94	3.94	3.53	3.63	6480205	82324624.00
2010/05/12	3.58	3.58	3.27	3.37	4654350	54398392.00
2010/05/13	3.34	3.61	3.31	3.61	5029812	59389388.00
2010/05/14	3.61	3.89	3.58	3.81	7781141	99942312.00
2010/05/17	3.76	3.80	3.62	3.70	4761260	59924092.00
2010/05/18	3.67	3.75	3.58	3.66	3925184	49088536.00
2010/05/19	3.68	3.72	3.62	3.66	3716596	46352552.00
2010/05/20	3.61	3.72	3.42	3.46	5021386	60950868.00
2010/05/21	3.36	3.70	3.27	3.70	5691517	69246800.00
2010/05/24	3.70	3.87	3.70	3.84	6964753	90357376.00
2010/05/25	3.83	3.91	3.73	3.77	4352360	56800708.00
2010/05/26	3.74	3.84	3.73	3.78	3056065	39338192.00
2010/05/27	3.78	3.93	3.74	3.91	6166387	80832656.00
2010/05/28	3.96	3.96	3.80	3.84	4905970	64615972.00
2010/05/31	3.83	3.86	3.67	3.71	4358753	55893824.00
2010/06/01	3.61	3.72	3.47	3.61	3098293	38183308.00
2010/06/02	3.55	3.69	3.55	3.68	2131201	26432618.00
2010/06/03	3.72	3.73	3.52	3.52	3540541	44031660.00
2010/06/04	3.50	3.59	3.47	3.59	3004374	36358424.00
2010/06/08	3.60	3.67	3.51	3.55	3098516	38030660.00
2010/06/09	3.61	3.71	3.59	3.70	3593020	44723892.00
2010/06/10	3.70	3.84	3.66	3.78	5727520	73828344.00
2010/06/11	3.78	3.84	3.72	3.74	3763641	48211760.00
2010/06/17	3.76	3.83	3.74	3.75	1991436	25678362.00
2010/06/18	3.73	3.79	3.48	3.49	3747170	45672520.00
2010/06/21	3.50	3.61	3.47	3.61	1955619	23727064.00
2010/06/22	3.62	3.62	3.55	3.60	1503242	18372492.00
2010/06/23	3.58	3.60	3.47	3.52	1908004	22953390.00
2010/06/24	3.50	3.57	3.48	3.55	1257215	15116453.00
2010/06/25	3.53	3.55	3.47	3.50	1165401	13953260.00
2010/06/28	3.51	3.51	3.19	3.30	3245874	36959520.00
2010/06/29	3.30	3.32	3.19	3.22	3239206	35993688.00
2010/06/30	3.18	3.25	3.14	3.22	2276140	24943570.00
2010/07/01	3.21	3.31	3.19	3.27	1615843	18038072.00
2010/07/02	3.26	3.34	3.12	3.23	3603156	39605348.00
2010/07/05	3.22	3.22	3.15	3.22	898798	9850663.00
2010/07/06	3.17	3.30	3.17	3.30	983577	10962022.00
2010/07/07	3.31	3.34	3.27	3.32	1172138	13273302.00
2010/07/08	3.36	3.37	3.24	3.27	964186	10876523.00
2010/07/09	3.34	3.52	3.32	3.45	4530278	53018072.00
2010/07/12	3.49	3.61	3.47	3.55	2696610	32798464.00
2010/07/13	3.55	3.59	3.49	3.56	2497016	30248546.00
2010/07/14	3.54	3.63	3.54	3.61	3181437	38801732.00
2010/07/15	3.55	3.61	3.47	3.51	2354604	28502886.00
2010/07/16	3.47	3.59	3.47	3.59	2019627	24362870.00
2010/07/19	3.58	3.71	3.56	3.70	4095522	51268804.00
2010/07/20	3.82	3.91	3.76	3.81	9056266	118008456.00
2010/07/21	3.84	3.89	3.76	3.78	5236348	68052480.00
2010/07/22	3.79	3.88	3.75	3.82	4906231	63896664.00
2010/07/23	3.82	3.90	3.77	3.89	4978292	65051152.00
2010/07/26	3.89	3.96	3.87	3.93	5418633	72314368.00
2010/07/27	3.97	3.98	3.91	3.93	5124399	68704016.00
2010/07/28	3.91	4.06	3.87	4.00	5776524	78028552.00
2010/07/29	4.00	4.03	3.94	3.97	3301858	44623792.00
2010/07/30	3.97	4.00	3.87	3.96	2928363	39072832.00
2010/08/02	3.93	4.02	3.93	4.00	2973315	40304076.00
2010/08/03	4.01	4.03	3.90	3.90	2850421	38399828.00
2010/08/05	3.94	4.20	3.91	4.17	6855759	94856104.00
2010/08/06	4.15	4.27	4.09	4.26	4491214	63813696.00
2010/08/09	4.27	4.31	4.18	4.27	4458029	64043908.00
2010/08/10	4.25	4.26	4.09	4.18	4216270	59647772.00
2010/08/11	4.17	4.31	4.13	4.31	4017050	57736844.00
2010/08/12	4.28	4.42	4.15	4.23	5186198	76175928.00
2010/08/13	4.19	4.43	4.19	4.41	3894615	57295892.00
2010/08/16	4.41	4.47	4.37	4.44	6150937	92060032.00
2010/08/17	4.46	4.64	4.46	4.60	7378648	114249304.00
2010/08/18	4.60	4.61	4.53	4.59	3349883	51780916.00
2010/08/19	4.57	4.60	4.44	4.53	4103465	62833488.00
2010/08/20	4.47	4.59	4.42	4.52	3764188	57244408.00
2010/08/23	4.52	4.61	4.44	4.56	3913882	60105700.00
2010/08/24	4.60	4.65	4.52	4.56	3027977	47058904.00
2010/08/25	4.56	4.56	4.34	4.40	4800889	71888400.00
2010/08/26	4.37	4.43	4.34	4.41	3371900	50136348.00
2010/08/27	4.41	4.59	4.41	4.58	4253415	65133740.00
2010/08/30	4.59	4.79	4.55	4.70	4375703	69401664.00
2010/08/31	4.66	4.86	4.66	4.77	5052603	81477400.00
2010/09/01	4.81	4.82	4.52	4.64	5425516	85150784.00
2010/09/02	4.67	4.74	4.58	4.67	3313763	52249412.00
2010/09/03	4.72	4.91	4.67	4.88	6599603	107960600.00
2010/09/06	4.91	4.91	4.71	4.78	3464118	56248248.00
2010/09/07	4.79	4.79	4.65	4.74	2568018	40798836.00
2010/09/08	4.69	4.84	4.69	4.78	2597745	41948488.00
2010/09/09	4.74	4.93	4.74	4.86	7083297	116514440.00
2010/09/10	4.84	4.90	4.75	4.84	2325501	37790004.00
2010/09/13	4.84	4.99	4.79	4.91	3644064	60525412.00
2010/09/14	4.91	5.18	4.89	5.11	8347288	142910272.00
2010/09/15	5.09	5.09	4.87	4.92	5254276	88595248.00
2010/09/16	4.92	5.02	4.73	4.88	3736057	60811504.00
2010/09/17	4.88	4.98	4.81	4.96	2451605	40615516.00
2010/09/20	4.96	5.00	4.76	4.85	2082179	34051892.00
2010/09/21	4.85	4.92	4.77	4.91	4840445	78984192.00
2010/09/27	4.91	4.97	4.82	4.93	2942496	48713376.00
2010/09/28	4.91	4.99	4.87	4.94	2559339	42698232.00
2010/09/29	4.91	4.94	4.70	4.80	3417869	55461464.00
2010/09/30	4.79	4.79	4.55	4.74	5853385	92546784.00
2010/10/08	4.74	4.82	4.71	4.71	4634007	74447552.00
2010/10/11	4.70	4.76	4.58	4.70	4626097	72921024.00
2010/10/12	4.68	4.88	4.64	4.87	3961551	64307228.00
2010/10/13	4.87	4.92	4.47	4.62	9616836	150435168.00
2010/10/14	4.57	4.63	4.43	4.59	6620332	101284688.00
2010/10/15	4.57	4.75	4.53	4.73	6410115	101189656.00
2010/10/18	4.75	4.78	4.42	4.58	5182821	79689736.00
2010/10/19	4.57	4.71	4.55	4.67	2642554	41627492.00
2010/10/20	4.58	4.77	4.52	4.65	6612742	103997624.00
2010/10/21	4.70	5.09	4.70	5.01	10999360	182370704.00
2010/10/22	4.99	5.11	4.88	5.09	7467794	126418792.00
2010/10/25	5.11	5.32	5.10	5.17	6660943	116772384.00
2010/10/26	5.13	5.15	5.03	5.11	5115112	87693104.00
2010/10/27	5.08	5.20	5.03	5.09	4334936	74897136.00
2010/10/28	5.09	5.12	4.97	5.09	2784486	47448172.00
2010/10/29	5.14	5.33	5.14	5.29	6419185	114150704.00
2010/11/01	5.36	5.56	5.28	5.51	6536372	120231496.00
2010/11/02	5.54	5.62	5.44	5.58	6343940	118986096.00
2010/11/03	5.48	5.84	5.47	5.63	6167426	118171712.00
2010/11/04	5.61	5.82	5.54	5.80	3965479	75863048.00
2010/11/05	5.80	6.17	5.68	6.09	6031952	120235176.00
2010/11/08	6.03	6.51	6.03	6.36	7277514	154183920.00
2010/11/09	6.37	6.61	6.24	6.40	7813336	168300496.00
2010/11/10	6.55	7.00	6.40	6.87	12552905	282917536.00
2010/11/11	6.89	7.36	6.56	6.58	13290277	310259552.00
2010/11/12	6.50	6.78	6.21	6.49	14538990	315907264.00
2010/11/15	6.50	6.97	6.50	6.94	8629576	196450896.00
2010/11/16	6.97	7.26	6.61	6.70	8741148	204233056.00
2010/11/17	6.55	6.79	6.13	6.49	7116538	153385360.00
2010/11/18	6.51	6.63	6.31	6.61	5977025	130778000.00
2010/11/19	6.63	7.15	6.55	7.09	12165143	283880288.00
2010/11/22	7.06	7.62	7.01	7.38	12463968	310061248.00
2010/11/23	7.31	7.32	6.95	7.14	4710094	112584304.00
2010/11/24	7.12	7.62	7.06	7.56	4967010	124242152.00
2010/11/25	7.63	7.81	7.16	7.46	6308323	157588240.00
2010/11/26	7.46	7.48	7.14	7.40	3930278	96135368.00
2010/11/29	7.25	7.40	6.97	7.32	5467276	131712576.00
2010/11/30	7.24	7.26	6.79	7.12	4989918	117537192.00
2010/12/01	6.98	7.21	6.95	7.15	2255239	53744928.00
2010/12/02	7.15	7.37	6.97	7.09	3313194	80434400.00
2010/12/03	7.06	7.43	7.06	7.21	4645631	113741808.00
2010/12/06	7.15	7.26	6.82	6.91	2699590	63166880.00
2010/12/07	6.87	6.97	6.66	6.81	2506972	56826500.00
2010/12/08	6.81	6.90	6.75	6.85	1640534	37574560.00
2010/12/09	6.76	7.01	6.68	6.90	1878115	43141436.00
2010/12/10	6.91	7.61	6.91	7.60	17035662	430044032.00
2010/12/13	7.58	8.26	7.46	8.09	15769154	415471264.00
2010/12/14	8.06	8.35	7.94	8.13	6527911	178073712.00
2010/12/15	8.13	8.36	7.97	8.23	3797384	104516464.00
2010/12/16	8.12	8.32	8.11	8.13	2023269	55443412.00
2010/12/17	8.12	8.15	7.83	8.13	2844418	76347752.00
2010/12/20	8.11	8.37	7.91	8.21	4591578	126139160.00
2010/12/21	8.18	8.65	8.13	8.61	4886539	139135840.00
2010/12/22	8.57	8.72	8.31	8.42	2657059	75206864.00
2010/12/24	8.21	8.21	7.61	7.71	4036603	106916560.00
2010/12/27	7.76	8.11	7.66	7.76	3925910	104238336.00
2010/12/28	7.46	7.64	7.15	7.60	3454050	86295832.00
2010/12/29	7.52	7.88	7.52	7.86	2051406	53298444.00
2010/12/30	7.88	8.06	7.73	8.00	1739015	46150896.00
2010/12/31	7.94	8.57	7.94	8.34	3098645	86298360.00
