002142 宁波银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	8.80	8.83	8.26	8.32	22072077	376458048.00
2010/01/05	8.35	8.55	8.04	8.34	23000142	386890816.00
2010/01/06	8.26	8.28	8.03	8.10	21490123	356479616.00
2010/01/07	8.10	8.18	7.80	7.83	16397428	266957632.00
2010/01/08	7.79	8.03	7.67	8.01	18428296	297532736.00
2010/01/11	8.37	8.46	7.60	7.77	23134662	377202784.00
2010/01/12	7.77	7.77	7.21	7.64	32076922	499756800.00
2010/01/13	7.30	7.45	6.98	7.03	40777782	615953984.00
2010/01/14	7.03	7.23	6.86	7.18	26507515	396759488.00
2010/01/15	7.19	7.42	7.05	7.36	18660016	285303872.00
2010/01/18	7.35	7.35	7.04	7.19	19008061	287379808.00
2010/01/19	7.23	7.55	7.23	7.37	19826071	307001184.00
2010/01/20	7.40	7.43	7.01	7.08	15356275	232007824.00
2010/01/21	7.14	7.30	7.10	7.24	14452200	219030000.00
2010/01/22	7.12	8.21	7.05	7.86	51451957	820786304.00
2010/01/25	7.59	7.75	7.43	7.51	29689191	468023488.00
2010/01/26	7.51	8.04	7.37	7.75	49694800	793262592.00
2010/01/27	7.74	7.79	7.37	7.47	28337128	444862304.00
2010/01/28	7.36	7.43	7.12	7.21	24087114	365535840.00
2010/01/29	7.12	7.37	7.10	7.11	19213217	291120992.00
2010/02/01	7.11	7.11	6.67	6.76	17844972	259377088.00
2010/02/02	6.83	7.09	6.73	6.76	13332517	195881824.00
2010/02/03	6.73	7.21	6.57	7.13	23291641	344300832.00
2010/02/04	6.98	7.20	6.92	6.99	16614597	247684416.00
2010/02/05	6.79	7.34	6.73	7.08	19518808	291389248.00
2010/02/08	7.10	7.14	6.85	6.98	8147932	120690400.00
2010/02/09	6.96	7.27	6.87	7.19	12234450	183876864.00
2010/02/10	7.27	7.38	7.21	7.35	11618593	177744272.00
2010/02/11	7.35	7.35	7.21	7.23	6456384	98310280.00
2010/02/12	7.27	7.36	7.23	7.27	6497371	99268192.00
2010/02/22	7.16	7.23	7.08	7.10	7000972	105416680.00
2010/02/23	7.08	7.14	6.85	7.06	7042370	104433008.00
2010/02/24	6.98	7.19	6.95	7.18	11191485	167801136.00
2010/02/25	7.18	7.49	7.16	7.37	19612402	302713600.00
2010/02/26	7.34	7.40	7.23	7.30	17158221	262015792.00
2010/03/01	7.30	7.69	7.27	7.66	27213244	427471520.00
2010/03/02	7.69	7.72	7.57	7.71	17794472	282019872.00
2010/03/03	7.71	7.74	7.54	7.74	12675793	200566224.00
2010/03/04	7.72	7.80	7.40	7.42	17059804	268603104.00
2010/03/05	7.42	7.56	7.29	7.34	10384092	160863472.00
2010/03/08	7.35	7.52	7.23	7.41	8586215	132713896.00
2010/03/09	7.37	7.70	7.29	7.58	14654035	229866432.00
2010/03/10	7.53	7.78	7.51	7.69	19378422	308055840.00
2010/03/11	7.70	7.94	7.66	7.73	23369178	376000160.00
2010/03/12	7.69	7.80	7.40	7.40	12575637	197006880.00
2010/03/15	7.41	7.46	7.23	7.24	6756826	103456288.00
2010/03/16	7.23	7.43	7.18	7.41	5815076	88954880.00
2010/03/17	7.39	7.56	7.28	7.55	10153325	157636560.00
2010/03/18	7.60	7.66	7.48	7.52	8048536	126377536.00
2010/03/19	7.49	7.65	7.46	7.62	7490087	117544552.00
2010/03/22	7.69	7.80	7.63	7.69	11208177	178790976.00
2010/03/23	7.70	7.75	7.53	7.56	6684017	105465168.00
2010/03/24	7.60	7.72	7.48	7.49	10034809	157918448.00
2010/03/25	7.48	7.48	7.24	7.28	10127234	155403392.00
2010/03/26	7.30	7.74	7.26	7.52	12987849	203702304.00
2010/03/29	7.55	7.98	7.55	7.89	37141867	598581632.00
