002236 大华股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/04	1.15	1.27	1.14	1.26	1610219	121641816.00
2010/01/05	1.24	1.24	1.20	1.21	930771	69730920.00
2010/01/06	1.20	1.23	1.17	1.21	842300	62404228.00
2010/01/07	1.20	1.21	1.14	1.15	763956	55754596.00
2010/01/08	1.14	1.17	1.12	1.16	432892	31388450.00
2010/01/11	1.15	1.20	1.11	1.20	954890	69527392.00
2010/01/12	1.19	1.30	1.19	1.24	1250713	95276672.00
2010/01/13	1.20	1.27	1.19	1.21	631941	47520536.00
2010/01/14	1.24	1.25	1.20	1.23	581386	43873584.00
2010/01/15	1.23	1.26	1.17	1.19	888421	66460528.00
2010/01/18	1.18	1.18	1.15	1.18	879268	63832432.00
2010/01/19	1.18	1.24	1.16	1.23	1068795	79328880.00
2010/01/20	1.23	1.23	1.07	1.14	1290087	93203808.00
2010/01/21	1.14	1.17	1.11	1.16	509205	36538828.00
2010/01/22	1.13	1.13	1.05	1.11	521956	36286816.00
2010/01/25	1.07	1.09	1.05	1.07	369857	25477664.00
2010/01/26	1.07	1.09	1.00	1.05	560700	37986448.00
2010/01/27	1.05	1.07	1.03	1.04	298469	20365010.00
2010/01/28	1.04	1.06	1.01	1.05	344258	23279562.00
2010/01/29	1.04	1.11	1.03	1.09	441308	30590204.00
2010/02/01	1.07	1.07	1.02	1.04	266592	18126472.00
2010/02/02	1.05	1.08	1.01	1.03	353296	24036724.00
2010/02/03	1.03	1.04	0.98	1.03	432802	28877398.00
2010/02/04	1.02	1.06	1.02	1.04	291927	19892398.00
2010/02/05	1.00	1.06	1.00	1.03	386776	26274382.00
2010/02/08	1.03	1.04	1.01	1.04	137064	9215593.00
2010/02/09	1.01	1.06	1.01	1.04	145522	9854955.00
2010/02/10	1.06	1.12	1.05	1.10	377119	26215720.00
2010/02/11	1.10	1.11	1.07	1.09	184537	12894682.00
2010/02/12	1.09	1.15	1.09	1.15	381006	27290714.00
2010/02/22	1.10	1.14	1.10	1.12	179060	12761260.00
2010/02/23	1.12	1.12	1.07	1.09	229645	16031281.00
2010/02/24	1.09	1.23	1.09	1.19	488724	35972076.00
2010/02/25	1.21	1.28	1.19	1.27	770159	58458676.00
2010/02/26	1.27	1.31	1.25	1.28	649020	50441788.00
2010/03/01	1.28	1.30	1.24	1.27	341500	26498462.00
2010/03/02	1.29	1.32	1.26	1.30	582923	45504448.00
2010/03/03	1.32	1.32	1.26	1.28	422777	32791792.00
2010/03/04	1.28	1.29	1.22	1.23	546728	41754544.00
2010/03/05	1.25	1.29	1.22	1.29	544240	41707520.00
2010/03/08	1.29	1.29	1.26	1.27	529397	40782856.00
2010/03/09	1.27	1.32	1.26	1.30	465135	36211480.00
2010/03/10	1.29	1.33	1.29	1.31	945077	74122752.00
2010/03/11	1.31	1.31	1.22	1.28	712640	54570268.00
2010/03/12	1.26	1.30	1.24	1.28	461545	35653044.00
2010/03/15	1.28	1.29	1.26	1.28	312840	24166940.00
2010/03/16	1.28	1.33	1.24	1.27	1119897	87217336.00
2010/03/17	1.27	1.46	1.27	1.42	2717892	221935520.00
2010/03/18	1.40	1.40	1.31	1.31	2030592	161455232.00
2010/03/19	1.31	1.33	1.27	1.30	1091061	85621288.00
2010/03/22	1.28	1.31	1.27	1.31	524177	40817252.00
2010/03/23	1.31	1.35	1.31	1.34	686027	54555192.00
2010/03/24	1.34	1.45	1.34	1.42	1649579	136328144.00
2010/03/25	1.43	1.45	1.40	1.45	1165941	97457464.00
2010/03/26	1.42	1.44	1.37	1.42	733875	60469812.00
2010/03/29	1.43	1.44	1.34	1.39	1059501	86186664.00
2010/03/30	1.38	1.43	1.38	1.40	534227	44156228.00
2010/03/31	1.39	1.47	1.38	1.47	1115313	93323272.00
2010/04/01	1.48	1.61	1.48	1.53	1490210	131412744.00
2010/04/02	1.50	1.55	1.50	1.51	658951	57368220.00
2010/04/06	1.51	1.61	1.50	1.59	802337	71367288.00
2010/04/07	1.60	1.60	1.55	1.59	653113	58335764.00
2010/04/08	1.56	1.64	1.56	1.56	917028	82601336.00
2010/04/09	1.54	1.62	1.52	1.62	955269	85285560.00
2010/04/12	1.63	1.68	1.61	1.66	1040355	95862176.00
2010/04/13	1.66	1.66	1.44	1.49	1257730	110418544.00
2010/04/14	1.48	1.55	1.48	1.51	676919	58755504.00
2010/04/15	1.49	1.53	1.38	1.39	1051184	87669504.00
2010/04/16	1.39	1.45	1.38	1.43	871320	71831664.00
2010/04/19	1.41	1.48	1.40	1.43	884385	74284888.00
2010/04/20	1.43	1.46	1.33	1.46	632749	52179236.00
2010/04/21	1.44	1.53	1.44	1.52	936288	80952952.00
2010/04/23	1.56	1.62	1.49	1.49	1044233	92251368.00
2010/04/26	1.48	1.49	1.41	1.44	629577	53301252.00
2010/04/27	1.44	1.44	1.35	1.41	632836	51797544.00
2010/04/28	1.40	1.41	1.34	1.40	489364	40021740.00
2010/04/29	1.43	1.44	1.33	1.33	570671	46770320.00
2010/04/30	1.33	1.34	1.22	1.33	710862	54517576.00
2010/05/04	1.28	1.43	1.25	1.38	549645	44626612.00
2010/05/05	1.37	1.43	1.34	1.42	822149	67590368.00
2010/05/06	1.42	1.44	1.32	1.32	1139513	93983416.00
2010/05/07	1.24	1.37	1.22	1.33	1133437	44125300.00
2010/05/10	1.31	1.35	1.17	1.20	1040038	38887880.00
2010/05/11	1.25	1.25	1.06	1.08	1553857	54913032.00
2010/05/12	1.07	1.12	1.02	1.10	1187682	40597092.00
2010/05/13	1.10	1.27	1.08	1.27	3201148	120036064.00
2010/05/14	1.25	1.35	1.20	1.28	3230537	124103536.00
2010/05/17	1.25	1.28	1.19	1.20	1087077	40866280.00
2010/05/18	1.19	1.22	1.09	1.19	1416237	51423228.00
2010/05/19	1.19	1.28	1.18	1.26	1285530	48481272.00
2010/05/20	1.21	1.30	1.21	1.27	1401686	53685928.00
2010/05/21	1.23	1.43	1.22	1.42	2671275	105766456.00
2010/05/24	1.42	1.49	1.39	1.46	3871912	162371024.00
2010/05/25	1.46	1.46	1.38	1.42	1243613	51358640.00
2010/05/26	1.43	1.52	1.42	1.52	2287936	97075568.00
2010/05/27	1.53	1.53	1.48	1.52	2581690	111147016.00
2010/05/28	1.51	1.53	1.44	1.47	2314253	97753928.00
2010/05/31	1.47	1.50	1.40	1.47	2068752	87432008.00
2010/06/01	1.43	1.57	1.41	1.54	3486884	150678816.00
2010/06/02	1.56	1.66	1.52	1.58	2950032	132018744.00
2010/06/03	1.56	1.67	1.52	1.60	2788073	125135720.00
2010/06/04	1.58	1.70	1.56	1.64	1884071	85980608.00
2010/06/07	1.60	1.67	1.53	1.60	2697042	122070760.00
2010/06/08	1.60	1.64	1.54	1.57	1703494	75774864.00
2010/06/09	1.57	1.67	1.57	1.66	2202010	100534448.00
2010/06/11	1.66	1.70	1.61	1.63	1130478	51836920.00
2010/06/17	1.64	1.66	1.53	1.53	1102141	49229516.00
2010/06/21	1.45	1.48	1.36	1.45	1755098	72525168.00
2010/06/22	1.41	1.52	1.41	1.46	907354	38432780.00
2010/06/23	1.45	1.59	1.45	1.54	2376937	103742720.00
2010/06/24	1.56	1.67	1.54	1.66	2070842	93909808.00
2010/06/25	1.65	1.69	1.59	1.65	1154759	52718952.00
2010/06/28	1.63	1.67	1.58	1.59	1157737	52532824.00
2010/06/29	1.63	1.63	1.45	1.55	1489215	64229336.00
2010/06/30	1.49	1.63	1.46	1.62	1065241	46667324.00
2010/07/01	1.61	1.72	1.58	1.65	1248081	57621444.00
2010/07/02	1.63	1.67	1.56	1.67	2235528	101422112.00
2010/07/05	1.65	1.79	1.62	1.79	3247132	155020288.00
2010/07/06	1.77	1.89	1.74	1.89	2656591	131898368.00
2010/07/07	1.91	1.92	1.83	1.89	1279391	64342564.00
2010/07/08	1.89	2.14	1.86	2.09	2442989	130076456.00
2010/07/09	2.06	2.13	2.02	2.09	1945621	106073088.00
2010/07/12	2.16	2.18	1.95	1.98	3415128	181827552.00
2010/07/13	1.94	2.08	1.92	2.08	2594738	139449568.00
2010/07/14	2.08	2.10	2.00	2.02	1146588	61479824.00
2010/07/15	2.02	2.05	1.98	2.01	717276	38251964.00
2010/07/16	2.05	2.13	1.99	2.08	2060522	111853400.00
2010/07/19	2.04	2.16	2.04	2.12	1480126	81678200.00
2010/07/20	2.13	2.23	2.08	2.17	1245998	69729936.00
2010/07/21	2.19	2.35	2.11	2.16	2262464	128496520.00
2010/07/22	2.13	2.21	2.04	2.15	1778737	97290144.00
2010/07/23	2.15	2.17	2.11	2.15	765271	42528872.00
2010/07/26	2.15	2.17	2.09	2.15	801212	44565036.00
2010/07/27	2.16	2.18	2.12	2.18	912587	51014664.00
2010/07/28	2.18	2.20	2.12	2.20	1118555	62837000.00
2010/07/29	2.20	2.23	2.17	2.22	793656	45139684.00
2010/07/30	2.22	2.45	2.22	2.38	1798516	107331240.00
2010/08/02	2.42	2.44	2.32	2.42	1352355	81649296.00
2010/08/03	2.42	2.42	2.36	2.36	712279	43127896.00
2010/08/04	2.36	2.43	2.33	2.43	1020705	61594588.00
2010/08/05	2.43	2.48	2.38	2.43	667552	40832172.00
2010/08/06	2.43	2.57	2.41	2.56	1188907	74840776.00
2010/08/09	2.54	2.61	2.53	2.59	950183	60933492.00
2010/08/10	2.59	2.66	2.54	2.61	822770	53328744.00
2010/08/11	2.60	2.80	2.56	2.80	1128830	75906568.00
2010/08/12	2.76	2.90	2.75	2.85	1325110	92496152.00
2010/08/13	2.84	2.88	2.77	2.87	709309	49344492.00
2010/08/16	2.88	2.90	2.81	2.86	1359873	94965208.00
2010/08/17	2.86	2.93	2.81	2.82	1255932	87886096.00
2010/08/18	2.80	2.80	2.63	2.64	2758460	183974672.00
2010/08/19	2.62	2.81	2.62	2.80	1965945	132638896.00
2010/08/20	2.82	2.85	2.65	2.70	1364499	92307832.00
2010/08/23	2.66	2.73	2.57	2.68	849736	56148844.00
2010/08/24	2.68	2.87	2.63	2.81	1363838	94193864.00
2010/08/25	2.80	3.00	2.78	2.93	1615926	115473200.00
2010/08/26	2.92	3.25	2.91	3.19	1608520	119943960.00
2010/08/27	3.21	3.25	3.09	3.16	1264990	96081040.00
2010/08/30	3.16	3.34	3.12	3.32	1138599	88967752.00
2010/08/31	3.31	3.34	3.18	3.31	869491	68217736.00
2010/09/01	3.31	3.40	3.11	3.19	1554593	120446408.00
2010/09/02	3.21	3.25	3.14	3.21	1389849	105865504.00
2010/09/03	3.16	3.22	3.11	3.21	912418	69612912.00
2010/09/06	3.21	3.21	2.96	3.10	1145276	84694840.00
2010/09/08	3.13	3.18	3.04	3.10	888408	66689828.00
2010/09/09	3.10	3.16	3.10	3.11	584539	43889728.00
2010/09/10	3.11	3.12	3.01	3.12	713088	52901516.00
2010/09/13	3.12	3.33	3.11	3.31	1045389	81895104.00
2010/09/14	3.31	3.41	3.31	3.35	868011	69386064.00
2010/09/15	3.36	3.41	3.26	3.31	766131	61195140.00
2010/09/16	3.30	3.33	3.12	3.16	779167	59887520.00
2010/09/17	3.13	3.23	3.07	3.17	649052	49189996.00
2010/09/20	3.18	3.18	3.00	3.08	648657	48118900.00
2010/09/21	3.08	3.08	2.96	3.04	492002	36046832.00
2010/09/27	3.09	3.13	2.97	3.11	434010	32015560.00
2010/09/28	3.11	3.23	3.07	3.22	611393	46439436.00
2010/09/29	3.24	3.31	3.08	3.19	803989	61152932.00
2010/09/30	3.19	3.24	3.08	3.23	652965	49753060.00
2010/10/08	3.22	3.26	3.15	3.19	755118	57775476.00
2010/10/11	3.19	3.22	2.80	2.92	3320035	234760640.00
2010/10/12	2.91	2.91	2.70	2.74	1620329	110691352.00
2010/10/13	2.70	2.85	2.70	2.85	1097618	75573184.00
2010/10/14	2.84	2.85	2.50	2.56	2289936	149661888.00
2010/10/15	2.52	2.69	2.38	2.68	1987974	128455288.00
2010/10/18	2.61	2.77	2.52	2.76	1878848	123014952.00
2010/10/19	2.85	2.89	2.77	2.85	2439330	170627968.00
2010/10/20	2.79	2.95	2.77	2.92	1584957	111740032.00
2010/10/21	2.93	2.98	2.87	2.91	1146891	81422008.00
2010/10/22	2.86	3.01	2.86	2.99	873880	62796300.00
2010/10/25	2.99	3.15	2.99	3.15	1663691	124367872.00
2010/10/26	3.17	3.18	2.96	3.06	712477	52977384.00
2010/10/27	3.06	3.16	2.97	3.09	866923	65014048.00
2010/10/28	3.09	3.36	3.09	3.31	2903999	228492864.00
2010/10/29	3.36	3.66	3.31	3.52	3677435	306057536.00
2010/11/01	3.52	3.56	3.41	3.51	1466327	120933000.00
2010/11/02	3.44	3.52	3.42	3.43	748556	61630000.00
2010/11/03	3.41	3.50	3.33	3.38	768356	62200944.00
2010/11/04	3.41	3.50	3.38	3.47	598694	48970940.00
2010/11/05	3.46	3.61	3.40	3.52	1228204	102330992.00
2010/11/08	3.52	3.56	3.38	3.48	1144489	93852616.00
2010/11/10	3.42	3.86	3.37	3.76	1544874	133135080.00
2010/11/11	3.72	4.01	3.71	3.78	1150607	103809144.00
2010/11/12	3.77	4.03	3.71	3.79	1254378	112007240.00
2010/11/15	3.79	4.14	3.79	4.12	1197176	112244616.00
2010/11/16	4.09	4.26	3.92	3.98	2158292	202470800.00
2010/11/17	3.91	4.10	3.57	3.80	1255078	111953384.00
2010/11/18	3.81	3.96	3.76	3.92	521122	46945392.00
2010/11/19	3.96	4.11	3.87	4.11	1029054	96481584.00
2010/11/22	4.11	4.19	3.85	3.90	2300946	213174976.00
2010/11/23	3.90	3.96	3.76	3.87	517043	46434720.00
2010/11/24	3.84	3.92	3.72	3.91	1223652	108970552.00
2010/11/25	3.91	3.94	3.79	3.85	586952	52611416.00
2010/11/26	3.78	3.83	3.68	3.76	1120345	98747016.00
2010/11/29	3.76	3.91	3.60	3.71	1741435	152245680.00
2010/11/30	3.66	3.89	3.63	3.85	1309641	115081192.00
2010/12/01	3.85	3.88	3.72	3.81	313842	27846868.00
