002396 星网锐捷 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/06/23	9.01	9.37	8.37	9.22	29970866	889962496.00
2010/06/24	9.10	9.65	8.90	9.01	18768917	586089216.00
2010/06/25	8.67	8.84	8.01	8.18	11715211	336522016.00
2010/06/28	8.05	8.46	8.02	8.21	5944464	167640384.00
2010/06/29	8.14	8.26	7.54	7.55	6475165	173824240.00
2010/06/30	7.53	7.94	7.45	7.79	5280004	141140928.00
2010/07/01	7.72	7.81	7.55	7.65	3729054	98303360.00
2010/07/02	7.69	7.79	6.92	7.18	5663134	143006720.00
2010/07/05	6.94	7.12	6.84	7.00	2427393	59090864.00
2010/07/06	6.98	7.26	6.98	7.15	3578327	88769896.00
2010/07/07	7.11	7.30	7.05	7.30	3017927	75158784.00
2010/07/08	7.33	7.36	7.07	7.20	3140754	78344480.00
2010/07/09	7.21	7.45	7.11	7.42	3593819	91114040.00
2010/07/12	7.34	7.57	7.34	7.48	2855834	73472120.00
2010/07/13	7.44	7.70	7.38	7.65	3749093	97928288.00
2010/07/14	7.66	7.77	7.55	7.66	3115929	82205312.00
2010/07/15	7.58	7.66	7.14	7.15	3802613	97348704.00
2010/07/16	7.11	7.20	6.93	7.13	2199281	53847292.00
2010/07/19	6.98	7.30	6.98	7.27	1670698	41554644.00
2010/07/20	7.26	7.54	7.26	7.50	2450315	62888296.00
2010/07/21	7.50	7.62	7.44	7.47	2465864	63987108.00
2010/07/22	7.47	7.69	7.42	7.66	2915564	76201320.00
2010/07/23	7.64	7.72	7.51	7.64	2423143	63418416.00
2010/07/26	7.62	7.92	7.58	7.89	3667518	97518936.00
2010/07/27	7.84	8.15	7.78	8.04	4577664	125322160.00
2010/07/28	8.03	8.21	7.96	8.17	4167151	115148896.00
2010/07/29	8.17	8.25	7.96	8.15	3033342	84036056.00
2010/07/30	8.10	8.24	7.84	7.90	3372043	91819056.00
2010/08/03	8.07	8.17	7.90	7.90	4253535	116793088.00
2010/08/04	7.87	8.34	7.86	8.34	4427160	122644616.00
2010/08/05	8.50	8.50	8.21	8.35	3539424	100490784.00
2010/08/06	8.29	8.70	8.21	8.56	3938152	113462504.00
2010/08/09	8.54	8.78	8.46	8.64	3269265	95643248.00
2010/08/10	8.69	8.69	8.23	8.24	3226057	92395976.00
2010/08/11	8.25	8.37	8.15	8.24	2249425	63235860.00
2010/08/12	8.17	8.24	7.93	7.97	3209404	88550936.00
2010/08/13	7.98	8.18	7.94	8.16	2573830	70937184.00
2010/08/16	8.14	8.53	8.08	8.51	4102007	116019072.00
2010/08/17	8.50	8.52	8.35	8.40	3210508	91747128.00
2010/08/18	8.43	8.61	8.34	8.48	4593472	132506056.00
2010/08/19	8.41	8.60	8.37	8.47	3187654	91903296.00
2010/08/20	8.44	8.46	7.97	8.05	2710749	75724880.00
2010/08/23	8.09	8.17	7.93	8.05	1998848	54977572.00
2010/08/24	8.05	8.54	7.99	8.52	4307381	122106272.00
2010/08/25	8.40	8.50	8.32	8.40	2964818	84806384.00
2010/08/26	8.39	8.97	8.39	8.69	5499973	162862224.00
2010/08/27	8.62	8.82	8.49	8.71	3036670	89075144.00
2010/08/30	8.74	8.91	8.68	8.83	2977820	88719648.00
2010/08/31	8.76	9.17	8.74	9.09	4211130	128360920.00
2010/09/01	9.09	9.13	8.77	8.93	4076024	122989128.00
2010/09/02	8.97	9.04	8.79	8.94	3505221	105279272.00
2010/09/03	8.97	9.02	8.70	8.85	2584591	77206416.00
2010/09/06	8.90	8.91	8.57	8.67	1717067	50628436.00
2010/09/07	8.61	8.80	8.57	8.79	1326469	39083068.00
2010/09/08	8.82	8.82	8.60	8.69	1490839	43813252.00
2010/09/09	8.73	8.94	8.54	8.54	2359176	69809848.00
2010/09/10	8.59	8.69	8.34	8.67	1814055	52618228.00
2010/09/13	8.61	9.09	8.61	8.96	3111285	93650000.00
2010/09/14	8.97	9.01	8.77	8.84	1978052	59370012.00
2010/09/15	8.85	9.17	8.85	9.01	3626472	110581832.00
2010/09/16	8.97	9.06	8.50	8.63	1996468	58991516.00
2010/09/17	8.58	8.79	8.38	8.67	1511451	44165128.00
2010/09/20	8.60	8.67	8.21	8.21	1089752	31132604.00
2010/09/21	8.19	8.46	8.19	8.36	1102873	31236394.00
2010/09/27	8.29	8.31	8.07	8.24	4566810	127531888.00
2010/09/28	8.21	8.50	8.20	8.25	1632661	46367620.00
2010/09/29	8.26	8.26	7.85	7.87	1698814	46617616.00
2010/09/30	7.92	8.22	7.87	8.21	1471142	40763676.00
2010/10/08	8.28	8.42	8.27	8.36	2504906	71051920.00
2010/10/11	8.37	8.56	8.27	8.43	2485353	71176312.00
2010/10/12	8.43	8.76	8.36	8.70	1973711	57482960.00
2010/10/13	8.60	8.83	8.44	8.62	1876525	54864292.00
2010/10/14	8.70	8.71	8.14	8.19	1717781	48807356.00
2010/10/15	8.14	8.29	7.87	8.02	2058968	56937436.00
2010/10/18	7.91	7.97	7.45	7.72	2370871	61922384.00
2010/10/19	7.70	8.07	7.64	7.98	1730673	47068384.00
2010/10/20	8.21	8.77	8.14	8.59	4339586	125517408.00
2010/10/21	8.51	8.88	8.47	8.75	3104810	91148960.00
2010/10/22	8.78	9.10	8.74	8.74	3030241	91250528.00
2010/10/25	8.87	9.61	8.87	9.49	4348587	136599168.00
2010/10/26	9.47	10.14	9.31	9.83	5427567	177869232.00
2010/10/27	9.71	10.01	9.54	9.62	3448934	113117536.00
2010/10/28	9.56	10.66	9.56	10.28	3776555	128099256.00
2010/10/29	10.50	10.54	10.11	10.33	2142739	73628392.00
2010/11/01	10.42	11.17	10.42	10.78	2672240	96289456.00
2010/11/02	11.05	11.26	10.68	10.81	3714879	134523008.00
2010/11/03	10.83	10.83	10.34	10.36	2903817	101512880.00
2010/11/04	10.37	10.82	10.37	10.82	2475350	87229096.00
2010/11/05	10.91	11.47	10.83	11.32	2875953	106736160.00
2010/11/08	11.51	11.77	11.15	11.61	2545969	95947464.00
2010/11/09	11.48	11.66	11.10	11.17	3202240	119631464.00
2010/11/10	11.21	11.67	11.19	11.51	2054409	77664816.00
2010/11/11	11.47	11.77	11.28	11.54	2586798	98818608.00
2010/11/12	11.46	12.00	10.87	11.04	3419633	128324216.00
2010/11/15	11.25	11.94	11.25	11.84	2691110	103451544.00
2010/11/16	11.91	12.14	11.38	11.78	2656557	103000968.00
2010/11/17	11.57	11.74	10.71	10.84	2105254	78223136.00
2010/11/18	11.01	11.20	10.94	11.09	1847837	67630648.00
2010/11/19	11.12	12.32	11.12	12.32	2759728	106793320.00
2010/11/22	12.87	13.64	12.48	13.50	3844664	163668192.00
2010/11/23	13.21	13.77	13.09	13.57	1856591	81210160.00
2010/11/24	13.56	14.13	13.38	13.88	1156642	51975908.00
2010/11/25	13.91	14.60	13.32	13.51	1968713	88367816.00
2010/11/26	13.54	14.23	13.19	13.84	1570248	70563040.00
2010/11/29	13.67	14.60	13.63	14.43	1612742	74093256.00
2010/11/30	14.47	14.89	13.21	14.08	2831395	127971016.00
2010/12/01	14.13	14.13	13.48	13.57	2023376	90136312.00
2010/12/02	13.69	13.81	13.17	13.37	2207424	95953064.00
2010/12/03	13.32	13.49	12.87	13.15	1508114	64507612.00
2010/12/06	13.22	13.42	12.54	12.85	1193150	50845200.00
2010/12/08	13.24	14.17	13.24	13.97	3507837	156251232.00
2010/12/09	13.74	13.94	13.32	13.33	2014147	89623296.00
2010/12/10	13.27	14.04	13.17	13.81	1275423	56879468.00
2010/12/13	13.97	15.04	13.97	14.89	2073437	98183160.00
2010/12/14	14.79	15.20	14.17	14.94	1523280	73236800.00
2010/12/15	14.93	14.93	14.51	14.55	1365649	64758956.00
2010/12/16	14.55	15.41	14.51	15.01	1627403	79113520.00
2010/12/17	15.04	15.09	14.58	14.79	1308384	62280416.00
2010/12/20	14.84	14.84	13.50	14.14	3572728	162160048.00
2010/12/21	14.15	14.15	13.77	13.89	1413913	63811704.00
2010/12/22	13.87	14.30	13.61	13.83	1186926	53774828.00
2010/12/23	13.83	13.91	12.97	13.00	1890838	82284856.00
2010/12/24	12.94	12.98	12.34	12.55	1862119	76975408.00
2010/12/27	12.66	13.01	12.14	12.14	1572989	64909244.00
2010/12/28	12.11	12.44	11.95	12.17	1148178	45971804.00
2010/12/29	12.18	12.87	12.18	12.83	1411994	58074108.00
2010/12/30	12.84	13.00	12.62	12.88	1277012	53556548.00
2010/12/31	12.89	13.05	12.85	12.94	1035172	43660596.00
2011/01/04	12.99	13.25	12.78	13.21	1901606	80335952.00
2011/01/05	13.13	13.13	12.69	12.74	1410447	59300140.00
2011/01/06	12.75	12.79	12.27	12.36	1332393	54269988.00
2011/01/07	12.32	12.51	12.07	12.14	1231690	49422148.00
2011/01/10	12.19	12.71	11.76	11.87	2238613	90264920.00
2011/01/11	11.74	11.74	11.21	11.66	1171249	44312208.00
2011/01/12	11.67	12.04	11.58	11.99	1008928	39177424.00
2011/01/13	12.14	12.46	11.82	11.84	1174937	46784568.00
2011/01/14	11.84	11.84	11.04	11.04	1861205	69153144.00
2011/01/17	10.88	11.32	10.88	11.14	1133637	41663368.00
2011/01/18	11.10	11.15	10.87	11.01	640499	23272860.00
2011/01/19	10.96	11.50	10.96	11.50	1073308	40094168.00
2011/01/20	11.50	11.50	10.94	10.98	1120323	41470984.00
2011/01/21	10.88	11.32	10.87	11.17	691902	25442090.00
2011/01/24	11.21	11.29	10.61	10.62	1144617	41578672.00
2011/01/25	10.69	10.81	10.54	10.74	546171	19304770.00
2011/01/26	10.71	11.11	10.71	11.03	840683	30619324.00
2011/01/27	10.97	11.54	10.77	11.49	1372773	51026956.00
2011/01/28	11.48	11.65	11.18	11.36	901547	33684632.00
2011/01/31	11.33	11.46	11.08	11.39	842423	31330336.00
2011/02/01	11.31	11.43	11.13	11.20	709048	26237198.00
2011/02/09	11.47	12.44	11.47	12.44	4870833	194701504.00
2011/02/10	12.04	12.87	11.94	12.84	3702447	151029552.00
2011/02/11	12.74	13.14	12.62	12.83	3340292	140772976.00
2011/02/14	12.93	13.35	12.86	12.87	2909069	123468848.00
2011/02/15	12.77	13.23	12.71	12.99	2235161	94831472.00
2011/02/16	12.92	13.37	12.92	13.30	1812717	77961312.00
2011/02/17	13.44	14.03	13.38	13.61	2158375	96094912.00
2011/02/18	13.54	13.59	13.04	13.09	1463686	63287012.00
2011/02/21	13.00	13.90	12.91	13.84	1970379	86440240.00
2011/02/22	13.83	13.97	13.24	13.54	1824119	80143680.00
2011/02/23	13.54	13.73	13.21	13.27	2018353	87995656.00
2011/02/24	13.21	13.35	12.88	13.11	1507707	64305400.00
2011/02/25	13.11	13.17	12.94	13.13	943404	40210420.00
2011/02/28	13.28	13.29	12.87	13.01	1239593	52778564.00
