002466 天齐锂业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/08/31	11.55	12.63	11.43	12.38	16916684	1321063040.00
2010/09/01	12.12	12.83	11.73	12.21	11063449	912557120.00
2010/09/02	11.90	12.30	11.76	12.08	6224740	498720192.00
2010/09/03	12.02	13.03	11.90	13.03	5257940	453861504.00
2010/09/06	13.44	13.65	12.23	12.46	8470302	739078912.00
2010/09/07	12.38	12.94	12.38	12.66	5154665	443838496.00
2010/09/08	12.49	12.75	12.12	12.44	4564308	379581824.00
2010/09/09	12.49	12.61	12.17	12.19	3927319	323128352.00
2010/09/10	12.07	12.19	11.57	11.67	4525120	354730080.00
2010/09/13	11.59	11.90	11.24	11.83	3875226	293410208.00
2010/09/14	11.67	11.93	11.61	11.64	2733555	212698480.00
2010/09/15	11.55	11.55	10.98	11.01	3275148	239950256.00
2010/09/16	10.95	11.26	10.95	11.10	1918043	138525408.00
2010/09/17	11.11	11.19	10.45	10.52	2444236	167505008.00
2010/09/20	10.50	10.63	10.12	10.35	2284153	150907696.00
2010/09/21	10.31	10.31	9.96	9.99	1767158	112403904.00
2010/09/27	9.99	10.40	9.98	10.36	1991782	129101864.00
2010/09/28	10.34	10.54	10.14	10.37	2185503	143984960.00
2010/09/29	10.32	11.11	10.26	10.71	3253342	224960048.00
2010/09/30	10.61	10.89	10.52	10.74	1779194	122711296.00
2010/10/08	10.94	11.18	10.78	10.89	2284001	162358512.00
2010/10/11	10.88	11.06	10.64	10.71	2259326	156755712.00
2010/10/12	10.64	10.81	10.56	10.72	1587966	109197760.00
2010/10/13	10.66	10.76	10.32	10.59	2392525	161269776.00
2010/10/14	10.60	10.60	10.16	10.18	1832243	121092728.00
2010/10/15	10.11	10.71	10.05	10.49	2406297	161770944.00
2010/10/18	10.49	10.49	10.11	10.13	1698968	109521856.00
2010/10/19	10.16	10.49	10.16	10.45	1526243	100959480.00
2010/10/20	10.25	10.81	10.21	10.69	2444287	167437792.00
2010/10/21	10.62	10.75	10.50	10.58	1503644	102362192.00
2010/10/22	10.57	10.78	10.50	10.71	1898840	130483824.00
2010/10/25	10.71	10.91	10.71	10.86	2149221	150474928.00
2010/10/26	10.92	11.19	10.74	11.09	2873779	206408640.00
2010/10/27	11.04	11.05	10.62	10.83	2739535	191530592.00
2010/10/28	10.72	10.86	10.67	10.71	1022119	70752936.00
2010/10/29	10.70	10.83	10.68	10.77	991305	68749520.00
2010/11/01	10.77	11.17	10.74	11.04	2150389	153692928.00
2010/11/02	11.08	11.14	10.86	10.86	2364771	168234416.00
2010/11/03	10.78	10.84	10.40	10.40	1984088	134075680.00
2010/11/04	10.42	10.52	10.35	10.48	1199196	79826904.00
2010/11/05	10.59	10.64	10.49	10.54	1289440	87352112.00
2010/11/08	10.55	10.75	10.49	10.71	1352788	92679328.00
2010/11/09	10.78	10.83	10.68	10.78	1186665	82201352.00
2010/11/10	10.76	10.95	10.66	10.94	1652831	115931080.00
2010/11/11	10.94	10.96	10.78	10.78	1712283	120511136.00
2010/11/12	10.77	10.77	9.96	10.04	2343990	155003952.00
2010/11/15	10.03	10.23	10.03	10.22	1032035	66027236.00
2010/11/16	10.22	10.42	9.99	10.10	1118818	72200816.00
2010/11/17	10.10	10.22	9.96	10.00	722045	45960976.00
2010/11/18	10.12	10.29	10.10	10.20	821065	52871240.00
2010/11/19	10.29	10.33	10.19	10.32	886693	57661332.00
2010/11/22	10.27	10.46	10.23	10.37	1001059	66132092.00
2010/11/24	10.25	10.50	10.17	10.48	1259982	83465224.00
2010/11/25	10.48	10.60	10.38	10.45	930628	62260704.00
2010/11/26	10.44	10.44	10.24	10.26	818486	53402568.00
2010/11/29	10.33	10.44	10.25	10.35	829875	54774544.00
2010/11/30	10.26	10.31	9.99	10.13	901816	57774716.00
2010/12/01	10.03	10.03	9.66	9.74	3055940	185006064.00
2010/12/02	9.80	9.90	9.70	9.84	1789854	109477520.00
2010/12/03	9.81	9.84	9.66	9.73	1170202	70776064.00
2010/12/06	9.76	9.79	9.51	9.55	1304271	77582544.00
2010/12/07	9.55	9.60	9.32	9.57	1129032	65548136.00
2010/12/08	9.50	9.71	9.49	9.60	1276308	76063464.00
2010/12/09	9.54	9.78	9.52	9.67	1114609	67121624.00
2010/12/10	9.63	9.68	9.43	9.61	1004471	59362696.00
2010/12/13	9.44	9.74	9.44	9.72	1295762	77908688.00
2010/12/14	9.72	9.98	9.70	9.94	1776067	110031376.00
2010/12/15	9.94	10.02	9.80	9.82	1449557	90209848.00
2010/12/16	9.79	9.82	9.72	9.76	855150	51959284.00
2010/12/17	9.76	9.82	9.72	9.76	610911	37196780.00
2010/12/20	9.78	9.85	9.49	9.62	935207	56151292.00
2010/12/21	9.52	9.76	9.52	9.71	714312	43024896.00
2010/12/22	9.68	9.81	9.60	9.63	686616	41452908.00
2010/12/23	9.63	9.65	9.45	9.46	693366	40822900.00
2010/12/24	9.46	9.46	9.23	9.26	871221	49715688.00
2010/12/27	9.25	9.37	9.05	9.05	888636	49928736.00
2010/12/28	9.02	9.07	8.74	8.74	957664	50727348.00
2010/12/29	8.78	8.89	8.72	8.89	555755	29292120.00
2010/12/31	8.89	9.13	8.84	9.09	782837	42563212.00
2011/01/04	9.14	9.14	9.03	9.11	666149	36752704.00
2011/01/05	9.12	9.16	9.08	9.09	640910	35472600.00
2011/01/06	9.07	9.07	8.90	8.91	744023	40144484.00
2011/01/07	8.91	9.54	8.90	9.54	3519469	204859760.00
2011/01/10	9.43	9.56	9.35	9.37	2400170	139953696.00
2011/01/11	9.37	9.82	9.34	9.57	2268386	135559600.00
2011/01/12	9.58	9.58	9.43	9.54	1148883	67317792.00
2011/01/13	9.55	9.78	9.54	9.56	1243002	74443040.00
2011/01/14	9.56	9.57	9.15	9.18	1387203	78422984.00
2011/01/17	9.13	9.13	8.82	8.82	1121403	60224224.00
2011/01/18	8.72	8.78	8.62	8.78	683166	35437184.00
2011/01/19	8.78	8.99	8.78	8.94	694489	37272060.00
2011/01/20	8.94	8.94	8.48	8.48	915378	47520972.00
2011/01/21	8.48	8.61	8.41	8.55	719553	36284356.00
2011/01/24	8.65	8.65	8.28	8.30	753360	37145572.00
2011/01/25	8.30	8.30	8.03	8.21	741699	34892552.00
2011/01/26	8.19	8.31	8.15	8.30	404470	19455432.00
2011/01/27	8.35	8.60	8.24	8.46	700876	35003556.00
2011/01/28	8.45	8.50	8.36	8.47	482457	23903166.00
2011/01/31	8.45	8.55	8.38	8.51	503990	25182426.00
2011/02/01	8.52	8.72	8.51	8.59	582881	29782486.00
2011/02/09	8.48	8.59	8.31	8.34	554710	27544204.00
2011/02/10	8.31	8.55	8.31	8.55	539183	26914212.00
2011/02/11	8.54	8.72	8.52	8.61	815283	41781304.00
2011/02/14	8.61	8.77	8.56	8.75	966906	50017556.00
2011/02/15	8.73	9.01	8.72	8.83	1318909	70228272.00
2011/02/16	8.81	9.02	8.77	9.01	1218971	65753260.00
2011/02/17	9.07	9.63	8.96	9.50	2936400	166952800.00
2011/02/18	9.38	9.52	9.21	9.24	1896077	108630920.00
2011/02/21	9.17	9.31	9.11	9.25	992350	55918892.00
2011/02/22	9.19	9.33	8.94	8.95	1310638	72338592.00
2011/02/23	8.87	9.02	8.87	8.97	690399	37332420.00
2011/02/24	8.94	9.18	8.94	9.06	746453	40941132.00
2011/02/25	9.07	9.12	8.97	9.09	626704	34383160.00
2011/02/28	9.13	9.22	9.06	9.19	824773	45956288.00
2011/03/01	9.18	9.75	9.18	9.40	2074057	121589936.00
2011/03/02	9.37	9.37	9.23	9.29	802978	45595376.00
2011/03/03	9.39	9.52	9.19	9.21	835702	47951044.00
2011/03/04	9.19	9.23	9.07	9.21	604003	33621620.00
2011/03/07	9.24	9.37	9.21	9.34	777490	44225448.00
2011/03/08	9.35	9.48	9.32	9.41	909046	52626660.00
2011/03/09	9.39	9.41	9.28	9.31	706846	40363408.00
2011/03/10	9.31	9.37	9.08	9.11	852372	47548944.00
2011/03/11	9.09	9.19	9.06	9.07	661230	36583480.00
2011/03/14	9.07	9.15	9.01	9.08	513093	28177836.00
2011/03/15	9.07	9.15	8.84	9.15	1000241	54260092.00
2011/03/16	9.16	9.31	9.11	9.28	1075568	60823892.00
2011/03/17	9.22	9.22	8.99	9.04	731650	40529972.00
2011/03/18	9.07	9.13	9.03	9.04	298784	16403731.00
2011/03/21	9.05	9.06	8.85	8.89	709990	38100356.00
2011/03/22	8.89	8.94	8.74	8.80	476362	25143280.00
2011/03/23	8.80	8.92	8.75	8.88	399033	21226284.00
2011/03/24	8.90	8.93	8.80	8.81	519073	27526644.00
2011/03/25	8.81	8.89	8.81	8.84	549273	29095092.00
2011/03/28	8.83	9.01	8.83	8.94	773277	41585224.00
2011/03/29	8.88	8.91	8.63	8.64	866778	45254268.00
2011/03/30	8.60	8.66	8.50	8.52	589410	29880850.00
2011/03/31	8.54	8.84	8.54	8.58	557480	28849004.00
2011/04/01	8.62	8.70	8.57	8.65	291033	14868414.00
2011/04/06	8.65	9.00	8.60	8.86	1274264	67958576.00
2011/04/07	8.89	9.41	8.84	9.29	2600333	144859840.00
2011/04/08	9.29	9.46	9.20	9.25	1763892	101055560.00
2011/04/11	9.25	9.31	9.04	9.06	1451568	80408952.00
2011/04/12	8.99	9.19	8.96	9.06	887195	48934788.00
2011/04/13	9.04	9.07	8.88	9.07	634677	34423824.00
2011/04/14	9.00	9.12	8.96	8.99	527932	28858460.00
2011/04/15	9.00	9.06	8.91	8.99	535191	28996886.00
2011/04/18	8.97	9.05	8.94	9.00	396404	21555880.00
2011/04/19	8.95	8.95	8.66	8.67	921509	48255332.00
2011/04/20	8.68	8.75	8.68	8.73	341185	17725938.00
2011/04/21	8.80	8.80	8.68	8.74	488153	25388928.00
2011/04/22	8.79	8.79	8.68	8.69	421506	21905862.00
2011/04/25	8.69	8.78	8.56	8.56	496517	25420994.00
2011/04/26	8.54	8.69	8.52	8.57	369625	18869124.00
2011/04/27	8.56	8.60	8.25	8.29	707855	34809820.00
2011/04/28	8.30	8.42	8.13	8.15	375409	18068940.00
2011/04/29	8.15	8.31	8.15	8.29	280115	13437487.00
2011/05/03	8.26	8.34	8.25	8.31	280231	13551576.00
2011/05/04	8.32	8.32	8.09	8.16	300909	14271965.00
2011/05/05	8.13	8.27	8.13	8.19	230750	11020524.00
2011/05/06	8.17	8.23	8.08	8.22	241693	11388957.00
2011/05/10	8.25	8.31	8.23	8.29	251045	12100899.00
2011/05/11	8.32	8.32	8.20	8.20	316386	15157306.00
2011/05/12	8.19	8.19	8.06	8.06	288511	13538897.00
2011/05/13	8.07	8.12	7.89	8.02	403771	18551972.00
2011/05/16	8.04	8.06	7.95	7.95	274591	12598393.00
2011/05/17	7.96	7.96	7.74	7.96	540820	24239520.00
2011/05/18	7.97	7.97	7.89	7.96	223118	10137328.00
2011/05/19	7.96	8.04	7.92	7.97	307764	14102655.00
2011/05/20	8.05	8.05	7.90	7.91	171795	7789558.50
2011/05/23	7.82	7.96	7.79	7.82	367303	16457354.00
2011/05/24	7.78	8.26	7.57	7.96	827727	24591728.00
2011/05/25	7.92	8.02	7.67	7.68	574353	17082734.00
2011/05/26	7.69	7.83	7.52	7.52	503896	14399248.00
2011/05/27	7.52	7.60	7.21	7.23	723503	19403694.00
2011/05/30	7.21	7.35	7.20	7.29	570786	15131695.00
2011/05/31	7.31	7.43	7.26	7.41	478789	12860317.00
2011/06/01	7.40	7.89	7.40	7.87	2232160	65494512.00
2011/06/02	7.71	7.82	7.55	7.67	1887266	54470064.00
2011/06/03	7.67	7.69	7.59	7.68	825406	23558866.00
2011/06/07	7.82	8.08	7.81	7.92	1570480	47475648.00
2011/06/08	7.87	8.25	7.82	8.13	2229832	68931024.00
2011/06/09	8.08	8.08	7.88	7.90	1222290	37042708.00
2011/06/13	7.83	7.83	7.69	7.77	844818	24618252.00
2011/06/14	7.71	8.17	7.71	8.03	1312837	39667900.00
2011/06/15	7.96	8.17	7.90	7.94	1108029	34117640.00
2011/06/16	7.89	8.02	7.83	7.90	944356	28483410.00
2011/06/17	7.85	7.93	7.67	7.68	666677	19603546.00
2011/06/20	7.68	7.81	7.57	7.71	772782	22128136.00
2011/06/21	7.68	7.78	7.64	7.73	487364	14138254.00
2011/06/22	7.69	7.86	7.69	7.77	558777	16418230.00
2011/06/23	7.76	7.95	7.70	7.90	1124528	33584744.00
2011/06/24	7.89	8.16	7.87	8.04	1519701	46934876.00
2011/06/27	8.04	8.20	8.00	8.13	1292556	40236444.00
2011/06/28	8.13	8.13	8.03	8.06	904124	27943218.00
2011/06/29	8.06	8.18	8.04	8.10	996642	31029926.00
2011/06/30	8.10	8.55	8.10	8.32	2239725	72866504.00
2011/07/01	8.89	8.89	8.89	8.89	2653122	94318488.00
2011/07/04	9.42	9.52	9.39	9.52	3171340	122986536.00
2011/07/05	10.21	10.21	10.17	10.21	12303655	529279232.00
2011/07/11	10.24	10.47	10.16	10.24	11522779	501439584.00
2011/07/12	10.12	10.61	10.07	10.17	12500823	544186368.00
2011/07/13	10.00	10.14	9.82	10.08	7292752	304197536.00
2011/07/14	10.04	10.41	10.01	10.31	8661748	371807808.00
2011/07/15	10.20	10.31	10.06	10.31	5912814	253701360.00
2011/07/18	10.40	10.89	10.17	10.17	10831669	486363264.00
2011/07/19	9.93	10.03	9.77	9.96	5834197	240522960.00
2011/07/20	9.94	10.06	9.80	9.97	3411117	141311136.00
2011/07/21	9.96	10.07	9.88	10.04	3455393	144390704.00
2011/07/22	9.97	10.07	9.76	9.77	3764670	154750960.00
2011/07/25	9.59	9.71	9.23	9.30	4663124	180635328.00
2011/07/26	9.30	9.52	9.24	9.50	3977079	153202592.00
2011/07/27	9.48	9.63	9.33	9.57	3308683	129600328.00
2011/07/28	9.46	9.51	9.29	9.47	2730844	105109112.00
2011/07/29	9.45	9.52	9.20	9.21	2561029	97457944.00
2011/08/01	9.14	9.78	9.14	9.67	5442688	214792288.00
2011/08/02	9.55	9.91	9.32	9.82	5272189	209716352.00
2011/08/03	9.60	9.94	9.57	9.60	3537244	142589472.00
2011/08/04	9.59	9.76	9.51	9.62	2350456	93806560.00
2011/08/05	9.23	9.42	9.16	9.25	2807097	106485080.00
2011/08/08	9.20	9.20	8.59	8.61	5028636	174898368.00
2011/08/09	8.42	8.76	8.24	8.66	3882696	130355744.00
2011/08/10	8.79	8.84	8.67	8.69	3512807	122241432.00
2011/08/11	8.49	8.85	8.45	8.84	3403987	116934776.00
2011/08/12	8.92	9.13	8.85	8.87	2795484	100608400.00
2011/08/15	9.11	9.50	9.09	9.50	3772726	144287936.00
2011/08/16	9.78	9.78	9.35	9.36	7455920	295152512.00
2011/08/17	9.36	9.71	9.29	9.61	5779030	226383968.00
2011/08/18	9.50	9.63	9.40	9.43	3219665	125568768.00
2011/08/19	9.21	9.36	9.14	9.27	2448716	92004832.00
2011/08/22	9.24	9.51	9.24	9.28	2526819	96506408.00
2011/08/23	9.29	9.66	9.27	9.65	4294722	167796272.00
2011/08/24	9.67	9.67	9.45	9.45	3735367	147175712.00
2011/08/25	9.48	9.58	9.37	9.56	2978656	116222456.00
2011/08/26	9.55	9.94	9.47	9.73	4538934	182540000.00
2011/08/29	9.62	9.79	9.56	9.60	2933800	117259440.00
2011/08/30	9.50	9.67	9.32	9.35	2608773	101865216.00
2011/08/31	9.30	9.40	9.18	9.24	1535549	57753836.00
2011/09/01	9.26	9.43	9.21	9.27	1701278	64612760.00
2011/09/02	9.25	9.44	9.16	9.36	2202682	84227992.00
2011/09/05	9.23	9.31	9.18	9.21	1483232	55703808.00
2011/09/06	9.10	9.30	9.04	9.11	1442011	53587268.00
2011/09/07	9.23	9.76	9.20	9.76	4114236	161850160.00
2011/09/08	9.85	9.88	9.58	9.60	4409392	176774128.00
2011/09/09	9.59	9.80	9.57	9.66	3436127	137762432.00
2011/09/13	9.50	9.50	9.29	9.45	2578763	99392288.00
2011/09/14	9.47	9.84	9.47	9.83	5209048	210165216.00
2011/09/15	9.83	10.10	9.71	9.73	5538879	229861616.00
2011/09/16	9.71	10.03	9.71	9.88	3285962	135380800.00
2011/09/19	9.75	9.83	9.59	9.61	2239591	89290864.00
2011/09/20	9.57	9.97	9.44	9.97	3505096	142377024.00
2011/09/21	9.96	10.20	9.90	10.11	4847926	204959488.00
2011/09/22	10.04	10.09	9.78	9.78	3368846	140046112.00
2011/09/23	9.60	9.78	9.54	9.76	2369479	94655152.00
2011/09/26	9.68	9.95	9.66	9.71	2385643	97129304.00
2011/09/27	9.74	9.89	9.29	9.34	4492150	174823584.00
2011/09/28	9.38	9.43	9.09	9.13	2431286	91504912.00
2011/09/29	9.09	9.09	8.61	8.62	2745569	97096776.00
2011/09/30	8.64	8.96	8.64	8.70	1874864	65171700.00
2011/10/10	8.74	8.84	8.59	8.67	1222437	42260248.00
2011/10/11	8.86	8.95	8.60	8.72	1727503	60560076.00
2011/10/12	8.61	8.97	8.47	8.96	2636012	92535304.00
2011/10/13	8.93	9.46	8.86	9.27	3783604	141133680.00
2011/10/14	9.18	9.28	9.05	9.19	2216928	82162184.00
2011/10/17	9.21	9.32	9.07	9.15	1859875	68961200.00
2011/10/18	9.05	9.28	8.97	8.97	2346696	86746728.00
2011/10/20	8.97	8.97	8.44	8.59	2016153	68675200.00
2011/10/21	8.53	8.64	8.47	8.47	1256545	42159308.00
2011/10/24	8.47	8.69	8.39	8.66	1677043	56602984.00
2011/10/25	8.65	8.86	8.49	8.79	2575918	88943496.00
2011/10/26	8.70	9.22	8.65	8.95	3278320	117498800.00
2011/10/27	8.90	9.03	8.81	8.81	2193206	78297320.00
2011/10/28	8.92	9.07	8.84	8.96	2072085	74292408.00
2011/10/31	9.11	9.59	9.08	9.38	5333630	204859408.00
2011/11/01	9.23	9.54	9.19	9.43	4929226	190018880.00
2011/11/02	9.28	9.45	9.20	9.44	2892768	109866080.00
2011/11/03	9.48	9.71	9.35	9.36	3894193	151955680.00
2011/11/04	9.39	9.45	9.23	9.36	2009546	76502520.00
2011/11/07	9.32	9.45	9.20	9.20	1781628	67492944.00
2011/11/08	9.17	9.39	9.16	9.25	1693114	63955044.00
2011/11/09	9.28	9.41	9.15	9.34	1796626	67851264.00
2011/11/10	9.22	9.37	9.22	9.24	1938495	73366616.00
2011/11/11	9.24	9.30	9.16	9.23	1382490	51742080.00
2011/11/14	9.39	9.83	9.39	9.74	6140448	245063568.00
2011/11/15	9.67	9.83	9.59	9.64	3664232	146477952.00
2011/11/16	9.64	9.64	9.33	9.35	2297626	89068192.00
2011/11/17	9.32	9.46	9.30	9.36	1518818	58210448.00
2011/11/18	9.31	9.31	8.96	9.05	2599109	95833296.00
2011/11/21	9.04	9.14	8.99	9.12	1086806	39821896.00
2011/11/22	9.04	9.07	8.85	9.02	1108400	39926876.00
2011/11/23	9.02	9.08	8.95	8.95	899355	32641344.00
2011/11/24	8.82	8.98	8.81	8.89	1221464	43383776.00
2011/11/25	8.90	9.03	8.88	8.90	860847	30883226.00
2011/11/28	8.93	9.03	8.91	8.97	884142	31818960.00
2011/11/29	9.11	9.14	8.98	9.08	1127012	41179268.00
2011/11/30	9.09	9.09	8.54	8.69	1638523	57312000.00
2011/12/01	8.93	8.95	8.72	8.78	1574887	55564552.00
2011/12/02	8.75	8.78	8.56	8.60	766205	26134758.00
2011/12/05	8.59	8.59	8.40	8.43	721167	23911682.00
2011/12/06	8.43	8.59	8.43	8.54	700906	23481178.00
2011/12/07	8.54	8.59	8.51	8.55	528662	17792048.00
2011/12/08	8.55	8.67	8.42	8.56	998915	33623064.00
2011/12/09	8.45	8.64	8.42	8.60	640161	21575930.00
2011/12/12	8.54	8.71	8.54	8.57	959347	32791718.00
2011/12/13	8.49	8.49	8.17	8.26	1230814	39533244.00
2011/12/14	8.24	8.29	8.10	8.11	703509	22208682.00
2011/12/15	8.04	8.04	7.88	7.93	950579	28854134.00
2011/12/16	7.94	8.11	7.90	8.09	685646	20961480.00
2011/12/19	8.09	8.24	7.98	8.17	995813	31134398.00
2011/12/20	8.12	8.22	8.08	8.09	611873	19185512.00
2011/12/21	8.12	8.20	7.78	7.78	764076	23206578.00
2011/12/22	7.77	7.77	7.37	7.57	1170881	32669802.00
2011/12/23	7.56	7.68	7.47	7.60	667967	18888806.00
2011/12/26	7.59	7.66	7.50	7.50	494372	13950908.00
2011/12/27	7.51	7.51	7.30	7.30	625135	16864408.00
2011/12/28	7.29	7.29	7.11	7.27	579700	15093619.00
2011/12/29	7.21	7.32	7.20	7.21	398191	10508825.00
2011/12/30	7.25	7.39	7.25	7.37	775253	20809808.00
2012/01/04	7.43	7.50	7.20	7.21	818670	22107958.00
2012/01/05	7.20	7.30	6.96	7.04	854347	21973554.00
2012/01/06	6.98	7.06	6.85	7.05	1053643	25915572.00
2012/01/09	7.06	7.35	6.97	7.33	1238374	32078810.00
2012/01/10	7.30	7.61	7.29	7.53	2057911	56774808.00
2012/01/11	7.52	7.90	7.41	7.60	1737722	49496584.00
2012/01/12	7.60	7.69	7.52	7.59	1501325	42485280.00
2012/01/13	7.62	7.63	7.27	7.27	1628903	44139448.00
2012/01/16	7.13	7.26	7.03	7.03	718826	18536174.00
2012/01/17	7.02	7.47	6.98	7.47	1709411	45853592.00
2012/01/18	7.58	7.70	7.20	7.25	1981908	55247084.00
2012/01/19	7.25	7.66	7.11	7.62	2188109	59518116.00
2012/01/20	7.62	7.63	7.45	7.52	1490595	41534660.00
2012/01/30	7.55	7.61	7.44	7.45	1020182	28487730.00
2012/01/31	7.44	7.50	7.40	7.46	1133571	31066012.00
2012/02/01	7.43	7.47	7.32	7.32	1175819	31861004.00
2012/02/02	7.33	7.44	7.25	7.44	1433949	38406804.00
2012/02/03	7.42	7.62	7.38	7.61	2142532	60014264.00
