002474 榕基软件 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/15	7.73	8.04	7.24	7.50	15324734	730331840.00
2010/09/16	7.76	7.83	7.50	7.51	7515382	358874880.00
2010/09/17	7.03	7.36	6.78	6.89	5565405	243198240.00
2010/09/20	7.01	7.14	6.78	6.78	2876430	125523608.00
2010/09/21	6.73	6.73	6.40	6.59	2218384	90655984.00
2010/09/27	6.57	6.78	6.48	6.74	1367450	57076752.00
2010/09/28	6.68	6.71	6.38	6.45	2104292	85731328.00
2010/09/29	6.43	6.63	6.20	6.51	1279361	51706996.00
2010/09/30	6.51	6.79	6.45	6.61	1207227	49974128.00
2010/10/08	6.63	6.73	6.56	6.68	1243005	51783220.00
2010/10/11	6.57	6.79	6.56	6.68	1392006	57791724.00
2010/10/12	6.65	6.72	6.42	6.44	1580353	64679240.00
2010/10/13	6.54	6.54	6.27	6.46	1682793	66993980.00
2010/10/14	6.48	6.53	6.32	6.32	1007452	40402120.00
2010/10/15	6.35	6.35	6.08	6.10	1398875	54051808.00
2010/10/18	6.06	6.06	5.74	5.96	2303166	84418616.00
2010/10/19	5.91	6.26	5.88	6.21	1829661	70454528.00
2010/10/21	6.40	6.56	6.40	6.48	2577100	104041808.00
2010/10/22	6.46	6.68	6.42	6.61	1954053	80059880.00
2010/10/25	6.83	7.14	6.73	6.88	2948785	127153400.00
2010/10/26	6.92	7.09	6.82	6.96	2103555	91499328.00
2010/10/27	7.06	7.45	6.96	7.06	2581960	115654160.00
2010/10/28	7.16	7.41	7.10	7.23	2347041	105784368.00
2010/10/29	7.29	7.31	7.15	7.24	2040562	91840248.00
2010/11/01	7.26	7.48	7.26	7.37	2214429	101482608.00
2010/11/02	7.37	7.47	7.08	7.12	2543608	114859736.00
2010/11/03	7.07	7.12	6.84	6.93	1734151	74978720.00
2010/11/04	6.90	7.30	6.90	7.28	2415228	107495216.00
2010/11/05	7.29	7.78	7.25	7.77	2847016	133390416.00
2010/11/08	7.85	8.55	7.67	8.40	3966665	201394416.00
2010/11/09	8.40	8.49	8.20	8.39	2044952	105706224.00
2010/11/10	8.31	8.96	8.25	8.61	2396927	128829064.00
2010/11/11	8.53	8.71	8.33	8.33	2251629	118345416.00
2010/11/12	8.23	8.29	7.83	7.86	2342324	116665432.00
2010/11/15	8.01	8.56	7.86	8.36	2983854	152945072.00
2010/11/16	8.40	8.51	7.90	8.06	2398087	122752152.00
2010/11/17	7.92	8.15	7.51	7.55	2372132	114677816.00
2010/11/18	7.70	7.79	7.30	7.71	1624886	76765376.00
2010/11/19	7.77	8.32	7.66	8.28	2413543	119571376.00
2010/11/22	8.28	8.81	8.28	8.41	2939285	155485888.00
2010/11/23	8.40	8.61	8.16	8.53	1945815	100892840.00
2010/11/24	8.52	8.68	8.43	8.68	1676236	88997160.00
2010/11/25	8.69	8.78	8.37	8.39	1613836	85211008.00
2010/11/26	8.39	8.52	8.30	8.46	951928	49759568.00
2010/11/29	8.50	8.98	8.40	8.92	2527841	137350720.00
2010/11/30	8.86	9.04	8.37	8.77	2528788	135083472.00
2010/12/01	8.70	8.86	8.54	8.62	1076159	57856280.00
2010/12/02	8.73	8.78	8.40	8.50	1059770	56195040.00
2010/12/06	8.35	8.38	7.93	8.03	1648497	82809800.00
2010/12/07	8.01	8.23	7.90	8.22	872078	43903124.00
2010/12/08	8.20	8.27	8.05	8.07	751290	38033672.00
2010/12/09	8.01	8.01	7.79	7.81	873424	42680904.00
2010/12/10	7.76	8.17	7.72	8.13	925492	45792256.00
2010/12/13	8.16	8.46	8.16	8.43	1251312	64831840.00
2010/12/14	8.50	8.71	8.40	8.42	1222713	64740408.00
2010/12/15	8.43	8.78	8.28	8.66	3059698	161225616.00
2010/12/16	8.56	8.78	8.55	8.58	1571007	84190864.00
2010/12/17	8.58	8.74	8.51	8.72	1208435	64430752.00
2010/12/20	8.73	8.89	8.41	8.55	1689478	90239952.00
2010/12/21	8.55	8.73	8.53	8.64	1000188	53381024.00
2010/12/22	8.65	8.68	8.41	8.42	897915	47274332.00
2010/12/23	8.33	8.38	8.00	8.03	1164131	58964272.00
2010/12/24	7.95	8.06	7.73	7.83	1509297	73298400.00
2010/12/27	7.86	8.08	7.60	7.63	1309147	64090908.00
2010/12/28	7.50	7.76	7.50	7.68	828649	39396324.00
2010/12/29	7.68	7.98	7.67	7.93	865144	42134264.00
2010/12/30	7.92	8.03	7.81	7.93	813074	39916116.00
2010/12/31	7.93	8.05	7.85	7.98	1372964	67573208.00
2011/01/04	8.03	8.11	7.88	8.09	1250892	61879484.00
2011/01/05	8.04	8.16	7.91	7.95	967498	48272536.00
2011/01/06	7.92	7.99	7.73	7.76	963074	46709832.00
2011/01/07	7.76	7.91	7.65	7.69	999880	48297892.00
2011/01/11	7.49	7.49	7.05	7.13	1610165	72581808.00
2011/01/12	7.16	7.28	7.12	7.22	607670	27245870.00
2011/01/13	7.45	7.56	7.31	7.31	1108242	51365520.00
2011/01/14	7.31	7.31	7.01	7.05	690148	30502426.00
2011/01/17	7.01	7.06	6.72	6.74	701324	29906496.00
2011/01/18	6.74	6.81	6.62	6.80	371808	15663365.00
