002902 铭普光磁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/09/29	11.17	13.43	11.17	13.43	16391	329721.84
2017/10/09	14.79	14.79	14.79	14.79	5472	122518.08
2017/10/10	16.29	16.29	16.29	16.29	7108	175070.05
2017/10/11	17.93	17.93	17.93	17.93	6100	165249.00
2017/10/12	19.73	19.73	19.73	19.73	9100	271180.00
2017/10/13	21.72	21.72	21.72	21.72	22290	730666.19
2017/10/16	23.91	23.91	23.91	23.91	35876	1293688.50
2017/10/17	26.31	26.31	26.31	26.31	74884	2970648.25
2017/10/18	28.96	28.96	28.96	28.96	107712	4700551.50
2017/10/19	31.87	31.87	31.87	31.87	506245	24299760.00
2017/10/24	33.84	35.07	33.21	35.07	17233732	899492224.00
2017/10/25	33.12	38.59	32.53	38.53	22769496	1207308672.00
2017/10/26	36.67	36.93	34.67	34.67	15621845	833391616.00
2017/10/27	33.55	36.20	33.07	34.09	13674143	712657920.00
2017/10/30	32.53	33.46	30.67	30.67	11871425	565164160.00
2017/10/31	29.78	30.77	29.27	30.25	8660249	392100736.00
2017/11/01	30.63	31.85	30.50	30.92	10309377	483255776.00
2017/11/02	30.39	32.06	29.53	31.60	10800724	502871648.00
2017/11/03	31.04	31.51	30.24	31.00	7579438	352611808.00
2017/11/06	31.57	33.20	31.40	31.66	9607495	465853440.00
2017/11/07	31.71	32.93	30.20	32.76	11731105	554206720.00
2017/11/08	32.45	36.05	32.32	36.05	9226867	486603648.00
2017/11/09	35.87	38.72	34.40	36.60	19760057	1074909696.00
2017/11/10	35.87	40.27	35.54	39.07	20982401	1217515520.00
2017/11/13	38.26	40.38	37.61	38.85	16766814	984089088.00
2017/11/14	38.00	38.60	36.99	37.43	11869410	673540480.00
2017/11/15	37.00	38.50	36.57	37.29	10177768	576737024.00
2017/11/16	36.52	36.85	33.55	33.55	10230672	546301696.00
2017/11/17	32.10	32.53	30.18	30.18	9713805	452841216.00
2017/11/20	29.32	30.45	28.07	30.17	6708546	298460064.00
2017/11/21	29.84	32.20	29.51	31.60	9810281	456035168.00
2017/11/22	30.93	31.79	29.53	30.47	7611307	352405984.00
2017/11/23	30.40	31.06	29.67	29.67	5820764	266250880.00
2017/11/24	29.35	30.59	26.72	26.75	7710077	335117728.00
2017/11/27	26.27	26.27	24.47	24.83	7088217	270234752.00
2017/11/28	25.01	25.84	24.87	25.59	4961908	190062368.00
2017/11/29	25.59	25.59	23.93	24.81	5928969	220048128.00
2017/11/30	24.97	25.75	24.75	25.19	5053747	192706560.00
2017/12/01	24.87	26.25	24.31	25.79	6184839	238408304.00
2017/12/04	25.30	25.45	23.20	23.20	6649920	241733280.00
2017/12/05	22.89	23.78	22.60	23.20	4174194	146831440.00
2017/12/06	22.93	24.67	22.93	24.50	6321874	229548448.00
2017/12/07	24.27	25.66	23.78	24.97	7338909	274137376.00
2017/12/08	24.80	26.67	24.61	25.69	7946775	308798112.00
2017/12/11	25.27	26.11	25.27	25.58	4980316	191924704.00
2017/12/12	25.45	25.67	24.21	24.22	5625418	210181552.00
