002936 郑州银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/09/19	5.36	6.46	5.36	6.46	1665069	10973811.00
2018/09/20	7.12	7.12	7.12	7.12	1280027	9305796.00
2018/09/21	7.85	7.85	7.85	7.85	5819906	46559248.00
2018/09/25	7.87	7.94	7.28	7.33	272932092	2069654016.00
2018/09/26	7.07	7.42	6.97	7.24	196596943	1439734400.00
2018/09/27	7.09	7.13	6.69	6.76	182966091	1289596032.00
2018/09/28	6.66	6.87	6.66	6.72	92218152	637237376.00
2018/10/08	6.60	6.60	6.16	6.21	91759363	601290880.00
2018/10/09	6.25	6.27	6.01	6.10	65842296	413378432.00
2018/10/10	6.11	6.13	5.97	6.03	48760348	301995584.00
2018/10/11	5.73	5.80	5.41	5.45	98550720	562531072.00
2018/10/12	5.40	5.70	5.35	5.63	100639437	578427520.00
2018/10/15	5.62	5.62	5.44	5.46	51240037	289468416.00
2018/10/16	5.45	5.54	5.31	5.36	39784433	222211312.00
2018/10/17	5.44	5.48	5.13	5.27	65150010	353693600.00
2018/10/18	5.20	5.20	5.01	5.03	46411249	243128368.00
2018/10/19	4.93	5.14	4.88	5.12	56467012	293421344.00
2018/10/22	5.11	5.64	5.07	5.57	125504964	697763712.00
2018/10/23	5.49	5.53	5.29	5.33	83144911	460834880.00
2018/10/24	5.28	5.85	5.28	5.52	140661630	807105728.00
2018/10/25	5.29	5.69	5.25	5.66	111266197	623450368.00
2018/10/26	5.64	5.65	5.51	5.56	67563600	386570272.00
2018/10/29	5.52	5.62	5.36	5.38	48264760	270261920.00
2018/10/30	5.40	5.68	5.35	5.54	80161661	455622368.00
2018/10/31	5.53	5.82	5.46	5.67	113931973	662088576.00
2018/11/01	5.62	5.77	5.57	5.58	84099446	487654080.00
2018/11/02	5.65	5.80	5.59	5.71	90851877	529780672.00
2018/11/05	5.68	5.79	5.58	5.67	69755822	406695616.00
2018/11/06	5.60	5.63	5.44	5.52	64491138	365216544.00
2018/11/07	5.50	5.55	5.45	5.46	36876348	208270336.00
2018/11/08	5.51	5.53	5.42	5.42	32437413	182335872.00
2018/11/09	5.40	5.40	5.30	5.30	34154067	187240864.00
2018/11/12	5.30	5.38	5.28	5.37	28169447	154726992.00
2018/11/13	5.32	5.48	5.30	5.46	54982791	305372224.00
2018/11/14	5.43	5.49	5.40	5.41	41576983	232601008.00
2018/11/15	5.40	5.49	5.38	5.49	43707075	244989840.00
2018/11/16	5.50	5.62	5.44	5.55	70657878	401754048.00
2018/11/19	5.54	5.71	5.52	5.71	99451949	576611392.00
2018/11/20	5.65	5.66	5.46	5.48	67442629	385523968.00
2018/11/21	5.40	5.48	5.37	5.46	31756431	177319296.00
2018/11/22	5.46	5.48	5.37	5.39	33415410	185717136.00
2018/11/23	5.40	5.41	5.20	5.22	40667592	221335104.00
2018/11/26	5.22	5.28	5.21	5.23	18595287	100299056.00
2018/11/27	5.25	5.27	5.17	5.21	19451705	104521184.00
2018/11/28	5.20	5.26	5.16	5.25	20579339	110596776.00
2018/11/29	5.27	5.28	5.09	5.12	26922677	144084736.00
2018/11/30	5.12	5.15	5.06	5.14	19342123	101796328.00
2018/12/03	5.24	5.27	5.19	5.24	38263917	206219456.00
2018/12/04	5.22	5.25	5.20	5.25	21743507	116903464.00
2018/12/05	5.17	5.20	5.14	5.18	19852731	105634696.00
2018/12/06	5.15	5.18	5.10	5.11	19919743	105252720.00
2018/12/07	5.11	5.14	5.10	5.11	11205988	59010532.00
2018/12/10	5.07	5.08	5.02	5.03	16690320	86681584.00
2018/12/11	5.03	5.13	5.01	5.09	17532183	91549728.00
2018/12/12	5.09	5.12	5.06	5.08	12077047	63284264.00
2018/12/13	5.08	5.18	5.05	5.15	27994151	147880544.00
2018/12/14	5.12	5.13	5.04	5.04	19356100	101282192.00
2018/12/17	5.03	5.09	5.01	5.05	11621844	60351292.00
2018/12/18	5.02	5.05	5.00	5.02	11183721	57829952.00
2018/12/19	5.03	5.04	4.98	4.99	11559205	59525360.00
2018/12/20	4.98	5.00	4.93	4.99	14311220	73244672.00
2018/12/21	4.97	4.99	4.94	4.98	12613203	64444912.00
2018/12/24	4.96	4.99	4.94	4.99	10956319	56108468.00
2018/12/25	4.95	4.95	4.87	4.93	20311260	102707272.00
2018/12/26	4.92	4.94	4.89	4.90	10226816	51769244.00
