300098 高新兴 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/07/28	2.64	2.70	2.56	2.58	9692025	394906304.00
2010/07/29	2.60	2.62	2.49	2.51	5023327	200071696.00
2010/07/30	2.48	2.49	2.39	2.45	3840667	147150080.00
2010/08/02	2.44	2.48	2.43	2.46	2451815	94714216.00
2010/08/03	2.45	2.48	2.43	2.43	1773432	68323328.00
2010/08/04	2.42	2.49	2.42	2.49	2382776	92325176.00
2010/08/05	2.48	2.51	2.45	2.46	1805601	70248480.00
2010/08/06	2.46	2.48	2.43	2.48	1406978	54503688.00
2010/08/09	2.48	2.53	2.47	2.52	2109351	83003816.00
2010/08/10	2.52	2.52	2.42	2.42	1815622	70580016.00
2010/08/11	2.40	2.47	2.40	2.45	1256080	48090752.00
2010/08/12	2.43	2.46	2.41	2.41	1010381	38557020.00
2010/08/13	2.41	2.45	2.41	2.44	766481	29274040.00
2010/08/16	2.44	2.47	2.43	2.46	1054067	40638752.00
2010/08/17	2.46	2.48	2.45	2.48	1128295	43674956.00
2010/08/18	2.49	2.50	2.45	2.49	1560254	60741568.00
2010/08/19	2.48	2.50	2.47	2.48	1035656	40480372.00
2010/08/20	2.47	2.48	2.42	2.42	1086679	41779424.00
2010/08/23	2.42	2.43	2.40	2.40	804851	30505052.00
2010/08/24	2.39	2.43	2.39	2.41	503957	19130112.00
2010/08/25	2.41	2.43	2.33	2.33	1013553	37674860.00
2010/08/26	2.33	2.35	2.31	2.32	764275	27968308.00
2010/08/27	2.31	2.34	2.31	2.34	416303	15316992.00
2010/08/30	2.35	2.38	2.35	2.38	642076	23976676.00
2010/08/31	2.38	2.38	2.36	2.36	639091	23796834.00
2010/09/01	2.38	2.39	2.31	2.32	774008	28605976.00
2010/09/02	2.34	2.39	2.32	2.38	859581	31892400.00
2010/09/03	2.38	2.42	2.37	2.40	960292	36234736.00
2010/09/06	2.41	2.41	2.35	2.36	590815	22019088.00
2010/09/07	2.35	2.37	2.35	2.37	363836	13524240.00
2010/09/08	2.35	2.36	2.35	2.35	532921	19740692.00
2010/09/09	2.35	2.39	2.34	2.35	476920	17739638.00
2010/09/10	2.35	2.36	2.33	2.35	482720	17819754.00
2010/09/13	2.35	2.37	2.33	2.37	589843	21853098.00
2010/09/14	2.37	2.37	2.33	2.33	585949	21697660.00
2010/09/15	2.33	2.34	2.09	2.24	801793	29035658.00
2010/09/16	2.25	2.27	2.17	2.18	656180	22783532.00
2010/09/17	2.18	2.20	2.17	2.18	334685	11556106.00
2010/09/20	2.20	2.22	2.15	2.21	547166	18935802.00
2010/09/21	2.28	2.33	2.26	2.26	981127	35393884.00
2010/09/27	2.26	2.27	2.21	2.25	328928	11603035.00
2010/09/28	2.23	2.25	2.19	2.19	389637	13636821.00
2010/09/29	2.18	2.20	2.15	2.16	312470	10755268.00
2010/09/30	2.16	2.18	2.14	2.18	175441	6030372.00
2010/10/08	2.20	2.22	2.18	2.22	289179	10084377.00
2010/10/11	2.21	2.23	2.19	2.20	498694	17375606.00
2010/10/12	2.20	2.22	2.19	2.21	330321	11550670.00
2010/10/13	2.21	2.22	2.20	2.21	255427	8927041.00
2010/10/14	2.22	2.23	2.19	2.19	435400	15242071.00
2010/10/15	2.16	2.19	2.13	2.13	458590	15668293.00
2010/10/18	2.15	2.15	2.07	2.09	438493	14507551.00
2010/10/19	2.13	2.25	2.08	2.21	806450	28065060.00
2010/10/20	2.18	2.24	2.16	2.18	601740	20994186.00
2010/10/21	2.18	2.19	2.14	2.14	304722	10401507.00
2010/10/22	2.15	2.20	2.13	2.18	315907	10867463.00
2010/10/25	2.18	2.25	2.18	2.24	708451	24983984.00
2010/10/26	2.22	2.23	2.18	2.19	737363	25666274.00
2010/10/27	2.19	2.23	2.18	2.19	400121	13912039.00
2010/10/28	2.20	2.20	2.13	2.16	1704539	57891056.00
2010/10/29	2.16	2.20	2.15	2.20	948688	32734506.00
2010/11/01	2.22	2.28	2.21	2.25	1315137	46674192.00
2010/11/02	2.26	2.27	2.19	2.20	1334384	46814308.00
2010/11/03	2.20	2.20	2.14	2.14	913915	31190152.00
2010/11/04	2.14	2.16	2.14	2.16	739531	25156462.00
2010/11/05	2.17	2.17	2.15	2.16	837436	28574800.00
2010/11/08	2.17	2.29	2.17	2.29	2105240	74227520.00
2010/11/09	2.30	2.31	2.26	2.30	2146577	77400624.00
2010/11/10	2.30	2.44	2.30	2.40	2702518	101534744.00
2010/11/11	2.38	2.45	2.35	2.35	2192621	82957040.00
2010/11/12	2.35	2.41	2.27	2.27	2248281	82675112.00
2010/11/15	2.29	2.40	2.28	2.40	1665858	61753860.00
2010/11/16	2.41	2.47	2.35	2.40	2625375	99996624.00
2010/11/17	2.38	2.44	2.33	2.33	1222772	45807132.00
2010/11/18	2.33	2.38	2.32	2.36	786650	29154736.00
2010/11/19	2.37	2.53	2.35	2.53	2969692	115129928.00
2010/11/22	2.53	2.57	2.47	2.49	2355796	93205312.00
