300373 扬杰科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/01/23	4.01	4.99	4.01	4.99	2366429	66310792.00
2014/01/24	5.56	5.56	5.56	5.56	1318038	41043704.00
2014/01/27	6.18	6.18	6.18	6.18	874140	29939296.00
2014/01/28	6.73	6.87	6.65	6.87	12323077	460274304.00
2014/01/30	6.59	7.07	6.50	6.77	8353841	310358496.00
2014/02/07	6.75	7.27	6.75	7.22	6685895	257264128.00
2014/02/10	7.26	8.01	7.26	8.01	3820430	160585408.00
2014/02/11	8.47	8.79	8.09	8.34	7544210	343056000.00
2014/02/12	8.36	9.24	8.36	9.13	6295690	301301920.00
2014/02/17	9.53	10.11	9.23	10.09	7304443	378714016.00
2014/02/18	9.89	10.22	9.49	9.67	6757650	353076704.00
2014/02/19	9.61	9.83	8.93	9.33	5208088	259708192.00
2014/02/20	9.23	9.81	8.95	9.31	4679241	235780608.00
2014/02/21	9.15	9.52	9.01	9.46	3490808	174449888.00
2014/02/24	9.46	9.67	9.32	9.65	3494324	178139024.00
2014/02/25	9.71	10.15	8.62	8.62	6257152	316666240.00
2014/02/26	8.17	8.41	7.89	8.29	3762079	166319568.00
2014/02/27	8.33	8.46	7.64	7.76	3852842	167754464.00
2014/02/28	7.80	8.21	7.64	8.13	3112155	134053840.00
2014/03/03	9.01	9.01	9.01	9.01	505050	24429268.00
2014/03/04	9.97	9.97	9.56	9.97	8326986	437651296.00
2014/03/05	10.18	10.38	9.48	9.66	6687914	354293440.00
2014/03/06	9.41	10.70	9.27	10.70	5745564	305066848.00
2014/03/07	11.19	11.79	10.25	10.68	9060657	530185920.00
2014/03/10	10.32	11.10	9.79	10.67	5992097	337784864.00
2014/03/11	10.53	10.69	9.81	10.35	4975763	272934560.00
2014/03/12	10.13	10.26	9.34	9.76	4646513	243066816.00
2014/03/13	9.69	9.84	9.45	9.77	2877207	148876416.00
2014/03/14	9.64	10.59	9.54	10.03	5333340	288822816.00
2014/03/17	9.87	10.17	9.79	10.06	3413302	181154688.00
2014/03/18	10.01	10.53	9.86	9.97	4425995	239314592.00
2014/03/19	9.83	10.53	9.63	10.38	5288649	284149184.00
2014/03/20	10.26	10.67	9.79	9.80	4332096	237684400.00
2014/03/21	9.63	10.03	9.38	9.81	3068100	158108784.00
2014/03/24	9.59	9.80	8.76	8.79	4770968	233497424.00
2014/03/25	8.70	8.90	8.48	8.69	2141360	99873000.00
2014/03/26	8.69	8.86	8.52	8.57	1609078	75429392.00
2014/03/27	8.57	8.65	7.99	7.99	2200123	99338232.00
2014/03/28	8.01	8.32	7.69	7.99	2528631	109817456.00
2014/03/31	8.01	8.25	7.78	8.12	1944910	85201144.00
2014/04/01	8.09	8.55	8.04	8.50	2503740	113850104.00
2014/04/02	8.53	8.54	8.14	8.47	2134768	96212544.00
2014/04/03	8.36	8.58	8.23	8.33	2040523	92731936.00
2014/04/04	8.23	8.55	8.15	8.49	1572614	71351720.00
2014/04/08	8.83	9.40	8.75	9.40	4422465	217077232.00
2014/04/09	9.73	10.03	9.61	9.81	5052926	265056768.00
2014/04/10	9.73	10.00	9.47	9.47	4290556	223507952.00
2014/04/11	9.31	9.49	9.06	9.09	3470801	171866016.00
2014/04/14	9.18	9.47	9.14	9.31	2186462	109276224.00
2014/04/15	9.23	9.42	9.11	9.36	1670390	83056400.00
2014/04/16	9.22	9.31	8.98	9.06	1772270	86736848.00
2014/04/17	9.07	9.31	9.07	9.10	1418555	70060600.00
2014/04/18	9.08	9.23	8.94	9.09	1206874	58840288.00
2014/04/21	9.09	10.03	8.95	9.53	4159017	213653408.00
2014/04/22	9.53	9.86	9.35	9.79	3685610	190149584.00
2014/04/23	9.65	9.99	9.60	9.67	2759493	144382928.00
2014/04/24	9.61	10.25	9.51	10.16	4513828	239803216.00
2014/04/25	9.99	10.15	9.59	9.62	3224212	170375792.00
2014/04/28	9.45	9.56	8.59	8.59	3266221	156892384.00
2014/04/29	8.43	8.98	8.39	8.97	2576077	121345272.00
2014/04/30	8.87	9.07	8.87	9.01	1760274	84892576.00
2014/05/05	8.94	9.91	8.89	9.89	3132983	159058976.00
2014/05/06	9.79	10.19	9.71	9.97	3020668	160674848.00
2014/05/07	9.87	10.43	9.75	10.10	4180173	226827248.00
2014/05/08	9.97	10.17	9.81	9.95	2428711	129397392.00
2014/05/09	10.17	10.93	9.97	10.06	4313759	237678256.00
2014/05/12	9.93	10.20	9.65	10.17	2777597	147434112.00
2014/05/13	10.13	10.85	10.09	10.70	3832463	215382656.00
2014/05/14	10.69	11.73	10.59	11.45	5804049	344883104.00
2014/05/15	11.42	12.66	11.21	12.66	8092932	516637920.00
2014/05/16	12.37	12.37	11.33	11.33	9317910	287608736.00
2014/05/19	10.77	11.09	10.17	10.39	12624913	354329856.00
2014/05/20	10.73	11.24	10.44	10.65	11224976	320711808.00
2014/05/21	10.45	10.61	10.09	10.59	7860238	215814960.00
2014/05/22	10.57	10.74	10.23	10.29	7259347	201903920.00
2014/05/23	10.17	10.55	10.14	10.48	6595997	182190016.00
2014/05/26	10.67	10.72	10.35	10.50	6167131	171682528.00
2014/05/27	10.52	11.36	10.33	11.21	11359600	326350560.00
2014/05/28	11.01	11.49	10.91	11.31	10259494	304339456.00
2014/05/29	11.17	11.37	10.52	10.62	7769817	224465408.00
2014/05/30	10.53	10.81	10.45	10.63	4005601	113264944.00
2014/06/03	10.62	10.81	10.53	10.61	3406484	96198416.00
2014/06/04	10.61	10.77	10.10	10.37	4988697	138352592.00
2014/06/05	10.27	10.37	10.13	10.35	4720394	128242176.00
2014/06/06	10.44	10.61	10.21	10.29	4371887	120567648.00
2014/06/09	10.29	10.37	9.88	9.91	4342442	116415864.00
2014/06/10	9.97	10.25	9.90	10.23	3874144	104172248.00
2014/06/11	10.17	10.20	9.95	10.02	4015433	107040640.00
2014/06/12	10.01	10.11	9.91	9.93	2775099	73579256.00
2014/06/13	9.95	10.17	9.91	10.07	3611384	96493480.00
2014/06/16	10.06	10.64	10.02	10.51	6891034	190369696.00
2014/06/17	10.42	10.49	10.09	10.11	4748266	128999552.00
2014/06/18	10.09	10.19	9.89	9.92	4161425	110711648.00
2014/06/19	10.02	10.05	8.98	9.19	5092781	128559752.00
2014/06/20	9.17	9.37	9.11	9.24	2346320	57797376.00
2014/06/23	9.29	9.69	9.25	9.53	4278430	108935760.00
2014/06/24	9.57	9.76	9.49	9.59	3132353	80184600.00
2014/06/25	9.69	10.17	9.63	10.09	7318955	194010960.00
2014/06/26	10.09	11.16	10.01	11.16	14232920	410375296.00
2014/06/27	11.77	11.77	10.94	11.03	16644183	497161504.00
2014/06/30	10.69	11.43	10.61	11.15	11145755	327453216.00
2014/07/01	10.99	11.29	10.69	10.93	7955575	230088096.00
2014/07/02	10.82	10.91	10.39	10.66	5898865	166299312.00
2014/07/03	10.57	10.90	10.53	10.83	4716662	134886528.00
2014/07/04	10.75	11.04	10.71	10.81	5118492	147089424.00
2014/07/07	10.77	10.77	10.43	10.52	4370369	121719240.00
2014/07/08	10.51	10.67	10.31	10.65	3663298	101927720.00
2014/07/09	10.55	10.69	9.85	10.15	4118856	113772448.00
2014/07/10	10.13	10.39	10.05	10.15	2517455	68393296.00
2014/07/11	10.08	10.29	9.98	10.03	2700323	72524816.00
2014/07/14	10.01	10.25	9.93	10.22	2280993	61031548.00
2014/07/15	10.23	10.25	9.84	9.91	2787611	73756944.00
2014/07/16	9.83	9.95	9.55	9.60	2334514	60373612.00
2014/07/17	9.64	9.76	9.57	9.72	1450132	37348268.00
2014/07/18	9.69	9.83	9.62	9.64	1277827	33044142.00
2014/07/21	9.64	9.67	9.39	9.51	1405607	35635320.00
2014/07/22	9.55	9.78	9.51	9.75	1772332	45775656.00
2014/07/23	9.76	9.81	9.20	9.30	2638119	66460412.00
2014/07/24	9.30	9.55	9.06	9.49	2321186	57895624.00
2014/07/25	9.37	9.51	9.21	9.35	1650624	41158444.00
2014/07/28	9.41	9.59	9.32	9.56	2553729	64641924.00
2014/07/29	9.58	9.81	9.58	9.71	2638562	68119792.00
2014/07/30	9.70	9.70	9.51	9.67	2281239	58303488.00
2014/07/31	9.69	9.76	9.60	9.69	1715141	44155672.00
2014/08/01	9.63	9.64	9.30	9.35	2337018	59150328.00
2014/08/04	9.29	9.47	9.29	9.44	954659	23949020.00
2014/08/05	9.43	9.68	9.34	9.66	2247884	57201552.00
2014/08/06	9.63	9.81	9.59	9.69	2468991	63892204.00
2014/08/07	9.69	9.81	9.69	9.74	1948621	50459508.00
2014/08/08	9.81	9.85	9.66	9.76	2111105	54777880.00
2014/08/11	9.74	9.87	9.72	9.87	2450756	63942560.00
2014/08/12	9.93	10.35	9.93	10.27	5409719	146731104.00
2014/08/13	10.21	10.21	9.87	10.04	3615459	96234512.00
2014/08/14	10.05	10.11	9.87	9.88	2161212	57462296.00
2014/08/15	9.88	9.95	9.77	9.93	1939299	50956252.00
2014/08/18	9.93	10.21	9.92	10.18	2650880	71022000.00
2014/08/19	10.20	10.41	10.13	10.28	3937082	107065280.00
2014/08/20	10.28	10.49	10.14	10.35	4024270	110127104.00
2014/08/21	10.37	10.47	10.14	10.28	3121324	85215864.00
2014/08/22	10.31	10.56	10.21	10.55	4186249	115732880.00
2014/08/25	10.61	10.69	10.28	10.33	3115908	85951928.00
2014/08/26	10.33	10.35	9.95	10.01	2706716	72500640.00
2014/08/27	9.97	10.15	9.97	10.02	1400594	37487160.00
2014/08/28	10.05	10.15	9.78	9.87	1969373	52109660.00
2014/08/29	9.89	10.03	9.87	9.99	1222557	32352828.00
2014/09/01	9.99	10.25	9.95	10.24	1985210	53428664.00
2014/09/02	10.27	10.67	10.27	10.55	4873649	135744608.00
2014/09/03	10.51	10.63	10.36	10.63	4055806	112647384.00
2014/09/04	10.63	11.17	10.54	10.95	6455181	185642800.00
2014/09/05	10.92	10.96	10.73	10.83	3392334	97301960.00
2014/09/09	10.85	11.03	10.75	10.95	3287169	94934488.00
2014/09/10	10.86	11.16	10.78	11.13	3959867	115133608.00
2014/09/11	11.13	11.37	10.94	11.05	6001804	176833360.00
2014/09/12	11.03	11.19	10.97	11.10	2703013	79056592.00
2014/09/15	11.05	11.36	11.03	11.24	3456084	102359592.00
2014/09/16	11.19	11.35	10.56	10.58	4493761	130753000.00
2014/09/17	10.58	10.77	10.39	10.70	2317667	65059620.00
2014/09/18	10.61	10.81	10.57	10.68	1781638	50443352.00
2014/09/19	10.72	10.76	10.56	10.72	1652756	46645064.00
2014/09/22	10.65	10.69	10.41	10.41	2126150	59127920.00
2014/09/23	10.35	10.62	10.32	10.61	1646585	45826992.00
2014/09/24	10.54	10.72	10.52	10.71	2313159	65261308.00
2014/09/25	10.72	10.84	10.59	10.66	2215066	62708564.00
2014/09/26	10.68	10.69	10.20	10.63	1803421	50535704.00
2014/09/29	10.58	10.91	10.58	10.87	3417790	97086232.00
2014/09/30	10.88	10.96	10.81	10.89	3261694	93936912.00
2014/10/08	10.91	11.17	10.89	11.13	3462821	101191072.00
2014/10/09	11.14	11.20	10.85	11.04	3684275	107198888.00
2014/10/10	11.01	11.01	10.85	10.88	2027384	58543548.00
2014/10/13	10.83	11.29	10.63	11.29	5063966	147419024.00
2014/10/14	11.25	11.55	11.06	11.17	5021186	149765664.00
2014/10/15	11.09	11.69	11.05	11.56	6504285	196705520.00
2014/10/16	11.43	12.12	11.31	11.66	6758191	209521552.00
2014/10/17	11.63	12.40	11.29	12.29	10467088	328079744.00
2014/10/20	12.29	12.30	11.93	12.25	5192790	165820496.00
2014/10/21	12.16	12.49	12.04	12.09	4646318	149193136.00
2014/10/22	12.06	12.13	11.45	11.45	5020691	155564976.00
2014/10/23	11.44	11.44	10.91	10.97	3443775	101611904.00
2014/10/24	10.97	11.21	10.90	11.05	2619438	76559816.00
2014/10/27	11.03	11.29	10.84	11.22	1952851	57321280.00
2014/10/28	11.22	11.59	11.22	11.59	2639673	79637400.00
2014/10/29	11.59	11.77	11.45	11.54	3196315	97504840.00
2014/10/30	11.49	11.98	11.47	11.83	4022109	124524232.00
2014/10/31	11.89	11.92	11.46	11.70	3102242	95170064.00
2014/11/03	11.81	11.97	11.69	11.87	2569761	80252480.00
2014/11/04	11.85	11.91	11.35	11.47	3356940	102268208.00
2014/11/05	11.45	11.47	11.14	11.19	2495345	74012608.00
2014/11/06	11.25	11.49	11.22	11.49	1886930	56578728.00
2014/11/07	11.55	11.72	11.28	11.39	2839243	86275264.00
2014/11/10	11.33	11.53	11.21	11.45	1915580	57381888.00
2014/11/11	11.41	11.41	10.71	10.82	3208071	93524416.00
2014/11/12	10.75	11.14	10.73	11.08	2096543	60702632.00
2014/11/13	10.97	10.97	10.45	10.55	3196982	89811040.00
2014/11/14	10.37	10.53	10.27	10.44	1920762	52811528.00
2014/11/17	10.37	10.67	10.37	10.57	1450503	40567052.00
2014/11/18	10.57	10.65	10.50	10.58	950751	26600092.00
2014/11/19	10.58	10.80	10.57	10.75	1658037	46968952.00
2014/11/20	10.69	10.73	10.54	10.59	1217116	34220672.00
2014/11/21	10.62	10.76	10.62	10.74	1636872	46454828.00
2014/11/24	10.85	10.89	10.67	10.71	1762848	50090640.00
2014/11/25	10.71	10.88	10.57	10.81	2881362	81435928.00
2014/11/26	10.77	11.36	10.71	11.17	3916094	114461728.00
2014/11/27	11.17	11.43	11.11	11.35	3688893	109948592.00
2014/11/28	11.27	11.36	11.09	11.25	2836600	83979512.00
2014/12/01	11.25	11.76	11.18	11.66	4912834	149247232.00
2014/12/02	11.67	12.13	11.54	11.81	4939179	154828896.00
2014/12/03	11.76	12.05	11.31	11.61	4609784	141010480.00
2014/12/04	11.64	11.72	11.37	11.51	3620440	109742024.00
2014/12/05	11.46	11.47	10.65	10.82	4105834	119240168.00
2014/12/08	10.75	10.94	10.54	10.69	2663576	75576920.00
2014/12/09	10.68	10.80	10.26	10.29	3024988	83931688.00
2014/12/10	10.29	10.69	10.23	10.61	1848081	51452532.00
2014/12/11	10.53	10.75	10.49	10.69	1663788	46977188.00
2014/12/12	10.69	10.88	10.64	10.83	1591584	45281812.00
2014/12/15	10.73	11.01	10.72	11.01	1906963	54989804.00
2014/12/16	11.05	11.15	10.82	10.85	1663256	47980588.00
2014/12/17	10.82	10.83	10.43	10.51	2095479	58686752.00
2014/12/18	10.47	10.69	10.36	10.41	1134130	31619784.00
2014/12/19	10.37	10.50	9.85	10.00	2146307	57414940.00
2014/12/22	10.00	10.00	9.00	9.16	1921687	47995908.00
