300386 飞天诚信 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/06/26	8.54	10.35	8.54	10.35	211807	10072089.00
2014/06/27	11.43	11.43	11.43	11.43	57486	3016865.25
2014/06/30	12.63	12.63	12.63	12.63	56844	3281604.00
2014/07/01	13.94	13.94	13.94	13.94	71682	4551807.00
2014/07/02	15.38	15.38	15.38	15.38	110995	7753001.00
2014/07/03	16.97	16.97	16.97	16.97	179117	13763350.00
2014/07/04	18.72	18.72	18.72	18.72	372976	31523932.00
2014/07/07	20.64	20.64	20.64	20.64	617172	57378480.00
2014/07/08	22.75	22.75	22.75	22.75	1280783	130985680.00
2014/07/09	25.08	25.08	25.08	25.08	935313	105222712.00
2014/07/10	27.63	27.63	27.63	27.63	791691	97971760.00
2014/07/11	30.45	30.45	30.45	30.45	5959008	811199744.00
2014/07/14	31.33	32.58	30.53	30.59	13631566	1911435136.00
2014/07/15	31.31	31.31	29.01	29.20	7739977	1043017408.00
2014/07/16	28.83	29.46	27.73	28.82	5688645	729773632.00
2014/07/17	28.77	29.42	27.92	28.98	4025394	518048768.00
2014/07/18	28.83	29.39	28.26	28.37	2966870	382342816.00
2014/07/21	27.69	27.80	26.08	26.55	4769274	572353664.00
2014/07/22	26.48	26.89	26.25	26.45	2337882	277748768.00
2014/07/23	26.31	26.59	25.59	26.01	3227715	377908416.00
2014/07/24	25.64	27.12	25.42	26.11	4138542	490681472.00
2014/07/25	25.84	25.84	24.44	24.96	3852234	433371552.00
2014/07/28	25.09	25.53	24.93	25.20	2966396	335542944.00
2014/07/29	25.20	26.00	25.20	25.53	2591886	298090112.00
2014/07/30	25.52	26.51	25.03	26.37	3916062	451442528.00
2014/07/31	26.01	26.06	25.46	25.58	2460368	283674432.00
2014/08/01	25.38	25.98	25.15	25.17	1500682	171783120.00
2014/08/04	25.19	26.28	25.06	25.78	2032815	235961536.00
2014/08/05	25.69	26.85	25.55	26.31	2500644	295537440.00
2014/08/06	26.12	26.41	25.64	25.78	1723538	200433808.00
