300450 先导智能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/05/18	1.77	1.98	1.77	1.98	2100	63372.00
2015/05/19	2.24	2.24	2.24	2.24	1500	50385.00
2015/05/20	2.52	2.52	2.52	2.52	1200	44340.00
2015/05/21	2.82	2.82	2.82	2.82	2500	101625.00
2015/05/22	3.16	3.16	3.16	3.16	1800	80496.00
2015/05/25	3.54	3.54	3.54	3.54	2800	137732.00
2015/05/26	3.95	3.95	3.95	3.95	1700	91987.00
2015/05/27	4.40	4.40	4.40	4.40	5800	345216.00
2015/05/28	4.90	4.90	4.90	4.90	6700	438649.00
2015/05/29	5.44	5.44	5.44	5.44	14500	1044290.00
2015/06/01	6.04	6.04	6.04	6.04	3100	245582.00
2015/06/02	6.70	6.70	6.70	6.70	10100	880114.00
2015/06/03	7.43	7.43	7.43	7.43	37769	3620158.75
2015/06/04	8.23	8.23	8.23	8.23	58700	6189328.00
2015/06/05	9.11	9.11	9.11	9.11	37950	4401441.00
2015/06/08	10.08	10.08	10.08	10.08	150850	19245444.00
2015/06/09	10.12	11.14	9.54	11.14	8798904	1189375744.00
2015/06/10	12.32	12.32	12.32	12.32	307462	47462908.00
2015/06/11	13.60	13.60	13.60	13.60	26400	4482984.00
2015/06/12	15.02	15.02	14.63	15.02	4297126	802509568.00
2015/06/15	13.63	14.79	13.46	13.46	3806292	658915328.00
2015/06/16	13.20	14.87	12.95	13.29	5853886	1003782144.00
2015/06/17	13.04	14.61	13.03	14.20	4253475	738882112.00
2015/06/18	13.66	13.79	12.72	12.72	4118956	669543936.00
2015/06/19	12.03	13.03	11.53	11.54	2708905	419982368.00
2015/06/23	11.91	12.75	11.87	12.75	3428655	541509376.00
2015/06/24	13.12	13.19	11.42	11.74	4932593	743369472.00
2015/06/25	11.53	12.13	11.24	11.28	2525057	370004064.00
2015/06/26	11.12	11.45	10.10	10.10	1861334	247191936.00
2015/06/29	9.53	10.95	9.03	10.45	4157067	532237888.00
2015/06/30	10.28	11.55	9.87	11.55	2713230	370164960.00
2015/07/01	11.14	12.76	11.13	11.37	2732530	408433152.00
2015/07/02	11.00	11.12	10.17	10.17	1891817	249364000.00
2015/07/03	9.11	10.67	9.10	9.10	2537089	302755584.00
2015/07/06	10.07	10.07	8.13	8.13	2866782	332507456.00
2015/07/07	7.44	7.61	7.26	7.26	762300	71844696.00
2015/07/08	6.48	7.78	6.48	6.48	3867565	332484864.00
2015/07/09	6.77	7.19	6.65	7.19	2514006	229595152.00
2015/07/10	7.96	7.96	7.96	7.96	102960	10521482.00
2015/07/13	8.81	8.81	8.81	8.81	58139	6535405.00
2015/07/14	9.75	9.75	9.45	9.75	3044918	375681696.00
2015/07/15	9.36	9.61	8.72	8.72	2621586	298002176.00
2015/07/16	8.20	9.62	7.96	9.02	2057391	234001424.00
2015/07/17	9.20	9.79	9.20	9.66	1963782	238616112.00
2015/07/20	9.55	10.03	9.37	9.70	1786688	219829792.00
2015/07/21	9.46	10.73	9.28	10.73	2155286	278915936.00
2015/07/22	10.97	11.86	10.74	11.86	3736962	536606944.00
2015/07/23	13.10	13.10	12.62	13.10	2383848	388358688.00
2015/07/24	13.64	14.47	13.64	13.70	3213505	569801472.00
2015/07/27	12.87	14.77	12.79	12.95	3127293	533044352.00
2015/07/28	12.12	14.30	11.77	13.92	2855936	474473376.00
2015/07/29	14.08	14.32	12.47	13.47	3488286	567727936.00
2015/07/30	13.02	13.33	12.08	12.15	1995960	321005952.00
2015/07/31	12.22	13.08	11.46	11.87	2151951	332453600.00
