300493 润欣科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/12/10	2.18	2.40	2.18	2.40	10000	98817.00
2015/12/11	2.66	2.66	2.66	2.66	5600	60928.00
2015/12/14	2.95	2.95	2.95	2.95	3100	37107.00
2015/12/15	3.27	3.27	3.27	3.27	2900	38193.00
2015/12/16	3.62	3.62	3.62	3.62	3870	56076.30
2015/12/17	4.01	4.01	4.01	4.01	2900	46226.00
2015/12/18	4.43	4.43	4.43	4.43	12500	219125.00
2015/12/21	4.90	4.90	4.90	4.90	8890	171399.20
2015/12/22	5.42	5.42	5.42	5.42	9610	203828.09
2015/12/23	5.98	5.98	5.98	5.98	16380	382145.41
2015/12/24	6.60	6.60	6.60	6.60	26460	678963.63
2015/12/25	7.29	7.29	7.29	7.29	29200	824316.00
2015/12/28	8.04	8.04	8.04	8.04	39777	1235075.88
2015/12/29	8.87	8.87	8.87	8.87	106382	3634009.00
2015/12/30	9.78	9.78	9.78	9.78	75801	2848601.50
2015/12/31	10.78	10.78	10.78	10.78	301286	12455163.00
2016/01/04	11.89	11.89	11.89	11.89	316486	14390618.00
2016/01/05	13.10	13.10	13.10	13.10	648190	32422464.00
2016/01/06	14.43	14.43	14.43	14.43	92166	5070973.50
2016/01/07	15.90	15.90	15.90	15.90	136000	8230720.00
2016/01/08	17.51	17.51	17.51	17.51	301440	20066860.00
2016/01/11	19.29	19.29	19.29	19.29	6261575	458535136.00
2016/01/12	18.37	19.23	17.34	17.34	14676848	999274112.00
2016/01/13	16.16	16.56	15.58	15.58	12930453	779758528.00
2016/01/14	14.56	16.29	14.56	15.23	9924921	581702400.00
2016/01/15	15.23	15.60	13.68	13.68	8271304	454985536.00
2016/01/18	12.54	13.76	12.29	12.86	8684224	426193920.00
2016/01/19	12.71	14.15	12.71	13.88	8934664	464156896.00
2016/01/20	13.50	14.08	12.83	13.14	7745568	398213312.00
2016/01/21	12.92	13.73	12.56	12.56	6235746	312308992.00
2016/01/22	12.81	13.23	11.94	12.97	6136113	297966848.00
2016/01/25	13.20	13.31	12.71	13.14	4997047	248526128.00
2016/01/26	12.81	12.82	11.80	11.80	4883390	226381776.00
2016/01/27	11.19	11.98	10.59	11.63	6384933	272755328.00
2016/01/28	11.23	11.36	10.44	10.44	3955154	164832464.00
2016/01/29	10.29	11.07	10.16	10.83	5280812	218038240.00
2016/02/01	10.64	11.28	10.40	10.66	4454685	185955040.00
2016/02/02	10.54	11.49	10.54	11.17	5409448	232059488.00
2016/02/03	10.83	11.31	10.70	11.21	3558261	149907232.00
2016/02/04	11.23	12.35	11.23	12.02	5457505	249208032.00
2016/02/05	11.79	12.08	11.40	11.40	4188609	187556112.00
2016/02/15	10.64	11.30	10.47	11.09	3316815	138276976.00
2016/02/16	11.23	12.12	11.23	11.83	4225074	190125632.00
2016/02/17	11.76	12.82	11.71	12.35	5504335	258241328.00
2016/02/18	12.53	13.61	12.19	13.33	8300962	409608768.00
2016/02/19	13.09	14.01	12.96	13.36	6708383	344280992.00
2016/02/22	13.50	14.72	13.44	14.57	8611652	469378752.00
2016/02/23	14.35	14.93	14.27	14.69	8046426	447625024.00
2016/02/24	14.43	14.57	13.20	13.35	8288284	431073408.00
2016/02/25	13.39	13.48	11.99	12.00	6533071	314378272.00
2016/02/26	12.16	12.25	11.23	11.63	4561640	206906704.00
2016/02/29	11.37	11.41	10.44	10.44	3825493	154756880.00
2016/03/01	10.27	10.93	9.69	10.68	5101051	203002496.00
2016/03/02	10.54	11.55	10.51	11.42	4588472	194092992.00
2016/03/03	11.33	11.75	10.90	10.90	4627897	201798464.00
2016/03/04	10.70	10.95	9.79	9.83	4934346	193783632.00
2016/03/07	9.89	10.72	9.89	10.34	3613855	143598048.00
2016/03/08	10.16	10.55	9.49	10.51	4198206	162861776.00
2016/03/09	10.16	10.77	9.95	10.47	4154121	166317040.00
2016/03/10	10.43	10.69	10.12	10.14	3039853	121453824.00
2016/03/11	10.00	10.36	9.76	10.18	2698078	104840096.00
2016/03/14	10.56	11.08	10.43	10.90	4593343	191241776.00
2016/03/15	10.79	11.03	10.55	10.56	3385537	140249024.00
2016/03/16	10.95	10.96	10.43	10.49	3157020	129513800.00
2016/03/17	10.56	11.27	10.52	11.25	5145194	216042816.00
2016/03/18	11.41	12.27	11.23	12.20	5925340	268651136.00
2016/03/21	12.53	12.95	12.20	12.72	5966230	286614176.00
2016/03/22	12.37	12.88	12.30	12.46	3848921	184926400.00
2016/03/23	12.41	12.85	12.30	12.83	4742529	228101360.00
2016/03/24	12.58	12.61	11.95	12.05	5024809	238197184.00
2016/03/25	12.11	12.26	11.74	12.01	3229371	148170640.00
2016/03/28	12.11	13.08	12.03	12.23	5143938	246519952.00
2016/03/29	12.07	12.15	11.42	11.59	4096634	183579824.00
2016/03/30	11.85	12.35	11.70	12.31	3456400	158824048.00
2016/03/31	12.53	12.82	12.32	12.57	4392906	211321728.00
2016/04/01	12.43	12.60	11.89	12.29	3343215	156443504.00
2016/04/05	12.27	12.92	12.19	12.84	3815043	183542320.00
2016/04/06	12.75	12.97	12.48	12.69	3857358	187767216.00
2016/04/07	12.80	12.82	12.05	12.12	3767642	178584688.00
2016/04/08	12.03	12.64	11.97	12.61	4526077	214317680.00
2016/04/11	12.87	13.31	12.56	13.26	5876100	293173312.00
2016/04/12	13.13	13.78	12.53	12.81	7289333	369051520.00
2016/04/13	12.94	13.59	12.83	13.07	4630688	233514112.00
2016/04/14	13.12	14.40	13.12	14.40	7623198	403998944.00
2016/04/15	13.87	14.25	13.68	13.91	8077292	428745920.00
2016/04/18	13.84	13.84	12.98	13.07	4721154	238654288.00
2016/04/19	13.26	13.68	13.03	13.32	4210532	215027856.00
2016/04/20	13.46	13.46	11.97	12.03	6020032	288245504.00
2016/04/21	11.87	12.10	11.39	11.43	3761663	170148144.00
