300546 雄帝科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/09/28	9.31	11.27	9.31	11.27	3700	105179.00
2016/09/29	12.44	12.44	12.44	12.44	100	3236.00
2016/09/30	13.74	13.74	13.74	13.74	1600	56960.00
2016/10/10	15.16	15.16	15.16	15.16	100	3916.00
2016/10/11	16.73	16.73	16.73	16.73	4400	189552.00
2016/10/12	18.46	18.46	18.46	18.46	2300	108997.00
2016/10/13	20.35	20.35	20.35	20.35	5100	265863.00
2016/10/14	22.44	22.44	22.44	22.44	4600	263764.00
2016/10/17	24.73	24.73	24.73	24.73	4412	278264.84
2016/10/18	27.25	27.25	27.25	27.25	3900	270582.00
2016/10/19	30.03	30.03	30.03	30.03	11600	885312.00
2016/10/20	33.08	33.08	33.08	33.08	26786	2248684.75
2016/10/21	36.44	36.44	36.44	36.44	33315	3076640.25
2016/10/24	40.14	40.14	40.14	40.14	131697	13379098.00
2016/10/25	44.20	44.20	44.20	44.20	136769	15283936.00
2016/10/26	48.67	48.67	48.67	48.67	56700	6970131.00
2016/10/27	53.59	53.59	53.59	53.59	44600	6030812.00
2016/10/28	59.00	59.00	59.00	59.00	56500	8403810.00
2016/10/31	64.94	64.94	55.14	59.10	8142694	1212388480.00
2016/11/01	57.50	59.48	56.78	57.82	4532819	664646784.00
2016/11/02	57.46	61.09	57.11	59.30	4743676	709400128.00
2016/11/03	58.70	59.18	56.39	56.42	4369770	635707520.00
2016/11/04	55.00	57.44	54.98	56.00	2549528	361353088.00
2016/11/07	56.10	56.84	55.18	55.49	1706987	240630048.00
2016/11/08	55.70	56.30	55.06	56.01	1687687	237094368.00
2016/11/09	55.85	58.30	55.42	56.83	2997280	430355360.00
2016/11/10	57.17	61.48	56.70	59.98	3914472	585481664.00
2016/11/11	59.25	60.90	58.66	59.90	2954620	444388096.00
2016/11/14	60.10	62.10	59.74	60.27	2420256	370269696.00
2016/11/15	59.90	59.90	56.93	57.18	2527285	368871712.00
2016/11/16	57.44	57.49	56.18	56.35	1306200	186965504.00
2016/11/17	55.90	56.90	55.50	55.62	1212053	171628800.00
2016/11/18	55.50	57.26	55.50	56.62	1396751	199632848.00
2016/11/21	56.62	57.04	55.10	57.03	1439763	204546304.00
2016/11/22	57.22	62.78	57.22	60.44	4017256	614242048.00
2016/11/23	59.65	60.26	58.26	58.40	2352493	351186592.00
2016/11/24	58.38	59.66	57.37	57.49	1529779	224978176.00
2016/11/25	57.50	60.28	55.58	60.01	2224373	327699392.00
2016/11/28	60.30	62.79	59.45	59.60	2931911	451016448.00
2016/11/29	59.90	61.21	58.70	60.44	2214403	336818880.00
2016/11/30	60.44	66.53	59.95	65.50	4351928	704300672.00
2016/12/01	64.30	64.65	61.90	62.42	3098599	494395168.00
