300623 捷捷微电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/14	11.15	13.48	11.15	13.48	7956	310936.25
2017/03/15	14.88	14.88	14.88	14.88	2300	100671.00
2017/03/16	16.41	16.41	16.41	16.41	2300	110745.00
2017/03/17	18.11	18.11	18.11	18.11	8400	444948.00
2017/03/20	19.96	19.96	19.96	19.96	6342	369548.34
2017/03/21	22.01	22.01	22.01	22.01	3904	250246.41
2017/03/22	24.26	24.26	24.26	24.26	11466	808467.69
2017/03/23	26.73	26.73	26.73	26.73	15220	1180463.25
2017/03/24	29.46	29.46	29.46	29.46	16198	1382013.38
2017/03/27	32.45	32.45	32.45	32.45	44620	4187587.00
2017/03/28	35.74	35.74	35.74	35.74	139597	14411994.00
2017/03/29	39.36	39.36	39.36	39.36	499984	56778184.00
2017/03/30	38.12	38.96	35.38	35.64	11279667	1176825088.00
2017/03/31	33.73	34.33	32.02	32.02	7103333	677256512.00
2017/04/05	30.50	31.00	29.40	30.39	5193035	454534976.00
2017/04/06	30.39	31.87	30.06	30.76	4876646	438872832.00
2017/04/07	30.40	31.02	29.27	29.37	4088201	354107584.00
2017/04/10	29.62	29.88	28.17	28.33	4089174	345162944.00
2017/04/11	27.82	28.69	27.20	28.66	4103235	332725792.00
2017/04/12	28.32	28.95	27.60	27.92	2866919	235217440.00
2017/04/13	27.85	28.41	27.59	27.82	1937823	157523312.00
2017/04/14	27.80	27.80	27.04	27.11	1956956	155177200.00
2017/04/17	25.84	25.84	24.35	24.35	3052156	220445952.00
2017/04/18	24.14	24.55	23.34	23.66	2456270	171163696.00
2017/04/19	23.60	24.50	23.42	24.33	2255660	157827840.00
2017/04/20	24.21	24.28	23.38	23.64	1903123	131715600.00
2017/04/21	23.73	23.91	23.23	23.28	1325044	90704464.00
2017/04/24	23.03	24.01	22.61	23.72	2062361	140237632.00
2017/04/25	23.73	24.33	23.58	23.74	1878139	130867848.00
2017/04/26	23.59	24.71	23.56	24.32	2657463	187774112.00
2017/04/27	24.12	25.76	23.92	25.56	3449956	250384272.00
2017/04/28	25.45	25.69	25.07	25.48	1919886	141469936.00
2017/05/02	25.31	25.73	25.06	25.15	1439527	105768208.00
2017/05/03	25.12	25.55	24.39	25.41	2333119	169845680.00
2017/05/04	25.20	25.23	24.42	24.46	1760698	126964416.00
2017/05/05	24.10	24.82	23.98	23.98	1418160	100609328.00
2017/05/08	23.77	24.27	23.45	23.55	1140287	79546760.00
