600271 航天信息 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	-1.96	-1.93	-1.96	-1.94	11873376	194203136.00
2013/09/03	-1.94	-1.92	-1.94	-1.92	15251500	252186384.00
2013/09/04	-1.92	-1.90	-1.93	-1.93	11792300	196904224.00
2013/09/05	-1.93	-1.92	-1.95	-1.94	13207785	217530432.00
2013/09/06	-1.94	-1.90	-1.95	-1.90	19287513	321548896.00
2013/09/09	-1.90	-1.88	-1.90	-1.89	19623132	335469184.00
2013/09/10	-1.89	-1.86	-1.90	-1.88	19288080	333825888.00
2013/09/11	-1.87	-1.87	-1.94	-1.93	23120070	388558624.00
2013/09/12	-1.93	-1.91	-1.93	-1.92	9860561	164291264.00
2013/09/13	-1.93	-1.92	-1.95	-1.93	12342667	202492480.00
2013/09/16	-1.93	-1.89	-1.94	-1.90	16084079	269372736.00
2013/09/17	-1.91	-1.90	-1.94	-1.93	9384758	157316176.00
2013/09/18	-1.93	-1.90	-1.93	-1.91	8021798	134612192.00
2013/09/23	-1.91	-1.87	-1.91	-1.88	19382005	334242688.00
2013/09/24	-1.88	-1.87	-1.89	-1.87	16666570	288917760.00
2013/09/25	-1.87	-1.85	-1.88	-1.85	20559479	360362080.00
2013/09/26	-1.86	-1.83	-1.88	-1.87	19752355	348733760.00
2013/09/27	-1.87	-1.84	-1.88	-1.85	18304344	323748320.00
2013/09/30	-1.83	-1.80	-1.84	-1.81	23560484	428933600.00
2013/10/08	-1.82	-1.77	-1.82	-1.78	25667344	476089088.00
2013/10/09	-1.78	-1.78	-1.81	-1.80	16859877	311404416.00
2013/10/10	-1.80	-1.78	-1.85	-1.84	20202227	366760960.00
2013/10/11	-1.83	-1.76	-1.83	-1.76	26025979	484619360.00
2013/10/14	-1.75	-1.71	-1.77	-1.74	31707522	612736320.00
2013/10/15	-1.74	-1.71	-1.76	-1.74	14406963	278115680.00
2013/10/16	-1.73	-1.73	-1.80	-1.77	15858432	298845152.00
2013/10/17	-1.78	-1.75	-1.81	-1.78	13917853	261062816.00
2013/10/18	-1.78	-1.75	-1.79	-1.76	10184217	191978432.00
2013/10/21	-1.75	-1.69	-1.75	-1.69	23729610	469060800.00
