600339 中油工程 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	0.48	0.52	0.47	0.48	10814825	43832464.00
2013/09/03	0.47	0.49	0.46	0.49	6650000	26457840.00
2013/09/04	0.48	0.54	0.48	0.53	13292100	54845120.00
2013/09/05	0.53	0.56	0.51	0.51	14845561	62181136.00
2013/09/06	0.49	0.51	0.48	0.50	6968558	28271668.00
2013/09/09	0.49	0.52	0.48	0.50	6855565	28043454.00
2013/09/10	0.50	0.52	0.49	0.51	7863088	32190516.00
2013/09/11	0.51	0.52	0.50	0.52	8568685	35401308.00
2013/09/12	0.52	0.52	0.49	0.50	7961621	32647336.00
2013/09/13	0.50	0.51	0.48	0.50	5659326	22904142.00
2013/09/16	0.49	0.50	0.48	0.49	3158393	12803028.00
2013/09/17	0.49	0.53	0.49	0.49	8426439	34685624.00
2013/09/18	0.50	0.50	0.47	0.49	4268197	17222406.00
2013/09/23	0.49	0.51	0.49	0.51	5985729	24536920.00
2013/09/24	0.51	0.52	0.50	0.51	6247820	25721028.00
2013/09/25	0.51	0.52	0.49	0.50	5443371	22348628.00
2013/09/26	0.49	0.50	0.44	0.44	6263246	24747924.00
2013/09/27	0.45	0.45	0.43	0.43	3310859	12862275.00
2013/09/30	0.44	0.45	0.44	0.45	1551614	6029773.00
2013/10/08	0.45	0.47	0.44	0.47	3075813	12063700.00
2013/10/09	0.47	0.48	0.46	0.48	3464857	13744571.00
2013/10/10	0.47	0.48	0.45	0.46	3321803	13129898.00
2013/10/11	0.46	0.48	0.46	0.48	4308724	17197046.00
2013/10/14	0.48	0.49	0.47	0.48	4326325	17395748.00
2013/10/15	0.48	0.48	0.46	0.47	3669435	14592575.00
2013/10/16	0.47	0.47	0.44	0.44	3931400	15357060.00
2013/10/17	0.44	0.47	0.44	0.45	3704975	14547128.00
2013/10/18	0.45	0.46	0.45	0.45	2087724	8163455.00
2013/10/21	0.45	0.47	0.45	0.46	3389547	13323703.00
2013/10/22	0.47	0.47	0.46	0.47	3717438	14729733.00
2013/10/23	0.47	0.48	0.45	0.45	5170796	20517336.00
2013/10/24	0.45	0.45	0.42	0.43	3197482	12297740.00
2013/10/25	0.43	0.44	0.39	0.40	2886812	10875675.00
2013/10/28	0.40	0.42	0.39	0.40	2196046	8236280.00
2013/10/29	0.40	0.51	0.40	0.51	37747581	153482928.00
2013/10/30	0.51	0.62	0.51	0.62	30572425	135340512.00
2013/10/31	0.75	0.75	0.66	0.70	79656853	387725664.00
2013/11/01	0.60	0.61	0.56	0.56	49126126	213601984.00
2013/11/04	0.53	0.60	0.52	0.56	23107173	99081256.00
2013/11/05	0.55	0.68	0.52	0.68	53388874	244959632.00
2013/11/06	0.73	0.77	0.64	0.64	76016165	371023872.00
2013/11/07	0.55	0.66	0.53	0.63	36739491	163757744.00
2013/11/08	0.60	0.75	0.59	0.73	58495868	284158272.00
2013/11/11	0.69	0.75	0.66	0.73	42125527	204926528.00
2013/11/12	0.70	0.72	0.65	0.70	29444233	139728544.00
2013/11/13	0.62	0.65	0.59	0.60	26209543	118794104.00
2013/11/14	0.60	0.65	0.58	0.63	20593911	92884304.00
2013/11/15	0.62	0.66	0.60	0.63	22533552	102968672.00
2013/11/18	0.62	0.70	0.61	0.66	23677786	110125056.00
2013/11/19	0.66	0.74	0.65	0.71	34878858	167838800.00
2013/11/20	0.70	0.72	0.68	0.71	19589832	93904480.00
2013/11/21	0.70	0.83	0.66	0.78	41323924	207402096.00
2013/11/22	0.76	0.92	0.74	0.92	62068322	336135072.00
2013/11/25	0.98	0.99	0.86	0.88	59984281	335855328.00
2013/11/26	0.86	0.96	0.85	0.87	37454553	206544544.00
2013/11/27	0.87	0.90	0.80	0.89	32340170	173270784.00
2013/11/28	0.88	0.91	0.85	0.86	27111178	147389328.00
2013/11/29	0.84	0.88	0.83	0.86	18932082	101194680.00
2013/12/02	0.80	0.82	0.71	0.71	29933200	149807616.00
2013/12/03	0.67	0.75	0.67	0.74	13785204	67099196.00
2013/12/04	0.73	0.77	0.71	0.73	16704568	82899672.00
2013/12/05	0.73	0.76	0.71	0.72	12947968	63955288.00
2013/12/06	0.73	0.76	0.71	0.73	12207018	60325592.00
2013/12/09	0.74	0.75	0.71	0.74	9732440	47735372.00
2013/12/10	0.74	0.76	0.69	0.71	11441482	55759728.00
2013/12/11	0.70	0.70	0.64	0.66	13760330	64205864.00
2013/12/12	0.65	0.69	0.65	0.66	9003819	42468456.00
2013/12/13	0.65	0.72	0.64	0.69	13099143	62585572.00
2013/12/16	0.68	0.72	0.67	0.71	11559846	55565872.00
2013/12/17	0.71	0.71	0.65	0.65	9559186	44898716.00
2013/12/18	0.64	0.66	0.64	0.65	4274234	19803218.00
2013/12/19	0.65	0.66	0.59	0.60	8678835	39210388.00
2013/12/20	0.60	0.60	0.56	0.57	7130426	31048450.00
2013/12/23	0.57	0.58	0.54	0.58	4954380	21451574.00
2013/12/24	0.58	0.60	0.57	0.58	4602616	20253236.00
2013/12/25	0.59	0.60	0.57	0.60	3601150	15862508.00
2013/12/26	0.59	0.61	0.52	0.54	6345356	27413194.00
2013/12/27	0.54	0.57	0.52	0.56	6732715	28745208.00
2013/12/30	0.57	0.58	0.55	0.56	4326357	18721014.00
2013/12/31	0.56	0.58	0.54	0.57	5185173	22352122.00
2014/01/02	0.58	0.58	0.55	0.57	4417978	19041786.00
2014/01/03	0.56	0.57	0.53	0.57	6043554	25802312.00
2014/01/06	0.55	0.55	0.49	0.50	6307692	26139342.00
2014/01/07	0.50	0.53	0.49	0.51	4324130	17827646.00
2014/01/08	0.51	0.53	0.50	0.52	5227415	21668226.00
2014/01/09	0.51	0.53	0.50	0.50	4680805	19377936.00
2014/01/10	0.50	0.58	0.48	0.54	11591500	49070852.00
2014/01/13	0.53	0.53	0.50	0.52	6862608	28377124.00
2014/01/14	0.50	0.55	0.50	0.55	6938459	28959220.00
2014/01/15	0.54	0.56	0.53	0.55	5978121	25330562.00
2014/01/16	0.55	0.56	0.54	0.55	4531361	19284948.00
