600372 中航电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/07/06	4.06	4.53	4.06	4.43	77617200	1035485824.00
2001/07/09	4.41	4.48	4.32	4.46	23007700	316579264.00
2001/07/10	4.48	4.54	4.43	4.45	14611900	204508256.00
2001/07/11	4.45	4.47	4.35	4.36	8311200	114208024.00
2001/07/12	4.34	4.42	4.29	4.40	5697300	77581544.00
2001/07/13	4.40	4.41	4.27	4.29	5496100	74498856.00
2001/07/16	4.30	4.35	4.20	4.21	5264100	70141736.00
2001/07/17	4.29	4.41	4.22	4.38	3719200	50337312.00
2001/07/18	4.38	4.40	4.31	4.35	1826600	24882694.00
2001/07/19	4.36	4.38	4.27	4.32	1661000	22440294.00
2001/07/20	4.31	4.45	4.31	4.39	3987300	54888320.00
2001/07/23	4.40	4.45	4.33	4.43	3555100	49026660.00
2001/07/24	4.43	4.60	4.38	4.50	14494400	204617344.00
2001/07/25	4.50	4.57	4.45	4.49	5279600	74452864.00
2001/07/26	4.48	4.49	4.40	4.48	3590800	49826164.00
2001/07/27	4.49	4.64	4.43	4.53	7808100	111096608.00
2001/07/30	4.51	4.59	4.35	4.36	7987600	112411960.00
2001/07/31	4.36	4.54	4.35	4.44	6220700	86275824.00
2001/08/01	4.47	4.59	4.47	4.57	6882200	97468008.00
2001/08/02	4.61	4.61	4.38	4.51	5058900	70613392.00
2001/08/03	4.48	4.57	4.45	4.50	3221100	45506720.00
2001/08/06	4.52	4.56	4.41	4.51	4787400	67099256.00
2001/08/07	4.51	4.75	4.47	4.70	12426000	179781312.00
2001/08/08	4.70	4.75	4.64	4.68	5298300	77357096.00
2001/08/09	4.70	4.80	4.66	4.69	4858200	71172640.00
2001/08/10	4.70	4.80	4.67	4.68	6064700	89038912.00
2001/08/13	4.70	4.80	4.70	4.73	4385900	64620208.00
2001/08/14	4.73	4.77	4.56	4.61	7447900	107373272.00
2001/08/15	4.61	4.66	4.57	4.63	2770400	39757648.00
2001/08/16	4.64	4.65	4.56	4.56	2857400	40842000.00
2001/08/17	4.55	4.56	4.41	4.46	4514100	63012232.00
2001/08/20	4.48	4.55	4.42	4.48	1214500	17054928.00
2001/08/21	4.48	4.64	4.48	4.59	2275600	32527968.00
2001/08/22	4.59	4.60	4.44	4.49	2311200	32388608.00
2001/08/23	4.48	4.55	4.41	4.53	1179700	16585706.00
2001/08/24	4.48	4.56	4.42	4.43	2233100	31128556.00
2001/08/27	4.41	4.42	4.13	4.16	5300900	71006472.00
2001/08/28	4.13	4.31	4.06	4.30	2429100	31697620.00
2001/08/29	4.30	4.30	4.16	4.19	1578200	20977156.00
2001/08/30	4.18	4.30	4.13	4.22	2775000	36951344.00
2001/08/31	4.20	4.26	4.05	4.07	3099000	40244000.00
2001/09/03	4.04	4.04	3.75	3.82	5055400	61365048.00
2001/09/04	3.77	3.90	3.75	3.90	2314900	28159486.00
2001/09/05	3.90	3.98	3.84	3.86	1831000	22664452.00
2001/09/06	3.86	3.89	3.80	3.81	1152900	14014522.00
2001/09/07	3.80	3.80	3.53	3.55	3240700	37728584.00
2001/09/10	3.45	3.72	3.40	3.72	1910300	21998128.00
2001/09/11	3.73	3.75	3.59	3.69	1256700	14773171.00
2001/09/12	3.65	3.87	3.45	3.82	3834500	45913396.00
2001/09/13	3.77	3.89	3.77	3.84	1621900	19772652.00
2001/09/14	3.84	3.88	3.72	3.73	1237400	14943324.00
2001/09/17	3.67	3.71	3.58	3.59	1295000	15011789.00
2001/09/18	3.56	3.70	3.49	3.60	1632200	18587802.00
2001/09/19	3.59	3.66	3.52	3.65	821900	9402868.00
2001/09/20	3.67	3.69	3.58	3.59	1314600	15253121.00
2001/09/21	3.58	3.65	3.56	3.59	754100	8691325.00
2001/09/24	3.59	3.61	3.52	3.53	507600	5768493.00
2001/09/25	3.55	3.61	3.52	3.54	727100	8239399.00
2001/09/26	3.53	3.53	3.43	3.46	1082900	12079220.00
2001/09/27	3.43	3.54	3.42	3.49	565700	6318864.00
2001/09/28	3.52	3.56	3.44	3.47	512800	5736969.00
2001/10/08	3.52	3.52	3.23	3.24	951400	10242874.00
2001/10/09	3.20	3.30	3.17	3.27	743900	7846613.00
2001/10/10	3.26	3.26	3.00	3.03	1582100	15913228.00
2001/10/11	3.03	3.07	2.86	2.88	1630600	15726187.00
2001/10/12	2.85	3.13	2.76	3.06	2346200	22827672.00
2001/10/15	3.07	3.11	3.00	3.06	1146300	11450581.00
2001/10/16	3.06	3.07	2.89	2.97	1069000	10439970.00
2001/10/17	3.01	3.09	2.95	3.03	2568000	25499398.00
2001/10/18	3.02	3.06	2.85	2.88	1442900	13866928.00
2001/10/19	2.85	2.90	2.73	2.81	2034000	18828554.00
2001/10/22	2.74	2.82	2.71	2.73	1074400	9861132.00
2001/10/23	3.06	3.06	2.99	3.06	3682600	36677384.00
2001/10/24	3.24	3.41	3.19	3.35	8679400	92801872.00
2001/10/25	3.31	3.34	3.20	3.23	2847000	30064164.00
2001/10/26	3.22	3.27	3.12	3.22	1768400	18348122.00
2001/10/29	3.24	3.34	3.24	3.34	1427100	15222358.00
2001/10/30	3.34	3.36	3.23	3.24	984900	10498854.00
2001/10/31	3.20	3.27	3.15	3.27	835300	8664482.00
2001/11/01	3.27	3.34	3.24	3.30	1156300	12363541.00
2001/11/02	3.28	3.32	3.23	3.27	784000	8307800.00
2001/11/05	3.26	3.26	3.18	3.21	634500	6600405.00
2001/11/06	3.21	3.22	3.17	3.17	519000	5376667.00
2001/11/07	3.16	3.16	2.95	3.00	2062800	20735636.00
2001/11/08	2.92	3.05	2.88	3.02	971800	9503974.00
2001/11/09	2.98	3.10	2.95	3.05	907800	9052225.00
2001/11/12	3.06	3.08	3.01	3.01	372500	3703996.00
2001/11/13	3.02	3.09	2.94	3.05	558000	5474495.00
2001/11/14	3.04	3.09	2.99	3.08	529900	5302916.00
2001/11/15	3.08	3.09	3.02	3.08	317900	3184745.00
2001/11/16	3.44	3.44	3.12	3.13	2199000	23069532.00
2001/11/19	3.13	3.26	3.10	3.23	797500	8296784.00
2001/11/20	3.24	3.38	3.24	3.34	2622200	28211484.00
2001/11/21	3.34	3.38	3.28	3.33	1290600	13909716.00
2001/11/22	3.34	3.39	3.31	3.38	1505300	16332220.00
2001/11/23	3.36	3.39	3.33	3.34	1074400	11631339.00
2001/11/26	3.33	3.33	3.26	3.28	873000	9273197.00
2001/11/27	3.27	3.33	3.26	3.33	1117200	11947386.00
