600438 通威股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	-0.20	-0.17	-0.20	-0.17	9039370	54587728.00
2013/09/03	-0.17	-0.15	-0.18	-0.17	9597477	59114832.00
2013/09/04	-0.17	-0.16	-0.17	-0.17	5979641	36851440.00
2013/09/05	-0.17	-0.17	-0.19	-0.19	5617176	33806776.00
2013/09/06	-0.19	-0.18	-0.19	-0.19	5113140	30551864.00
2013/09/09	-0.19	-0.18	-0.19	-0.18	4117237	24680824.00
2013/09/10	-0.18	-0.17	-0.19	-0.17	5132420	30925632.00
2013/09/11	-0.17	-0.15	-0.18	-0.17	5952020	36524352.00
2013/09/12	-0.17	-0.17	-0.18	-0.17	2848028	17293776.00
2013/09/13	-0.17	-0.17	-0.19	-0.19	4156189	24905516.00
2013/09/16	-0.18	-0.18	-0.20	-0.19	5091820	30262614.00
2013/09/17	-0.19	-0.19	-0.20	-0.20	2744715	16160480.00
2013/09/18	-0.20	-0.19	-0.20	-0.19	2791059	16409796.00
2013/09/23	-0.19	-0.18	-0.19	-0.18	3982852	23910500.00
2013/09/24	-0.18	-0.17	-0.19	-0.18	4173823	25212508.00
2013/09/25	-0.18	-0.14	-0.18	-0.15	13039496	81571560.00
2013/09/26	-0.15	-0.15	-0.16	-0.15	7203712	45147032.00
2013/09/27	-0.16	-0.14	-0.16	-0.15	5091397	31914982.00
2013/09/30	-0.15	-0.12	-0.15	-0.13	8388552	53906816.00
2013/10/08	-0.13	-0.08	-0.14	-0.09	17562978	118804520.00
2013/10/09	-0.09	-0.06	-0.10	-0.07	15339224	107392952.00
2013/10/10	-0.07	-0.07	-0.09	-0.09	6208930	42941720.00
2013/10/11	-0.09	-0.07	-0.09	-0.08	7658177	53386472.00
2013/10/14	-0.08	-0.04	-0.08	-0.06	11308864	81006208.00
2013/10/15	-0.06	-0.05	-0.09	-0.08	9916977	69420832.00
2013/10/16	-0.08	-0.08	-0.12	-0.12	11165513	74826952.00
2013/10/17	-0.11	-0.08	-0.11	-0.09	13758218	93837320.00
2013/10/18	-0.07	-0.02	-0.07	-0.05	31261658	228262000.00
2013/10/21	-0.04	-0.01	-0.07	-0.02	20680518	152274352.00
2013/10/22	-0.03	0.00	-0.05	-0.04	11486572	85415144.00
2013/10/23	-0.04	-0.01	-0.07	-0.06	10120662	73487584.00
2013/10/24	-0.06	-0.04	-0.07	-0.05	7361948	52749072.00
2013/10/25	-0.05	-0.05	-0.09	-0.07	7199290	50272024.00
2013/10/28	-0.07	-0.06	-0.08	-0.07	3580531	25151730.00
2013/10/29	-0.07	-0.06	-0.12	-0.07	7996919	55021448.00
2013/10/30	-0.08	-0.04	-0.08	-0.04	8953225	64565072.00
2013/10/31	-0.04	-0.04	-0.08	-0.05	6497270	46184956.00
2013/11/01	-0.06	-0.04	-0.08	-0.04	6037577	43418892.00
2013/11/04	-0.04	-0.03	-0.06	-0.06	6485438	46691332.00
2013/11/05	-0.05	-0.03	-0.06	-0.03	11740571	85317232.00
2013/11/06	-0.03	-0.01	-0.05	-0.04	13350730	99646680.00
2013/11/07	-0.04	-0.04	-0.08	-0.07	8929424	63421684.00
2013/11/08	-0.08	-0.07	-0.11	-0.09	6967347	47591400.00
2013/11/11	-0.09	-0.07	-0.11	-0.08	3635084	24893872.00
2013/11/12	-0.08	-0.07	-0.09	-0.08	2725024	18984256.00
2013/11/13	-0.08	-0.07	-0.10	-0.07	4809141	33486756.00
2013/11/14	-0.07	-0.05	-0.08	-0.05	8520371	60674500.00
2013/11/15	-0.05	-0.04	-0.06	-0.04	7222409	52405772.00
2013/11/18	-0.04	-0.04	-0.05	-0.04	7166926	52216140.00
2013/11/19	-0.04	-0.02	-0.04	-0.04	5694851	41965484.00
2013/11/20	-0.03	-0.03	-0.06	-0.04	4530390	32874886.00
2013/11/21	-0.05	-0.03	-0.05	-0.03	5943469	43636976.00
2013/11/22	-0.02	0.00	-0.03	-0.02	11185378	84790696.00
2013/11/25	-0.02	-0.01	-0.04	-0.04	5644295	42151276.00
2013/11/26	-0.05	-0.04	-0.05	-0.04	4299861	31137088.00
2013/11/27	-0.04	-0.03	-0.05	-0.04	3321536	24298084.00
2013/11/28	-0.04	-0.03	-0.04	-0.03	3815010	28150860.00
2013/11/29	-0.03	-0.01	-0.03	-0.02	4139753	31020478.00
2013/12/02	-0.04	-0.03	-0.06	-0.03	6437417	46785728.00
2013/12/03	-0.04	0.02	-0.04	0.01	8599352	65645316.00
2013/12/04	0.01	0.07	0.00	0.04	14396020	117599504.00
2013/12/05	0.06	0.06	0.03	0.04	7663357	62687616.00
2013/12/06	0.04	0.08	0.03	0.04	8169591	67867568.00
2013/12/09	0.04	0.06	0.03	0.05	5453556	44693724.00
2013/12/10	0.05	0.06	0.03	0.04	5962352	48582580.00
2013/12/11	0.03	0.05	0.02	0.05	5265007	42633624.00
2013/12/12	0.04	0.07	0.04	0.05	5368306	44687664.00
2013/12/13	0.05	0.06	0.03	0.05	4227785	34559136.00
2013/12/16	0.05	0.10	0.02	0.02	18307313	153370432.00
2013/12/17	0.02	0.03	-0.01	0.03	10021707	78337624.00
2013/12/18	0.02	0.04	0.00	0.04	6028959	48205768.00
2013/12/19	0.04	0.04	0.02	0.03	4025875	32292078.00
2013/12/20	0.02	0.03	0.00	0.02	3997425	31623472.00
2013/12/23	0.02	0.04	0.02	0.04	3703684	29801512.00
2013/12/24	0.04	0.07	0.03	0.05	6095899	50177952.00
2013/12/25	0.05	0.09	0.04	0.09	12360102	104533768.00
2013/12/26	0.10	0.10	0.05	0.06	10442846	88200088.00
2013/12/27	0.05	0.08	0.05	0.07	7457716	62875000.00
2013/12/30	0.07	0.11	0.07	0.11	8706176	75439376.00
2013/12/31	0.11	0.13	0.09	0.13	9611522	84560448.00
2014/01/02	0.12	0.12	0.11	0.11	5301734	46838672.00
2014/01/03	0.11	0.12	0.08	0.09	5586772	48382776.00
2014/01/06	0.08	0.11	0.05	0.11	6458309	55010728.00
2014/01/07	0.11	0.13	0.08	0.10	4700067	41054548.00
2014/01/08	0.10	0.14	0.10	0.14	10491805	93854544.00
2014/01/09	0.13	0.15	0.13	0.14	5000611	45403024.00
2014/01/10	0.14	0.15	0.10	0.13	5997270	53593768.00
2014/01/13	0.15	0.16	0.09	0.10	8491352	74779552.00
2014/01/14	0.10	0.12	0.08	0.12	5877845	51313792.00
2014/01/15	0.12	0.17	0.11	0.16	9605550	86928536.00
2014/01/16	0.16	0.17	0.14	0.16	5785843	53295536.00
2014/01/17	0.16	0.17	0.15	0.15	5002179	46235656.00
2014/01/20	0.15	0.16	0.12	0.13	6984997	62761484.00
2014/01/21	0.12	0.15	0.11	0.14	4970337	44681788.00
2014/01/22	0.14	0.15	0.12	0.13	6140527	55424252.00
2014/01/23	0.13	0.14	0.11	0.13	8929173	79257824.00
2014/01/24	0.12	0.14	0.10	0.13	7471320	66623932.00
2014/01/27	0.13	0.16	0.12	0.15	7621598	69624152.00
2014/01/28	0.15	0.15	0.12	0.14	4891301	44148956.00
2014/01/29	0.14	0.14	0.11	0.13	5858399	51978544.00
2014/01/30	0.12	0.13	0.11	0.13	2435343	21606474.00
2014/02/07	0.12	0.12	0.09	0.11	3449852	30049836.00
2014/02/10	0.11	0.13	0.10	0.12	5154843	45546764.00
2014/02/11	0.12	0.13	0.09	0.10	7889842	68835912.00
2014/02/12	0.10	0.16	0.09	0.15	11142790	99892152.00
2014/02/13	0.15	0.16	0.13	0.15	8806141	80449104.00
2014/02/14	0.15	0.23	0.15	0.22	16019294	154373168.00
2014/02/17	0.22	0.27	0.20	0.23	13078638	130181680.00
2014/02/18	0.23	0.26	0.21	0.23	5729211	56794268.00
2014/02/19	0.23	0.24	0.22	0.24	4667217	46162260.00
2014/02/20	0.24	0.27	0.22	0.23	9303468	93664320.00
2014/02/21	0.22	0.23	0.20	0.22	3994276	38926168.00
2014/02/24	0.21	0.23	0.19	0.22	5276374	50891336.00
2014/02/25	0.21	0.23	0.13	0.17	6305959	59544216.00
2014/02/26	0.15	0.18	0.14	0.17	4165555	38242188.00
2014/02/27	0.17	0.18	0.14	0.14	4326247	39781692.00
2014/02/28	0.14	0.16	0.13	0.15	5410489	49261296.00
2014/03/03	0.15	0.18	0.14	0.16	4716190	43639428.00
2014/03/04	0.15	0.17	0.14	0.17	2480498	22912202.00
2014/03/05	0.17	0.22	0.17	0.21	6786185	65206852.00
2014/03/06	0.21	0.21	0.17	0.19	4839085	45843828.00
2014/03/07	0.19	0.20	0.13	0.16	6099456	56720008.00
2014/03/10	0.17	0.18	0.13	0.16	5542771	51576788.00
2014/03/11	0.16	0.20	0.15	0.17	4205926	39678084.00
2014/03/12	0.17	0.17	0.09	0.14	6641203	59426996.00
2014/03/13	0.13	0.15	0.11	0.13	2543797	22859506.00
2014/03/14	0.13	0.13	0.09	0.12	2527894	22183680.00
2014/03/17	0.10	0.13	0.10	0.13	1751068	15586844.00
2014/03/18	0.13	0.15	0.13	0.13	2193854	19797702.00
2014/03/19	0.13	0.14	0.11	0.13	2394113	21291228.00
2014/03/20	0.12	0.13	0.10	0.10	1727166	15231450.00
2014/03/21	0.10	0.12	0.09	0.11	2151819	18738656.00
2014/03/24	0.11	0.14	0.11	0.13	2904568	26103596.00
2014/03/25	0.13	0.14	0.11	0.13	2680439	23812830.00
2014/03/26	0.12	0.14	0.12	0.14	2001819	17955516.00
2014/03/27	0.14	0.14	0.12	0.13	1492330	13372051.00
2014/03/28	0.12	0.13	0.10	0.11	1970853	17401830.00
2014/03/31	0.10	0.11	0.05	0.09	4885620	41312536.00
2014/04/01	0.09	0.09	0.07	0.09	1560338	13288630.00
2014/04/02	0.09	0.10	0.08	0.08	1393344	11926359.00
2014/04/03	0.08	0.09	0.07	0.08	1312563	11181338.00
