600536 中国软件 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	5.37	5.67	5.34	5.40	9438546	282521472.00
2013/09/03	5.31	6.01	5.25	6.01	18375136	571524288.00
2013/09/04	5.90	5.98	5.64	5.82	12129590	383397888.00
2013/09/05	5.67	6.44	5.67	6.00	11771329	381545632.00
2013/09/06	5.87	6.15	5.84	5.87	8719457	280816448.00
2013/09/09	5.83	5.83	5.50	5.60	7983255	245457104.00
2013/09/10	5.55	5.77	5.29	5.50	9685764	291454752.00
2013/09/11	5.52	5.52	5.19	5.27	7268099	211701488.00
2013/09/12	5.20	5.42	5.04	5.09	8147448	234057152.00
2013/09/13	5.13	5.67	4.96	5.59	18862661	556114816.00
2013/09/16	5.44	5.72	5.29	5.44	11086842	332409792.00
2013/09/17	5.35	5.56	5.18	5.19	8753022	260168544.00
2013/09/18	5.19	5.32	4.91	5.13	8249539	232628656.00
2013/09/23	5.08	5.60	5.06	5.54	10317236	308004288.00
2013/09/24	5.48	5.94	5.44	5.79	9732447	303022560.00
2013/09/25	5.69	5.79	5.37	5.40	8475038	256061520.00
2013/09/26	5.35	5.75	5.29	5.31	7407564	223565920.00
2013/09/27	5.27	5.46	5.24	5.31	3934530	115384080.00
2013/09/30	5.92	5.92	5.47	5.52	11013543	342576320.00
2013/10/08	5.58	6.15	5.58	6.15	10664834	350425408.00
2013/10/09	6.52	6.84	6.32	6.78	14008740	500559424.00
2013/10/10	6.56	7.48	6.56	6.81	13631489	513492192.00
2013/10/11	6.80	7.28	6.43	6.64	9533126	340012928.00
2013/10/14	6.61	7.04	6.38	6.74	7612550	272986048.00
2013/10/15	6.57	7.25	6.46	7.17	9031175	334738720.00
2013/10/16	7.09	7.54	6.92	6.96	8614018	329408704.00
2013/10/17	6.90	7.73	6.84	7.57	10064361	397415040.00
2013/10/18	7.72	8.41	7.49	8.41	9383090	406912544.00
2013/10/21	9.23	9.33	9.00	9.33	2475073	119021392.00
2013/10/22	10.07	10.07	8.59	9.01	14745429	703214400.00
2013/10/23	8.93	9.44	8.03	8.24	11921385	540665024.00
2013/10/24	8.42	9.14	8.30	9.14	9407606	434684800.00
2013/10/25	8.92	9.65	8.40	8.61	12003044	564668800.00
2013/10/28	8.44	8.62	7.78	8.25	6863523	295972672.00
2013/10/29	7.99	8.49	7.57	7.84	6309493	263767648.00
2013/10/30	7.84	8.44	7.75	7.98	6342845	270943136.00
2013/10/31	7.88	8.69	7.79	8.41	7183594	312349728.00
2013/11/01	8.21	8.40	7.89	8.06	4060542	173266480.00
2013/11/04	8.05	8.17	7.57	8.13	3455113	143526464.00
2013/11/05	7.99	9.03	7.84	9.03	6512971	293155040.00
2013/11/06	8.91	9.85	8.89	9.00	9766027	478319232.00
2013/11/07	8.82	9.23	8.72	8.94	3858427	179437952.00
2013/11/08	8.90	8.90	8.11	8.15	6048276	266088048.00
2013/11/11	8.11	8.47	7.67	8.22	4947128	212262592.00
2013/11/12	8.12	8.52	7.73	7.97	5455712	230183440.00
2013/11/13	8.19	8.44	7.86	7.98	4804137	204988864.00
2013/11/14	7.88	8.19	7.67	8.03	4540509	189603376.00
2013/11/15	8.10	8.58	8.09	8.20	6831792	298506464.00
2013/11/18	8.24	8.32	7.94	8.17	7423236	314787392.00
2013/11/19	8.22	8.22	7.86	7.91	5841637	245194208.00
2013/11/20	7.92	8.00	7.69	7.84	5630793	231293424.00
2013/11/21	7.90	8.19	7.75	8.03	6628654	280639072.00
2013/11/22	7.96	7.96	7.61	7.64	5410949	220148000.00
2013/11/25	7.42	7.42	6.98	7.12	5548520	211992240.00
2013/11/26	7.09	7.41	7.09	7.34	4214367	162952816.00
2013/11/27	7.36	7.49	7.15	7.39	5026857	195241088.00
2013/11/28	7.33	7.62	7.28	7.50	4294466	170829888.00
2013/11/29	7.51	7.59	7.30	7.56	3788992	149090704.00
2013/12/02	7.32	7.46	6.73	6.73	4192264	156745696.00
2013/12/03	6.62	7.14	6.11	7.02	4770634	170306208.00
