600584 长电科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	1.75	1.83	1.75	1.82	14346884	94769440.00
2013/09/03	1.81	1.83	1.80	1.81	10574005	71049456.00
2013/09/04	1.81	1.82	1.78	1.81	10767686	71852984.00
2013/09/05	1.81	1.82	1.80	1.80	10771851	72201992.00
2013/09/06	1.81	1.85	1.80	1.83	22374017	153097552.00
2013/09/09	1.82	1.84	1.82	1.83	12391173	84250160.00
2013/09/10	1.83	1.83	1.80	1.82	13429607	90130096.00
2013/09/11	1.82	1.83	1.77	1.78	13589744	90695976.00
2013/09/12	1.77	1.80	1.75	1.77	18422415	120245264.00
2013/09/13	1.78	1.78	1.74	1.76	12018037	77464032.00
2013/09/16	1.75	1.77	1.75	1.75	10397225	67061804.00
2013/09/17	1.75	1.75	1.70	1.71	13732682	86395496.00
2013/09/18	1.71	1.75	1.71	1.74	7158730	45302368.00
2013/09/23	1.74	1.76	1.74	1.76	7166345	45943008.00
2013/09/24	1.76	1.78	1.75	1.78	11714524	76406240.00
2013/09/25	1.78	1.78	1.74	1.75	9368287	60468932.00
2013/09/26	1.74	1.76	1.72	1.73	7201425	45927608.00
2013/09/27	1.72	1.76	1.71	1.73	8172467	51903004.00
2013/09/30	1.73	1.76	1.73	1.74	4334351	27718358.00
2013/10/08	1.75	1.76	1.74	1.76	5753777	36953584.00
2013/10/09	1.76	1.76	1.73	1.75	8165380	52104804.00
2013/10/10	1.74	1.75	1.72	1.73	7412030	47083344.00
2013/10/11	1.74	1.75	1.71	1.72	14023533	87968512.00
2013/10/14	1.71	1.72	1.70	1.70	12106088	75177376.00
2013/10/15	1.70	1.73	1.70	1.73	13325917	83939056.00
2013/10/16	1.73	1.74	1.66	1.68	10775534	66325172.00
2013/10/17	1.69	1.71	1.66	1.67	8466885	51540400.00
2013/10/18	1.68	1.69	1.66	1.68	5357349	32476788.00
2013/10/21	1.68	1.76	1.68	1.75	24506901	155119648.00
2013/10/22	1.75	1.76	1.71	1.72	13423372	85152704.00
2013/10/23	1.73	1.73	1.67	1.68	8493242	52391968.00
2013/10/24	1.68	1.69	1.65	1.65	6902829	41650268.00
2013/10/25	1.66	1.67	1.59	1.61	11971842	69523816.00
2013/10/28	1.62	1.63	1.57	1.60	8881576	50271140.00
2013/10/29	1.61	1.65	1.52	1.63	14139352	81285296.00
2013/10/30	1.63	1.64	1.59	1.63	10225231	59647188.00
2013/10/31	1.62	1.66	1.62	1.63	6759444	39684184.00
2013/11/01	1.63	1.63	1.58	1.61	7009079	40083372.00
2013/11/04	1.61	1.62	1.57	1.59	5749521	32593458.00
2013/11/05	1.59	1.59	1.55	1.57	7268137	40065988.00
2013/11/06	1.57	1.57	1.54	1.55	8701788	47805604.00
2013/11/07	1.55	1.55	1.53	1.53	5827944	31337656.00
2013/11/08	1.54	1.55	1.53	1.53	5418997	29199464.00
2013/11/11	1.53	1.55	1.52	1.54	5475240	29366320.00
2013/11/12	1.54	1.55	1.53	1.54	5203388	28130028.00
2013/11/13	1.55	1.65	1.55	1.62	27999097	160647264.00
2013/11/14	1.60	1.66	1.60	1.63	12819619	74951792.00
2013/11/15	1.63	1.69	1.63	1.67	22686343	136320032.00
2013/11/18	1.67	1.76	1.66	1.73	35720450	223826752.00
2013/11/19	1.73	1.77	1.71	1.74	17560361	112132864.00
2013/11/20	1.74	1.77	1.73	1.76	20145888	129417520.00
2013/11/28	1.89	1.89	1.81	1.86	82927941	574750336.00
2013/11/29	1.85	1.90	1.83	1.86	38830591	270723840.00
2013/12/02	1.78	1.84	1.72	1.78	48577915	317760512.00
2013/12/03	1.78	1.84	1.74	1.84	20704360	137971584.00
2013/12/04	1.83	1.88	1.82	1.82	20631729	142266064.00
2013/12/05	1.81	1.84	1.78	1.80	13651559	90925840.00
2013/12/06	1.78	1.79	1.74	1.75	17206115	110901040.00
2013/12/09	1.76	1.81	1.76	1.78	11884651	78909656.00
2013/12/10	1.78	1.79	1.74	1.76	10157396	65569588.00
2013/12/11	1.76	1.76	1.71	1.73	10653015	67418464.00
2013/12/12	1.74	1.76	1.72	1.74	8248320	52636892.00
2013/12/13	1.73	1.76	1.72	1.73	8324264	52695344.00
2013/12/16	1.72	1.76	1.72	1.72	9574277	60991072.00
2013/12/17	1.72	1.75	1.71	1.74	6826934	43441084.00
2013/12/18	1.76	1.82	1.76	1.80	20493343	135188128.00
2013/12/19	1.79	1.81	1.76	1.77	9118329	59885004.00
2013/12/20	1.77	1.78	1.71	1.73	7816792	49642244.00
2013/12/23	1.73	1.75	1.71	1.75	3487178	22220746.00
2013/12/24	1.75	1.80	1.73	1.78	11439561	74787552.00
2013/12/25	1.78	1.79	1.75	1.77	7600025	49680392.00
2013/12/26	1.77	1.78	1.73	1.74	6239274	39892412.00
2013/12/27	1.74	1.79	1.74	1.78	10037366	65604212.00
2013/12/30	1.78	1.81	1.77	1.77	6906895	45540140.00
2013/12/31	1.77	1.79	1.74	1.75	9271176	59883084.00
2014/01/02	1.75	1.80	1.74	1.78	14174062	92980176.00
2014/01/03	1.78	1.81	1.78	1.78	12317616	81548728.00
2014/01/06	1.79	1.80	1.76	1.77	12969673	84931136.00
2014/01/07	1.76	1.83	1.75	1.82	24376129	163420992.00
2014/01/08	1.81	1.84	1.79	1.84	20163494	136899792.00
2014/01/09	1.83	1.85	1.77	1.77	15145281	101490024.00
2014/01/10	1.77	1.77	1.64	1.64	28022720	171155680.00
2014/01/13	1.62	1.70	1.60	1.67	17032781	102303752.00
2014/01/14	1.66	1.73	1.66	1.73	13391544	83411320.00
2014/01/15	1.74	1.78	1.73	1.75	19809245	128209296.00
2014/01/16	1.75	1.78	1.73	1.74	11131555	71686280.00
2014/01/17	1.73	1.74	1.68	1.69	11677996	72126808.00
2014/01/20	1.68	1.75	1.68	1.71	8850328	55615804.00
2014/01/21	1.72	1.81	1.72	1.80	18439482	120711960.00
2014/01/22	1.79	1.84	1.78	1.81	22180827	148741344.00
2014/01/23	1.82	1.86	1.80	1.84	25506454	174320352.00
