600585 海螺水泥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	-1.43	-1.26	-1.44	-1.28	19655578	305128512.00
2013/09/03	-1.25	-1.13	-1.28	-1.20	19475901	310740576.00
2013/09/04	-1.19	-1.18	-1.31	-1.20	13414641	212280000.00
2013/09/05	-1.23	-1.13	-1.25	-1.24	15138850	241277280.00
2013/09/06	-1.24	-1.17	-1.30	-1.24	9607549	151671648.00
2013/09/09	-1.20	-1.10	-1.24	-1.11	28533126	459307712.00
2013/09/10	-1.10	-1.00	-1.10	-1.03	22761959	373435936.00
2013/09/11	-1.01	-0.79	-1.01	-0.87	46493025	781830016.00
2013/09/12	-0.88	-0.88	-1.08	-0.94	27818314	460723648.00
2013/09/13	-1.00	-0.95	-1.12	-1.11	26269085	427256096.00
2013/09/16	-1.08	-1.05	-1.25	-1.18	23307195	374929824.00
2013/09/17	-1.16	-1.15	-1.32	-1.32	26896708	422761696.00
2013/09/18	-1.32	-1.20	-1.34	-1.32	16013923	251159984.00
2013/09/23	-1.29	-1.19	-1.29	-1.21	14058429	222643376.00
2013/09/24	-1.21	-1.15	-1.32	-1.18	19590282	309348416.00
2013/09/25	-1.19	-1.19	-1.32	-1.30	14711982	231439968.00
2013/09/26	-1.31	-1.29	-1.46	-1.44	17417334	267044208.00
2013/09/27	-1.40	-1.40	-1.51	-1.48	14250272	214937088.00
2013/09/30	-1.46	-1.43	-1.64	-1.53	18059025	268282896.00
2013/10/08	-1.50	-1.40	-1.57	-1.41	16726648	253412256.00
2013/10/09	-1.40	-1.36	-1.45	-1.37	13039833	200079088.00
2013/10/10	-1.36	-1.24	-1.45	-1.42	16391319	253831728.00
2013/10/11	-1.36	-1.27	-1.36	-1.32	18722759	291279680.00
2013/10/14	-1.29	-1.23	-1.33	-1.32	16070341	252116240.00
2013/10/15	-1.28	-1.21	-1.35	-1.29	20259450	317410048.00
2013/10/16	-1.27	-1.01	-1.27	-1.19	44658828	719929216.00
2013/10/17	-1.14	-0.99	-1.22	-1.18	26776346	433161600.00
2013/10/18	-1.15	-1.12	-1.25	-1.21	13122751	209058384.00
2013/10/21	-1.19	-1.17	-1.29	-1.20	21958641	347482912.00
2013/10/22	-1.18	-1.14	-1.22	-1.20	14044057	224058048.00
2013/10/23	-1.16	-1.12	-1.32	-1.31	16143404	255360288.00
2013/10/24	-1.33	-1.29	-1.48	-1.46	22378185	341972064.00
2013/10/25	-1.47	-1.45	-1.68	-1.59	24349278	361501952.00
2013/10/28	-1.59	-1.56	-1.69	-1.66	23215957	338225664.00
2013/10/29	-1.59	-1.45	-1.60	-1.45	31798766	475614560.00
2013/10/30	-1.42	-1.34	-1.44	-1.39	19230927	294989504.00
2013/10/31	-1.29	-1.18	-1.39	-1.37	28888174	452541376.00
2013/11/01	-1.31	-1.29	-1.39	-1.36	19100732	295952064.00
2013/11/04	-1.31	-1.29	-1.46	-1.41	19583996	299496128.00
2013/11/05	-1.44	-1.34	-1.48	-1.38	18676425	285890240.00
2013/11/06	-1.38	-1.36	-1.47	-1.44	13761753	209918368.00
2013/11/07	-1.44	-1.43	-1.52	-1.49	10811875	162981168.00
2013/11/08	-1.51	-1.42	-1.54	-1.49	12011601	181770336.00
2013/11/11	-1.48	-1.41	-1.51	-1.43	10479384	159236048.00
2013/11/12	-1.40	-1.34	-1.42	-1.35	15556077	239792736.00
2013/11/13	-1.31	-1.22	-1.38	-1.36	27415657	429797088.00
2013/11/14	-1.29	-1.25	-1.34	-1.27	22331772	349446240.00
2013/11/15	-1.25	-1.08	-1.29	-1.15	37744508	605775936.00
2013/11/18	-1.10	-0.87	-1.10	-0.89	45858810	761306816.00
2013/11/19	-0.87	-0.78	-0.92	-0.88	29057376	492473760.00
2013/11/20	-0.83	-0.76	-0.93	-0.89	20673875	349671936.00
2013/11/21	-0.89	-0.89	-1.10	-0.98	28632713	471379200.00
2013/11/22	-0.96	-0.93	-1.06	-1.04	15225347	251636288.00
2013/11/25	-1.05	-0.86	-1.05	-0.95	18669444	312279616.00
2013/11/26	-0.94	-0.90	-1.00	-0.91	11843985	198039024.00
2013/11/27	-0.91	-0.83	-0.95	-0.87	18230775	307997184.00
2013/11/28	-0.83	-0.38	-0.83	-0.51	66302704	1181434496.00
2013/11/29	-0.53	-0.49	-0.63	-0.56	25032659	446813248.00
2013/12/02	-0.61	-0.34	-0.69	-0.56	39198868	708539520.00
2013/12/03	-0.58	-0.31	-0.59	-0.35	41378774	758535232.00
2013/12/04	-0.34	-0.06	-0.39	-0.22	57559713	1094296576.00
2013/12/05	-0.23	-0.13	-0.34	-0.33	23776453	445625600.00
2013/12/06	-0.33	-0.32	-0.49	-0.41	25171448	460271104.00
2013/12/09	-0.38	-0.26	-0.46	-0.41	20990615	384976160.00
2013/12/10	-0.44	-0.32	-0.47	-0.39	22194857	408015808.00
2013/12/11	-0.46	-0.43	-0.68	-0.65	33608814	597931456.00
2013/12/12	-0.65	-0.63	-0.76	-0.67	23101076	402190944.00
2013/12/13	-0.78	-0.61	-0.79	-0.62	16276786	283525728.00
2013/12/16	-0.58	-0.51	-0.83	-0.78	25385452	441145856.00
2013/12/17	-0.76	-0.67	-0.78	-0.74	22253361	385741280.00
2013/12/18	-0.74	-0.67	-0.76	-0.69	17696929	308138144.00
2013/12/19	-0.63	-0.62	-0.84	-0.80	18279746	315050688.00
2013/12/20	-0.78	-0.75	-1.01	-0.92	23395593	393650048.00
2013/12/23	-0.90	-0.85	-0.98	-0.96	17821189	297827584.00
2013/12/24	-0.94	-0.85	-1.01	-0.88	14696415	246523328.00
2013/12/25	-0.88	-0.78	-0.90	-0.78	11753726	199987536.00
2013/12/26	-0.79	-0.76	-0.89	-0.87	10093507	171456128.00
2013/12/27	-0.83	-0.77	-0.92	-0.83	13525806	230666480.00
2013/12/30	-0.79	-0.78	-0.91	-0.91	13841035	234692144.00
2013/12/31	-0.97	-0.83	-1.00	-0.86	16308737	273911616.00
2014/01/02	-0.87	-0.86	-1.04	-1.02	19156519	317397632.00
2014/01/03	-1.08	-1.06	-1.27	-1.27	33546232	535650816.00
2014/01/06	-1.29	-1.29	-1.56	-1.46	40453780	610485056.00
2014/01/07	-1.57	-1.42	-1.57	-1.48	22552432	339758656.00
2014/01/08	-1.46	-1.43	-1.50	-1.47	17661605	267131968.00
2014/01/09	-1.48	-1.40	-1.51	-1.49	18662160	283223296.00
2014/01/10	-1.48	-1.43	-1.56	-1.44	18978220	284879776.00
2014/01/13	-1.46	-1.35	-1.51	-1.41	19541459	298882912.00
2014/01/14	-1.41	-1.36	-1.44	-1.38	13595781	208452688.00
2014/01/15	-1.28	-1.18	-1.31	-1.18	26262338	414937728.00
2014/01/16	-1.19	-1.05	-1.21	-1.11	20001383	324077824.00
2014/01/17	-1.11	-1.00	-1.15	-1.06	31272891	510114912.00
2014/01/20	-1.05	-1.05	-1.24	-1.24	21543783	345148352.00
2014/01/21	-1.23	-1.07	-1.26	-1.08	20884892	336580896.00
2014/01/22	-1.08	-0.94	-1.09	-0.98	16987871	280966496.00
2014/01/23	-0.98	-0.94	-1.08	-0.98	16579782	273205632.00
2014/01/24	-1.03	-0.89	-1.07	-0.98	16584220	276582720.00
2014/01/27	-1.08	-1.06	-1.31	-1.28	25234504	401100960.00
2014/01/28	-1.24	-1.19	-1.29	-1.22	10803504	171148256.00
2014/01/29	-1.18	-1.13	-1.21	-1.15	10393901	166789792.00
2014/01/30	-1.21	-1.18	-1.28	-1.22	10915577	172249888.00
2014/02/07	-1.21	-0.98	-1.21	-0.99	19350452	315896960.00
2014/02/10	-0.93	-0.84	-0.98	-0.89	28005889	469338688.00
2014/02/11	-0.91	-0.88	-0.98	-0.88	28591706	478943552.00
2014/02/12	-0.89	-0.80	-0.91	-0.88	20347204	345026688.00
2014/02/13	-0.90	-0.85	-0.98	-0.97	13640746	228016528.00
2014/02/14	-0.96	-0.92	-1.04	-1.02	15094497	250051120.00
2014/02/17	-0.97	-0.95	-1.00	-0.98	14141406	234714208.00
2014/02/18	-0.98	-0.96	-1.14	-1.13	21543758	351544512.00
2014/02/19	-1.14	-1.06	-1.23	-1.09	21117771	340323136.00
2014/02/20	-1.09	-1.01	-1.23	-1.19	20810528	335226080.00
2014/02/21	-1.18	-1.14	-1.33	-1.28	25373302	399996640.00
2014/02/24	-1.35	-1.35	-1.58	-1.54	48402188	723422272.00
2014/02/25	-1.53	-1.53	-1.63	-1.60	23380148	346059936.00
2014/02/26	-1.63	-1.58	-1.71	-1.63	26726145	389194592.00
2014/02/27	-1.62	-1.56	-1.69	-1.59	21035230	308151520.00
2014/02/28	-1.59	-1.45	-1.62	-1.49	18867792	281453952.00
2014/03/03	-1.52	-1.49	-1.59	-1.55	16312194	243473488.00
2014/03/04	-1.56	-1.56	-1.66	-1.61	11555971	169503664.00
2014/03/05	-1.58	-1.51	-1.62	-1.60	13463828	199782672.00
2014/03/06	-1.61	-1.49	-1.63	-1.51	15174731	225675008.00
2014/03/07	-1.51	-1.49	-1.57	-1.55	11808684	176425200.00
2014/03/10	-1.61	-1.61	-1.78	-1.78	18904542	271082208.00
2014/03/11	-1.78	-1.67	-1.78	-1.69	11672680	167650928.00
2014/03/12	-1.71	-1.67	-1.77	-1.73	13538387	193999888.00
2014/03/13	-1.73	-1.67	-1.76	-1.68	13902178	200588848.00
2014/03/14	-1.72	-1.69	-1.75	-1.71	12858647	184869200.00
2014/03/17	-1.59	-1.54	-1.68	-1.58	13609793	200120000.00
2014/03/18	-1.60	-1.53	-1.61	-1.57	11917857	176638048.00
2014/03/19	-1.58	-1.47	-1.65	-1.49	21350649	318053312.00
2014/03/20	-1.51	-1.44	-1.56	-1.56	19686562	296354272.00
2014/03/21	-1.55	-1.36	-1.55	-1.38	24319099	370273504.00
2014/03/24	-1.36	-1.18	-1.38	-1.22	42837517	672759616.00
2014/03/25	-1.23	-1.20	-1.35	-1.30	24630383	386463872.00
2014/03/26	-1.27	-1.19	-1.27	-1.22	20074322	318001952.00
2014/03/27	-1.21	-1.16	-1.29	-1.28	19091953	303331008.00
2014/03/28	-1.25	-0.95	-1.26	-1.00	53920101	880771072.00
2014/03/31	-0.99	-0.96	-1.11	-1.06	25818608	423350720.00
2014/04/01	-1.06	-1.01	-1.12	-1.08	15922318	260304016.00
2014/04/02	-1.06	-0.82	-1.06	-0.86	41299838	694878464.00
2014/04/03	-0.77	-0.68	-0.88	-0.87	49095704	846467136.00
2014/04/04	-0.87	-0.80	-0.88	-0.84	21020004	357165952.00
2014/04/08	-0.84	-0.66	-0.88	-0.70	35097245	610367616.00
2014/04/09	-0.70	-0.62	-0.75	-0.72	24396220	424902688.00
2014/04/10	-0.71	-0.14	-0.78	-0.14	146009330	2713630208.00
2014/04/11	-0.18	-0.05	-0.38	-0.36	161288467	3035350272.00
2014/04/14	-0.41	-0.41	-0.55	-0.41	58803277	1064701632.00
2014/04/15	-0.44	-0.38	-0.59	-0.56	50259877	902641472.00
2014/04/16	-0.55	-0.48	-0.57	-0.51	46547227	835379520.00
2014/04/17	-0.47	-0.46	-0.74	-0.66	45276692	798755968.00
2014/04/18	-0.71	-0.65	-0.81	-0.69	30565464	529635200.00
2014/04/21	-0.75	-0.71	-0.91	-0.90	35463431	607110592.00
2014/04/22	-0.90	-0.87	-1.00	-0.91	33440137	559673152.00
2014/04/23	-0.90	-0.82	-0.91	-0.83	24286756	411297536.00
2014/04/24	-0.81	-0.78	-0.90	-0.87	19283920	327905120.00
2014/04/25	-0.82	-0.78	-0.98	-0.98	28264362	477003008.00
2014/04/28	-1.01	-0.95	-1.07	-0.99	21684365	359186656.00
2014/04/29	-0.96	-0.82	-1.01	-0.82	22459817	379503744.00
2014/04/30	-0.79	-0.74	-0.86	-0.84	20198965	345414304.00
2014/05/05	-0.84	-0.78	-0.90	-0.79	14072523	239297152.00
2014/05/06	-0.79	-0.78	-0.97	-0.94	24482960	413333888.00
2014/05/07	-0.94	-0.89	-0.98	-0.97	17803057	298128192.00
2014/05/08	-0.97	-0.89	-1.01	-0.97	17209176	287730016.00
2014/05/09	-0.97	-0.94	-1.03	-1.02	11858861	196438656.00
2014/05/12	-0.99	-0.92	-1.08	-0.94	27472929	455153568.00
2014/05/13	-0.95	-0.85	-0.96	-0.91	20560279	346110208.00
2014/05/14	-0.91	-0.87	-0.95	-0.91	16952478	284330048.00
2014/05/15	-0.93	-0.90	-0.99	-0.97	14683668	244295600.00
2014/05/16	-0.97	-0.96	-1.01	-0.99	7808352	129571456.00
