600588 用友网络 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	-1.12	-1.11	-1.13	-1.12	14528667	187276816.00
2013/09/03	-1.12	-1.09	-1.12	-1.09	24111079	323633536.00
2013/09/04	-1.09	-1.09	-1.11	-1.10	14168861	190119680.00
2013/09/05	-1.10	-1.09	-1.11	-1.10	15884345	214839120.00
2013/09/06	-1.10	-1.09	-1.10	-1.10	13495090	183329744.00
2013/09/09	-1.10	-1.10	-1.12	-1.11	21802863	286261120.00
2013/09/10	-1.12	-1.11	-1.12	-1.11	16338779	212700160.00
2013/09/11	-1.11	-1.11	-1.13	-1.12	13980920	178337152.00
2013/09/12	-1.13	-1.12	-1.13	-1.12	11246973	144008400.00
2013/09/13	-1.12	-1.10	-1.13	-1.11	26297654	348727456.00
2013/09/16	-1.11	-1.07	-1.11	-1.09	28582758	394387936.00
2013/09/17	-1.08	-1.07	-1.09	-1.09	26156741	369397344.00
2013/09/18	-1.10	-1.09	-1.12	-1.10	15570660	208271472.00
2013/09/23	-1.10	-1.08	-1.11	-1.09	16956468	233096256.00
2013/09/24	-1.08	-1.06	-1.09	-1.07	26808001	388614272.00
2013/09/25	-1.08	-1.07	-1.10	-1.09	18949891	265002688.00
2013/09/26	-1.09	-1.08	-1.10	-1.10	13781478	191758800.00
2013/09/27	-1.10	-1.09	-1.11	-1.10	9352019	125008736.00
2013/09/30	-1.09	-1.08	-1.10	-1.09	13492708	186367264.00
2013/10/08	-1.09	-1.05	-1.09	-1.05	31666857	468812320.00
2013/10/09	-1.04	-1.03	-1.06	-1.05	41782565	643426496.00
2013/10/10	-1.05	-1.03	-1.06	-1.06	28536257	434924064.00
2013/10/11	-1.06	-1.04	-1.07	-1.06	18648895	276526528.00
2013/10/14	-1.05	-1.04	-1.06	-1.05	17771966	269185920.00
2013/10/15	-1.06	-1.04	-1.06	-1.05	18940975	285508064.00
2013/10/16	-1.05	-1.05	-1.09	-1.08	16926395	245668784.00
2013/10/17	-1.07	-1.06	-1.08	-1.08	12971171	187569680.00
2013/10/18	-1.08	-1.07	-1.09	-1.07	13819793	199488960.00
2013/10/21	-1.06	-1.04	-1.06	-1.06	16675473	249504080.00
2013/10/22	-1.06	-1.04	-1.07	-1.05	24211008	363955328.00
2013/10/23	-1.06	-1.06	-1.09	-1.09	27728627	392461152.00
2013/10/24	-1.10	-1.08	-1.11	-1.10	17750621	240265200.00
2013/10/25	-1.10	-1.10	-1.14	-1.13	26122778	327577568.00
2013/10/28	-1.13	-1.13	-1.14	-1.13	8831238	109345088.00
2013/10/29	-1.13	-1.13	-1.16	-1.15	14881843	178100656.00
2013/10/30	-1.15	-1.14	-1.15	-1.14	9622395	115521856.00
2013/10/31	-1.14	-1.14	-1.15	-1.15	8666225	103929576.00
2013/11/01	-1.15	-1.15	-1.16	-1.16	10684493	123283344.00
2013/11/04	-1.16	-1.15	-1.16	-1.16	5467221	63589336.00
2013/11/05	-1.16	-1.14	-1.16	-1.14	8593029	102599056.00
2013/11/06	-1.14	-1.13	-1.14	-1.14	11860211	145796160.00
2013/11/07	-1.14	-1.13	-1.15	-1.14	5741947	69396704.00
2013/11/08	-1.14	-1.14	-1.14	-1.14	6700519	81604232.00
2013/11/11	-1.14	-1.14	-1.16	-1.15	4511704	53680988.00
2013/11/12	-1.15	-1.14	-1.15	-1.14	4751176	57149384.00
2013/11/13	-1.14	-1.14	-1.15	-1.15	5358029	64995196.00
2013/11/14	-1.15	-1.14	-1.16	-1.14	6442781	77267880.00
2013/11/15	-1.14	-1.13	-1.14	-1.13	10224581	127227760.00
2013/11/18	-1.13	-1.12	-1.13	-1.13	8194103	103393840.00
2013/11/19	-1.12	-1.12	-1.13	-1.12	10234666	130266624.00
2013/11/20	-1.12	-1.12	-1.13	-1.12	7625456	97013048.00
2013/11/21	-1.12	-1.10	-1.12	-1.11	15110243	198549600.00
2013/11/22	-1.11	-1.11	-1.12	-1.11	10265994	134645360.00
2013/11/25	-1.11	-1.11	-1.12	-1.12	9388655	121561896.00
2013/11/26	-1.12	-1.11	-1.12	-1.12	6718136	87379144.00
2013/11/27	-1.12	-1.10	-1.12	-1.11	8947021	117876352.00
2013/11/28	-1.11	-1.11	-1.11	-1.11	7068253	93310464.00
2013/11/29	-1.11	-1.11	-1.12	-1.11	5228011	68524584.00
2013/12/02	-1.12	-1.12	-1.15	-1.15	15270954	187971120.00
2013/12/03	-1.15	-1.14	-1.16	-1.14	10861753	129537360.00
2013/12/04	-1.14	-1.10	-1.15	-1.11	20268713	261672800.00
2013/12/05	-1.11	-1.09	-1.12	-1.10	14836884	198131952.00
2013/12/06	-1.11	-1.09	-1.11	-1.09	13535433	185476176.00
2013/12/09	-1.09	-1.08	-1.10	-1.09	10722754	150285840.00
2013/12/10	-1.09	-1.08	-1.09	-1.09	7379123	103177104.00
2013/12/11	-1.09	-1.09	-1.10	-1.10	6701483	91350064.00
2013/12/12	-1.10	-1.09	-1.10	-1.10	4138248	56739460.00
2013/12/13	-1.10	-1.09	-1.10	-1.09	4856240	65894724.00
2013/12/16	-1.09	-1.08	-1.10	-1.08	13998366	197142832.00
2013/12/17	-1.08	-1.08	-1.10	-1.09	9975899	138057936.00
2013/12/18	-1.09	-1.08	-1.09	-1.08	7096668	99922136.00
2013/12/19	-1.08	-1.07	-1.08	-1.08	9736988	139220064.00
2013/12/20	-1.09	-1.08	-1.09	-1.09	5910870	81804112.00
2013/12/23	-1.09	-1.07	-1.10	-1.08	7504963	106146200.00
2013/12/24	-1.08	-1.07	-1.09	-1.09	10007011	141495168.00
2013/12/25	-1.08	-1.07	-1.09	-1.08	8592183	121528648.00
2013/12/26	-1.08	-1.08	-1.09	-1.08	5166133	72868928.00
2013/12/27	-1.09	-1.08	-1.09	-1.08	7178986	100843400.00
2013/12/30	-1.08	-1.08	-1.10	-1.09	8064638	111282192.00
2013/12/31	-1.10	-1.09	-1.10	-1.09	6831302	93337176.00
2014/01/02	-1.09	-1.09	-1.10	-1.09	6275613	86354456.00
2014/01/03	-1.09	-1.07	-1.09	-1.08	13695083	193876224.00
2014/01/06	-1.08	-1.08	-1.10	-1.10	10811872	149755232.00
2014/01/07	-1.10	-1.09	-1.10	-1.09	5393413	74176432.00
2014/01/08	-1.09	-1.08	-1.09	-1.09	4868178	67770920.00
2014/01/09	-1.09	-1.08	-1.10	-1.09	8036641	111923944.00
2014/01/10	-1.09	-1.09	-1.10	-1.09	7258214	100187880.00
2014/01/13	-1.09	-1.08	-1.09	-1.08	8016926	112107512.00
2014/01/14	-1.08	-1.07	-1.09	-1.07	10754447	153967632.00
2014/01/15	-1.07	-1.03	-1.07	-1.03	24762570	379951008.00
2014/01/16	-1.04	-1.01	-1.04	-1.02	17002905	271165248.00
2014/01/17	-1.02	-1.01	-1.04	-1.03	8492843	135549408.00
2014/01/20	-1.03	-1.02	-1.05	-1.05	9537646	147530896.00
2014/01/21	-1.05	-1.03	-1.05	-1.03	10615241	164069904.00
2014/01/22	-1.03	-1.02	-1.04	-1.03	10828416	172082496.00
2014/01/23	-1.03	-1.01	-1.04	-1.02	14595442	235343632.00
2014/01/24	-1.02	-0.97	-1.02	-0.99	22548515	387952960.00
2014/01/27	-0.99	-0.94	-0.99	-0.95	33826172	624024128.00
2014/01/28	-0.94	-0.90	-0.96	-0.95	29885075	568423488.00
2014/01/29	-0.94	-0.89	-0.96	-0.89	23617738	461521536.00
2014/01/30	-0.89	-0.88	-0.93	-0.91	15275728	307667616.00
2014/02/07	-0.91	-0.85	-0.92	-0.86	17923982	373427424.00
2014/02/10	-0.87	-0.84	-0.88	-0.85	18199830	390329888.00
2014/02/11	-0.86	-0.85	-0.91	-0.89	16647951	344047232.00
2014/02/12	-0.89	-0.88	-0.91	-0.88	11229899	228872080.00
2014/02/13	-0.89	-0.89	-0.94	-0.93	16497778	322558368.00
2014/02/14	-0.93	-0.91	-0.93	-0.93	11796154	229988880.00
2014/02/17	-0.92	-0.91	-0.93	-0.92	16052489	314246976.00
2014/02/18	-0.92	-0.88	-0.93	-0.89	18932318	385240480.00
2014/02/19	-0.90	-0.88	-0.92	-0.90	11351341	228658160.00
2014/02/20	-0.90	-0.88	-0.91	-0.90	11374881	230717872.00
2014/02/21	-0.90	-0.87	-0.92	-0.90	15692938	320241120.00
2014/02/24	-0.91	-0.87	-0.93	-0.88	11365537	228580016.00
2014/02/25	-0.87	-0.82	-0.91	-0.85	34416596	765287040.00
2014/02/26	-0.89	-0.79	-0.90	-0.83	24416155	544934656.00
2014/02/27	-0.84	-0.77	-0.85	-0.77	28382665	671717632.00
2014/02/28	-0.77	-0.76	-0.84	-0.82	16954388	392799360.00
2014/03/03	-0.83	-0.80	-0.84	-0.82	11775410	267499040.00
2014/03/04	-0.83	-0.83	-0.87	-0.86	14137379	305757504.00
2014/03/05	-0.86	-0.83	-0.86	-0.86	11411878	248854624.00
2014/03/06	-0.86	-0.86	-0.90	-0.88	10117033	209810672.00
2014/03/07	-0.88	-0.86	-0.89	-0.86	10052880	212438912.00
2014/03/10	-0.87	-0.87	-0.92	-0.92	14847579	299737440.00
2014/03/11	-0.93	-0.91	-0.96	-0.93	12698717	241418464.00
2014/03/12	-0.93	-0.93	-0.96	-0.95	12986568	240286656.00
2014/03/13	-0.95	-0.93	-0.95	-0.94	9616723	181343584.00
2014/03/14	-0.94	-0.91	-0.95	-0.94	7421090	141165856.00
2014/03/17	-0.94	-0.90	-0.96	-0.90	12054509	235002544.00
2014/03/18	-0.90	-0.84	-0.90	-0.86	16031974	340384896.00
2014/03/19	-0.86	-0.84	-0.88	-0.85	11214669	238695568.00
2014/03/20	-0.85	-0.85	-0.91	-0.91	15275884	316897344.00
2014/03/21	-0.92	-0.89	-0.93	-0.90	10661048	211502800.00
2014/03/24	-0.90	-0.90	-0.92	-0.91	6436049	127889120.00
2014/03/25	-0.91	-0.89	-0.92	-0.91	6214971	124535224.00
2014/03/26	-0.91	-0.90	-0.92	-0.92	7325479	143668768.00
2014/03/27	-0.92	-0.91	-0.93	-0.93	4946201	96083464.00
2014/03/28	-0.93	-0.93	-0.99	-0.99	15912295	284267232.00
2014/03/31	-0.98	-0.98	-1.01	-0.99	13491349	229949536.00
2014/04/01	-0.99	-0.96	-1.00	-0.97	8732315	155280528.00
2014/04/02	-0.97	-0.96	-0.98	-0.97	7526120	134627008.00
2014/04/03	-0.97	-0.95	-0.97	-0.97	4836385	87263272.00
2014/04/04	-0.97	-0.96	-0.98	-0.96	6243321	112262720.00
2014/04/08	-0.97	-0.95	-0.97	-0.95	5831145	106239072.00
2014/04/09	-0.95	-0.94	-0.96	-0.95	6277450	116367992.00
2014/04/10	-0.96	-0.94	-0.97	-0.95	11075531	204199664.00
2014/04/11	-0.96	-0.95	-0.98	-0.98	11171311	199164112.00
2014/04/14	-0.98	-0.97	-1.00	-0.98	11150843	192897344.00
2014/04/15	-0.98	-0.98	-0.99	-0.98	5393677	93555040.00
2014/04/16	-0.98	-0.97	-0.99	-0.98	6274036	110383232.00
2014/04/17	-0.98	-0.97	-0.98	-0.97	6781768	120694864.00
2014/04/18	-0.97	-0.96	-0.98	-0.97	5957632	106641688.00
2014/04/21	-0.97	-0.94	-0.97	-0.95	12771785	234953760.00
2014/04/22	-0.94	-0.93	-0.95	-0.94	15333103	289466816.00
2014/04/23	-0.99	-0.99	-1.02	-1.02	6351443	94370144.00
2014/04/24	-1.03	-1.00	-1.03	-1.02	6226852	90238816.00
2014/04/25	-1.01	-1.01	-1.04	-1.04	5488948	77712448.00
2014/04/28	-1.04	-1.04	-1.09	-1.07	16034277	209278736.00
2014/04/29	-1.07	-1.06	-1.08	-1.07	8750414	115140688.00
2014/04/30	-1.07	-1.06	-1.08	-1.07	11932432	155844864.00
2014/05/05	-1.07	-1.07	-1.09	-1.08	10589603	135125184.00
2014/05/06	-1.08	-1.06	-1.08	-1.06	10040199	132519328.00
2014/05/07	-1.06	-1.06	-1.08	-1.07	8564186	112201856.00
2014/05/08	-1.08	-1.06	-1.09	-1.08	8983483	116090304.00
2014/05/09	-1.08	-1.08	-1.11	-1.10	11873957	146016384.00
2014/05/12	-1.10	-1.09	-1.10	-1.09	7499211	93300232.00
2014/05/13	-1.09	-1.08	-1.09	-1.09	5712736	72060784.00
2014/05/14	-1.09	-1.08	-1.10	-1.09	6581467	82697248.00
2014/05/15	-1.09	-1.08	-1.10	-1.10	6085084	76636024.00
2014/05/16	-1.10	-1.09	-1.11	-1.10	6362931	77265784.00
2014/05/19	-1.11	-1.10	-1.11	-1.11	5333058	63987016.00
2014/05/20	-1.11	-1.09	-1.11	-1.09	12990730	161597072.00
2014/05/21	-1.09	-1.05	-1.09	-1.05	21930101	285998400.00
2014/05/22	-1.06	-1.05	-1.07	-1.07	15407105	204882912.00
2014/05/23	-1.07	-1.02	-1.07	-1.03	22241767	307983104.00
