600737 中粮糖业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	0.60	0.62	0.59	0.61	12120917	65186480.00
2013/09/03	0.62	0.63	0.61	0.62	14975811	83593512.00
2013/09/04	0.62	0.64	0.61	0.64	16975418	95128864.00
2013/09/05	0.63	0.65	0.63	0.64	18100046	104596912.00
2013/09/06	0.64	0.64	0.63	0.64	7367196	42460284.00
2013/09/09	0.64	0.64	0.63	0.63	7454398	43048104.00
2013/09/10	0.64	0.64	0.63	0.64	10785646	62507328.00
2013/09/11	0.64	0.66	0.64	0.65	16876725	101060512.00
2013/09/12	0.65	0.65	0.64	0.64	7845900	46053628.00
2013/09/13	0.64	0.64	0.63	0.63	6324127	36468980.00
2013/09/16	0.63	0.65	0.63	0.65	7709394	44827536.00
2013/09/17	0.65	0.66	0.63	0.63	9427261	54926580.00
2013/09/18	0.63	0.64	0.62	0.63	4490587	25460440.00
2013/09/23	0.63	0.64	0.63	0.64	4478242	25863734.00
2013/09/24	0.64	0.64	0.63	0.64	3968955	23023840.00
2013/09/25	0.63	0.64	0.63	0.64	4447377	25814672.00
2013/09/26	0.63	0.64	0.60	0.61	7360667	40885048.00
2013/09/27	0.61	0.61	0.59	0.60	5502469	29404536.00
2013/09/30	0.60	0.62	0.60	0.61	3441117	18666408.00
2013/10/08	0.61	0.63	0.60	0.62	3631177	20190816.00
2013/10/09	0.62	0.63	0.62	0.63	5837472	32848164.00
2013/10/10	0.63	0.64	0.62	0.62	5599635	31690796.00
2013/10/11	0.62	0.64	0.62	0.63	6222399	35605792.00
2013/10/14	0.63	0.65	0.63	0.64	9639425	56213124.00
2013/10/15	0.65	0.67	0.64	0.66	21893618	133885544.00
2013/10/16	0.66	0.66	0.64	0.64	8279818	48896456.00
2013/10/17	0.65	0.65	0.64	0.64	4704532	27684292.00
2013/10/18	0.64	0.64	0.63	0.63	7396129	42450860.00
2013/10/21	0.65	0.66	0.64	0.65	15311915	90300280.00
2013/10/22	0.64	0.64	0.64	0.64	5241242	30576368.00
2013/10/23	0.64	0.64	0.62	0.62	7355197	41675576.00
2013/10/24	0.62	0.62	0.61	0.61	7134989	39157288.00
2013/10/25	0.61	0.62	0.60	0.60	5512305	29698262.00
2013/10/28	0.61	0.61	0.60	0.61	2871719	15460931.00
2013/10/29	0.61	0.63	0.60	0.62	9610939	53092664.00
2013/10/30	0.62	0.62	0.62	0.62	5351161	29763212.00
2013/10/31	0.62	0.62	0.62	0.62	3911431	21684260.00
2013/11/01	0.62	0.62	0.62	0.62	2591698	14361701.00
2013/11/04	0.62	0.63	0.62	0.62	4693454	25942474.00
2013/11/05	0.62	0.62	0.61	0.62	4530704	24848412.00
2013/11/06	0.62	0.64	0.62	0.64	14505510	83306736.00
2013/11/07	0.63	0.65	0.63	0.63	8801044	50751812.00
2013/11/08	0.62	0.63	0.61	0.62	7124880	39356620.00
2013/11/11	0.61	0.62	0.60	0.61	6939719	37240408.00
2013/11/12	0.61	0.61	0.60	0.61	3943446	21246978.00
2013/11/13	0.61	0.61	0.60	0.60	2669286	14391078.00
2013/11/14	0.60	0.61	0.60	0.60	3977382	21314640.00
2013/11/15	0.61	0.61	0.60	0.61	5951524	31974114.00
2013/11/18	0.61	0.63	0.61	0.62	10834022	59898976.00
2013/11/19	0.62	0.63	0.62	0.62	7148239	39975168.00
2013/11/20	0.62	0.63	0.62	0.62	4391371	24534360.00
2013/11/21	0.62	0.63	0.62	0.63	6449828	36210628.00
2013/11/22	0.63	0.64	0.62	0.63	8305455	47291736.00
2013/11/25	0.63	0.63	0.62	0.62	5397921	30378076.00
2013/11/26	0.62	0.63	0.62	0.62	3731900	20945948.00
2013/11/27	0.62	0.63	0.62	0.62	3667837	20683388.00
2013/11/28	0.63	0.63	0.62	0.63	7456406	42438104.00
2013/11/29	0.63	0.63	0.62	0.63	5101761	28897236.00
