600775 南京熊猫 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	4.79	4.85	4.73	4.84	1131525	8343113.00
2013/09/03	4.80	4.94	4.80	4.91	1458894	10882605.00
2013/09/04	4.94	4.94	4.81	4.86	1363771	10148001.00
2013/09/05	4.83	4.92	4.78	4.91	1916973	14269852.00
2013/09/06	4.91	4.98	4.85	4.92	1451260	10899023.00
2013/09/09	4.91	4.94	4.88	4.90	1590150	11928997.00
2013/09/10	4.94	4.94	4.87	4.91	1773396	13271421.00
2013/09/11	4.91	5.16	4.91	5.11	4908754	37808256.00
2013/09/12	5.08	5.16	5.02	5.08	2764303	21406018.00
2013/09/13	5.06	5.08	4.88	4.93	1842850	13937350.00
2013/09/16	4.94	5.11	4.92	5.10	3139022	23987176.00
2013/09/17	5.09	5.16	5.03	5.12	4910260	38266688.00
2013/09/18	5.11	5.51	4.98	5.50	9637296	76669736.00
2013/09/23	5.43	5.50	5.35	5.45	8030158	65965944.00
2013/09/24	5.46	5.87	5.39	5.67	10253964	87243912.00
2013/09/25	5.58	6.30	5.48	6.30	15961130	143260416.00
2013/09/26	6.98	6.98	5.83	6.02	17389132	164245888.00
2013/09/27	5.82	6.19	5.65	6.15	7036837	61494732.00
2013/09/30	6.01	6.39	5.91	6.19	11945908	109544504.00
2013/10/08	6.13	6.38	5.94	6.33	5160425	47158032.00
2013/10/09	6.23	6.91	6.11	6.68	8562241	81891136.00
2013/10/10	6.57	6.86	6.46	6.65	12805007	126314376.00
2013/10/11	6.55	6.76	6.30	6.34	12918272	123801192.00
2013/10/14	6.31	6.44	6.16	6.34	10111783	94706168.00
2013/10/15	6.30	6.35	6.14	6.28	4779204	44384552.00
2013/10/16	6.18	6.22	5.99	6.02	4471299	40457260.00
2013/10/17	6.08	6.21	5.98	6.10	7353525	67077128.00
2013/10/18	6.02	6.19	5.97	6.09	5515932	50316572.00
2013/10/21	6.09	6.16	5.96	6.12	3788162	34375088.00
2013/10/22	6.11	6.15	6.00	6.11	3385115	30717424.00
2013/10/23	6.11	6.45	6.04	6.19	13885352	127814536.00
2013/10/24	6.09	6.24	5.68	5.68	11601250	103035032.00
2013/10/25	5.63	5.68	5.28	5.39	4598945	37805244.00
2013/10/28	5.35	5.39	5.23	5.24	2518646	20270140.00
2013/10/29	5.28	5.34	4.76	4.87	3465845	26551256.00
2013/10/30	4.91	5.02	4.85	4.96	3626722	27402238.00
2013/10/31	4.96	5.02	4.87	4.97	2079377	15715568.00
2013/11/01	4.95	4.97	4.76	4.85	1470793	10916645.00
2013/11/04	4.84	5.00	4.83	4.90	1029569	7680404.00
2013/11/05	4.90	5.02	4.87	5.00	2274588	17244456.00
2013/11/06	4.99	5.11	4.95	4.97	2202839	16866060.00
2013/11/07	4.98	4.98	4.72	4.75	2007837	14878964.00
2013/11/08	4.70	4.75	4.54	4.58	1919998	13654418.00
2013/11/11	4.58	4.71	4.56	4.69	1643027	11759676.00
2013/11/12	4.71	4.90	4.67	4.85	1914117	14086459.00
2013/11/13	4.85	5.26	4.76	5.03	7210377	55931688.00
2013/11/14	4.96	5.42	4.96	5.31	4559067	36287468.00
2013/11/15	5.16	5.37	5.14	5.25	7741259	61155424.00
2013/11/18	5.19	5.25	5.11	5.21	4788189	37647536.00
2013/11/19	5.21	5.25	5.10	5.14	2474651	19380834.00
2013/11/20	5.15	5.31	5.11	5.25	3265754	25990110.00
2013/11/21	5.23	5.31	5.15	5.23	2469489	19646932.00
2013/11/22	5.21	5.25	5.13	5.14	1762238	13856735.00
2013/11/25	5.17	5.23	5.07	5.20	1598524	12561648.00
2013/11/26	5.20	5.31	5.20	5.25	2643787	21141534.00
2013/11/27	5.26	5.30	5.20	5.28	2220729	17743126.00
2013/11/28	5.33	5.44	5.31	5.33	3497765	28499466.00
2013/11/29	5.33	5.91	5.25	5.74	8095137	68501672.00
2013/12/02	5.46	5.87	5.34	5.57	6741306	56975192.00
2013/12/03	5.39	5.68	5.39	5.67	3189207	26799924.00
2013/12/04	5.62	5.75	5.58	5.68	4036591	34499524.00
2013/12/05	5.68	5.74	5.48	5.50	3144574	26387878.00
2013/12/06	5.50	5.50	5.34	5.37	2630936	21458178.00
2013/12/09	5.39	5.51	5.35	5.47	1730294	14211560.00
2013/12/10	5.50	5.51	5.40	5.42	1333295	10957130.00
2013/12/11	5.38	5.42	5.25	5.32	1823157	14730268.00
2013/12/12	5.31	5.38	5.28	5.31	1610083	12966480.00
2013/12/13	5.31	5.43	5.26	5.39	1511520	12298829.00
2013/12/16	5.44	5.46	5.08	5.13	2522919	19985366.00
2013/12/17	5.11	5.14	4.99	5.01	1127681	8654424.00
