600845 宝信软件 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	3.71	3.91	3.61	3.80	1828730	46197480.00
2013/09/03	3.78	4.11	3.71	4.05	2057586	53938728.00
2013/09/04	3.95	4.05	3.89	3.98	1496998	39340000.00
2013/09/05	3.98	4.13	3.87	4.05	1606005	42607088.00
2013/09/06	4.07	4.07	3.91	3.93	1505962	39597404.00
2013/09/09	3.91	4.17	3.84	4.02	2467352	65571404.00
2013/09/10	4.02	4.05	3.89	3.91	1254805	32850424.00
2013/09/11	3.97	3.98	3.55	3.55	2004916	49563036.00
2013/09/12	3.55	3.71	3.52	3.64	937777	23087956.00
2013/09/13	3.65	4.11	3.61	4.05	2196824	57223136.00
2013/09/16	4.01	4.10	3.85	4.02	1345856	35384668.00
2013/09/17	3.88	4.15	3.88	4.01	1689612	45194960.00
2013/09/18	3.99	4.18	3.95	4.17	1807791	48483920.00
2013/09/23	4.19	4.31	4.12	4.30	2119863	58673024.00
2013/09/24	4.28	4.31	4.15	4.18	1635209	44870168.00
2013/09/25	4.15	4.19	3.85	3.93	2140289	56620392.00
2013/09/26	3.93	4.00	3.75	3.76	1009942	26002620.00
2013/09/27	3.76	3.99	3.76	3.96	1196516	31045588.00
2013/09/30	4.07	4.19	3.96	3.99	1195756	31831132.00
2013/10/08	3.96	4.39	3.96	4.31	2821414	78104880.00
2013/10/09	4.24	4.38	4.11	4.31	2440811	67916512.00
2013/10/10	4.28	4.63	4.25	4.38	2589772	74539256.00
2013/10/11	4.38	4.51	4.28	4.41	1522708	43090320.00
2013/10/14	4.41	4.97	4.41	4.81	4233126	127330688.00
2013/10/15	4.83	5.04	4.75	4.94	2653195	81607456.00
2013/10/16	4.91	5.02	4.59	4.71	2388596	72649336.00
2013/10/17	4.72	4.79	4.50	4.75	2146349	63822104.00
2013/10/21	5.35	5.35	5.35	5.35	297552	9872775.00
2013/10/22	6.02	6.02	5.77	6.02	11186812	406475680.00
2013/10/23	5.85	5.87	5.29	5.29	4096290	138108208.00
2013/10/24	4.92	5.51	4.74	5.22	7056914	225354432.00
2013/10/25	5.02	5.09	4.57	4.62	3897673	118857024.00
2013/10/28	4.49	4.67	4.44	4.55	1842368	53607776.00
2013/10/29	4.45	4.59	3.96	4.15	3001943	82159248.00
2013/10/30	4.05	4.19	4.05	4.10	1909287	51570320.00
2013/10/31	4.07	4.25	3.90	4.05	1766463	47407336.00
2013/11/01	3.98	4.02	3.68	3.74	2013170	51246132.00
2013/11/04	3.76	3.83	3.73	3.78	794754	20172768.00
2013/11/05	3.79	4.06	3.71	4.01	1397100	36314524.00
2013/11/06	3.97	4.22	3.92	3.94	2764673	74602208.00
2013/11/07	3.91	3.91	3.71	3.73	1153277	29225164.00
2013/11/08	3.61	3.69	3.45	3.50	1311694	31737706.00
2013/11/11	3.47	3.59	3.41	3.49	844682	20120572.00
2013/11/12	3.50	3.56	3.38	3.49	1186222	28170948.00
2013/11/13	3.49	3.60	3.43	3.44	877876	21166994.00
2013/11/14	3.37	3.58	3.36	3.55	902657	21519652.00
2013/11/15	3.55	3.88	3.53	3.74	1595460	40264308.00
2013/11/18	3.71	3.89	3.71	3.80	1322997	33781016.00
2013/11/19	3.85	4.01	3.75	4.01	1955049	50931688.00
2013/11/20	4.07	4.07	3.87	4.03	1086565	28579172.00
2013/11/21	4.01	4.01	3.90	3.94	981496	25654188.00
2013/11/22	3.94	3.96	3.81	3.85	791185	20470820.00
2013/11/25	3.86	3.88	3.71	3.84	910800	23171068.00
2013/11/26	3.77	3.87	3.71	3.73	492231	12480646.00
2013/11/27	3.75	3.96	3.73	3.90	775503	19998502.00
2013/11/28	3.92	4.04	3.90	3.91	1257932	33081010.00
2013/11/29	3.91	3.98	3.85	3.94	1056746	27453300.00
2013/12/02	3.82	3.82	3.48	3.50	1095405	26887076.00
2013/12/03	3.50	3.60	3.45	3.58	931424	22407060.00
2013/12/04	3.75	3.90	3.62	3.80	1097884	27762340.00
2013/12/05	3.75	3.80	3.58	3.61	856458	21120498.00
2013/12/06	3.57	3.71	3.56	3.61	447720	11029214.00
2013/12/09	3.61	3.66	3.60	3.62	389614	9567010.00
2013/12/10	3.61	3.70	3.49	3.51	847073	20648904.00
2013/12/11	3.49	3.54	3.37	3.40	881079	20782778.00
2013/12/12	3.42	3.51	3.42	3.51	552859	13195301.00
2013/12/13	3.55	3.57	3.50	3.51	522153	12613026.00
2013/12/16	3.51	3.55	3.44	3.45	263132	6268495.00
2013/12/17	3.44	3.49	3.43	3.46	257377	6108136.50
2013/12/18	3.48	3.49	3.43	3.48	174013	4134129.25
2013/12/19	3.49	3.51	3.37	3.38	316039	7476919.50
2013/12/20	3.35	3.41	3.12	3.22	664543	15012739.00
2013/12/23	3.18	3.26	3.09	3.13	481044	10685884.00
2013/12/24	3.10	3.25	3.10	3.20	366721	8241838.00
2013/12/25	3.36	3.65	3.36	3.65	1832133	44867800.00
2013/12/26	3.77	3.95	3.53	3.54	4024870	102106984.00
2013/12/27	3.61	3.62	3.37	3.55	1938640	46437656.00
2013/12/30	3.60	3.73	3.51	3.72	1483995	36311968.00
2013/12/31	3.67	3.82	3.65	3.71	1140703	28697500.00
2014/01/02	3.73	3.82	3.67	3.74	877462	22134468.00
2014/01/03	3.72	3.83	3.72	3.79	1194533	30283374.00
2014/01/06	3.81	4.06	3.81	3.87	1934049	50503476.00
2014/01/07	3.81	3.85	3.61	3.73	865812	21802364.00
2014/01/08	3.70	4.01	3.68	3.99	1430502	36860076.00
2014/01/09	3.98	4.49	3.91	4.19	2779160	76566504.00
2014/01/10	4.11	4.39	4.01	4.11	2080593	57455092.00
2014/01/13	4.13	4.29	4.03	4.23	1082183	29487068.00
2014/01/14	4.21	4.29	4.15	4.26	1123701	30917936.00
2014/01/15	4.26	4.35	4.18	4.32	984383	27377610.00
2014/01/16	4.33	4.35	4.05	4.07	1500580	40969556.00
2014/01/17	4.03	4.20	4.03	4.17	863156	23451266.00
2014/01/20	4.22	4.47	4.22	4.27	1206592	33938020.00
2014/01/21	4.25	4.41	4.25	4.36	1151689	32492198.00
2014/01/22	4.38	4.43	4.28	4.38	1295595	36737152.00
2014/01/23	4.35	4.60	4.35	4.58	1773787	51504444.00
2014/01/24	4.58	4.67	4.51	4.54	1320908	38677448.00
2014/01/27	4.47	4.86	4.39	4.85	2332014	69349640.00
2014/01/28	4.78	4.84	4.63	4.73	1753529	52561304.00
2014/01/29	4.67	4.97	4.67	4.94	1383559	42739708.00
2014/01/30	4.94	5.03	4.77	4.90	973732	29858856.00
2014/02/07	4.80	4.91	4.69	4.89	1061849	32320746.00
2014/02/10	4.85	4.96	4.77	4.87	1844883	56419212.00
2014/02/11	4.87	4.90	4.65	4.66	1490605	45005216.00
