601006 大秦铁路 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	1.95	2.21	1.95	2.03	38768885	270088992.00
2013/09/03	2.09	2.24	2.01	2.15	41380285	291091136.00
2013/09/04	2.12	2.16	2.03	2.15	25705968	179664400.00
2013/09/05	2.16	2.32	2.12	2.27	38261349	272213344.00
2013/09/06	2.23	2.56	2.23	2.50	53188227	389597344.00
2013/09/09	2.47	2.67	2.39	2.44	52695644	389581312.00
2013/09/10	2.44	2.76	2.38	2.67	56930041	428479040.00
2013/09/11	2.74	2.90	2.57	2.70	55850761	425934720.00
2013/09/12	2.67	2.76	2.60	2.72	40158041	304571904.00
2013/09/13	2.70	2.76	2.42	2.62	37259398	277481760.00
2013/09/16	2.60	2.93	2.55	2.70	53632009	411362208.00
2013/09/17	2.70	2.71	2.47	2.52	34053053	254612336.00
2013/09/18	2.51	2.57	2.36	2.43	28872624	212728800.00
2013/09/23	2.48	2.54	2.42	2.49	17837502	131478232.00
2013/09/24	2.45	2.49	2.38	2.43	20614324	150977104.00
2013/09/25	2.43	2.50	2.24	2.28	22622362	164808160.00
2013/09/26	2.29	2.29	2.00	2.16	42965723	300679008.00
2013/09/27	2.07	2.24	2.00	2.21	25684968	179111120.00
2013/09/30	2.23	2.43	2.19	2.39	26610593	191683264.00
2013/10/08	2.35	2.40	2.21	2.25	26628456	191499920.00
2013/10/09	2.26	2.26	2.08	2.17	29929704	210024272.00
2013/10/10	2.16	2.20	2.09	2.11	17750125	124872896.00
2013/10/11	2.18	2.26	2.12	2.20	21670744	153899920.00
2013/10/14	2.26	2.47	2.21	2.41	37267070	271041376.00
2013/10/15	2.42	2.44	2.16	2.27	34107152	243943632.00
2013/10/16	2.19	2.26	2.12	2.19	24534308	173122944.00
2013/10/17	2.17	2.23	2.06	2.09	18984118	133464808.00
2013/10/18	2.09	2.12	2.05	2.08	19838928	138256544.00
2013/10/21	2.08	2.15	2.07	2.12	33826453	236744464.00
2013/10/22	2.12	2.16	2.05	2.08	25671835	179365392.00
