603019 中科曙光 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/11/06	2.41	2.41	2.41	2.41	64400	490728.00
2014/11/07	2.69	2.69	2.69	2.69	10722	89850.36
2014/11/10	2.99	2.99	2.99	2.99	15600	143832.00
2014/11/11	3.31	3.31	3.31	3.31	20500	207870.00
2014/11/12	3.68	3.68	3.68	3.68	21900	244185.00
2014/11/13	4.08	4.08	4.08	4.08	35300	433131.00
2014/11/14	4.51	4.51	4.51	4.51	42600	575100.00
2014/11/17	5.00	5.00	5.00	5.00	81400	1208790.00
2014/11/18	5.53	5.53	5.53	5.53	153500	2508190.00
2014/11/19	6.11	6.11	6.11	6.11	191100	3434067.00
2014/11/20	6.75	6.75	6.75	6.75	181896	3596084.00
2014/11/21	7.46	7.46	7.46	7.46	249440	5425320.00
2014/11/24	8.24	8.24	8.24	8.24	213870	5117909.00
2014/11/25	9.09	9.09	9.09	9.09	346780	9127250.00
2014/11/26	10.03	10.03	10.03	10.03	325219	9415090.00
2014/11/27	11.07	11.07	11.07	11.07	223550	7120067.50
2014/11/28	12.21	12.21	12.21	12.21	467125	16368060.00
2014/12/01	13.46	13.46	13.46	13.46	310850	11980159.00
2014/12/02	14.83	14.83	14.83	14.83	342290	14509673.00
2014/12/03	16.35	16.35	16.35	16.35	254205	11853579.00
2014/12/05	18.01	18.01	18.01	18.01	3727642	191190752.00
2014/12/08	19.84	19.84	19.84	19.84	8985418	506957280.00
2014/12/09	18.70	20.76	17.83	17.94	41207596	2198130944.00
2014/12/10	17.84	19.33	16.84	18.36	22329358	1162966784.00
2014/12/11	18.59	20.23	18.36	20.23	15662476	869555136.00
2014/12/12	21.66	22.19	18.26	18.74	28227799	1632089856.00
2014/12/15	17.87	18.84	17.15	18.59	14823289	757639552.00
2014/12/16	18.23	18.48	17.55	17.61	10458371	532569856.00
2014/12/17	17.12	18.22	17.01	17.55	10191263	512167872.00
2014/12/18	17.43	18.94	17.37	17.99	12493404	648177088.00
2014/12/19	17.59	17.76	16.16	16.16	13879452	660479424.00
2014/12/22	15.85	16.12	14.51	14.51	8930014	378905408.00
2014/12/23	13.91	15.23	13.72	14.05	9581748	396107616.00
2014/12/24	14.36	14.73	14.02	14.33	7300372	299836192.00
2014/12/25	14.41	15.79	13.98	15.28	11535670	493290240.00
2014/12/26	14.87	15.76	14.80	15.31	8295756	363550208.00
2014/12/29	15.05	15.41	14.24	15.20	10759338	455276032.00
2014/12/30	15.00	15.60	14.69	15.38	9094753	397619808.00
2014/12/31	15.26	15.62	14.83	14.88	7348777	318459584.00
2015/01/05	14.40	14.44	13.62	13.89	9167544	366566080.00
2015/01/06	13.66	14.51	13.55	14.29	7397392	298767808.00
2015/01/07	14.19	14.41	13.91	14.03	4508641	180923312.00
2015/01/08	14.05	15.01	13.94	14.30	7744136	322571616.00
2015/01/09	14.07	15.76	14.03	15.76	9565624	416594240.00
2015/01/12	16.12	17.34	15.95	16.76	18721979	888096832.00
2015/01/13	16.66	17.78	16.30	16.77	13957858	679101312.00
2015/01/14	16.61	16.71	15.94	15.98	8559263	397283168.00
2015/01/15	15.82	16.54	15.65	15.93	7360691	336224544.00
2015/01/16	15.84	17.20	15.72	16.92	10169899	481420800.00
2015/01/19	16.48	18.61	16.37	17.14	13461932	673854208.00
2015/01/20	17.37	18.44	17.12	18.21	10412234	528455104.00
2015/01/21	18.12	18.15	17.70	18.00	7381670	376365344.00
2015/01/22	18.26	19.83	18.09	19.83	9968369	545533184.00
2015/01/23	20.41	20.48	18.86	18.88	9969829	546903808.00
2015/01/26	19.15	20.40	18.94	19.23	9474855	527482272.00
2015/01/27	18.98	19.16	18.33	19.08	7764131	414472288.00
2015/01/28	18.86	19.94	18.84	18.98	6787997	373401600.00
2015/01/29	18.51	18.96	17.79	18.03	8111739	425853216.00
2015/01/30	18.13	18.50	17.34	17.38	6971730	353396320.00
2015/02/02	17.19	17.94	16.94	17.62	4571701	230094864.00
2015/02/03	17.51	18.75	17.48	18.15	8366597	434935424.00
2015/02/04	18.06	18.66	17.93	18.15	5433967	282000064.00
2015/02/05	18.25	18.62	17.67	17.88	6565660	339241376.00
2015/02/06	17.91	18.41	17.09	17.25	5150487	258006032.00
2015/02/09	17.10	17.26	16.25	16.40	4689327	223495280.00
2015/02/10	16.37	16.71	15.99	16.68	3572196	166385296.00
2015/02/11	16.62	18.09	16.50	17.81	5925265	295515808.00
2015/02/12	17.57	18.44	17.55	17.83	5393992	277468576.00
2015/02/13	18.00	18.27	17.69	18.13	4257304	217916064.00
2015/02/16	18.14	18.93	18.14	18.72	5210820	276811264.00
2015/02/17	18.73	19.34	18.20	18.96	6500864	346964864.00
2015/02/25	18.87	20.89	18.81	20.39	12311619	703935616.00
2015/02/26	20.37	20.87	19.34	19.98	7656188	439775424.00
2015/02/27	20.01	20.82	19.89	20.74	6520166	377620544.00
2015/03/02	20.86	21.91	20.49	21.61	7527926	457444480.00
2015/03/03	21.41	22.01	20.26	20.38	8102857	485535168.00
2015/03/04	20.43	20.77	20.12	20.38	4443544	257606544.00
2015/03/05	20.66	21.79	20.23	21.10	6372370	381750368.00
2015/03/06	21.12	21.37	19.94	19.99	5405885	312772480.00
2015/03/09	19.62	20.16	19.34	20.04	3425432	192592736.00
2015/03/10	20.05	20.44	19.91	19.96	3052584	174749728.00
2015/03/11	19.80	20.18	19.45	19.66	3756889	211534688.00
2015/03/12	19.73	20.36	19.53	20.18	3525951	199214848.00
2015/03/13	20.12	21.66	20.12	21.28	5872273	350791968.00
2015/03/16	21.84	22.98	21.23	22.55	7999840	502815328.00
2015/03/17	22.55	22.62	22.03	22.22	5478458	346479136.00
2015/03/18	22.19	23.09	22.05	22.72	5312553	343199680.00
2015/03/19	22.73	23.05	21.84	22.16	6265166	396848416.00
2015/03/20	22.05	23.83	21.91	22.72	6533661	424346496.00
2015/03/23	22.74	23.50	22.46	23.31	5272413	343150944.00
2015/03/24	23.73	25.26	23.30	25.23	11207790	769011392.00
2015/03/25	25.19	27.78	24.97	27.78	10745332	819020736.00
2015/03/27	25.05	26.38	24.97	25.01	11595601	835015232.00
2015/03/30	25.08	25.58	24.26	24.69	6959875	486949248.00
2015/03/31	24.69	25.44	24.34	24.68	4337883	306793024.00
2015/04/01	24.66	27.18	24.57	27.18	8311250	620386944.00
2015/04/02	27.18	27.73	26.34	27.62	5977438	459352576.00
2015/04/03	27.22	29.94	26.96	29.16	5980263	479346528.00
2015/04/07	29.10	30.93	28.98	29.90	5905036	500534304.00
2015/04/08	30.09	30.75	27.84	28.97	5828294	481573792.00
2015/04/09	28.63	31.90	28.62	31.90	8941110	773011136.00
2015/04/10	32.55	35.12	31.97	35.10	6291272	598574976.00
2015/04/27	38.64	38.64	38.64	38.64	106403	11602183.00
2015/04/28	42.19	42.19	37.19	40.73	11432124	1295518336.00
2015/04/29	39.34	44.84	39.34	44.84	5729367	695517632.00
2015/04/30	46.84	49.35	46.84	47.95	3883229	529197568.00
2015/05/04	49.58	49.66	43.26	47.06	5263023	695654272.00
2015/05/05	46.44	46.84	42.44	43.13	4583413	577263616.00
2015/05/06	43.62	46.90	43.62	44.54	4426488	563154240.00
2015/05/07	43.63	45.26	42.59	43.37	3227669	399967680.00
2015/05/08	44.66	46.83	43.80	46.06	4318159	552411392.00
2015/05/11	46.48	49.65	45.05	48.28	4783413	647890176.00
2015/05/12	48.26	50.51	47.19	47.59	5034189	685402368.00
2015/05/13	47.17	52.38	45.93	51.34	6612885	908249984.00
2015/05/14	51.53	53.66	49.69	50.35	4167448	609095744.00
2015/05/15	49.25	50.60	47.98	49.08	3025020	421604704.00
2015/05/18	48.62	50.94	48.03	49.20	3643955	508280096.00
2015/05/19	51.48	54.15	50.99	54.15	3506086	522203776.00
2015/05/20	56.80	59.60	54.34	54.65	6693541	1083049856.00
2015/05/21	54.87	56.77	52.91	54.85	4738882	724127168.00
2015/05/22	55.99	56.12	49.69	52.62	6188143	913683328.00
2015/05/25	50.41	52.55	49.65	51.42	4460593	637825728.00
2015/05/26	51.48	55.05	51.43	53.09	3873256	576654080.00
2015/05/27	53.34	58.40	52.38	57.92	5754517	897061376.00
2015/05/28	58.40	60.40	52.10	52.10	6137714	977920960.00
2015/05/29	50.50	54.26	48.98	51.85	4826833	700935808.00
2015/06/01	50.98	53.08	50.71	52.15	3245133	475343456.00
2015/06/02	51.48	52.73	47.55	49.31	6552898	919668224.00
2015/06/03	50.69	52.49	48.80	52.06	5158400	736430656.00
2015/06/04	51.52	51.55	46.83	48.13	4932830	671311936.00
2015/06/05	49.34	50.05	45.19	46.46	5696791	760090944.00
2015/06/08	45.59	45.59	42.52	43.41	5909468	728231168.00
2015/06/09	44.13	44.94	42.24	44.65	3348299	418136288.00
2015/06/10	44.60	47.73	43.54	47.04	3899718	507374080.00
2015/06/11	46.91	47.83	44.90	45.02	4981871	641981376.00
2015/06/12	45.03	45.44	42.50	42.99	5738752	700907584.00
2015/06/15	43.03	43.24	38.87	39.31	6220037	711366592.00
2015/06/16	38.40	40.97	37.58	39.99	4563532	511448768.00
2015/06/17	40.03	41.33	38.33	41.22	4024491	455943776.00
2015/06/18	42.03	43.58	40.08	40.54	5289058	635292416.00
2015/06/19	39.79	39.88	36.46	36.46	3337607	357397184.00
2015/06/23	35.44	37.58	32.81	37.28	5142475	513833920.00
2015/06/24	37.93	38.14	35.26	36.68	4197695	434647200.00
2015/06/25	37.72	39.69	36.15	36.73	4655742	495678624.00
2015/06/26	35.17	36.60	33.03	33.03	4674681	452151456.00
2015/06/29	34.01	34.29	29.70	29.70	4955367	427078560.00
2015/06/30	28.57	31.56	26.70	30.65	6144471	499089792.00
2015/07/01	30.09	31.32	27.55	27.55	4705847	396633152.00
2015/07/02	27.38	27.40	24.77	24.77	5316083	386403936.00
2015/07/03	22.76	25.44	22.27	22.27	5917300	385320800.00
2015/07/06	24.52	24.52	20.01	20.42	8364614	511524800.00
2015/07/07	20.40	21.78	18.35	18.35	8886004	493658080.00
2015/07/10	20.22	20.22	20.22	20.22	476070	27321658.00
2015/07/13	22.27	22.27	22.27	22.27	70841	4472192.50
2015/07/14	24.52	24.52	24.52	24.52	96920	6730125.00
2015/07/15	27.00	27.00	24.30	25.26	15240463	1135812992.00
2015/07/16	25.26	27.81	24.32	27.81	10114823	771744768.00
2015/07/17	28.65	30.63	27.94	30.62	9115866	764497344.00
2015/07/20	29.72	32.86	29.65	31.42	8961315	787209984.00
2015/07/21	30.79	31.46	30.17	30.98	4922391	429851072.00
2015/07/22	30.46	34.10	30.44	33.75	8636223	802295872.00
2015/07/23	33.90	34.72	32.94	34.18	6058334	577649344.00
2015/07/24	34.33	35.01	32.38	32.62	6481434	615958848.00
2015/07/27	31.43	32.42	29.33	29.33	7497561	649550208.00
2015/07/28	27.22	29.33	26.37	26.52	7458144	575047744.00
2015/07/29	27.58	28.96	26.24	28.70	6779117	522734304.00
2015/07/30	28.90	30.53	27.76	28.40	6530831	543421632.00
2015/07/31	27.22	28.22	25.79	26.25	5543766	425494624.00
2015/08/03	25.57	25.97	23.60	23.62	4685571	325345920.00
2015/08/04	24.01	26.01	24.00	26.01	5162336	369364960.00
2015/08/05	26.57	27.54	25.83	26.41	6358716	480060384.00
2015/08/06	25.33	27.04	25.08	26.36	4234316	316289248.00
2015/08/07	27.01	28.50	26.61	27.82	6514330	509345600.00
2015/08/10	28.29	30.63	27.94	30.54	6102960	509089504.00
2015/08/11	30.37	30.79	29.44	29.86	5890980	502098432.00
2015/08/12	29.57	30.19	29.01	29.09	4333974	362543776.00
2015/08/13	29.01	29.83	27.84	29.59	5086172	415182688.00
2015/08/14	29.81	30.94	29.15	30.26	6903050	590174784.00
2015/08/17	29.58	30.04	29.06	29.40	3647480	303463232.00
2015/08/18	29.36	30.04	26.43	26.43	6359163	507001184.00
2015/08/19	25.79	27.58	24.39	27.33	5024176	368688800.00
2015/08/20	27.22	28.50	26.19	26.63	4480652	347272672.00
2015/08/21	25.79	26.29	24.36	24.39	4098705	293092000.00
2015/08/24	22.76	23.29	21.93	21.93	4101892	258142640.00
2015/08/25	19.83	20.47	19.70	19.70	4237825	239152192.00
2015/08/26	19.58	21.15	17.76	19.34	9283509	511270496.00
2015/08/27	19.98	20.97	18.44	19.74	8350680	469792832.00
2015/08/28	20.08	21.58	19.65	21.53	6907130	399062592.00
2015/08/31	20.97	21.14	19.38	19.39	5173521	296661728.00
2015/09/01	19.01	19.01	17.42	17.42	5192012	264800672.00
2015/09/02	16.15	18.28	16.08	16.10	4456023	213926016.00
2015/09/07	17.00	17.74	16.73	17.73	6395422	319413408.00
2015/09/08	17.38	19.22	17.12	18.92	5130012	262292016.00
2015/09/09	18.92	20.47	18.65	20.14	6242896	350380352.00
2015/09/10	19.36	20.20	19.33	19.50	3433210	193058624.00
2015/09/11	19.68	20.78	19.38	20.05	4810304	274911168.00
2015/09/14	20.20	20.43	18.01	18.01	4279993	231833440.00
2015/09/15	17.40	17.85	16.22	16.30	4054616	196561536.00
2015/09/16	16.54	17.96	16.51	17.96	4440463	217057136.00
2015/09/17	18.04	19.79	17.62	19.50	8366183	458936512.00
2015/09/18	19.37	19.90	18.81	19.76	5466602	300506912.00
2015/09/21	19.25	21.22	19.08	21.02	4545297	262432704.00
2015/09/22	21.00	21.36	20.34	20.63	3575255	210327152.00
2015/09/23	20.36	22.31	20.22	21.34	5809592	354292448.00
2015/09/24	21.43	21.83	21.08	21.60	3775532	229545520.00
2015/09/25	21.51	21.60	19.90	20.15	3787455	222595744.00
2015/09/28	20.03	21.29	19.53	21.26	3420929	200202864.00
2015/09/29	20.79	21.79	20.44	21.06	3386893	203693536.00
2015/09/30	21.33	21.46	20.65	20.78	2138453	127518112.00
2015/10/08	21.87	22.89	21.47	22.89	3307997	208563008.00
2015/10/09	23.01	24.26	23.01	23.27	4418966	295668672.00
2015/10/12	23.46	25.18	23.16	23.91	7228046	495066016.00
2015/10/13	24.61	25.86	23.94	25.10	5992594	424776352.00
2015/10/14	24.82	25.11	24.04	24.24	4354595	303409952.00
2015/10/15	24.04	26.19	23.90	25.69	5318200	381856480.00
2015/10/16	25.81	26.63	25.23	25.75	4535712	332638752.00
2015/10/19	25.62	26.53	24.57	25.06	5770085	416957792.00
2015/10/20	24.79	25.93	24.65	25.77	4872329	349249504.00
2015/10/21	25.83	26.69	23.47	23.94	5736901	409017056.00
2015/10/22	23.84	25.16	23.83	24.91	4123583	285464416.00
