603228 景旺电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/06	22.50	22.50	22.50	22.50	25386	846623.13
2017/01/09	24.89	24.89	24.89	24.89	7592	278550.47
2017/01/10	27.51	27.51	27.51	27.51	9300	375348.00
2017/01/11	30.39	30.39	30.39	30.39	50295	2233098.00
2017/01/12	33.56	33.56	30.11	30.41	22151104	1017572224.00
2017/01/13	29.36	32.21	27.74	29.93	18601352	804472576.00
2017/01/16	28.88	31.38	28.52	31.14	17605959	784102848.00
2017/01/17	30.82	34.39	30.69	33.26	22101888	1050889344.00
2017/01/18	32.47	32.76	30.25	30.44	17726947	818988160.00
2017/01/19	29.47	31.31	29.47	29.98	9015188	398897024.00
2017/01/20	29.94	31.79	29.79	31.08	9134816	413183616.00
2017/01/23	31.19	31.83	30.61	30.75	8404616	382473184.00
2017/01/24	30.69	30.79	28.84	29.56	11010787	475867136.00
2017/01/25	29.16	30.32	29.04	29.95	6814114	297710528.00
2017/01/26	29.97	30.16	29.31	29.54	6289276	272192640.00
2017/02/03	29.56	30.20	29.31	29.78	5494071	238839216.00
2017/02/06	30.11	31.86	29.96	31.56	10336710	466691520.00
2017/02/07	31.19	31.50	30.73	31.09	6647902	301143296.00
2017/02/08	31.09	32.03	31.02	31.66	8622722	397352352.00
2017/02/09	31.45	32.71	31.38	31.64	9421208	439193248.00
2017/02/10	31.65	31.74	30.57	30.60	7286845	329810688.00
2017/02/13	30.47	32.46	30.47	31.96	8591259	396602496.00
2017/02/14	31.82	32.81	31.82	32.16	7624498	357902912.00
2017/02/15	32.34	34.37	32.34	32.74	14398977	697876288.00
2017/02/16	32.29	36.14	31.90	34.53	13913262	680600064.00
2017/02/17	34.04	35.57	33.36	33.54	11947012	596344000.00
2017/02/20	33.45	33.86	31.68	32.94	8443311	400297888.00
2017/02/21	32.61	33.89	32.52	33.82	8229773	398380960.00
2017/02/22	33.66	33.83	32.68	33.32	7215638	348873664.00
2017/02/23	33.06	34.66	33.06	34.14	9904657	489600000.00
2017/02/24	34.09	35.34	33.89	34.50	9823441	495105184.00
2017/02/27	34.12	35.38	33.62	33.68	7600984	379900352.00
2017/02/28	33.38	36.28	33.38	35.79	12480437	634254208.00
2017/03/01	35.66	35.68	34.74	35.12	8004177	408238304.00
2017/03/02	35.01	36.39	34.70	35.49	9814892	506740832.00
2017/03/03	35.11	36.38	34.54	35.66	7289915	375579392.00
2017/03/06	35.68	37.44	35.67	36.62	7983500	423987200.00
2017/03/07	36.34	37.16	36.01	36.49	6920822	366402624.00
2017/03/08	36.26	36.57	35.81	36.36	5501971	288870592.00
2017/03/09	36.32	36.38	34.89	35.00	5914830	305717824.00
2017/03/10	34.89	35.53	34.61	34.78	4654321	236877616.00
2017/03/13	34.46	35.49	34.13	35.33	4709012	238895456.00
2017/03/14	35.29	36.14	35.14	35.46	5057537	261832032.00
2017/03/15	35.10	35.79	34.95	35.33	3591837	184561184.00
2017/03/16	35.56	36.68	35.56	36.37	7414883	391006016.00
2017/03/17	36.37	37.46	35.61	35.62	8566796	454697504.00
2017/03/20	35.26	36.66	35.26	36.60	4529900	236384176.00
2017/03/21	36.41	36.81	36.00	36.76	5406966	285945344.00
2017/03/22	36.31	37.09	35.84	36.69	6575023	347723296.00
2017/03/23	36.69	36.88	35.13	35.78	6649851	348141792.00
2017/03/24	35.81	36.29	35.55	36.09	5363904	280041600.00
2017/03/27	36.26	36.53	35.56	36.39	5037323	263885728.00
2017/03/28	36.25	36.61	35.00	35.08	5192803	270208544.00
2017/03/29	34.99	35.18	32.89	33.00	7123234	351441184.00
2017/03/30	32.96	33.18	32.29	32.54	4079959	193972880.00
2017/03/31	32.53	32.95	31.74	32.15	3799212	178540352.00
2017/04/05	32.11	32.86	31.76	32.75	3223658	152698864.00
2017/04/06	32.75	33.17	32.54	32.68	3326294	159147536.00
2017/04/07	32.75	32.75	31.54	31.61	3717171	173587472.00
2017/04/10	31.67	31.67	29.84	30.14	4689482	208925520.00
2017/04/11	30.02	31.04	29.90	30.91	3472059	154812944.00
2017/04/12	30.89	30.89	30.18	30.30	2163812	96333600.00
