603688 石英股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/10/31	4.46	5.50	4.46	5.50	113308	1052321.38
2014/11/03	6.12	6.12	6.12	6.12	36365	371650.31
2014/11/04	6.80	6.80	6.80	6.80	20459	229959.16
2014/11/05	7.54	7.54	7.54	7.54	36500	451140.00
2014/11/06	8.37	8.37	8.37	8.37	78400	1066240.00
2014/11/07	9.28	9.28	9.28	9.28	112900	1688984.00
2014/11/10	10.28	10.28	10.28	10.28	200386	3298353.50
2014/11/11	11.38	11.38	11.38	11.38	333500	6039685.00
2014/11/12	12.58	12.58	12.58	12.58	432600	8617392.00
2014/11/13	13.91	13.91	13.91	13.91	443169	9709833.00
2014/11/14	15.37	15.37	15.37	15.37	886700	21369470.00
2014/11/17	16.98	16.98	16.30	16.98	19648563	519075104.00
2014/11/18	17.89	18.74	16.67	16.99	37396680	1033567296.00
2014/11/19	15.64	17.65	15.34	16.33	21013246	534495744.00
2014/11/20	15.83	18.03	15.66	18.03	20657284	555718336.00
2014/11/21	19.10	19.64	18.12	18.28	31769611	929473984.00
2014/11/24	17.90	19.62	17.71	19.08	24397815	709445184.00
2014/11/25	18.58	18.64	17.30	17.50	19010821	527849760.00
2014/11/26	17.37	17.89	16.97	17.52	11124782	302900480.00
2014/11/27	17.49	17.70	16.99	17.18	9242932	250221344.00
2014/11/28	17.47	17.63	16.64	17.01	10009828	266766112.00
2014/12/01	16.68	18.28	16.42	17.70	15901799	433331872.00
2014/12/02	17.30	18.84	17.23	18.50	18062767	517753120.00
2014/12/03	18.50	18.50	17.08	17.38	13610418	372575104.00
2014/12/04	17.34	17.56	16.97	17.17	8660632	232073696.00
2014/12/05	16.97	17.17	15.57	15.96	9658731	246687072.00
2014/12/08	15.64	15.94	15.30	15.40	7521687	182459904.00
2014/12/09	15.24	15.38	13.80	13.80	9759670	223623872.00
2014/12/10	13.64	14.18	13.08	13.92	6010202	130294944.00
2014/12/11	13.90	15.24	13.65	14.80	7414734	169616240.00
2014/12/12	14.62	14.80	14.10	14.28	5240626	118405656.00
2014/12/15	14.28	14.70	13.98	14.38	3952111	88980232.00
2014/12/16	14.30	14.56	14.08	14.22	3286388	73615320.00
2014/12/17	14.28	14.40	13.60	13.67	3939300	86490776.00
2014/12/18	13.60	13.83	13.21	13.26	3377129	72083992.00
2014/12/19	13.04	13.20	12.04	12.30	5226706	103700392.00
2014/12/22	12.14	12.16	11.00	11.00	4706793	84564016.00
2014/12/23	10.84	12.10	10.74	11.56	5202069	95831128.00
2014/12/24	11.70	12.56	11.58	12.50	6256218	119688872.00
2014/12/25	12.49	12.68	11.87	12.18	5672514	109903328.00
2014/12/26	11.97	12.47	11.85	11.92	3418587	65121996.00
2014/12/29	11.92	11.97	11.52	11.72	2922200	54081500.00
2014/12/30	11.73	12.13	11.56	11.66	2883326	54078464.00
2014/12/31	11.58	11.83	11.34	11.59	2596079	47694404.00
2015/01/05	11.52	11.77	11.17	11.65	2935833	53814716.00
2015/01/06	11.50	12.14	11.50	12.02	4057824	76588408.00
2015/01/07	11.87	12.00	11.60	11.74	2896520	54175896.00
2015/01/08	11.78	12.32	11.62	11.92	4648011	89125088.00
2015/01/09	11.77	12.17	11.65	11.76	3621629	68369424.00
2015/01/12	11.58	11.58	11.04	11.11	3279999	58735284.00
2015/01/13	11.17	11.54	11.00	11.32	2483492	44578796.00
2015/01/14	11.22	11.36	11.07	11.10	1858428	33147226.00
2015/01/15	11.04	11.44	10.99	11.16	1908610	34083564.00
2015/01/16	11.12	11.38	11.12	11.30	2162599	38885884.00
2015/01/19	11.17	11.90	11.01	11.45	5011923	92106096.00
2015/01/20	11.46	12.66	11.46	12.66	11039126	215730560.00
2015/01/21	13.16	13.17	12.46	12.72	10765050	217715712.00
2015/01/22	12.56	13.64	12.46	13.40	9818609	204016160.00
2015/01/23	13.30	13.30	12.78	12.80	5984555	122488424.00
2015/01/26	12.80	12.90	12.54	12.72	3246763	65107548.00
2015/01/27	12.81	12.82	12.40	12.62	3684970	73379152.00
2015/01/28	12.58	12.80	12.44	12.70	3245784	65135924.00
2015/01/29	12.54	12.64	12.42	12.42	2296289	45502788.00
2015/01/30	12.40	12.54	12.16	12.17	1904180	37131360.00
2015/02/02	12.15	12.30	11.99	12.26	1462766	28255036.00
2015/02/03	12.30	12.70	12.28	12.69	2679216	53294664.00
2015/02/04	12.70	12.70	12.30	12.30	2331811	45997792.00
2015/02/05	12.37	12.49	12.16	12.17	1940109	37735992.00
2015/02/06	12.07	12.17	11.44	11.52	2535560	46962056.00
2015/02/09	11.56	11.56	11.16	11.27	1478161	26670110.00
2015/02/10	11.27	11.52	11.17	11.42	934320	16937058.00
2015/02/11	11.42	11.56	11.38	11.47	806710	14757836.00
2015/02/12	11.52	11.96	11.52	11.83	1411587	26415424.00
2015/02/13	11.90	12.07	11.82	11.96	1627485	30933956.00
