000066 中国长城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/01/04	0.10	0.11	0.09	0.09	2819200	14037994.00
2012/01/05	0.09	0.09	0.06	0.06	3466858	16372725.00
2012/01/06	0.06	0.07	0.05	0.06	2320460	10544273.00
2012/01/09	0.06	0.08	0.06	0.08	4528795	21283020.00
2012/01/10	0.08	0.10	0.07	0.10	5895408	28883240.00
2012/01/11	0.10	0.14	0.10	0.11	9132652	46983096.00
2012/01/12	0.11	0.12	0.10	0.11	4008761	20465400.00
2012/01/13	0.11	0.11	0.09	0.09	4701891	23245448.00
2012/01/16	0.09	0.09	0.08	0.08	2167351	10456263.00
2012/01/17	0.08	0.10	0.07	0.10	4461790	21860770.00
2012/01/18	0.10	0.11	0.09	0.09	4971041	24601706.00
2012/01/19	0.09	0.10	0.09	0.09	3144850	15435368.00
2012/01/20	0.10	0.10	0.09	0.10	2619248	12920306.00
2012/01/30	0.10	0.10	0.09	0.10	2716256	13466276.00
2012/01/31	0.09	0.10	0.09	0.09	1856591	9096568.00
2012/02/01	0.09	0.10	0.09	0.09	1950370	9592951.00
2012/02/02	0.09	0.10	0.09	0.10	2432336	12024032.00
2012/02/03	0.10	0.12	0.10	0.11	6312612	31960028.00
2012/02/06	0.11	0.12	0.11	0.11	4265957	21683972.00
2012/02/07	0.11	0.11	0.09	0.10	3363950	16775165.00
2012/02/08	0.10	0.13	0.10	0.13	8598668	44309132.00
2012/02/09	0.12	0.13	0.11	0.12	5909333	30627916.00
2012/02/10	0.12	0.12	0.12	0.12	4645236	24101980.00
2012/02/13	0.12	0.14	0.11	0.13	10543513	55857360.00
2012/02/14	0.13	0.13	0.12	0.13	4586530	24091990.00
2012/02/15	0.12	0.14	0.12	0.14	7872236	42049956.00
2012/02/16	0.14	0.16	0.14	0.15	15627444	85564288.00
2012/02/17	0.15	0.15	0.13	0.14	9646782	51709252.00
2012/02/20	0.15	0.16	0.14	0.14	9784526	53383920.00
2012/02/22	0.15	0.16	0.15	0.16	12213981	67326640.00
2012/02/23	0.16	0.16	0.14	0.15	11589258	63188476.00
2012/02/24	0.15	0.15	0.14	0.15	12829750	70216552.00
2012/02/27	0.15	0.17	0.15	0.15	14744985	82091584.00
2012/02/28	0.15	0.15	0.14	0.15	8614429	46894600.00
2012/02/29	0.15	0.15	0.13	0.13	8954043	47925320.00
2012/03/01	0.13	0.15	0.13	0.14	7580360	40895132.00
2012/03/02	0.14	0.15	0.14	0.15	8276474	45091380.00
2012/03/05	0.15	0.16	0.15	0.16	10726057	59490380.00
2012/03/06	0.15	0.15	0.14	0.15	6996186	37961348.00
2012/03/07	0.14	0.15	0.14	0.14	6597204	35696124.00
2012/03/08	0.14	0.16	0.14	0.16	11470604	63268704.00
2012/03/09	0.16	0.16	0.15	0.16	10312665	57127584.00
2012/03/12	0.16	0.16	0.15	0.16	9090848	50489600.00
2012/03/13	0.16	0.19	0.16	0.17	20438244	116987496.00
2012/03/14	0.17	0.18	0.13	0.13	17809744	98816240.00
2012/03/15	0.13	0.14	0.12	0.13	10255224	53828424.00
2012/03/16	0.13	0.14	0.12	0.14	8564553	45206248.00
2012/03/19	0.13	0.14	0.12	0.14	7726659	40830400.00
2012/03/20	0.13	0.13	0.12	0.12	7298266	38153452.00
2012/03/21	0.12	0.13	0.11	0.12	6803948	35140508.00
