000750 国海证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	2.12	2.14	2.11	2.13	31628137	405768928.00
2013/09/03	2.14	2.14	2.12	2.13	30658563	394158016.00
2013/09/04	2.13	2.13	2.12	2.12	23910893	306481440.00
2013/09/05	2.12	2.13	2.10	2.11	27524498	346099040.00
2013/09/06	2.11	2.13	2.11	2.11	22213363	281970752.00
2013/09/09	2.12	2.18	2.12	2.16	82591357	1093963904.00
2013/09/10	2.15	2.18	2.14	2.18	67756413	903700800.00
2013/09/11	2.18	2.19	2.15	2.16	49215002	663690432.00
2013/09/12	2.16	2.19	2.15	2.16	55255476	750684928.00
2013/09/13	2.16	2.17	2.14	2.15	30040378	397218112.00
2013/09/16	2.15	2.16	2.14	2.14	20899854	274573504.00
2013/09/17	2.15	2.15	2.13	2.13	21326794	278002848.00
2013/09/18	2.13	2.13	2.11	2.13	18890935	241539584.00
2013/09/23	2.13	2.14	2.12	2.14	21390682	275899072.00
2013/09/24	2.14	2.14	2.11	2.12	22784462	290470432.00
2013/09/25	2.12	2.13	2.11	2.11	17513888	222915120.00
2013/09/26	2.11	2.12	2.10	2.10	16961155	212511248.00
2013/09/27	2.10	2.11	2.10	2.11	13779250	172044112.00
2013/09/30	2.11	2.11	2.10	2.10	15077560	186850064.00
2013/10/08	2.10	2.11	2.08	2.11	14505663	180275072.00
2013/10/09	2.10	2.11	2.10	2.11	14060266	175823392.00
2013/10/10	2.11	2.12	2.08	2.08	22353548	275089792.00
2013/10/11	2.09	2.12	2.09	2.11	32430135	406403712.00
2013/10/14	2.11	2.11	2.09	2.10	18541800	230080512.00
2013/10/15	2.11	2.12	2.10	2.11	21155063	265958928.00
2013/10/16	2.10	2.10	2.08	2.09	20162826	245509136.00
2013/10/17	2.09	2.11	2.09	2.09	14152846	173879952.00
2013/10/18	2.09	2.12	2.08	2.10	20881088	259970400.00
2013/10/21	2.10	2.11	2.09	2.11	22481452	278170304.00
