000786 北新建材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	-0.07	-0.06	-0.11	-0.10	4639510	80791528.00
2013/09/03	-0.10	-0.06	-0.10	-0.06	3076926	54242696.00
2013/09/04	-0.06	-0.04	-0.07	-0.06	2789939	49841868.00
2013/09/05	-0.06	-0.04	-0.06	-0.06	2850275	51095960.00
2013/09/06	-0.06	-0.05	-0.08	-0.07	2864061	50602164.00
2013/09/09	-0.06	-0.03	-0.07	-0.04	6071713	109662936.00
2013/09/10	-0.04	-0.03	-0.05	-0.03	3857070	69747672.00
2013/09/11	-0.02	0.00	-0.03	-0.01	5957212	109644808.00
2013/09/12	-0.01	-0.01	-0.07	-0.06	6337505	113930360.00
2013/09/13	-0.06	-0.04	-0.08	-0.06	3489212	62041196.00
2013/09/16	-0.06	-0.06	-0.10	-0.09	4466052	78589256.00
2013/09/17	-0.10	-0.08	-0.12	-0.12	4436098	76748312.00
2013/09/18	-0.12	-0.09	-0.12	-0.10	2708907	46976756.00
2013/09/23	-0.10	-0.08	-0.10	-0.08	3872550	67828984.00
2013/09/24	-0.08	-0.08	-0.13	-0.12	5080061	87247232.00
2013/09/25	-0.12	-0.11	-0.13	-0.13	3126806	53239092.00
2013/09/26	-0.13	-0.12	-0.17	-0.17	5802816	97405536.00
2013/09/27	-0.17	-0.13	-0.17	-0.16	2576931	43058212.00
2013/09/30	-0.15	-0.13	-0.16	-0.16	3302168	55249356.00
2013/10/08	-0.15	-0.10	-0.15	-0.10	5183215	89026648.00
2013/10/09	-0.10	-0.10	-0.12	-0.11	3988173	68700224.00
2013/10/10	-0.11	-0.09	-0.12	-0.11	3919931	67726480.00
2013/10/11	-0.10	-0.09	-0.11	-0.10	4607462	79789568.00
2013/10/14	-0.09	-0.06	-0.10	-0.07	6044430	106126232.00
2013/10/15	-0.07	-0.06	-0.10	-0.09	5610207	97765880.00
2013/10/16	-0.10	-0.10	-0.14	-0.13	6665727	113840392.00
2013/10/17	-0.13	-0.09	-0.13	-0.13	4556554	78383376.00
2013/10/18	-0.13	-0.10	-0.14	-0.13	2736131	46585996.00
2013/10/21	-0.13	-0.10	-0.13	-0.10	3343927	57550240.00
2013/10/22	-0.10	-0.08	-0.11	-0.09	3592190	62551748.00
2013/10/23	-0.09	-0.06	-0.11	-0.11	3362507	58821716.00
2013/10/24	-0.11	-0.10	-0.12	-0.11	1970634	33934696.00
2013/10/25	-0.11	-0.10	-0.14	-0.13	3084329	52747512.00
2013/10/28	-0.13	-0.10	-0.14	-0.11	2071814	35362352.00
2013/10/29	-0.11	-0.09	-0.15	-0.12	3768097	64526752.00
2013/10/30	-0.12	-0.09	-0.12	-0.09	3863777	66884620.00
2013/10/31	-0.08	-0.07	-0.11	-0.09	6866293	120570096.00
2013/11/01	-0.09	-0.09	-0.11	-0.10	2372209	41187804.00
2013/11/04	-0.10	-0.08	-0.10	-0.09	2936726	51247728.00
2013/11/05	-0.09	-0.09	-0.13	-0.11	5621364	96316520.00
2013/11/06	-0.11	-0.11	-0.14	-0.14	4910836	83160048.00
2013/11/07	-0.14	-0.13	-0.16	-0.16	3272454	54800432.00
2013/11/08	-0.16	-0.14	-0.16	-0.16	1651538	27596892.00
2013/11/11	-0.16	-0.13	-0.16	-0.14	1699148	28614450.00
2013/11/12	-0.14	-0.13	-0.14	-0.14	1944444	32872108.00
2013/11/13	-0.14	-0.14	-0.18	-0.18	4189922	69544120.00
2013/11/14	-0.18	-0.15	-0.18	-0.15	3413407	56680812.00
2013/11/15	-0.15	-0.12	-0.16	-0.14	3957461	66959140.00
2013/11/18	-0.13	-0.10	-0.14	-0.10	5192771	88901432.00
2013/11/19	-0.10	-0.10	-0.12	-0.11	2917427	50254908.00
2013/11/20	-0.11	-0.10	-0.12	-0.11	2573231	44205244.00
2013/11/21	-0.12	-0.11	-0.14	-0.13	2571559	43797648.00
