000923 河钢资源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	5.40	5.70	5.36	5.57	2684330	14902138.00
2013/09/03	5.53	5.59	5.48	5.59	1714757	9496337.00
2013/09/04	5.55	5.57	5.50	5.55	880134	4888650.00
2013/09/05	5.55	5.56	5.46	5.56	1183969	6535939.00
2013/09/06	5.51	5.55	5.40	5.52	1111340	6136572.50
2013/09/09	5.52	5.58	5.47	5.57	1175341	6544415.50
2013/09/10	5.58	5.59	5.53	5.59	1044438	5833409.00
2013/09/11	5.60	5.97	5.58	5.90	6381986	37142028.00
2013/09/12	5.83	5.93	5.68	5.75	3482438	20173000.00
2013/09/13	5.77	5.77	5.53	5.60	2784830	15709548.00
2013/09/16	5.63	5.65	5.53	5.59	1305959	7330300.50
2013/09/17	5.56	5.62	5.50	5.51	1326600	7403924.50
2013/09/18	5.50	5.58	5.50	5.56	578372	3223006.50
2013/09/23	5.56	5.65	5.56	5.64	960951	5411605.00
2013/09/24	5.62	5.64	5.55	5.59	848900	4764336.00
2013/09/25	5.58	5.62	5.55	5.58	865968	4858365.00
2013/09/26	5.56	5.59	5.42	5.43	873887	4837635.50
2013/09/27	5.48	5.49	5.41	5.45	1127197	6174654.50
2013/09/30	5.47	5.54	5.45	5.52	659538	3641937.00
2013/10/08	5.52	5.60	5.43	5.57	946817	5278030.00
2013/10/09	5.55	5.61	5.53	5.60	831844	4658587.50
2013/10/10	5.61	5.68	5.57	5.66	1245400	7047051.50
2013/10/11	5.66	5.81	5.65	5.78	1811802	10400921.00
2013/10/14	5.69	5.90	5.68	5.87	3172200	18463510.00
2013/10/15	5.79	5.86	5.68	5.78	2399040	13853006.00
2013/10/16	5.72	5.76	5.59	5.62	1279601	7271749.50
2013/10/17	5.63	5.71	5.62	5.64	930997	5291516.00
2013/10/18	5.62	5.71	5.62	5.71	836010	4758067.50
2013/10/21	5.72	5.79	5.67	5.79	1198376	6907944.50
2013/10/22	5.80	5.82	5.72	5.81	1150948	6686511.50
2013/10/23	5.82	5.82	5.61	5.64	1479721	8490791.00
2013/10/24	5.59	5.64	5.53	5.59	1028954	5763091.50
2013/10/25	5.60	5.67	5.53	5.54	1456048	8180820.50
2013/10/28	5.59	5.59	5.49	5.54	417362	2315667.50
2013/10/29	5.52	5.58	5.26	5.41	1541260	8338130.50
2013/10/30	5.41	5.48	5.30	5.48	890040	4808009.00
2013/10/31	5.47	5.48	5.37	5.48	582347	3166024.00
2013/11/01	5.48	5.51	5.41	5.48	421280	2310051.50
2013/11/04	5.45	5.48	5.43	5.48	440530	2413898.50
2013/11/05	5.50	5.52	5.42	5.52	788438	4336211.00
2013/11/06	6.07	6.07	6.07	6.07	2869999	17478294.00
2013/11/07	6.08	6.08	5.72	5.87	9261857	54531608.00
2013/11/08	5.81	5.92	5.61	5.62	5226104	30156978.00
2013/11/11	5.56	5.86	5.46	5.80	5002728	28632798.00
2013/11/12	5.73	5.78	5.58	5.64	3249589	18451948.00
2013/11/13	5.65	5.65	5.36	5.42	2849758	15736587.00
2013/11/14	5.39	5.44	5.32	5.42	2356525	12705851.00
2013/11/15	5.42	5.55	5.39	5.50	2767645	15276044.00
2013/11/18	5.49	5.57	5.44	5.56	2926357	16221010.00
2013/11/19	5.56	5.65	5.52	5.62	2676874	15023986.00
2013/11/20	5.65	5.75	5.62	5.69	2601658	14792364.00
2013/11/21	5.66	5.66	5.56	5.62	1950390	10956151.00
2013/11/22	5.61	5.73	5.59	5.66	2299640	13076802.00
2013/11/25	5.66	5.72	5.58	5.63	1866477	10606276.00
2013/11/26	5.60	5.66	5.53	5.62	1327726	7475723.00
2013/11/27	5.61	5.70	5.58	5.69	1935183	10986497.00
2013/11/28	5.68	5.73	5.66	5.71	1977776	11327073.00
2013/11/29	5.71	5.74	5.68	5.72	2033403	11669265.00
2013/12/02	5.63	5.64	5.38	5.41	3317495	18326424.00
