000938 紫光股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	11.96	12.62	11.96	12.42	7001003	174875952.00
2013/09/03	12.54	12.89	12.08	12.67	6639876	167706896.00
2013/09/04	12.56	13.05	12.31	12.89	7082155	181071296.00
2013/09/05	12.97	13.63	12.82	13.63	8637938	231640608.00
2013/09/06	13.58	14.19	13.35	13.48	7288425	201223152.00
2013/09/09	13.40	13.43	12.71	12.83	7357174	192368768.00
2013/09/10	12.84	12.84	12.15	12.20	6619576	165360304.00
2013/09/11	12.16	12.18	11.49	11.85	7501832	179009952.00
2013/09/12	11.80	12.13	11.50	11.92	5162176	123322520.00
2013/09/13	11.90	12.48	11.65	12.20	6123154	149721072.00
2013/09/16	12.30	12.56	11.92	12.32	5735418	142188352.00
2013/09/17	12.29	12.86	12.15	12.65	6416513	162702688.00
2013/09/18	12.59	12.69	12.15	12.51	4049732	101267528.00
2013/09/23	12.49	13.21	12.45	13.12	5331239	139310048.00
2013/09/24	13.07	13.31	12.82	12.92	4637146	121071552.00
2013/09/25	12.89	13.50	12.76	13.26	5247307	139244512.00
2013/09/26	13.06	13.47	12.87	12.92	4204038	111578376.00
2013/09/27	12.94	13.43	12.77	12.92	3348631	88318736.00
2013/09/30	13.28	13.53	13.07	13.37	4381451	117686896.00
2013/10/08	13.43	14.74	13.33	14.74	6303063	181354560.00
2013/10/09	15.30	15.67	14.90	15.06	12812867	389797184.00
2013/10/10	15.14	15.41	14.31	14.60	7118939	212476144.00
2013/10/11	14.30	14.70	14.04	14.15	6265255	179041216.00
2013/10/14	14.08	14.42	13.82	14.38	4474413	127183128.00
2013/10/15	14.39	14.43	13.25	13.58	7071065	196251664.00
2013/10/16	13.43	13.43	12.19	12.51	7437041	190483904.00
2013/10/17	12.61	12.70	12.10	12.21	5874200	147124384.00
2013/10/18	12.26	12.63	12.20	12.59	4118119	103496448.00
2013/10/21	12.74	13.14	12.74	13.07	5532789	144191728.00
2013/10/22	13.08	13.31	12.10	12.27	5899113	149337392.00
2013/10/23	12.31	12.40	11.36	11.94	5295855	127031792.00
2013/10/24	11.84	12.87	11.80	12.85	6269651	158258016.00
2013/10/25	12.77	12.81	12.10	12.51	3501376	88139296.00
2013/10/28	12.45	12.94	12.41	12.87	2738043	70153096.00
2013/10/29	12.77	13.30	12.29	12.98	4652791	120280704.00
2013/10/30	12.88	12.97	12.52	12.89	3054366	78481992.00
2013/10/31	12.74	12.84	11.89	11.91	3276587	81471104.00
2013/11/01	11.90	12.10	11.64	11.94	2175260	52188880.00
2013/11/04	12.31	12.59	12.05	12.14	3700760	91937296.00
2013/11/05	12.04	12.51	11.89	12.46	2405992	59634960.00
2013/11/06	12.41	12.83	12.20	12.31	3273065	82477528.00
2013/11/18	12.92	13.57	12.82	13.57	6514771	176190512.00
