000975 银泰黄金 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	5.65	5.78	5.61	5.66	6005249	54285592.00
2013/09/03	5.66	5.75	5.61	5.64	5919826	53433504.00
2013/09/04	5.63	5.73	5.59	5.62	4492971	40464592.00
2013/09/05	5.60	5.64	5.45	5.48	6049459	53258952.00
2013/09/06	5.48	5.56	5.39	5.47	4989657	43565820.00
2013/09/09	5.44	5.61	5.43	5.54	6110200	53829916.00
2013/09/10	5.54	5.69	5.50	5.69	6787676	60900512.00
2013/09/11	5.67	5.75	5.58	5.61	6757504	60791644.00
2013/09/12	5.59	5.59	5.48	5.52	5343046	47170300.00
2013/09/13	5.50	5.50	5.38	5.44	7817595	67862632.00
2013/09/16	5.44	5.56	5.40	5.50	7087105	62125828.00
2013/09/17	5.49	5.50	5.33	5.33	4478297	38794628.00
2013/09/18	5.37	5.41	5.24	5.33	2912594	24822150.00
2013/09/23	5.33	5.44	5.31	5.40	4685035	40279620.00
2013/09/24	5.39	5.40	5.21	5.22	5469201	46232288.00
2013/09/25	5.22	5.27	5.10	5.12	4301263	35958920.00
2013/09/26	5.11	5.20	5.09	5.12	3129172	25942516.00
2013/09/27	5.12	5.24	5.12	5.17	2601702	21686558.00
2013/09/30	5.18	5.25	5.09	5.24	3897923	32581082.00
2013/10/08	5.19	5.29	5.19	5.28	3967441	33515894.00
2013/10/09	5.26	5.31	5.22	5.27	2920051	24690318.00
2013/10/10	5.29	5.29	5.17	5.20	3701482	31070352.00
2013/10/11	5.23	5.33	5.17	5.33	5804161	48958752.00
2013/10/14	5.30	5.48	5.30	5.47	6906987	59701568.00
2013/10/15	5.59	5.59	5.33	5.43	7052013	61350440.00
2013/10/16	5.40	5.40	5.20	5.22	4062142	34405276.00
2013/10/17	5.24	5.29	5.20	5.24	3542786	29884772.00
2013/10/18	5.29	5.29	5.22	5.26	2919905	24650054.00
2013/10/21	5.28	5.37	5.22	5.35	5621298	47788640.00
2013/10/22	5.35	5.72	5.31	5.59	15592798	138947152.00
2013/10/23	5.67	5.76	5.51	5.59	12078383	108106912.00
2013/10/24	5.61	5.65	5.40	5.47	7772339	68580552.00
2013/10/25	5.46	5.55	5.39	5.51	6142542	53817272.00
2013/10/28	5.54	5.54	5.37	5.46	4475963	38875764.00
2013/10/29	5.44	5.51	5.08	5.20	6517678	54971400.00
2013/10/30	5.19	5.31	5.19	5.29	3836739	32376982.00
2013/10/31	5.27	5.29	5.16	5.19	2776815	23264110.00
2013/11/01	5.21	5.25	5.12	5.20	2322669	19366670.00
2013/11/04	5.24	5.36	5.22	5.26	3139466	26692902.00
2013/11/05	5.24	5.50	5.22	5.44	5154102	44572508.00
2013/11/06	5.41	5.49	5.34	5.36	4533921	39293520.00
2013/11/07	5.36	5.42	5.21	5.21	3320388	28145024.00
2013/11/08	5.16	5.24	5.14	5.15	2709051	22566580.00
2013/11/11	5.14	5.22	5.11	5.16	2856780	23755762.00
2013/11/12	5.16	5.20	5.14	5.18	2068245	17236218.00
2013/11/13	5.16	5.18	5.01	5.04	3075232	25285830.00
2013/11/14	5.04	5.09	5.01	5.06	1896302	15459865.00
2013/11/15	5.08	5.18	5.04	5.14	2108057	17492946.00
2013/11/18	5.14	5.26	5.14	5.24	3226124	27112998.00
2013/11/19	5.26	5.27	5.19	5.21	2564820	21537530.00
2013/11/20	5.24	5.25	5.16	5.19	3606069	30141784.00
2013/11/21	5.20	5.36	5.12	5.29	6445971	54648240.00
2013/11/22	5.29	5.29	5.18	5.19	3870941	32492776.00
2013/11/25	5.17	5.21	5.14	5.15	2444086	20349670.00
2013/11/26	5.15	5.18	5.06	5.15	3835596	31576918.00
2013/11/27	5.14	5.22	5.09	5.15	3195741	26606640.00
2013/11/28	5.15	5.33	5.14	5.24	7524124	63685308.00
2013/11/29	5.24	5.30	5.21	5.21	4077548	34434232.00
2013/12/02	5.15	5.18	5.00	5.01	6736731	55219644.00
2013/12/03	5.01	5.11	5.01	5.09	2496579	20460554.00
2013/12/04	5.12	5.18	5.06	5.12	3417629	28313338.00
2013/12/05	5.12	5.18	5.08	5.09	3508822	28945692.00
2013/12/06	5.11	5.17	5.05	5.07	3699468	30479398.00
2013/12/09	5.07	5.13	5.06	5.10	2558338	21039542.00
2013/12/10	5.10	5.14	5.08	5.11	2921226	24084574.00
2013/12/11	5.12	5.25	5.11	5.21	6836224	57109356.00
2013/12/12	5.21	5.24	5.15	5.16	4307505	35971280.00
2013/12/13	5.11	5.14	5.05	5.11	2716516	22352412.00
2013/12/16	5.11	5.31	5.06	5.21	5983949	50228532.00
2013/12/17	5.20	5.24	5.10	5.16	2286084	19054456.00
2013/12/18	5.16	5.20	5.09	5.09	1692342	14008657.00
2013/12/19	5.12	5.19	5.08	5.09	2290227	18948970.00
2013/12/20	5.09	5.11	4.99	5.02	2772167	22587960.00
2013/12/23	5.08	5.08	4.89	4.94	3243765	26084130.00
2013/12/24	4.96	5.02	4.93	5.01	1575470	12688483.00
2013/12/25	5.00	5.03	4.96	5.01	1674973	13540339.00
2013/12/26	5.02	5.51	4.95	5.40	11400051	96073488.00
2013/12/27	5.36	5.36	5.21	5.31	6839604	58147088.00
2013/12/30	5.29	5.38	5.22	5.24	4644778	39419912.00
