002023 海特高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	6.54	7.19	6.53	7.04	10502641	150054544.00
2013/09/03	7.00	7.07	6.86	7.05	5885017	84498112.00
2013/09/04	7.04	7.23	6.91	6.97	5956197	86661320.00
2013/09/05	6.92	7.05	6.88	6.98	3230625	46288220.00
2013/09/06	6.99	7.08	6.89	7.08	3141170	45205060.00
2013/09/09	7.06	7.08	6.75	6.94	7804300	110936928.00
2013/09/10	6.88	6.98	6.76	6.94	6381488	90459704.00
2013/09/11	6.90	6.94	6.47	6.69	5158409	71547344.00
2013/09/12	6.68	6.93	6.66	6.81	4130610	58311768.00
2013/09/13	6.83	7.35	6.75	7.27	8917063	130371288.00
2013/09/16	7.25	7.39	7.05	7.24	5840256	86435624.00
2013/09/17	7.16	7.39	7.12	7.12	4532140	67758272.00
2013/09/18	7.11	7.54	7.08	7.39	6433718	97546368.00
2013/09/23	7.33	7.48	7.30	7.45	4158281	63123660.00
2013/09/24	7.46	7.83	7.41	7.66	5834528	91984760.00
2013/09/25	7.59	7.69	7.31	7.33	5222834	80068912.00
2013/09/26	7.33	7.48	7.21	7.23	4054328	61214628.00
2013/09/27	7.21	7.41	7.18	7.29	2469031	37010288.00
2013/09/30	7.29	7.54	7.29	7.47	2218065	33990180.00
2013/10/08	7.64	7.95	7.46	7.82	5249893	83054752.00
2013/10/09	7.75	8.18	7.73	7.90	5508795	89992920.00
2013/10/10	7.87	8.04	7.70	7.75	3484810	55961184.00
2013/10/11	7.76	8.09	7.76	7.96	4808381	78623152.00
2013/10/14	7.90	8.30	7.83	8.28	4956693	82929880.00
2013/10/15	8.25	8.35	8.11	8.31	3563404	60218036.00
2013/10/16	8.30	8.50	7.91	8.30	7009941	117859936.00
2013/10/17	8.21	8.30	7.60	7.67	5967828	96979840.00
2013/10/18	7.76	8.14	7.68	8.14	5926146	95901696.00
2013/10/21	8.20	8.28	8.00	8.28	4676952	78535368.00
2013/10/22	8.27	8.55	7.98	8.03	6940358	118380176.00
2013/10/23	8.03	8.20	7.60	7.63	4495469	72171512.00
2013/10/24	7.64	7.80	7.40	7.41	3854544	60170996.00
2013/10/25	7.48	7.51	7.29	7.41	2934706	44358980.00
2013/10/28	7.47	7.59	7.35	7.36	2758395	42300044.00
2013/10/29	7.33	7.56	7.07	7.31	5541712	82990584.00
2013/10/30	7.32	7.64	7.32	7.63	2920259	45041956.00
2013/10/31	7.62	7.62	7.37	7.40	2267839	34605380.00
2013/11/01	7.44	7.58	7.26	7.40	3250721	49554688.00
2013/11/04	7.39	7.45	7.16	7.23	2808153	41771176.00
2013/11/05	7.17	7.25	7.01	7.25	3645657	53304048.00
2013/11/06	7.24	7.52	7.18	7.30	4409162	66799432.00
2013/11/07	7.20	7.25	7.01	7.02	2794051	40797884.00
2013/11/08	6.93	7.05	6.69	6.78	3650263	51164440.00
2013/11/11	6.80	6.90	6.68	6.90	1743543	24391424.00
2013/11/12	6.87	6.93	6.73	6.88	2253391	31586640.00
2013/11/13	6.90	7.05	6.81	6.89	3806213	54083420.00
2013/11/14	6.84	7.07	6.70	7.06	4943084	70662448.00
2013/11/15	7.10	7.51	7.06	7.40	6596278	99244432.00
2013/11/18	7.60	7.70	7.44	7.55	6560089	102031224.00
2013/11/19	8.33	8.33	8.33	8.33	3842524	65515036.00
