002179 中航光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	5.90	6.15	5.90	6.15	3294161	47131220.00
2013/09/03	6.13	6.18	6.09	6.17	2813639	40718092.00
2013/09/04	6.17	6.31	6.15	6.23	3352250	49395048.00
2013/09/05	6.30	6.30	6.13	6.13	2099036	30578466.00
2013/09/06	6.17	6.33	6.15	6.27	3054911	44990252.00
2013/09/09	6.31	6.52	6.22	6.38	5218249	78201816.00
2013/09/10	6.41	6.41	6.23	6.31	2801601	41444852.00
2013/09/11	6.29	6.41	5.99	6.00	4879498	70778944.00
2013/09/12	6.04	6.10	5.99	6.01	1764271	25174628.00
2013/09/13	6.02	6.15	6.02	6.08	2004331	28777254.00
2013/09/16	6.15	6.17	5.99	6.02	1555893	22260794.00
2013/09/17	6.02	6.05	5.93	5.93	1285513	18125510.00
2013/09/18	5.96	6.01	5.87	5.96	1183316	16576818.00
2013/09/23	5.98	6.05	5.97	6.05	3210061	45470692.00
2013/09/24	6.07	6.12	5.98	6.01	2167344	30895728.00
2013/09/25	6.06	6.07	5.96	5.98	1417879	20080656.00
2013/09/26	5.98	6.02	5.79	5.79	1716233	23878094.00
2013/09/27	5.83	5.93	5.79	5.84	1413338	19433418.00
2013/09/30	5.88	5.95	5.79	5.83	1218929	16786114.00
2013/10/08	5.85	6.12	5.80	6.10	3010916	42663220.00
2013/10/09	6.13	6.24	6.06	6.18	2542395	36578988.00
2013/10/10	6.16	6.22	6.01	6.04	2012503	28826324.00
2013/10/11	6.06	6.26	6.06	6.25	2983961	43151560.00
2013/10/14	6.25	6.33	6.18	6.25	2504415	36587556.00
2013/10/15	6.22	6.23	6.09	6.11	3539120	50726620.00
2013/10/16	6.09	6.10	5.90	5.94	2383380	33418330.00
2013/10/17	5.95	6.00	5.91	5.97	2361178	32957252.00
2013/10/18	5.95	6.01	5.93	5.96	1159789	16232705.00
2013/10/21	5.97	6.15	5.97	6.14	2253834	32182154.00
2013/10/22	6.18	6.26	6.09	6.13	3048813	43997292.00
2013/10/23	6.13	6.13	5.90	5.99	2144814	30158994.00
2013/10/24	5.97	5.97	5.84	5.88	2141438	29555908.00
2013/10/25	5.93	5.99	5.83	5.93	1961323	27185444.00
2013/10/28	5.93	6.00	5.86	5.96	1605165	22373770.00
2013/10/29	5.96	6.00	5.59	5.76	2508368	34086932.00
2013/10/30	5.76	5.82	5.69	5.82	1214917	16447290.00
2013/10/31	5.79	5.79	5.66	5.70	890888	11967951.00
2013/11/01	5.67	5.74	5.63	5.72	911522	12190648.00
2013/11/04	5.78	5.91	5.78	5.90	1685340	23178612.00
2013/11/05	5.99	6.22	5.90	6.17	4893206	69816600.00
2013/11/06	6.11	6.26	6.08	6.14	3540210	51156796.00
2013/11/07	6.15	6.29	5.94	5.95	4453846	64151576.00
2013/11/08	5.88	6.00	5.76	5.77	2770959	38064284.00
2013/11/11	5.79	5.98	5.74	5.97	1634607	22561350.00
2013/11/12	5.97	6.03	5.88	5.93	2046642	28566358.00
2013/11/13	6.19	6.20	5.91	5.91	4587062	65013760.00
2013/11/14	5.81	6.54	5.75	6.43	9805944	144849968.00
2013/11/15	6.43	7.12	6.43	6.86	22011167	354134432.00
2013/11/18	6.90	7.58	6.90	7.32	22670498	381487776.00
2013/11/19	7.26	7.44	7.05	7.35	8823870	148258592.00
2013/11/20	7.27	7.92	7.23	7.66	13660058	240126208.00
2013/11/21	7.47	7.50	7.16	7.18	9552306	162951088.00
2013/11/22	7.14	7.38	7.14	7.16	4490463	75505040.00
2013/11/25	7.34	7.80	7.25	7.37	10927635	190384064.00
2013/11/26	7.36	7.75	7.19	7.55	8200887	142344480.00
2013/11/27	7.56	7.97	7.47	7.76	8173188	146463568.00
2013/11/28	7.79	8.19	7.75	7.94	7511433	137820144.00
2013/11/29	7.95	8.17	7.79	8.00	5839258	107860128.00
2013/12/02	7.75	7.83	7.16	7.16	8075005	138490624.00
2013/12/03	7.16	7.42	7.14	7.31	7138656	120655320.00
2013/12/04	7.33	7.48	7.20	7.38	6092048	103936288.00
2013/12/05	7.40	7.65	7.30	7.42	5065278	87741976.00
2013/12/06	7.38	7.41	7.20	7.27	2537795	42834940.00
2013/12/09	7.34	7.46	7.22	7.45	3413077	58270608.00
2013/12/10	7.43	7.49	7.10	7.11	3774458	63291204.00
2013/12/11	7.06	7.19	6.89	6.98	2877742	47033952.00
2013/12/12	6.99	7.04	6.94	7.02	2894786	47019096.00
2013/12/13	6.95	7.04	6.93	7.04	1575275	25620846.00
2013/12/16	7.11	7.13	6.94	7.01	2598408	42374712.00
2013/12/17	7.04	7.44	7.01	7.40	6325814	106738752.00
2013/12/18	7.40	7.40	7.22	7.24	2955236	49917196.00
2013/12/19	7.25	7.32	6.80	6.88	2513580	41196460.00
2013/12/20	6.89	6.92	6.51	6.69	3251023	50675068.00
2013/12/23	6.71	7.04	6.54	6.93	3177022	50605100.00
2013/12/24	6.88	7.05	6.81	6.88	1384378	22286534.00
2013/12/25	6.87	7.13	6.82	6.93	2426394	39357904.00
2013/12/26	6.88	6.88	6.63	6.79	3580406	55983644.00
2013/12/27	6.76	7.11	6.71	7.09	5664525	91350184.00
2013/12/30	7.08	7.37	7.00	7.23	4168766	70157480.00
2013/12/31	7.21	7.23	6.96	7.18	3607827	59290660.00
2014/01/02	7.12	7.40	7.09	7.35	3868518	65393096.00
2014/01/03	7.30	7.43	7.19	7.23	3168121	53460296.00
2014/01/06	7.20	7.29	7.11	7.12	3380994	56292160.00
2014/01/07	7.10	7.21	6.88	7.20	2026436	33240922.00
2014/01/08	7.28	7.47	7.20	7.37	4173286	71316200.00
2014/01/09	7.38	7.46	7.14	7.14	2486045	42153936.00
2014/01/10	7.07	7.07	6.65	6.76	4244439	67916568.00
2014/01/13	6.76	6.81	6.38	6.61	3486314	53346924.00
2014/01/14	6.61	6.79	6.55	6.79	1845839	28566514.00
2014/01/15	6.80	7.14	6.67	6.94	2807969	45312084.00
2014/01/16	6.86	6.97	6.79	6.85	1986717	31721646.00
2014/01/17	6.82	6.84	6.63	6.68	1834137	28660738.00
2014/01/20	6.60	6.77	6.59	6.65	1571461	24464566.00
2014/01/21	6.65	6.77	6.64	6.67	1751464	27277634.00
2014/01/22	6.71	6.87	6.70	6.86	2680163	42515056.00
2014/01/23	6.88	7.05	6.85	7.02	3669355	59530448.00
2014/01/24	7.01	7.13	6.94	7.01	5310607	86879000.00
2014/01/27	7.02	7.09	6.98	7.04	3671076	60043988.00
2014/01/28	7.05	7.08	6.84	6.90	2104712	33905820.00
2014/01/29	6.97	7.18	6.93	7.15	3640039	60026336.00
2014/01/30	7.18	7.34	7.08	7.23	3412726	57152992.00
2014/02/07	7.24	7.50	7.22	7.45	4940076	84827552.00
2014/02/10	7.44	7.63	7.39	7.46	6550942	113647744.00
2014/02/11	7.46	7.60	7.39	7.51	5109541	88793152.00
2014/02/12	7.51	7.55	7.35	7.45	3645929	62663444.00
2014/02/13	7.43	7.44	7.20	7.20	3362773	57225088.00
2014/02/14	7.15	7.95	7.15	7.76	8616421	151791456.00
2014/02/17	7.77	8.11	7.77	7.92	6351932	116488912.00
2014/02/18	7.90	7.90	7.73	7.76	4851006	87386248.00
2014/02/19	7.75	7.89	7.70	7.89	3713789	66777012.00
2014/02/20	7.91	7.95	7.61	7.64	3156019	56418192.00
2014/02/21	7.60	7.68	7.33	7.46	3834069	66501188.00
