002223 鱼跃医疗 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	11.14	11.34	11.11	11.31	1339793	26831562.00
2013/09/03	11.34	11.71	11.31	11.62	2667122	54884152.00
2013/09/04	11.65	11.89	11.61	11.85	3327712	69545424.00
2013/09/05	11.83	12.11	11.69	12.11	4424781	93915688.00
2013/09/06	12.02	12.47	12.01	12.41	6673708	145509888.00
2013/09/09	12.38	12.38	11.87	12.02	5513457	117869848.00
2013/09/10	12.03	12.08	11.67	11.77	4469368	93422584.00
2013/09/11	11.77	11.86	11.27	11.29	4306954	87531336.00
2013/09/12	11.29	11.56	11.29	11.43	3034305	61487216.00
2013/09/13	11.44	11.48	11.01	11.13	5391896	106819736.00
2013/09/16	11.32	11.62	11.23	11.51	6631156	134867840.00
2013/09/17	11.41	11.51	11.11	11.38	4118064	83033296.00
2013/09/18	11.38	12.27	11.38	12.15	9881744	208343696.00
2013/09/23	12.11	12.50	11.98	12.19	9138655	196921840.00
2013/09/24	12.22	12.68	12.13	12.63	9180018	201613008.00
2013/09/25	12.56	12.85	12.34	12.55	5705823	126537584.00
2013/09/26	12.45	13.77	12.39	13.20	12019833	279972416.00
2013/09/27	13.29	14.41	13.29	14.26	10853324	266928880.00
2013/09/30	14.14	14.80	13.81	14.60	7271523	183505856.00
2013/10/08	14.50	14.60	14.26	14.28	5366264	135205888.00
2013/10/09	14.29	15.23	14.23	15.14	6319877	164380960.00
2013/10/10	15.00	15.46	14.40	14.59	6150262	159231264.00
2013/10/11	14.65	14.80	14.06	14.47	7513643	187729456.00
2013/10/14	14.41	14.72	14.06	14.55	8637765	216889904.00
2013/10/15	15.17	15.93	14.26	14.31	14495657	379168352.00
2013/10/16	14.14	14.17	13.43	13.89	9103126	219758800.00
2013/10/17	14.07	14.56	13.86	13.98	5692169	141499328.00
2013/10/18	13.95	14.37	13.88	14.04	3616446	89634384.00
2013/10/21	14.06	15.09	13.96	14.67	8518392	219967984.00
2013/10/22	14.79	15.46	14.62	15.08	9235755	242694384.00
2013/10/23	15.03	15.03	13.96	14.08	7368309	185426896.00
2013/10/24	14.08	14.20	13.71	13.77	4690080	114642024.00
2013/10/25	13.69	13.86	12.97	13.22	5026072	118419376.00
2013/10/28	12.93	12.93	12.29	12.62	9261492	205963984.00
2013/10/29	12.63	13.21	12.26	12.96	7623762	172306784.00
2013/10/30	12.92	13.25	12.65	13.23	3688142	84659264.00
2013/10/31	13.06	13.17	12.50	12.65	3368196	76206904.00
2013/11/01	12.50	12.74	12.02	12.45	3328313	72865736.00
2013/11/04	12.47	13.07	12.47	12.98	5072265	115327584.00
2013/11/05	13.03	13.34	12.62	13.14	4076194	93901296.00
2013/11/06	13.15	13.33	12.91	12.94	2494804	57823032.00
2013/11/07	12.80	12.99	12.44	12.94	3482216	78007936.00
2013/11/08	12.74	12.98	12.63	12.90	2496973	56523968.00
2013/11/11	12.99	13.38	12.78	13.29	3971373	91750704.00
2013/11/12	13.28	14.09	13.17	14.08	7005963	169188592.00
2013/11/13	14.18	14.18	13.77	13.83	4691900	114990624.00
2013/11/14	13.75	14.17	13.61	13.97	4368307	107056208.00
2013/11/15	13.97	14.12	13.84	14.07	6615248	162578016.00
2013/11/18	14.14	14.98	13.96	14.57	8392879	210974976.00
2013/11/19	14.63	14.64	13.96	13.97	5203636	129536632.00
2013/11/20	13.97	14.06	13.46	13.78	7079145	170019264.00
2013/11/21	13.66	13.89	13.47	13.85	3060311	73759184.00
2013/11/22	13.80	14.06	13.53	13.56	4128330	100220336.00
2013/11/25	13.47	13.86	13.30	13.71	2941983	70647456.00
2013/11/26	13.71	14.33	13.59	14.14	5621283	139116576.00
2013/11/27	14.20	14.23	13.86	14.17	4036781	99581504.00
2013/11/28	14.17	14.35	14.11	14.17	3724054	92944504.00
2013/11/29	14.32	14.42	14.18	14.27	3087426	77269600.00
2013/12/02	14.01	14.01	13.23	13.32	4817220	115070520.00
2013/12/03	13.17	13.60	13.14	13.48	1680100	39701840.00
2013/12/04	13.48	13.76	13.46	13.47	2695848	64573416.00
2013/12/05	13.46	13.52	13.18	13.23	2366982	55331664.00
2013/12/06	13.29	13.71	13.29	13.58	2271933	54218320.00
2013/12/09	13.87	14.35	13.77	14.25	8148855	202015904.00
2013/12/10	14.25	14.28	13.88	14.13	3529804	87433056.00
2013/12/11	14.13	14.17	13.58	13.72	4268648	103210368.00
2013/12/12	13.65	13.98	13.65	13.73	1729848	42119156.00
2013/12/13	13.80	13.80	13.30	13.58	3289913	78194040.00
2013/12/16	13.58	13.61	13.16	13.23	2524618	59094752.00
2013/12/17	13.23	13.40	12.91	12.99	2692024	62139676.00
2013/12/18	12.92	13.15	12.88	13.08	1535491	35248800.00
2013/12/19	13.08	13.21	12.92	13.01	1270791	29234968.00
2013/12/20	12.97	13.17	12.92	12.97	1521032	34870000.00
2013/12/23	13.10	13.33	12.74	13.26	2363416	54343828.00
2013/12/24	13.23	13.32	12.88	13.01	2245415	51877816.00
2013/12/25	12.92	13.14	12.92	13.09	2313504	53055792.00
2013/12/26	13.14	13.14	12.38	12.38	6381978	142181712.00
2013/12/27	12.38	12.71	12.26	12.63	4985376	110468792.00
2013/12/30	12.69	13.02	12.66	12.94	3404697	77614024.00
2013/12/31	12.92	13.04	12.82	12.95	2399440	54776800.00
2014/01/02	13.14	13.28	12.98	13.12	3134244	72458264.00
2014/01/03	13.13	13.14	12.62	12.89	3827810	86673496.00
2014/01/06	12.86	12.89	12.58	12.65	2276421	50975540.00
2014/01/07	12.46	13.45	12.46	13.28	5210135	120397304.00
2014/01/08	13.28	13.59	13.15	13.31	4868163	114305760.00
2014/01/09	13.31	13.95	13.18	13.50	8120695	194823712.00
2014/01/10	13.51	13.94	13.41	13.69	4904081	118249408.00
2014/01/13	13.63	14.32	13.54	14.29	7735996	192163984.00
2014/01/14	14.27	15.76	14.08	15.09	9763757	255164672.00
2014/01/15	15.11	15.28	14.73	14.99	6061638	158594928.00
2014/01/16	14.95	15.35	14.69	15.14	5095192	133804632.00
