002318 久立特材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	7.97	8.32	7.79	8.26	5018551	110356280.00
2013/09/03	8.20	8.47	8.07	8.47	3904453	87375024.00
2013/09/04	8.45	8.70	8.35	8.61	5353923	123795568.00
2013/09/05	8.63	8.65	8.36	8.47	2890038	66242524.00
2013/09/06	8.38	8.61	8.36	8.51	2536848	58130408.00
2013/09/09	8.55	8.83	8.41	8.67	3860360	89541704.00
2013/09/10	8.64	8.65	8.19	8.43	4281237	96693912.00
2013/09/11	8.31	8.38	8.03	8.38	4025013	89258376.00
2013/09/12	8.38	8.38	8.10	8.16	1286307	28638876.00
2013/09/13	8.21	8.27	8.06	8.06	2182112	48309572.00
2013/09/16	8.10	8.10	7.71	7.81	3464504	73696440.00
2013/09/17	7.83	7.90	7.71	7.73	2111300	44772196.00
2013/09/18	7.73	7.86	7.63	7.83	1809945	38238272.00
2013/09/23	7.87	7.99	7.81	7.93	2337243	50407516.00
2013/09/24	7.92	7.98	7.69	7.89	3715295	79014984.00
2013/09/25	7.84	7.87	7.50	7.55	9336535	193592320.00
2013/09/26	7.49	7.70	7.32	7.59	7223954	148423680.00
2013/09/27	7.57	7.57	7.23	7.27	5869448	118281576.00
2013/09/30	7.26	7.50	7.16	7.35	5651859	113576912.00
2013/10/08	7.33	7.48	7.31	7.36	3829900	76897096.00
2013/10/09	7.36	7.51	7.25	7.51	3974574	80116360.00
2013/10/10	7.51	7.61	7.27	7.39	4006005	81594712.00
2013/10/11	7.40	7.50	7.39	7.43	2886429	58728844.00
2013/10/14	7.43	7.58	7.31	7.55	3615228	73862272.00
2013/10/15	7.56	7.63	7.37	7.43	2954884	60627060.00
2013/10/16	7.45	7.47	7.07	7.09	3864731	76318416.00
2013/10/17	7.18	7.23	7.02	7.02	1843499	35993144.00
2013/10/18	7.02	7.09	6.99	7.02	1671424	32239950.00
2013/10/21	7.02	7.31	6.79	7.31	5394634	104118208.00
2013/10/22	7.27	7.45	7.21	7.39	6001588	120891800.00
2013/10/23	7.39	7.47	7.29	7.36	3073092	61924696.00
2013/10/24	7.36	7.52	7.36	7.39	2688945	54730892.00
2013/10/25	7.39	7.47	7.15	7.17	2187048	43547424.00
2013/10/28	7.14	7.28	6.88	6.95	1522125	29227306.00
2013/10/29	6.98	7.08	6.19	6.29	3735726	66295432.00
2013/10/30	6.30	6.63	6.22	6.59	1951117	34938164.00
2013/10/31	6.60	6.95	6.47	6.69	2052951	37963672.00
2013/11/01	6.80	6.89	6.46	6.47	2534946	46380660.00
2013/11/04	6.47	6.54	6.24	6.35	2850054	50316656.00
2013/11/05	6.30	6.45	6.24	6.43	1803017	31889938.00
2013/11/06	6.37	6.63	6.37	6.48	3185828	57471480.00
2013/11/07	6.48	6.48	6.19	6.21	2235839	39137172.00
2013/11/08	6.20	6.22	5.91	6.01	2970157	49883812.00
2013/11/11	6.01	6.07	5.83	5.92	4455241	73514896.00
2013/11/12	5.91	6.03	5.89	5.97	1771391	29435664.00
2013/11/13	5.96	5.97	5.79	5.81	1455997	23917016.00
2013/11/14	5.82	6.01	5.73	5.98	2114130	34837692.00
2013/11/15	6.08	6.33	6.08	6.23	3677119	63563248.00
2013/11/18	6.30	6.35	6.20	6.31	3541573	61759572.00
2013/11/19	6.31	6.59	6.27	6.46	6590103	116664752.00
2013/11/20	6.45	6.49	6.33	6.46	3175246	56162212.00
2013/11/21	6.41	6.41	6.18	6.27	3116182	54320872.00
2013/11/22	6.27	6.31	6.19	6.21	1910227	33142254.00
2013/11/25	6.49	6.58	6.31	6.35	4926196	87341136.00
2013/11/26	6.35	6.35	6.09	6.17	3293657	56684364.00
2013/11/27	6.17	6.38	6.17	6.35	3406200	59504180.00
2013/11/28	6.33	6.65	6.33	6.56	5713798	103567832.00
2013/11/29	6.65	6.72	6.55	6.60	3712626	67785400.00
2013/12/02	6.43	6.48	5.97	6.13	6095416	105637872.00
2013/12/03	6.05	6.35	6.04	6.33	3497916	60854548.00
2013/12/04	6.31	6.66	6.23	6.57	6925447	125143800.00
2013/12/05	6.58	6.77	6.55	6.60	4230793	77634136.00
2013/12/06	6.71	6.81	6.55	6.70	5217546	96210512.00
2013/12/09	6.78	6.81	6.59	6.71	3125373	57694044.00
2013/12/10	6.74	6.74	6.54	6.61	2539756	46404328.00
2013/12/11	6.59	6.60	6.52	6.56	1776687	32160528.00
2013/12/12	6.53	6.69	6.53	6.58	2087904	38102092.00
2013/12/13	6.51	6.72	6.49	6.69	2779489	51115672.00
2013/12/16	6.64	6.73	6.48	6.48	2362310	43092672.00
2013/12/17	6.50	6.59	6.31	6.37	1695994	30029022.00
2013/12/18	6.37	6.48	6.37	6.40	1049873	18674274.00
2013/12/19	6.47	6.50	6.29	6.34	963098	17059232.00
2013/12/20	6.32	6.41	6.31	6.33	1256999	22076762.00
