002331 皖通科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	6.70	6.80	6.64	6.75	3962892	39329568.00
2013/09/03	6.77	6.93	6.74	6.88	3950443	39865792.00
2013/09/04	6.89	6.90	6.70	6.72	4906914	49019488.00
2013/09/05	6.72	6.86	6.69	6.79	4437088	44532292.00
2013/09/06	6.82	6.84	6.66	6.73	5557998	55070440.00
2013/09/09	6.74	6.85	6.73	6.81	4748387	47652160.00
2013/09/10	6.81	6.89	6.80	6.84	5455977	55082244.00
2013/09/11	6.88	7.03	6.84	7.02	11488435	117589744.00
2013/09/12	7.00	7.09	6.89	6.91	7342593	75624424.00
2013/09/13	6.88	6.99	6.71	6.96	7668996	77364856.00
2013/09/16	6.95	6.95	6.81	6.84	4429468	44961576.00
2013/09/17	6.88	6.91	6.66	6.66	4127896	41140180.00
2013/09/18	6.66	6.74	6.66	6.73	1946704	19254330.00
2013/09/23	6.74	6.91	6.73	6.89	3924350	39609936.00
2013/09/24	6.89	6.93	6.80	6.83	3868989	39151288.00
2013/09/25	6.86	6.91	6.77	6.91	5330550	53961564.00
2013/09/26	6.91	7.17	6.91	7.03	13782254	143832960.00
2013/09/27	6.97	7.00	6.82	6.85	7426662	75441336.00
2013/09/30	6.86	6.93	6.84	6.90	3516376	35676800.00
2013/10/08	6.90	7.10	6.85	7.07	7097756	73610104.00
2013/10/09	7.07	7.39	7.02	7.32	13805399	147871568.00
2013/10/10	7.28	7.45	7.16	7.34	12649483	136265280.00
2013/10/11	7.35	7.42	7.19	7.30	7493168	80596488.00
2013/10/14	7.29	7.42	7.16	7.41	8751483	94142424.00
2013/10/15	7.41	7.41	7.16	7.23	7228056	77184096.00
2013/10/16	7.23	7.23	6.83	6.86	6862651	70502760.00
2013/10/17	6.91	6.95	6.84	6.87	4124123	41939980.00
2013/10/18	6.87	6.99	6.84	6.91	3213169	32824746.00
2013/10/21	6.93	7.15	6.93	7.11	5786544	60388120.00
2013/10/22	7.10	7.14	6.95	6.99	5337736	55378072.00
2013/10/23	6.98	7.07	6.76	6.76	4792566	48565116.00
2013/10/24	6.76	6.82	6.70	6.77	2661730	26587770.00
2013/10/25	6.80	6.81	6.56	6.58	3692577	36333276.00
2013/10/28	6.58	6.62	6.38	6.45	2853180	27338924.00
2013/10/29	6.48	6.52	6.08	6.15	4435056	40819436.00
2013/10/30	6.15	6.24	6.12	6.23	2204573	20187900.00
2013/10/31	6.21	6.21	6.11	6.12	1912863	17390740.00
2013/11/01	6.14	6.15	6.01	6.10	2000327	17949558.00
2013/11/04	6.12	6.18	6.10	6.17	1279826	11654301.00
2013/11/05	6.17	6.23	6.05	6.23	2053008	18693420.00
2013/11/06	6.20	6.32	6.18	6.20	2683783	24823290.00
2013/11/07	6.14	6.21	6.11	6.14	1248324	11378293.00
2013/11/08	6.12	6.14	5.92	5.92	2682360	23783914.00
2013/11/11	5.90	6.05	5.90	6.01	1109304	9828653.00
2013/11/12	6.01	6.12	5.98	6.10	1420130	12744158.00
2013/11/13	6.08	6.11	5.97	5.97	1302704	11636427.00
2013/11/14	5.95	6.14	5.93	6.14	2254699	20237042.00
2013/11/15	6.11	6.27	6.11	6.20	3510520	32319404.00
2013/11/18	6.25	6.36	6.20	6.34	4027566	37465020.00
2013/11/19	6.34	6.40	6.30	6.39	3253641	30577184.00
2013/11/20	6.36	6.45	6.28	6.44	4624775	43528720.00
2013/11/27	6.50	6.67	6.43	6.44	7124215	69000160.00
2013/11/28	6.44	6.52	6.41	6.42	4758877	45539880.00
2013/11/29	6.42	6.51	6.42	6.49	3184653	30523938.00
2013/12/02	6.29	6.39	6.02	6.05	4670347	42769788.00
2013/12/03	6.02	6.31	5.98	6.26	3064524	27983336.00
2013/12/04	6.23	6.43	6.22	6.37	3987759	37425832.00
2013/12/05	6.39	6.47	6.34	6.41	3190477	30181428.00
2013/12/06	6.43	6.52	6.37	6.50	4240557	40561480.00
2013/12/09	6.50	6.58	6.46	6.49	2879682	27616812.00
2013/12/10	6.47	6.55	6.42	6.47	1802441	17238472.00
2013/12/11	6.46	6.47	6.31	6.35	2258231	21326162.00
2013/12/12	6.33	6.46	6.33	6.43	1621287	15353298.00
2013/12/13	6.39	6.46	6.38	6.40	1686340	16019572.00
2013/12/16	6.46	6.46	6.32	6.32	1566760	14754330.00
2013/12/17	6.35	6.36	6.18	6.21	1908950	17603532.00
2013/12/18	6.24	6.26	6.17	6.20	1458298	13405995.00
2013/12/19	6.23	6.26	6.15	6.16	1485396	13630964.00
2013/12/20	6.16	6.20	6.02	6.05	1719143	15510709.00
2013/12/23	6.09	6.14	6.00	6.11	1197201	10783710.00
2013/12/24	6.13	6.20	6.11	6.16	1275610	11629555.00
2013/12/25	6.18	6.33	6.17	6.33	2561082	23696864.00
2013/12/26	6.33	6.37	6.18	6.18	2064486	19116126.00
2013/12/27	6.20	6.41	6.20	6.39	3203364	30079492.00
2013/12/30	6.41	6.45	6.37	6.39	2269464	21499024.00
2013/12/31	6.39	6.40	6.27	6.33	2261885	21168472.00
2014/01/02	6.32	6.48	6.29	6.47	5781307	54833524.00
2014/01/03	6.50	6.99	6.45	6.78	14276127	141281904.00
2014/01/06	6.70	6.82	6.47	6.59	9642104	95129016.00
2014/01/07	6.50	6.60	6.38	6.58	4937944	47485296.00
2014/01/08	6.55	6.73	6.55	6.71	5314382	52305880.00
2014/01/09	6.66	6.72	6.39	6.40	4738034	45998752.00
2014/01/10	6.36	6.40	6.11	6.14	4457383	41028452.00
2014/01/13	6.13	6.19	6.05	6.19	2275539	20693862.00
2014/01/14	6.18	6.37	6.16	6.36	2585521	24057916.00
2014/01/15	6.36	6.57	6.34	6.57	4359578	41781932.00
2014/01/16	6.57	6.66	6.45	6.48	4648092	45016280.00
2014/01/17	6.49	6.74	6.43	6.64	7057164	68966832.00
2014/01/20	6.58	6.70	6.48	6.56	4266696	41502888.00
2014/01/21	6.54	6.69	6.54	6.69	5232887	51072872.00
2014/01/22	6.70	6.84	6.67	6.80	7635440	76308144.00
2014/01/23	6.78	7.00	6.74	6.88	9281337	94321968.00
2014/01/24	6.88	7.03	6.82	7.00	9852008	100894072.00
2014/01/27	6.98	7.32	6.93	7.11	13132708	138330576.00
2014/01/28	7.09	7.16	6.89	7.11	8085969	83731936.00
2014/01/29	7.23	7.66	7.20	7.64	19101040	210089552.00
