002371 北方华创 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	17.66	17.83	17.58	17.73	432308	7751641.50
2013/09/03	17.77	18.38	17.77	18.19	1505484	27590368.00
2013/09/04	18.13	18.46	17.97	18.21	953259	17499708.00
2013/09/05	18.16	18.49	18.02	18.43	881641	16297867.00
2013/09/06	18.48	18.48	17.97	18.05	1031143	18942946.00
2013/09/09	18.07	18.24	17.78	18.06	1038272	18817270.00
2013/09/10	17.93	18.05	17.75	17.76	1189061	21433538.00
2013/09/11	17.76	17.87	17.30	17.42	860430	15215096.00
2013/09/12	17.42	17.92	17.42	17.57	1135142	20269612.00
2013/09/13	17.60	17.60	16.91	17.46	1978112	34229980.00
2013/09/16	17.35	17.35	16.56	16.77	4349088	73664656.00
2013/09/17	16.41	16.78	16.41	16.62	1867240	31508348.00
2013/09/18	16.61	16.77	16.29	16.64	1736361	29136454.00
2013/09/23	16.68	17.37	16.68	17.12	2692002	46323592.00
2013/09/24	17.03	17.10	16.74	16.87	2693646	45935828.00
2013/09/25	16.88	17.27	16.88	17.22	4138180	71394160.00
2013/09/26	17.22	17.29	16.95	17.10	2966123	51361992.00
2013/09/27	17.08	17.43	16.97	17.17	1743658	30500210.00
2013/09/30	17.24	17.77	17.24	17.74	1814253	32265908.00
2013/10/08	17.68	18.83	17.57	18.77	3487849	64934204.00
2013/10/09	18.70	18.97	18.58	18.95	2019938	38422168.00
2013/10/10	18.96	19.26	18.62	19.10	1776798	33951800.00
2013/10/11	19.07	19.07	18.66	18.72	1452807	27684734.00
2013/10/14	18.64	18.74	18.40	18.47	1447493	27106650.00
2013/10/15	18.41	18.75	18.37	18.49	1275797	23910788.00
2013/10/16	18.47	18.47	17.47	17.92	1769467	31945958.00
2013/10/17	17.93	18.07	17.57	17.99	1127109	20431712.00
2013/10/18	18.00	18.12	17.80	18.09	395682	7200401.50
2013/10/21	18.02	18.40	17.90	18.26	1650160	30351226.00
2013/10/22	18.26	18.37	17.92	18.12	1280459	23532350.00
2013/10/23	18.16	19.17	18.16	19.08	5043289	96064552.00
2013/10/24	19.77	19.97	18.97	19.57	5007433	98996376.00
2013/10/25	19.76	19.76	18.79	19.37	2546795	49603692.00
2013/10/28	18.76	19.55	18.54	19.06	1239849	23684662.00
2013/10/29	18.95	19.02	18.29	19.02	1723168	32436432.00
2013/10/30	18.77	19.01	18.57	19.00	817083	15515205.00
2013/10/31	18.99	19.15	18.17	19.15	1667655	31266494.00
2013/11/01	18.62	18.97	18.40	18.46	1150281	21589600.00
2013/11/04	18.46	18.50	17.81	17.93	1230407	22535270.00
2013/11/05	18.01	18.16	17.43	18.12	1035597	18565498.00
2013/11/06	17.95	18.17	17.73	17.92	492952	8975462.00
2013/11/07	17.91	17.92	17.49	17.51	685169	12229911.00
2013/11/08	17.48	17.48	17.08	17.16	578439	10121563.00
2013/11/11	17.17	17.26	16.68	17.26	1013336	17392406.00
2013/11/12	17.18	17.37	16.98	17.36	791415	13733906.00
2013/11/13	17.32	17.74	17.17	17.30	779057	13826987.00
2013/11/14	17.27	18.11	17.03	18.05	1614727	29124212.00
2013/11/15	18.25	18.51	17.99	18.37	1829276	33582148.00
2013/11/18	18.29	18.61	18.13	18.47	2832815	52952528.00
2013/11/19	18.57	18.67	18.32	18.39	1172058	21923270.00
2013/11/20	18.49	18.49	18.23	18.44	1166964	21667182.00
2013/11/21	18.38	18.40	17.87	18.04	877120	16069360.00
2013/11/22	17.97	18.12	17.68	17.70	785204	14216106.00
2013/11/25	17.65	18.89	17.56	18.47	3478037	64484836.00
2013/11/26	18.42	20.14	18.42	19.95	10827725	211322576.00
2013/11/27	19.77	21.86	19.62	21.59	12550989	265376672.00
2013/11/28	21.82	22.65	21.32	21.86	8594589	191244816.00
2013/11/29	21.89	22.52	21.89	22.47	6380783	143401600.00
2013/12/02	21.77	21.92	20.20	20.77	7945044	168633936.00
2013/12/03	20.32	21.84	20.32	21.57	4486749	95706592.00
2013/12/04	21.46	23.74	21.42	22.17	4898338	111561680.00
2013/12/05	22.18	22.43	21.32	21.53	3143775	69019104.00
2013/12/06	21.57	21.73	20.37	20.55	3335815	70132984.00
2013/12/09	20.73	21.17	20.37	21.06	2590858	54226088.00
2013/12/10	20.99	21.05	20.58	20.88	1438548	30143204.00
2013/12/11	21.13	21.13	20.38	20.49	1697666	35364136.00
2013/12/12	20.29	20.60	20.27	20.51	1898634	39309076.00
2013/12/13	20.27	21.05	20.27	20.83	3144093	66008792.00
2013/12/16	20.76	20.84	19.76	20.01	2960089	60405492.00
2013/12/17	19.87	20.12	19.48	19.97	1827628	36621480.00
2013/12/18	19.96	20.31	19.70	20.02	2037204	41260876.00
2013/12/19	20.17	20.86	19.99	20.75	5072038	105080952.00
2013/12/20	20.76	21.27	20.26	20.57	4140899	86850760.00
2013/12/23	20.47	20.73	19.63	20.40	1771929	36421736.00
2013/12/24	20.28	21.18	20.28	21.07	5686529	119843920.00
2013/12/25	21.47	21.47	20.85	21.32	2693518	57805164.00
2013/12/26	21.28	21.97	21.08	21.53	3334038	72732864.00
2013/12/27	21.67	23.21	21.57	22.69	6432380	145241200.00
2013/12/30	22.59	22.67	21.87	22.33	3373298	75932480.00
2013/12/31	22.28	22.45	21.23	21.28	3237106	70855744.00
2014/01/02	21.35	21.76	21.18	21.67	1705131	37039484.00
2014/01/03	21.66	21.85	21.13	21.27	1454116	31376808.00
2014/01/06	21.27	21.65	20.42	20.67	1591894	33771400.00
2014/01/07	20.47	21.07	20.29	20.57	1286913	26807468.00
2014/01/08	20.62	20.96	20.57	20.77	1896228	39810448.00
2014/01/09	20.77	20.86	20.37	20.39	1283946	26842068.00
2014/01/10	20.22	20.47	19.77	19.98	1823856	37078860.00
2014/01/13	19.97	20.26	19.27	20.17	2266451	45202524.00
2014/01/14	20.07	20.57	19.58	20.57	1948640	39302776.00
2014/01/15	20.39	20.93	20.38	20.87	1718532	36024140.00
2014/01/16	20.87	21.32	20.67	20.68	1494552	31729836.00
2014/01/17	20.59	20.97	20.08	20.57	1002285	20650600.00
2014/01/20	20.55	20.55	19.86	19.97	1356705	27548842.00
2014/01/21	20.35	20.52	19.99	20.52	1824438	37458424.00
2014/01/22	20.23	21.21	20.23	21.15	1479994	31336962.00
2014/01/23	21.11	22.12	20.87	21.77	2447551	53882156.00
2014/01/24	21.76	22.47	21.66	22.19	4204672	94034256.00
