002402 和而泰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	1.62	1.68	1.58	1.68	1798875	24536382.00
2013/09/03	1.67	1.76	1.66	1.74	2961521	42358104.00
2013/09/04	1.76	1.78	1.73	1.77	2914180	42451448.00
2013/09/05	1.79	1.80	1.75	1.76	2224671	32670444.00
2013/09/06	1.75	1.83	1.74	1.82	3057252	45580056.00
2013/09/09	1.83	1.88	1.78	1.80	3538729	53375680.00
2013/09/10	1.79	1.82	1.75	1.79	2456526	36282880.00
2013/09/11	1.80	1.81	1.72	1.77	2594782	37580296.00
2013/09/12	1.76	1.84	1.74	1.84	3060916	45710604.00
2013/09/13	1.83	1.84	1.78	1.80	1750799	26198198.00
2013/09/16	1.80	1.88	1.78	1.88	2278284	34564200.00
2013/09/17	1.88	1.88	1.78	1.80	1647516	24879474.00
2013/09/18	1.79	1.84	1.76	1.80	1417036	21048498.00
2013/09/23	1.82	1.84	1.78	1.84	1768808	26408432.00
2013/09/24	1.84	2.03	1.83	1.95	4414383	70294656.00
2013/09/25	1.93	2.01	1.91	1.94	3102289	49410796.00
2013/09/26	1.92	2.08	1.92	2.02	3394648	55739052.00
2013/09/27	2.02	2.07	1.99	2.03	2039619	33907080.00
2013/09/30	2.02	2.03	1.96	1.98	1660537	27020846.00
2013/10/08	1.99	2.01	1.95	2.00	1298458	21124882.00
2013/10/09	1.98	2.08	1.98	2.04	1737601	29050118.00
2013/10/10	2.04	2.05	1.95	1.96	1832767	29772196.00
2013/10/11	1.98	1.98	1.92	1.95	1724476	27634912.00
2013/10/14	1.96	2.00	1.93	1.99	1765101	28390178.00
2013/10/15	2.00	2.01	1.91	1.92	1607536	25608364.00
2013/10/16	1.92	1.97	1.89	1.92	1498493	23771138.00
2013/10/17	1.94	2.00	1.92	1.99	1675941	27066210.00
2013/10/18	1.99	2.01	1.96	1.97	1350291	21970526.00
2013/10/21	1.97	2.05	1.96	2.04	1605443	26593336.00
2013/10/22	2.05	2.11	2.02	2.06	2175433	36723940.00
2013/10/23	2.05	2.06	1.84	1.85	4482558	69722960.00
2013/10/24	1.84	1.86	1.82	1.84	907878	13773828.00
2013/10/25	1.85	1.86	1.78	1.80	1392000	20959232.00
2013/10/28	1.80	1.84	1.80	1.84	629012	9493629.00
2013/10/29	1.84	1.85	1.68	1.81	1532449	22415374.00
2013/10/30	1.82	1.83	1.78	1.82	585047	8714421.00
2013/10/31	1.82	1.82	1.74	1.75	721427	10554392.00
2013/11/01	1.74	1.80	1.63	1.71	1387541	19493650.00
2013/11/04	1.71	1.75	1.70	1.74	763174	10945611.00
2013/11/05	1.73	1.78	1.70	1.76	1068624	15394006.00
2013/11/06	1.79	1.80	1.74	1.74	871431	12786785.00
2013/11/07	1.72	1.79	1.72	1.76	918857	13427228.00
2013/11/08	1.75	1.77	1.71	1.73	475556	6826129.00
2013/11/11	1.73	1.84	1.72	1.83	927455	13780345.00
2013/11/12	1.84	1.89	1.83	1.85	815071	12505660.00
2013/11/13	1.83	1.92	1.83	1.85	1097688	16913756.00
2013/11/14	1.85	1.88	1.79	1.86	1148317	17437816.00
2013/11/15	1.86	1.92	1.86	1.91	1342151	21000142.00
2013/11/18	1.92	1.97	1.90	1.94	1355137	21616790.00
2013/11/19	1.94	1.99	1.92	1.98	1273822	20591538.00
2013/11/20	1.99	1.99	1.93	1.96	1099853	17622532.00
2013/11/21	1.96	1.96	1.89	1.91	1127517	17828492.00
2013/11/22	1.91	2.12	1.91	1.98	2106988	34345240.00
2013/11/25	1.96	2.03	1.92	2.00	1186750	19362074.00
2013/11/26	1.99	2.02	1.96	2.01	1029517	16825848.00
2013/11/27	2.01	2.07	2.00	2.07	1530230	25681966.00
