002405 四维图新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	5.91	6.13	5.83	5.93	46054974	630379392.00
2013/09/03	6.06	6.39	5.94	6.26	50076718	712396352.00
2013/09/04	6.23	6.42	6.11	6.13	37309228	534428192.00
2013/09/05	6.12	6.24	6.08	6.17	23463206	333117792.00
2013/09/06	6.23	6.28	6.11	6.19	23093357	328696896.00
2013/09/09	6.21	6.31	6.16	6.21	26872068	383539616.00
2013/09/10	6.31	6.32	6.15	6.16	24281721	346391296.00
2013/09/11	6.16	6.16	5.65	5.87	43536768	582393856.00
2013/09/12	5.82	5.91	5.71	5.73	22710142	302711744.00
2013/09/13	5.73	5.90	5.69	5.86	22253422	297529856.00
2013/09/16	5.87	5.89	5.78	5.79	15670929	209854528.00
2013/09/17	5.79	5.85	5.62	5.83	20959271	278045952.00
2013/09/18	5.83	6.11	5.80	6.10	33913258	468302720.00
2013/09/23	6.14	6.25	6.02	6.19	26500833	373752736.00
2013/09/24	6.19	6.28	6.08	6.17	20473596	290330912.00
2013/09/25	6.19	6.44	6.16	6.19	34670591	499587776.00
2013/09/26	6.11	6.19	5.88	5.96	20662687	286761408.00
2013/09/27	5.96	5.97	5.76	5.76	17404710	234140432.00
2013/09/30	5.77	5.86	5.77	5.79	8988804	120301144.00
2013/10/08	5.80	6.13	5.80	6.08	21027258	290257376.00
2013/10/09	6.09	6.29	6.05	6.23	25810367	368022240.00
2013/10/10	6.30	6.35	6.08	6.11	24879412	354143168.00
2013/10/11	6.14	6.22	6.03	6.09	15814841	222332368.00
2013/10/14	6.09	6.10	5.93	5.97	17655119	242879776.00
2013/10/15	5.93	6.07	5.93	6.06	12635203	174778592.00
2013/10/16	6.05	6.05	5.71	5.74	17853125	239064576.00
2013/10/17	5.74	5.85	5.74	5.77	9983368	132915992.00
2013/10/18	5.87	5.97	5.83	5.88	11517288	156345328.00
2013/10/21	5.89	6.06	5.78	6.04	18448604	252203920.00
2013/10/22	6.05	6.05	5.83	5.87	14291188	194646096.00
2013/10/23	5.86	5.89	5.65	5.67	12627035	166762896.00
2013/10/24	5.68	5.72	5.63	5.66	7575394	98971648.00
2013/10/25	5.66	5.70	5.28	5.35	15591078	194897232.00
2013/10/28	5.19	5.31	5.15	5.16	12577709	150980224.00
2013/10/29	5.15	5.24	4.68	4.91	15210256	173240928.00
2013/10/30	4.87	4.98	4.83	4.96	11219943	127328328.00
2013/10/31	4.96	5.19	4.78	5.13	18908092	217599648.00
2013/11/01	5.03	5.11	4.98	4.99	11419992	132550456.00
2013/11/04	5.03	5.05	4.97	4.99	6279097	72609840.00
2013/11/05	4.98	5.05	4.84	5.03	10106584	115195040.00
2013/11/06	5.02	5.11	4.97	4.97	11970354	139330736.00
2013/11/07	4.93	4.94	4.71	4.72	14133955	157371920.00
2013/11/08	4.68	4.82	4.66	4.70	7104256	77771488.00
2013/11/11	4.74	4.89	4.71	4.81	9148699	101813232.00
2013/11/12	4.85	4.89	4.79	4.83	6144262	68724320.00
2013/11/13	4.87	4.93	4.83	4.87	13722725	154624928.00
2013/11/14	4.88	5.11	4.75	5.06	24081594	276170240.00
2013/11/15	5.06	5.36	5.03	5.21	31958286	385015872.00
2013/11/18	5.24	5.45	5.19	5.32	24009203	294657856.00
2013/11/19	5.29	5.54	5.25	5.43	21221852	265267568.00
2013/11/20	5.38	5.56	5.31	5.47	20784096	260999968.00
2013/11/21	5.43	5.43	5.27	5.29	18405974	226223888.00
2013/11/22	5.29	5.39	5.25	5.25	11464941	140455888.00
2013/11/25	5.32	5.44	5.31	5.31	15140286	187557296.00
2013/11/26	5.31	5.35	5.19	5.32	14559761	177184752.00
