002410 广联达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	10.24	11.15	10.00	11.04	3889239	98904128.00
2013/09/03	11.06	11.30	10.86	11.28	5002671	131688096.00
2013/09/04	11.28	11.44	11.04	11.20	2027698	53876192.00
2013/09/05	11.25	11.29	10.88	10.88	2597206	67854616.00
2013/09/06	10.89	11.18	10.66	11.09	2653680	68826672.00
2013/09/09	11.09	11.14	10.71	10.75	2084172	53412748.00
2013/09/10	10.73	10.73	10.33	10.38	2661111	66286568.00
2013/09/11	10.38	10.54	9.78	9.98	3957773	95112848.00
2013/09/12	9.96	10.31	9.89	10.00	2918415	70248744.00
2013/09/13	10.01	10.35	9.84	10.14	4091523	99277768.00
2013/09/16	10.14	10.40	10.14	10.38	2979678	73440128.00
2013/09/17	10.43	10.50	9.91	9.98	2967953	71908640.00
2013/09/18	10.01	10.11	9.88	10.07	1601896	38504616.00
2013/09/23	10.07	10.68	10.07	10.64	4450665	110707120.00
2013/09/24	10.64	11.07	10.64	10.90	4926625	127406200.00
2013/09/25	10.92	11.11	10.62	10.77	4404239	112904536.00
2013/09/26	10.77	11.04	10.50	10.71	2584817	66268584.00
2013/09/27	10.59	11.02	10.57	11.01	4114025	106295008.00
2013/09/30	11.07	11.45	11.00	11.02	2999054	79601088.00
2013/10/08	10.95	10.97	10.55	10.74	5983473	152313600.00
2013/10/09	10.84	11.95	10.78	11.95	7359495	199130528.00
2013/10/10	11.97	12.13	11.69	12.01	4823975	135038752.00
2013/10/11	13.11	13.11	12.36	12.69	7261308	214914896.00
2013/10/14	12.76	13.40	12.68	12.86	4240377	127808512.00
2013/10/15	12.90	13.02	12.59	12.92	3137394	93590144.00
2013/10/16	12.98	13.01	12.16	12.64	3521471	102560472.00
2013/10/17	12.75	12.86	12.21	12.23	2767555	81210496.00
2013/10/18	12.20	12.92	11.93	12.79	3916935	114193264.00
2013/10/21	12.90	13.85	12.73	13.81	5031331	156630880.00
2013/10/22	13.72	13.76	13.23	13.44	3204149	100306248.00
2013/10/23	13.43	13.59	12.26	12.88	3308159	99084208.00
2013/10/24	12.68	13.05	12.45	12.80	2079853	62130296.00
2013/10/25	12.75	13.07	11.94	11.98	4285133	123491392.00
2013/10/28	11.95	12.54	11.73	12.35	3438226	98549656.00
2013/10/29	12.35	12.65	11.64	12.19	3964023	113511920.00
2013/10/30	12.17	12.96	12.17	12.73	4097281	122099168.00
2013/10/31	12.73	12.73	11.97	12.04	2731751	78066456.00
2013/11/01	12.04	12.16	11.21	11.92	4252810	115883184.00
2013/11/04	11.83	12.09	11.63	11.88	2230737	62032580.00
2013/11/05	11.85	12.11	11.55	12.00	1923707	53720092.00
2013/11/06	11.90	11.99	11.39	11.47	2731279	74698720.00
2013/11/07	11.42	11.59	10.78	10.80	3762427	98821520.00
2013/11/08	10.73	11.29	10.44	11.17	3163451	81339704.00
2013/11/11	11.13	11.41	11.02	11.26	2646426	70295416.00
2013/11/12	11.26	11.78	11.11	11.76	3504306	95543024.00
2013/11/13	11.81	12.25	11.68	11.70	3632331	102376984.00
2013/11/14	11.50	12.23	11.31	12.16	2493659	70168272.00
2013/11/15	12.09	12.71	11.98	12.66	3094673	90767216.00
2013/11/18	12.64	12.94	12.45	12.68	1784011	52905420.00
2013/11/19	12.64	12.69	12.19	12.45	2029123	58796888.00
2013/11/20	12.40	12.54	12.07	12.27	1992674	57129852.00
2013/11/21	12.26	12.62	12.00	12.61	1754267	50630056.00
2013/11/22	12.54	12.66	12.31	12.43	939530	27332940.00
2013/11/25	12.43	12.82	12.23	12.68	1561403	46038848.00
2013/11/26	12.54	12.82	12.53	12.76	1633569	48318352.00
2013/11/27	12.81	12.90	12.54	12.83	1525450	45583172.00
2013/11/28	12.83	13.12	12.60	13.05	2274737	68337264.00
2013/11/29	12.95	13.09	12.81	13.02	1279950	38604948.00
2013/12/02	12.66	12.81	11.75	12.03	3484067	99798336.00
2013/12/03	11.79	12.31	11.79	12.26	1139554	32376734.00
2013/12/04	12.21	12.59	12.19	12.36	1229356	35610916.00
2013/12/05	12.21	12.50	11.73	11.73	1982172	55556056.00
2013/12/06	11.88	11.91	11.30	11.50	1541258	41869600.00
2013/12/09	11.82	11.82	11.43	11.54	1221856	33217256.00
2013/12/10	11.52	12.26	11.45	12.17	2155345	60544720.00
2013/12/11	12.16	12.43	12.02	12.13	1029392	29495928.00
2013/12/12	12.11	12.79	12.00	12.76	2388638	69844136.00
2013/12/13	12.64	12.97	12.50	12.90	2070231	61867768.00
2013/12/16	12.88	12.88	12.35	12.54	1007435	29642252.00
2013/12/17	12.54	12.54	12.07	12.35	774817	22235218.00
2013/12/18	12.25	12.65	12.19	12.51	1038391	30172294.00
2013/12/19	12.55	12.60	12.20	12.41	883331	25654988.00
2013/12/20	12.35	12.41	12.01	12.12	1271455	36213260.00
2013/12/23	12.26	12.64	11.79	12.56	1775306	51170040.00
2013/12/24	12.69	12.77	12.34	12.49	1326668	38912156.00
2013/12/25	12.50	13.32	12.49	13.02	2947740	88972240.00
2013/12/26	13.02	13.30	12.73	12.81	1993683	60359908.00
2013/12/27	12.81	13.20	12.72	13.02	2788574	83970520.00
2013/12/30	13.04	13.54	12.85	13.36	3263316	100734408.00
2013/12/31	13.29	13.65	13.11	13.59	2623279	81629296.00
2014/01/02	13.40	14.78	13.40	14.51	4199713	137768864.00
2014/01/03	14.54	15.33	14.51	15.07	4945770	170858672.00
2014/01/06	15.21	16.11	14.62	14.76	3966684	137770608.00
2014/01/07	14.53	14.83	14.40	14.77	2550670	85948264.00
2014/01/08	14.59	15.43	14.34	14.90	2842505	97998440.00
2014/01/09	14.73	15.82	14.64	14.66	3439112	120007232.00
2014/01/10	14.58	14.67	13.79	13.93	2056116	67113512.00
2014/01/13	13.88	14.52	13.84	14.05	2329443	76470632.00
2014/01/14	14.02	15.60	14.02	15.42	2881529	99455152.00
2014/01/15	15.63	16.16	15.43	15.98	2595978	94106624.00
2014/01/16	15.98	16.13	15.41	15.42	2231534	79768152.00
2014/01/17	15.31	15.76	15.21	15.72	3105026	110420744.00
2014/01/20	15.69	15.78	15.16	15.47	1630064	57954368.00
2014/01/21	15.47	17.16	15.29	17.10	5508506	210093472.00
2014/01/22	16.90	17.84	16.68	17.45	4054041	158761584.00
2014/01/23	17.25	19.33	17.07	19.30	5591604	235098416.00
2014/01/24	19.26	20.26	18.64	20.19	5367092	234676912.00
2014/01/27	19.92	20.82	19.16	19.54	4650070	207664320.00
2014/01/28	19.79	19.83	18.67	19.31	3297826	141966896.00
2014/01/29	19.19	20.78	19.08	19.69	3110381	139410848.00
2014/01/30	19.69	20.87	19.40	20.83	1931198	88511344.00
2014/02/07	20.83	22.10	20.31	20.83	2936781	138182112.00
2014/02/10	20.83	21.42	19.96	20.11	5042015	232120208.00
2014/02/11	20.25	20.25	18.66	18.87	5557999	241256384.00
2014/02/12	18.88	19.25	18.50	18.98	3384291	144225152.00
2014/02/13	18.98	19.67	17.97	17.97	4722339	201917632.00
2014/02/14	18.07	19.89	18.07	19.81	6308291	272531232.00
2014/02/17	19.60	21.55	19.59	21.24	5294894	246696352.00
2014/02/18	21.37	21.66	20.51	20.75	3123611	146364160.00
2014/02/19	20.52	21.83	20.08	21.78	3750844	176932896.00
2014/02/20	21.59	22.04	20.26	20.50	2661600	125000368.00
2014/02/21	20.26	20.45	19.78	20.02	2297741	103209360.00
2014/02/24	19.75	19.75	18.55	19.06	5460969	233048496.00
2014/02/25	19.18	19.91	17.85	18.35	7112048	301586240.00
2014/02/26	18.11	18.41	17.17	17.55	5444415	219986960.00
2014/02/27	17.66	18.51	17.57	18.22	4853666	198521456.00
2014/02/28	18.26	18.26	16.69	17.73	4047527	159615808.00
2014/03/03	17.64	18.29	17.11	18.10	3404832	136782336.00
2014/03/04	18.00	18.01	16.46	16.86	4852264	187216512.00
2014/03/05	16.85	17.19	16.46	17.00	2812588	107458208.00
2014/03/06	16.69	17.18	16.10	17.14	3422812	129630720.00
2014/03/07	16.88	17.57	16.81	17.18	2720172	107208368.00
