002439 启明星辰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	5.99	6.26	5.96	6.09	2074710	53122656.00
2013/09/03	6.06	6.23	6.04	6.19	1978726	50940312.00
2013/09/04	6.16	6.27	6.11	6.12	1996989	51497336.00
2013/09/05	6.09	6.41	5.95	6.40	3282843	84606256.00
2013/09/06	6.34	6.53	6.22	6.44	2920287	77705480.00
2013/09/09	6.31	6.39	5.99	6.11	5214987	133707816.00
2013/09/10	6.11	6.11	5.77	5.84	4463259	109874352.00
2013/09/11	5.84	5.87	5.43	5.66	4418304	103791568.00
2013/09/12	5.61	5.76	5.47	5.54	3071918	71777816.00
2013/09/13	5.54	5.85	5.43	5.78	3589096	85374056.00
2013/09/16	5.76	5.91	5.67	5.79	3271458	79057200.00
2013/09/17	5.79	5.89	5.70	5.82	2695417	65422600.00
2013/09/18	5.80	5.88	5.69	5.72	1688181	40535444.00
2013/09/23	5.89	6.31	5.89	6.31	7320772	187492240.00
2013/09/24	6.43	6.78	6.32	6.76	7686634	211798544.00
2013/09/25	6.74	6.74	6.56	6.63	3871871	106812128.00
2013/09/26	6.59	6.59	6.29	6.35	3530222	94532904.00
2013/09/27	6.35	6.48	6.29	6.37	1849206	49292064.00
2013/09/30	6.39	6.79	6.39	6.58	3663776	101136488.00
2013/10/08	6.62	7.19	6.56	6.91	4654242	133902768.00
2013/10/09	6.89	7.09	6.81	7.01	2571270	74462336.00
2013/10/10	7.00	7.00	6.61	6.67	3067763	86126856.00
2013/10/11	6.69	6.86	6.50	6.55	2438633	67320152.00
2013/10/14	6.58	6.99	6.44	6.99	3926910	110746440.00
2013/10/15	6.97	7.10	6.79	6.82	2280049	65637432.00
2013/10/16	6.76	6.79	6.34	6.36	3542889	95200128.00
2013/10/17	6.38	6.60	6.29	6.37	2148237	57670236.00
2013/10/18	6.35	6.82	6.35	6.79	3145694	87032976.00
2013/10/21	6.84	7.40	6.84	7.16	5652109	169128288.00
2013/10/22	7.12	7.32	7.05	7.24	3751438	112012400.00
2013/10/23	7.15	7.15	6.49	6.90	4361824	121857768.00
2013/10/24	6.83	6.91	6.69	6.84	1224010	34644708.00
2013/10/25	6.83	6.98	6.21	6.36	3059440	82298208.00
2013/10/28	6.36	6.46	5.81	5.85	4882715	122648680.00
2013/10/29	5.84	5.93	5.45	5.91	4127572	98795040.00
2013/10/30	5.81	6.10	5.74	6.05	3815729	95200384.00
2013/10/31	6.07	6.15	5.89	6.02	2241047	56180632.00
2013/11/01	5.94	5.98	5.79	5.92	1549030	38020176.00
2013/11/04	5.89	6.03	5.82	5.92	1556041	38730048.00
2013/11/05	5.86	6.09	5.69	6.05	1432522	35359636.00
2013/11/06	6.03	6.29	5.99	6.01	1964195	50511764.00
2013/11/07	5.99	6.03	5.76	5.76	1369574	33755728.00
2013/11/08	5.73	5.81	5.61	5.66	1364717	32435954.00
2013/11/11	5.70	5.82	5.56	5.76	1051298	25105212.00
2013/11/12	5.66	5.85	5.64	5.79	714780	17183838.00
2013/11/13	6.24	6.33	6.05	6.09	4526742	116611464.00
2013/11/14	6.10	6.72	6.03	6.72	5728600	153684464.00
2013/11/15	6.85	7.38	6.74	7.11	10093516	294874400.00
2013/11/18	7.19	7.43	6.97	7.11	9144560	273135744.00
2013/11/19	7.02	7.07	6.90	6.93	6232263	180474368.00
2013/11/20	6.94	7.20	6.90	6.98	5794391	169216864.00
2013/11/21	6.86	6.86	6.55	6.62	4978044	137867232.00
2013/11/22	6.66	6.76	6.57	6.63	2534890	70272872.00
2013/11/25	6.64	6.76	6.49	6.51	2728302	75262984.00
2013/11/26	6.53	6.82	6.52	6.67	4056558	112781064.00
2013/11/27	6.68	7.01	6.66	6.99	4873453	139564256.00
2013/11/28	7.00	7.13	6.87	6.89	3565568	103576768.00
2013/11/29	6.89	7.31	6.86	7.24	3834712	113854736.00
2013/12/02	6.90	6.91	6.49	6.49	5033297	138617552.00
2013/12/03	6.26	6.71	6.04	6.59	3833159	101401376.00
2013/12/04	6.54	6.72	6.41	6.47	3401298	92627160.00
2013/12/05	6.46	6.61	6.41	6.46	1792432	48575740.00
2013/12/06	6.41	6.54	6.41	6.53	1627810	44088172.00
2013/12/09	6.58	6.76	6.58	6.74	2625787	72975928.00
2013/12/10	6.74	6.86	6.61	6.86	2859038	80480608.00
2013/12/11	6.81	7.21	6.81	7.13	4845745	142067856.00
2013/12/12	7.06	7.26	6.94	7.21	3549143	105133920.00
2013/12/13	7.12	7.27	7.06	7.19	2273413	67785992.00
2013/12/16	7.16	7.27	6.91	7.25	3294766	96995568.00
2013/12/17	7.18	7.63	6.99	7.50	4153902	127502936.00
2013/12/18	7.43	7.54	7.24	7.43	2294990	70335264.00
2013/12/19	7.46	7.54	7.25	7.38	2150915	66167224.00
