002579 中京电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	5.50	6.07	5.50	5.94	12913310	120182080.00
2013/09/03	5.90	6.01	5.70	5.88	12812057	119241136.00
2013/09/04	5.84	6.37	5.76	6.32	26157438	253726944.00
2013/09/05	6.22	6.36	6.10	6.13	17486265	172162624.00
2013/09/06	6.06	6.10	5.86	6.00	13159668	124956768.00
2013/09/09	5.89	5.96	5.76	5.87	14007783	130081320.00
2013/09/10	5.84	5.91	5.61	5.72	13059406	119713256.00
2013/09/11	5.69	5.69	5.12	5.16	16755424	142920880.00
2013/09/12	5.18	5.30	5.14	5.24	9162195	76717240.00
2013/09/13	5.21	5.36	5.05	5.33	10085858	85149536.00
2013/09/16	5.30	5.53	5.20	5.44	12208959	105681400.00
2013/09/17	5.37	5.45	5.18	5.20	7808302	66260056.00
2013/09/18	5.20	5.44	5.12	5.34	7773972	66186496.00
2013/09/23	5.32	5.56	5.30	5.52	12679648	111101512.00
2013/09/24	5.64	5.71	5.32	5.40	11852819	103700168.00
2013/09/25	5.33	5.72	5.26	5.60	16525134	145402592.00
2013/09/26	5.53	5.63	5.28	5.30	9855203	86783680.00
2013/09/27	5.32	5.38	5.17	5.19	7819487	66129136.00
2013/09/30	5.19	5.34	5.10	5.30	5524874	46457600.00
2013/10/08	5.31	5.70	5.26	5.67	15195426	135484416.00
2013/10/09	5.68	5.85	5.55	5.73	17216209	157172176.00
2013/10/10	5.64	5.93	5.61	5.67	13445505	123312880.00
2013/10/11	5.70	6.23	5.70	5.98	20128667	192233568.00
2013/10/14	5.90	6.06	5.85	5.89	10938997	103009944.00
2013/10/15	5.90	5.93	5.66	5.76	9427767	86189128.00
2013/10/16	5.74	5.74	5.40	5.60	8428633	74976928.00
2013/10/17	5.60	5.68	5.37	5.45	5355811	47619136.00
2013/10/18	5.41	5.61	5.41	5.60	4519099	40003428.00
2013/10/21	5.64	5.86	5.64	5.84	8188764	75276168.00
2013/10/22	5.89	5.89	5.54	5.57	8134862	73702120.00
2013/10/23	5.60	5.61	5.10	5.10	9598932	80243888.00
2013/10/24	5.02	5.13	4.96	4.99	3714482	30157810.00
2013/10/25	5.05	5.08	4.64	4.70	5990516	46072540.00
2013/10/28	4.80	4.80	4.72	4.74	2430948	18666596.00
2013/10/29	4.74	4.80	4.24	4.46	4906590	35678776.00
2013/10/30	4.44	4.56	4.38	4.51	3110555	22578538.00
2013/10/31	4.51	4.51	4.37	4.42	2770137	19815274.00
2013/11/01	4.42	4.43	4.24	4.35	2669651	18755834.00
2014/02/24	4.82	4.82	4.82	4.82	115260	896722.81
2014/02/25	5.34	5.34	5.34	5.34	383920	3286355.25
2014/02/26	5.92	5.92	5.92	5.92	677845	6385300.00
2014/02/27	6.54	6.54	6.54	6.54	956544	9909796.00
2014/02/28	7.24	7.24	7.24	7.24	2543661	28997736.00
2014/03/03	8.00	8.00	8.00	8.00	2008794	25190276.00
2014/03/04	8.77	8.83	8.31	8.82	56586686	760510336.00
2014/03/05	8.37	8.54	8.10	8.36	32041245	418222080.00
2014/03/06	8.24	8.36	7.80	8.05	22507242	283407968.00
2014/03/07	8.06	8.30	7.68	7.80	22183380	276998048.00
2014/03/10	7.50	7.56	7.21	7.26	19823250	229974096.00
2014/03/11	7.19	7.35	7.05	7.35	13118486	149658736.00
2014/03/12	7.19	7.41	6.58	6.58	17639654	191153056.00
2014/03/13	6.52	6.72	6.44	6.65	13353152	139217584.00
2014/03/14	6.52	6.81	6.44	6.69	12306314	128961952.00
2014/03/17	6.66	6.94	6.52	6.94	14207644	152238064.00
2014/03/18	6.90	6.98	6.77	6.82	12337880	133566328.00
2014/03/19	6.72	7.03	6.72	7.00	15469982	169021808.00
2014/03/20	7.07	7.21	6.27	6.27	23346607	247417584.00
2014/03/21	6.28	6.42	6.06	6.38	12748244	127224296.00
2014/03/24	6.34	6.37	6.12	6.23	9017346	89345672.00
2014/03/25	6.19	6.42	6.19	6.28	8076851	80671288.00
2014/03/26	6.30	6.54	6.20	6.45	10557955	107325360.00
2014/03/27	6.38	6.39	5.98	6.00	10214699	100119056.00
2014/03/28	5.99	6.02	5.58	5.70	9321242	85610912.00
2014/03/31	5.67	5.73	5.52	5.58	7410221	66445296.00
2014/04/01	5.58	5.81	5.54	5.81	9074215	82394632.00
2014/04/02	5.77	5.78	5.63	5.66	5698518	51734816.00
2014/04/03	5.65	5.88	5.65	5.75	7727356	71208960.00
2014/04/04	5.72	5.86	5.71	5.85	5804869	53599480.00
2014/04/08	5.78	5.82	5.58	5.79	6792925	62007936.00
2014/04/09	5.79	6.02	5.76	6.01	10141458	95918392.00
2014/04/10	6.10	6.65	6.10	6.65	12173294	125223264.00
2014/04/11	7.02	7.35	6.96	7.12	43322460	488726080.00
2014/04/14	7.18	7.27	6.88	7.03	24243912	270447776.00
2014/04/15	6.98	7.08	6.64	6.72	20300600	219451104.00
2014/04/16	6.64	6.75	6.45	6.70	13691322	143112944.00
2014/04/17	6.68	7.21	6.61	7.02	24130645	264906800.00
2014/04/18	6.90	7.00	6.64	6.71	14658784	156610672.00
2014/04/21	6.60	6.68	6.37	6.40	10252333	105893592.00
2014/04/22	6.37	6.79	6.33	6.66	12466277	129989680.00
2014/04/23	6.65	6.76	6.37	6.38	9677396	99730944.00
2014/04/24	6.30	6.37	6.06	6.06	9203525	90372440.00
2014/04/25	5.91	6.00	5.62	5.62	9502901	87826576.00
2014/04/28	5.62	5.90	5.40	5.64	8892018	80371040.00
2014/04/29	5.54	5.84	5.50	5.78	5690176	52026264.00
2014/04/30	5.78	5.84	5.70	5.72	4612860	42292828.00
2014/05/05	5.72	5.94	5.64	5.92	6074053	56056340.00
2014/05/06	5.86	6.26	5.82	6.25	10860052	104949424.00
2014/05/07	6.22	6.22	5.90	5.95	7314020	70681368.00
2014/05/08	5.95	6.12	5.78	5.90	6010923	56979548.00
2014/05/09	5.92	6.52	5.84	6.52	19315863	196425184.00
2014/05/12	6.56	6.80	6.46	6.76	21282374	223511264.00
2014/05/13	6.65	6.74	6.48	6.58	10276122	107022896.00
2014/05/14	6.62	7.05	6.55	6.74	15328787	165389696.00
2014/05/15	6.57	6.68	6.34	6.60	9786501	100496504.00
2014/05/16	6.54	6.92	6.46	6.87	15324983	164354336.00
2014/05/19	6.84	6.84	6.39	6.80	9845424	103804744.00
2014/05/20	6.72	7.14	6.67	7.05	14846316	163713216.00
2014/05/21	6.98	7.48	6.86	7.45	18810280	213763984.00
2014/05/22	7.37	7.48	7.26	7.37	15389698	177328656.00
2014/05/23	7.36	7.48	7.06	7.26	11607392	132499072.00
2014/05/26	7.20	7.64	7.20	7.22	17751268	205877024.00
2014/05/27	7.34	7.63	7.22	7.28	14463996	167980256.00
2014/05/28	7.18	7.18	6.85	7.14	14995951	165906928.00
2014/05/29	7.10	7.27	6.95	7.09	9568840	107288624.00
2014/05/30	7.04	7.14	6.88	6.95	6629698	73057672.00
2014/06/03	6.96	7.26	6.94	7.14	7694635	86291048.00
2014/06/04	7.11	7.26	7.00	7.14	7061339	79587240.00
2014/06/05	7.18	7.25	6.97	7.07	7951811	88501632.00
2014/06/06	7.24	7.81	7.24	7.60	31048615	374211872.00
2014/06/09	7.38	7.42	7.26	7.33	20101910	231552192.00
2014/06/10	7.36	7.91	7.08	7.69	27005651	318423552.00
2014/06/11	7.54	7.74	7.44	7.62	16258064	193555312.00
2014/06/12	7.58	7.72	7.37	7.46	12101416	142795536.00
2014/06/13	7.38	7.93	7.31	7.72	21759973	262209456.00
2014/06/16	7.65	7.80	7.52	7.78	13968780	167536016.00
2014/06/17	7.58	7.58	6.98	7.06	18609017	211820224.00
2014/06/18	6.70	6.96	6.68	6.78	12886796	138753584.00
2014/06/19	6.79	6.90	6.30	6.50	7912018	83339160.00
2014/06/20	6.43	6.76	6.43	6.72	4770387	49610320.00
2014/06/23	6.68	7.08	6.68	7.02	8497030	92929912.00
2014/06/24	7.02	7.02	6.65	6.92	5101158	55642912.00
2014/06/25	6.92	7.28	6.92	7.10	7522357	84528400.00
2014/06/26	7.07	7.39	7.00	7.30	7600372	86526144.00
2014/06/27	7.25	7.49	7.21	7.42	8558393	99593272.00
2014/06/30	7.50	8.20	7.50	8.20	14785591	183501328.00
2014/07/01	8.65	8.78	8.27	8.60	20410503	272607968.00
2014/07/02	8.60	9.34	8.52	9.01	17001116	237034992.00
2014/07/03	8.86	9.94	8.81	9.94	20441078	297964736.00
2014/07/04	9.94	10.97	9.76	10.97	16815767	272819808.00
2014/07/07	11.64	11.65	9.88	11.21	23656971	406335008.00
2014/07/08	10.98	11.36	10.65	11.01	14741379	251557168.00
2014/07/09	10.94	11.14	10.25	10.25	15452067	255481136.00
2014/07/10	10.22	10.58	10.05	10.39	11705371	186701296.00
2014/07/11	10.39	10.55	10.22	10.43	8223796	132301576.00
2014/07/14	10.42	11.18	10.33	11.00	11521960	194690656.00
2014/07/15	10.90	11.45	10.72	10.88	9202241	157139184.00
2014/07/16	10.88	11.05	10.12	10.42	8376040	136418032.00
2014/07/17	10.30	10.72	9.95	10.68	6024837	96202656.00
2014/07/18	10.44	11.04	10.44	10.85	7057380	119015296.00
2014/07/21	10.92	11.21	10.67	10.85	5529089	93655784.00
2014/07/22	10.88	11.03	10.72	11.03	4899313	82581744.00
2014/07/23	11.17	11.53	10.74	10.89	8205133	140426560.00
2014/07/24	10.58	10.74	9.76	9.76	9510130	149753472.00
2014/07/25	9.62	9.90	9.52	9.90	4620752	69768712.00
2014/07/28	9.92	10.93	9.90	10.93	8439354	138335904.00
2014/07/29	11.22	11.42	10.84	11.38	9839995	169230736.00
2014/07/30	11.25	11.48	11.07	11.30	6003028	104690480.00
2014/07/31	11.35	11.62	11.16	11.30	5354737	93966728.00
2014/08/01	11.19	11.20	10.78	10.83	5530278	93716424.00
2014/08/04	10.96	11.18	10.80	10.98	3230441	55119156.00
2014/08/05	11.12	11.22	10.90	11.17	4213198	72459544.00
2014/08/06	11.23	11.24	10.73	10.90	5763902	97445800.00
2014/08/07	10.84	10.98	10.68	10.72	3697903	62104448.00
2014/08/08	10.86	11.55	10.76	11.26	8863599	154796720.00
2014/08/11	11.32	11.55	11.18	11.42	6834147	120268928.00
2014/08/12	11.54	12.60	11.51	12.60	11559407	220481232.00
2014/08/13	12.98	13.88	12.85	13.72	20075842	410052992.00
2014/08/14	13.38	13.82	13.02	13.42	11986460	245873568.00
2014/08/15	13.17	13.20	12.90	13.15	12738927	255581200.00
