002594 比亚迪 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	30.83	31.65	30.66	31.01	8970937	288262880.00
2013/09/03	31.30	32.52	31.13	32.30	10376519	341800000.00
2013/09/04	32.51	33.04	32.19	32.35	7655852	256478096.00
2013/09/05	32.17	32.51	31.73	32.26	7023731	232680256.00
2013/09/06	32.21	35.58	32.09	35.58	28845148	1023390208.00
2013/09/09	36.94	38.31	36.33	36.68	29299451	1114430080.00
2013/09/10	36.56	38.36	36.00	36.98	21561397	825355776.00
2013/09/11	38.46	40.77	37.00	40.77	35041002	1409805056.00
2013/09/12	40.56	42.02	39.36	39.57	26640355	1102287872.00
2013/09/13	39.70	40.32	38.86	39.58	16930827	685531136.00
2013/09/16	39.33	40.55	38.34	38.64	14554393	587800128.00
2013/09/17	39.04	39.56	37.56	38.06	12567389	492353440.00
2013/09/18	38.79	39.34	35.58	38.06	25632031	974382528.00
2013/09/23	38.06	41.39	37.61	40.61	24698617	1001651456.00
2013/09/24	40.06	41.54	39.82	39.98	16125967	671137088.00
2013/09/25	39.93	40.36	38.06	38.06	12111113	482518464.00
2013/09/26	37.61	38.93	37.16	38.19	10240108	400311904.00
2013/09/27	37.96	38.89	37.02	37.25	7920449	305907072.00
2013/09/30	37.07	38.84	37.06	38.42	7202541	282920320.00
2013/10/08	40.06	40.56	39.06	39.21	9792552	398088736.00
2013/10/09	38.86	40.27	38.56	39.86	8563552	348231584.00
2013/10/10	40.04	40.41	38.51	38.56	10103417	406376000.00
2013/10/11	38.78	39.16	37.96	38.96	8097285	320374624.00
2013/10/14	39.06	39.06	37.55	37.81	8447466	328610816.00
2013/10/15	37.70	38.67	37.70	38.14	6055714	236762256.00
2013/10/16	37.96	37.96	36.69	36.96	6801676	259031360.00
2013/10/17	37.21	37.77	36.85	36.91	4385490	167076880.00
2013/10/18	36.91	40.26	36.85	39.81	12451978	495888864.00
2013/10/21	39.42	41.66	39.16	40.95	13972938	578739520.00
2013/10/22	41.56	42.62	40.56	40.76	14048029	596941440.00
2013/10/23	40.75	42.72	39.76	40.57	13788159	585142400.00
2013/10/24	40.24	40.46	38.66	39.74	7827621	316801056.00
2013/10/25	40.04	41.21	38.90	40.01	8123211	333122272.00
2013/10/28	40.31	40.54	37.81	38.51	7058685	279315296.00
2013/10/29	38.53	38.95	36.34	37.14	8172733	312776608.00
2013/10/30	37.24	38.36	36.87	38.36	5954003	230479040.00
2013/10/31	38.26	38.26	36.76	37.04	4869153	186164416.00
2013/11/01	37.35	38.01	36.87	37.13	4666747	178686272.00
2013/11/04	36.96	37.66	36.06	37.58	5208739	197524592.00
2013/11/05	37.21	38.26	36.56	37.91	7049590	271130432.00
2013/11/06	37.97	38.27	36.86	36.91	4742790	183023856.00
2013/11/07	36.06	36.06	34.06	34.66	9230270	333913664.00
2013/11/08	34.21	34.64	33.59	34.15	4318863	151665504.00
2013/11/11	34.36	35.74	34.36	35.07	4286310	155050128.00
2013/11/12	35.26	35.70	34.76	35.14	2871885	103690360.00
2013/11/13	35.36	35.45	33.77	33.78	3861637	136701216.00
2013/11/14	34.01	34.46	33.76	34.10	4245281	148832240.00
2013/11/15	34.41	35.66	34.11	34.96	4961255	178491792.00
2013/11/18	35.16	35.64	34.85	35.54	5441784	197547440.00
2013/11/19	35.53	35.54	34.86	35.16	4406910	158977120.00
2013/11/20	35.42	35.63	34.96	35.42	3278720	118631840.00
2013/11/21	35.06	35.21	34.24	34.60	5439917	193318896.00
2013/11/22	34.53	36.98	34.37	36.06	9176306	339695488.00
2013/11/25	35.86	36.15	35.17	35.59	4224802	154953104.00
2013/11/26	35.59	36.56	35.31	36.06	5360436	197196064.00
