002690 美亚光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	8.97	9.47	8.97	9.46	375976	11076194.00
2013/09/03	9.25	9.51	9.25	9.51	277962	8272780.00
2013/09/04	9.52	9.85	9.41	9.64	770255	23398974.00
2013/09/05	9.69	10.28	9.64	10.26	930784	29270140.00
2013/09/06	10.25	11.06	10.25	10.80	1915787	64003128.00
2013/09/09	10.75	11.27	10.52	10.57	1103786	37077508.00
2013/09/10	10.57	10.65	9.91	10.10	2084656	66451336.00
2013/09/11	10.10	10.14	9.52	9.87	2479353	76458064.00
2013/09/12	9.86	10.02	9.72	9.84	491236	15229892.00
2013/09/13	10.02	10.28	9.84	10.07	1049831	33192606.00
2013/09/16	10.07	10.45	10.07	10.29	1084924	34679324.00
2013/09/17	10.29	10.45	9.64	9.86	669486	21085780.00
2013/09/18	9.90	10.10	9.75	10.06	344968	10785093.00
2013/09/23	10.22	10.48	9.91	10.30	917801	29228152.00
2013/09/24	10.10	10.39	10.06	10.08	524382	16564742.00
2013/09/25	10.10	10.10	9.67	9.67	1356368	41753544.00
2013/09/26	9.61	9.64	9.25	9.26	1126373	33323496.00
2013/09/27	9.31	9.47	9.13	9.29	1351162	39478948.00
2013/09/30	9.36	9.44	9.16	9.34	1017592	29896030.00
2013/10/08	9.34	10.36	9.22	10.27	2253109	69929552.00
2013/10/09	10.33	10.48	10.10	10.48	1404460	45148620.00
2013/10/10	10.39	10.56	10.22	10.40	1007460	32382040.00
2013/10/11	10.40	10.67	10.27	10.64	966369	31413236.00
2013/10/14	10.68	10.68	10.29	10.39	825257	26683874.00
2013/10/15	10.44	10.98	10.39	10.55	1032794	34130388.00
2013/10/16	10.55	10.55	9.72	9.82	1142100	35440956.00
2013/10/17	9.76	10.07	9.72	9.83	488797	15070076.00
2013/10/18	9.73	9.91	9.73	9.83	520443	16009088.00
2013/10/21	9.86	10.77	9.77	10.72	1183594	38517588.00
2013/10/22	10.75	10.75	10.37	10.45	993222	32507674.00
2013/10/23	10.43	10.52	9.92	10.14	659056	20971008.00
2013/10/24	10.01	10.59	10.01	10.43	933688	30023622.00
2013/10/25	10.41	10.93	10.33	10.64	2406258	78864568.00
2013/10/28	10.58	11.06	10.34	10.43	1811925	59830024.00
2013/10/29	10.41	11.67	10.08	11.67	3636029	122115704.00
2013/10/30	11.45	12.01	11.33	11.82	3060232	108447472.00
2013/10/31	11.75	11.78	11.22	11.22	1516922	53178288.00
2013/11/01	11.10	11.88	10.40	11.70	2676231	92436880.00
2013/11/04	11.45	11.62	11.23	11.41	1143103	39869444.00
2013/11/05	11.44	12.75	11.14	12.72	2087486	75907528.00
2013/11/06	12.34	12.98	12.25	12.28	2120760	81211688.00
2013/11/07	12.37	12.65	11.66	11.66	1438798	53085032.00
2013/11/08	11.45	11.60	10.94	11.41	1343714	46457376.00
2013/11/11	11.30	11.73	11.02	11.56	953946	33436782.00
2013/11/12	11.60	11.60	11.07	11.42	1161682	40182292.00
2013/11/13	11.42	11.42	10.62	10.65	1288398	43352284.00
2013/11/14	10.63	11.25	10.35	10.83	1693727	56930240.00
2013/11/15	10.87	11.40	10.78	11.31	1789962	61376368.00
2013/11/18	11.18	11.83	11.18	11.55	2365300	83196120.00
2013/11/19	11.55	11.75	11.18	11.58	1356884	47587452.00
2013/11/20	11.61	11.70	11.31	11.59	814308	28593912.00
2013/11/21	11.37	11.58	11.20	11.39	732799	25462544.00
2013/11/22	11.40	12.00	11.40	11.98	1461108	52224368.00
2013/11/25	11.98	12.72	11.79	12.49	1799758	67157152.00
2013/11/26	12.41	12.60	12.12	12.42	900552	33580144.00
2013/11/27	12.30	12.68	12.29	12.48	937211	35288092.00
2013/11/28	12.41	12.94	12.41	12.49	1253192	47903020.00
2013/11/29	12.45	12.50	12.04	12.31	1660728	61311128.00
2013/12/02	11.75	11.94	10.88	11.25	2606072	90092552.00
2013/12/03	11.06	11.48	10.95	11.43	1077630	37408248.00
2013/12/04	11.45	11.89	11.16	11.60	1005231	35806764.00
2013/12/05	11.53	11.57	11.30	11.33	563844	19673042.00
2013/12/06	11.33	11.64	11.26	11.61	538546	18873312.00
2013/12/09	11.67	12.43	11.67	12.26	1144096	41784992.00
2013/12/10	12.29	12.29	11.95	12.10	589951	21647284.00
2013/12/11	11.97	12.20	11.83	12.16	613053	22351242.00
2013/12/12	12.15	12.77	12.10	12.44	1176499	44526352.00
2013/12/13	12.33	12.71	12.11	12.60	749438	28190286.00
2013/12/16	12.91	13.58	12.52	12.69	2127873	83427888.00
2013/12/17	12.52	12.67	11.82	11.98	1509367	55793900.00
2013/12/18	12.02	12.45	11.98	12.18	558070	20659612.00
2013/12/19	12.10	12.42	11.95	12.12	564462	20888714.00
2013/12/20	12.10	12.26	11.68	11.83	777871	28271206.00
2013/12/23	11.83	12.14	11.68	12.02	639623	23268606.00
2013/12/24	12.05	12.68	11.95	12.62	1349274	50692256.00
2013/12/25	12.63	13.18	12.62	12.84	1419236	55247268.00
2013/12/26	12.75	13.20	12.45	12.55	1189675	46040840.00
2013/12/27	12.55	13.11	12.41	12.82	1234394	47718960.00
2013/12/30	12.70	13.50	12.70	13.40	1923278	76548664.00
2013/12/31	13.33	13.51	13.00	13.40	1739645	69077104.00
2014/01/02	13.36	13.50	13.16	13.28	919905	36675548.00
2014/01/03	13.20	13.71	13.20	13.27	1320475	53043768.00
2014/01/06	13.02	13.17	12.57	12.65	1163671	45019556.00
2014/01/07	12.60	13.25	12.60	13.25	887703	34582180.00
2014/01/08	13.29	13.45	13.07	13.41	876208	34931340.00
2014/01/09	13.41	13.55	12.76	12.88	1284571	50707088.00
2014/01/10	12.79	13.13	12.22	12.54	1475093	56108536.00
2014/01/13	12.52	12.96	12.42	12.78	814096	31175458.00
2014/01/14	12.75	12.90	12.48	12.89	839050	32171142.00
2014/01/15	12.89	13.17	12.87	13.10	812207	31774278.00
2014/01/16	13.18	13.29	12.85	12.93	631311	24617666.00
2014/01/17	12.93	12.98	12.55	12.71	554273	21206278.00
2014/01/20	12.71	12.84	12.18	12.30	996719	37390084.00
2014/01/21	12.33	12.79	12.33	12.63	628915	23830276.00
2014/01/22	12.61	13.56	12.60	13.09	1070530	42113508.00
2014/01/23	13.17	13.22	12.99	13.22	920036	36165196.00
2014/01/24	13.22	13.52	13.06	13.35	855174	34203316.00
2014/01/27	13.26	13.90	13.25	13.60	1171887	47622196.00
2014/01/28	13.60	13.87	13.18	13.40	714585	28831638.00
2014/01/29	13.48	13.60	13.18	13.56	624980	25074780.00
2014/01/30	13.50	13.95	13.37	13.41	531779	21658400.00
