002698 博实股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	8.68	8.84	8.53	8.80	848017	19515292.00
2013/09/03	8.80	8.87	8.65	8.87	749234	17330270.00
2013/09/04	8.87	9.14	8.72	9.14	1306720	30930062.00
2013/09/05	9.14	9.17	8.95	9.02	821741	19655768.00
2013/09/06	9.02	9.07	8.63	8.64	1341801	31059676.00
2013/09/09	8.65	8.72	8.29	8.72	1104359	24899440.00
2013/09/10	8.72	8.87	8.49	8.65	827609	19019152.00
2013/09/11	8.51	8.84	8.41	8.42	2011567	45879068.00
2013/09/12	8.40	8.51	8.29	8.37	966188	21404822.00
2013/09/13	8.37	8.61	8.17	8.59	1587072	35300644.00
2013/09/16	8.57	8.74	8.34	8.52	1557629	35183684.00
2013/09/17	8.47	8.49	8.29	8.31	531070	11752483.00
2013/09/18	8.40	8.57	8.33	8.56	1087872	24524996.00
2013/09/23	8.58	8.84	8.47	8.74	2091615	48275772.00
2013/09/24	8.76	8.82	8.61	8.71	1262778	29110830.00
2013/09/25	8.71	8.74	8.51	8.57	856747	19532698.00
2013/09/26	8.45	8.69	8.45	8.65	660987	15076070.00
2013/09/27	8.66	8.72	8.51	8.70	727565	16643109.00
2013/09/30	8.73	8.83	8.65	8.81	1302825	30269744.00
2013/10/08	8.83	9.03	8.74	8.94	1414987	33288026.00
2013/10/09	8.95	8.95	8.69	8.79	1061013	24660232.00
2013/10/10	8.72	8.78	8.57	8.69	829833	19044812.00
2013/10/11	8.74	8.78	8.69	8.72	613970	14181973.00
2013/10/14	8.80	9.01	8.61	9.00	1573897	36821356.00
2013/10/15	9.00	9.02	8.78	8.91	875855	20638766.00
2013/10/16	8.85	8.85	8.61	8.71	711942	16426068.00
2013/10/17	8.80	8.80	8.64	8.76	606645	14007704.00
2013/10/18	8.69	8.98	8.69	8.90	1084952	25545956.00
2013/10/21	8.90	9.15	8.74	9.05	1886554	44866608.00
2013/10/22	9.05	9.27	8.92	9.27	2807439	67920600.00
2013/10/23	9.23	9.35	8.63	9.18	2559099	60878640.00
2013/10/24	9.11	9.11	8.69	8.70	997725	23360296.00
2013/10/25	8.70	8.80	8.22	8.25	1840987	41127728.00
2013/10/28	8.25	8.58	8.06	8.35	1217977	27098486.00
2013/10/29	8.35	8.58	8.20	8.49	1781956	39955008.00
2013/10/30	8.49	8.60	8.37	8.57	550078	12402458.00
2013/10/31	8.57	8.57	7.69	8.11	1026676	22114986.00
2013/11/01	7.76	8.14	7.71	8.01	567337	12006844.00
2013/11/04	8.02	8.08	7.76	7.80	1053308	21930720.00
2013/11/05	7.80	8.02	7.79	8.01	426478	8967656.00
2013/11/06	7.87	8.05	7.85	7.85	338606	7149848.00
2013/11/07	7.74	7.89	7.65	7.65	803651	16454493.00
2013/11/08	7.60	7.68	7.43	7.52	679794	13654749.00
2013/11/11	7.45	7.97	7.45	7.90	426828	8805721.00
2013/11/12	7.72	8.05	7.72	7.84	731885	15414074.00
2013/11/13	7.90	7.98	7.75	7.83	1139753	23934410.00
2013/11/14	7.82	8.02	7.76	7.98	372104	7863583.50
2013/11/15	8.00	8.21	7.91	8.21	706488	15257517.00
2013/11/18	8.22	8.33	8.21	8.26	642510	14104445.00
2013/11/19	8.23	8.29	8.06	8.12	575443	12476262.00
2013/11/20	8.11	8.16	7.94	8.06	494685	10574511.00
2013/11/21	7.99	8.32	7.99	8.27	1082003	23661582.00
2013/11/22	8.21	8.53	8.20	8.38	1431456	31733188.00
2013/11/25	8.37	8.72	8.37	8.48	1295726	29267488.00
2013/11/26	8.48	8.69	8.37	8.55	860813	19353112.00
2013/11/27	8.41	8.80	8.41	8.68	943587	21752262.00
2013/11/28	8.72	8.95	8.61	8.85	929553	21756434.00
2013/11/29	8.95	9.10	8.82	9.10	1845224	44080568.00
