002792 通宇通讯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/03/28	13.09	14.31	13.09	14.31	16800	553514.00
2016/03/29	15.78	15.78	15.78	15.78	7316	265790.28
2016/03/30	17.39	17.39	17.39	17.39	3800	151848.00
2016/03/31	19.17	19.17	19.17	19.17	14900	655004.00
2016/04/01	21.12	21.12	21.12	21.12	35500	1716780.00
2016/04/05	23.27	23.27	23.27	23.27	35877	1908656.38
2016/04/06	25.64	25.64	25.64	25.64	67059	3924292.75
2016/04/07	28.24	28.24	28.24	28.24	148876	9583148.00
2016/04/08	31.10	31.10	31.10	31.10	347968	24639614.00
2016/04/11	34.25	34.25	32.77	34.25	16440418	1265445248.00
2016/04/12	33.84	37.67	33.72	35.53	15812539	1282174080.00
2016/04/13	34.74	37.63	34.30	35.58	12880327	1050060224.00
2016/04/14	35.62	39.17	35.33	39.17	10923243	934488448.00
2016/04/15	40.52	41.76	39.24	39.30	14015188	1281902976.00
2016/04/18	37.66	38.25	35.64	37.06	7469669	632204544.00
2016/04/19	37.40	39.10	37.16	37.86	6465379	559199168.00
2016/04/20	37.63	38.15	34.68	37.17	8120092	677990080.00
2016/04/21	36.32	37.02	35.23	35.27	5214662	429028224.00
2016/04/22	34.74	35.60	34.38	35.48	4182670	333075840.00
2016/04/25	35.18	35.29	33.49	34.78	4181038	327243104.00
2016/04/26	34.47	37.65	34.38	37.09	6124146	501255168.00
2016/04/27	36.52	37.09	36.03	36.05	4592569	381330016.00
2016/04/28	35.85	36.81	34.83	36.36	4335482	353526688.00
2016/04/29	35.97	35.99	35.20	35.33	3141891	254064192.00
2016/05/03	35.19	36.74	34.69	36.64	4382991	358395392.00
2016/05/04	36.21	36.92	36.16	36.47	4277141	354691680.00
2016/05/05	36.66	36.92	36.05	36.67	4346163	360729984.00
2016/05/06	36.78	37.36	34.96	34.97	6255863	515095808.00
2016/05/09	34.31	34.49	32.46	32.56	4229347	319292992.00
2016/05/10	32.52	33.00	32.34	32.50	2166546	160865616.00
2016/05/11	32.82	32.92	30.98	31.01	2914006	211046432.00
2016/05/12	30.38	30.46	29.43	30.38	2652235	181138016.00
2016/05/13	30.16	30.74	30.07	30.30	2100537	145696944.00
2016/05/16	30.38	31.13	30.17	31.13	2179142	152590320.00
2016/05/17	31.18	31.21	30.52	30.69	2520728	176970224.00
2016/05/18	30.43	30.43	28.47	28.72	2687581	179604880.00
2016/05/19	28.85	29.98	28.85	29.27	2185466	146959232.00
2016/05/20	28.66	32.24	28.52	32.06	4036377	280024832.00
2016/05/23	31.98	33.25	31.54	32.38	4751453	351717312.00
2016/05/24	32.06	32.23	31.10	31.41	3080720	220640880.00
