300017 网宿科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/09/02	2.09	2.21	2.09	2.13	1991589	108096976.00
2013/09/03	2.14	2.24	2.10	2.24	2187301	119864728.00
2013/09/04	2.22	2.24	2.16	2.19	2061910	114396832.00
2013/09/05	2.17	2.25	2.14	2.22	1687962	94482944.00
2013/09/06	2.22	2.28	2.19	2.21	1364830	76500800.00
2013/09/09	2.21	2.24	2.04	2.11	3495308	186799968.00
2013/09/10	2.10	2.11	2.02	2.04	2197878	114978776.00
2013/09/11	2.03	2.07	1.95	1.99	2530244	129513328.00
2013/09/12	2.01	2.04	1.94	1.98	2087946	106093192.00
2013/09/13	1.97	2.08	1.94	2.07	2047879	105694760.00
2013/09/16	2.07	2.20	2.05	2.14	3334315	179246288.00
2013/09/17	2.12	2.19	2.07	2.12	2535724	137869120.00
2013/09/18	2.10	2.10	2.01	2.03	3651494	190521376.00
2013/09/23	2.03	2.24	1.98	2.24	4626397	249382160.00
2013/09/24	2.23	2.25	2.18	2.24	3344557	187154640.00
2013/09/25	2.25	2.44	2.25	2.27	3529909	207934000.00
2013/09/26	2.24	2.26	2.10	2.15	2935472	163256544.00
2013/09/27	2.15	2.18	2.08	2.11	1930078	104269504.00
2013/09/30	2.12	2.30	2.11	2.26	2557142	143691584.00
2013/10/08	2.30	2.38	2.20	2.30	3552486	204763792.00
2013/10/09	2.26	2.43	2.23	2.42	3617601	212833696.00
2013/10/10	2.40	2.53	2.28	2.31	3687021	223115712.00
2013/10/11	2.33	2.35	2.19	2.26	3438170	196028880.00
2013/10/14	2.51	2.51	2.51	2.51	552868	34659296.00
2013/10/15	2.79	2.79	2.79	2.79	2550251	175864816.00
2013/10/16	2.85	3.03	2.80	2.92	9035086	644962304.00
2013/10/17	2.88	2.97	2.76	2.82	3902573	273567680.00
2013/10/18	2.79	2.93	2.79	2.83	2708014	190339552.00
2013/10/21	2.89	3.15	2.89	3.06	5017245	376726432.00
2013/10/22	3.06	3.27	2.95	3.01	5544256	420889216.00
2013/10/23	2.99	3.04	2.80	2.85	4312890	304319840.00
2013/10/24	2.86	2.95	2.76	2.77	3357580	234939088.00
2013/10/25	2.82	2.86	2.64	2.67	4698217	315644736.00
2013/10/28	2.62	2.79	2.62	2.74	3387943	228738272.00
2013/10/29	2.75	2.81	2.57	2.65	4143565	271994240.00
2013/10/30	2.64	2.94	2.61	2.94	3690798	255255904.00
2013/10/31	3.02	3.09	2.84	2.92	4188060	307408608.00
2013/11/01	2.85	2.99	2.79	2.92	3104311	222035152.00
2013/11/04	2.89	2.95	2.75	2.80	1966069	138881376.00
2013/11/05	2.79	3.09	2.73	3.04	3218383	231840976.00
2013/11/06	3.02	3.05	2.89	2.89	2791388	204359808.00
2013/11/07	2.84	2.94	2.77	2.79	2703946	188762144.00
2013/11/08	2.74	2.92	2.71	2.81	2883988	200818464.00
2013/11/11	2.80	2.84	2.65	2.73	3673370	246865904.00
2013/11/12	2.74	2.85	2.72	2.73	2728773	187898528.00
2013/11/13	2.74	2.82	2.71	2.72	1975256	134499152.00
2013/11/14	2.72	2.97	2.72	2.88	3748089	263091648.00
2013/11/15	2.89	3.06	2.84	3.00	4438906	322048928.00
2013/11/18	3.02	3.10	2.97	3.02	3388761	252064512.00
2013/11/19	2.99	3.05	2.95	2.97	2363743	173945024.00
2013/11/20	2.95	2.99	2.67	2.83	6957119	479729856.00
2013/11/21	2.77	2.82	2.71	2.79	3629452	247263056.00
2013/11/22	2.77	2.79	2.68	2.74	2764748	186910672.00
2013/11/25	2.75	2.88	2.74	2.83	3112862	216632960.00
2013/11/26	2.81	2.93	2.76	2.92	3410290	240542768.00
2013/11/27	2.93	3.06	2.90	2.91	3789004	277194304.00
2013/11/28	2.94	3.21	2.89	3.08	4875525	365040928.00
2013/11/29	3.07	3.42	3.05	3.33	4537777	357553024.00
2013/12/02	3.15	3.15	2.97	3.04	7315308	546287168.00
2013/12/03	2.97	3.37	2.93	3.37	5442618	425315264.00
2013/12/04	3.36	3.48	3.07	3.15	5617487	454023872.00
2013/12/05	3.15	3.15	2.81	2.81	7627421	539739520.00
2013/12/06	2.75	2.86	2.68	2.75	4511680	308319168.00
2013/12/09	2.75	2.92	2.75	2.89	2987062	209472832.00
2013/12/10	2.91	3.00	2.81	2.93	2399475	171603840.00
2013/12/11	2.92	3.03	2.88	2.94	1703294	123870512.00
2013/12/12	2.91	3.13	2.89	3.07	2322733	172698784.00
2013/12/13	3.06	3.11	3.00	3.01	1564986	116579368.00
2013/12/16	3.06	3.19	2.99	3.11	2087259	157642544.00
2013/12/17	3.08	3.09	2.92	3.01	1905160	139510672.00
2013/12/18	3.03	3.15	2.91	3.04	1673546	124239656.00
2013/12/19	3.11	3.37	3.06	3.37	6080316	491708224.00
2013/12/20	3.32	3.33	3.19	3.27	4331088	343645568.00
2013/12/23	3.29	3.49	3.26	3.43	3547560	291656416.00
2013/12/24	3.43	3.76	3.40	3.54	4617784	401800832.00
2013/12/25	3.60	3.87	3.49	3.60	5988808	529276640.00
2013/12/26	3.64	3.64	3.21	3.31	7173021	594508672.00
2013/12/27	3.25	3.47	3.25	3.46	4214596	344633088.00
2013/12/30	3.46	3.60	3.35	3.55	3110767	262042080.00
2013/12/31	3.49	3.55	3.39	3.50	3034714	254856848.00
2014/01/02	3.47	3.69	3.36	3.68	3121033	268285008.00
2014/01/03	3.65	3.80	3.60	3.70	3078744	274947456.00
2014/01/06	3.72	3.88	3.65	3.76	3769753	345234784.00
2014/01/07	3.73	3.80	3.60	3.76	2303523	206971056.00
2014/01/08	3.78	4.06	3.78	3.91	4335660	408955648.00
2014/01/09	3.91	3.95	3.79	3.82	2694963	251119472.00
2014/01/10	3.81	3.89	3.71	3.76	2674528	243658032.00
2014/01/13	3.73	3.90	3.66	3.87	1811980	166380192.00
2014/01/14	3.86	3.98	3.85	3.98	2391608	226456768.00
2014/01/15	4.00	4.05	3.91	3.95	1888717	180082688.00
2014/01/16	3.98	3.98	3.77	3.86	2270397	209635632.00
2014/01/17	3.82	4.00	3.79	3.95	2038942	191065088.00
2014/01/20	3.92	4.02	3.71	3.78	2826800	260898336.00
2014/01/21	3.76	3.90	3.63	3.88	2408660	219755072.00
2014/01/22	3.86	3.95	3.81	3.92	1775032	165991728.00
2014/01/23	3.91	4.34	3.90	4.18	3626345	359987104.00
2014/01/24	4.40	4.63	4.27	4.63	5087950	554118272.00
2014/01/27	4.74	5.02	4.72	4.76	3867101	444013408.00
2014/01/28	4.78	4.92	4.62	4.88	4612329	522652032.00
2014/01/29	4.88	5.19	4.81	5.12	3099202	365223776.00
2014/01/30	5.19	5.38	4.99	5.09	3663022	448657536.00
2014/02/07	5.07	5.62	4.99	5.62	2567948	322860928.00
2014/02/10	5.75	5.90	5.61	5.70	3460886	464934368.00
2014/02/11	5.70	5.93	5.43	5.83	4378290	582808512.00
2014/02/12	5.79	5.85	5.60	5.80	2335670	314903744.00
2014/02/13	5.71	5.74	5.30	5.39	3382965	440400288.00
2014/02/14	5.39	5.47	5.10	5.30	4137682	514788288.00
2014/02/17	5.21	5.73	5.21	5.58	3617889	467921568.00
2014/02/18	5.58	5.69	5.52	5.59	2273224	299131104.00
2014/02/19	5.65	6.01	5.64	5.67	3448750	469591584.00
2014/02/20	5.71	5.77	5.30	5.56	2770813	361580032.00
2014/02/21	5.52	5.82	5.52	5.65	2485185	332361920.00
2014/02/24	5.74	5.87	5.48	5.63	2686540	355744416.00
2014/02/25	5.65	5.65	5.04	5.04	4824037	596931328.00
2014/02/26	4.71	4.91	4.53	4.85	6183326	697733696.00
2014/02/27	4.81	4.81	4.34	4.42	7948106	842657984.00
2014/02/28	4.54	4.60	4.33	4.47	5416220	574811904.00
2014/03/03	4.36	4.65	4.29	4.57	4866432	517308544.00
2014/03/04	4.54	4.60	4.41	4.46	3087616	331626528.00
2014/03/05	4.46	4.65	4.23	4.50	4309666	457716864.00
2014/03/06	4.55	4.98	4.45	4.90	8713495	998816064.00
2014/03/07	4.81	5.07	4.80	4.91	5124447	596947456.00
2014/03/10	4.87	5.00	4.73	4.78	2514000	289822432.00
2014/03/11	4.83	4.85	4.67	4.83	2406939	272534944.00
2014/03/12	4.76	4.83	4.36	4.61	3967264	432133504.00
2014/03/13	4.61	4.91	4.46	4.88	3252553	368707968.00
2014/03/17	5.29	5.39	4.99	5.39	6354702	783754688.00
2014/03/18	5.43	5.79	5.38	5.46	6271294	822334784.00
2014/03/19	5.52	5.58	5.41	5.54	3265521	424611808.00
2014/03/20	5.57	5.77	5.39	5.53	4555256	595516032.00
